Date,Price,RSI,STATUS
01-09-2023,42.28,59.99,HOLD
01-06-2023,42.42,61.08,HOLD
01-05-2023,40.87,52.09,HOLD
01-04-2023,40.94,52.60,HOLD
01-03-2023,40.90,52.35,HOLD
12-30-2022,40.22,48.08,HOLD
12-29-2022,39.82,45.40,HOLD
12-28-2022,38.76,37.46,HOLD
12-27-2022,39.41,40.84,HOLD
12-23-2022,39.12,38.55,HOLD
12-22-2022,39.14,38.64,HOLD
12-21-2022,39.12,38.50,HOLD
12-20-2022,38.95,37.35,HOLD
12-19-2022,39.00,37.55,HOLD
12-16-2022,39.25,38.46,HOLD
12-15-2022,39.38,38.92,HOLD
12-14-2022,41.68,48.37,HOLD
12-13-2022,42.85,54.64,HOLD
12-12-2022,42.87,54.75,HOLD
12-09-2022,41.83,49.75,HOLD
12-08-2022,42.23,51.80,HOLD
12-07-2022,41.92,50.33,HOLD
12-06-2022,42.47,52.99,HOLD
12-05-2022,43.07,55.99,HOLD
12-02-2022,44.54,64.26,HOLD
12-01-2022,44.90,66.49,HOLD
11-30-2022,44.79,66.16,HOLD
11-29-2022,43.52,62.11,HOLD
11-28-2022,43.58,62.44,HOLD
11-25-2022,44.63,68.29,HOLD
11-23-2022,44.61,68.24,HOLD
11-22-2022,43.85,66.26,HOLD
11-21-2022,41.07,57.22,HOLD
11-18-2022,42.04,62.66,HOLD
11-17-2022,41.76,61.68,HOLD
11-16-2022,41.18,59.65,HOLD
11-15-2022,42.35,66.23,HOLD
11-14-2022,42.25,65.93,HOLD
11-11-2022,42.68,68.34,HOLD
11-10-2022,41.72,65.74,HOLD
11-09-2022,39.33,57.74,HOLD
11-08-2022,40.42,64.08,HOLD
11-07-2022,39.87,62.13,HOLD
11-04-2022,39.00,58.85,HOLD
11-03-2022,37.35,51.45,HOLD
11-02-2022,37.67,53.17,HOLD
11-01-2022,39.15,62.11,HOLD
10-31-2022,38.40,58.85,HOLD
10-28-2022,39.16,64.02,HOLD
10-27-2022,37.76,57.66,HOLD
10-26-2022,37.79,57.87,HOLD
10-25-2022,37.74,57.63,HOLD
10-24-2022,37.28,55.55,HOLD
10-21-2022,36.85,53.56,HOLD
10-20-2022,34.86,42.53,HOLD
10-19-2022,34.49,40.07,HOLD
10-18-2022,34.56,40.38,HOLD
10-17-2022,34.47,39.83,HOLD
10-14-2022,34.26,38.62,HOLD
10-13-2022,34.99,41.31,HOLD
10-12-2022,33.77,34.20,HOLD
10-11-2022,33.87,34.52,HOLD
10-10-2022,34.48,36.44,HOLD
10-07-2022,34.60,36.82,HOLD
10-06-2022,37.48,47.73,HOLD
10-05-2022,37.86,49.53,HOLD
10-04-2022,37.46,47.60,HOLD
10-03-2022,35.88,39.05,HOLD
09-30-2022,34.17,27.09,BUY
09-29-2022,34.19,27.15,BUY
09-28-2022,35.29,30.47,HOLD
09-27-2022,34.72,26.12,BUY
09-26-2022,34.70,25.97,BUY
09-23-2022,35.52,28.16,BUY
09-22-2022,36.28,30.36,HOLD
09-21-2022,36.78,31.89,HOLD
09-20-2022,36.95,32.40,HOLD
09-19-2022,37.82,35.09,HOLD
09-16-2022,37.96,35.53,HOLD
09-15-2022,37.65,33.82,HOLD
09-14-2022,38.13,35.16,HOLD
09-13-2022,38.30,35.62,HOLD
09-12-2022,40.30,41.62,HOLD
09-09-2022,39.79,39.19,HOLD
09-08-2022,38.50,32.62,HOLD
09-07-2022,37.98,29.78,BUY
09-06-2022,37.29,25.94,BUY
09-02-2022,37.79,26.93,BUY
09-01-2022,37.65,26.20,BUY
08-31-2022,38.29,27.36,BUY
08-30-2022,39.69,30.09,HOLD
08-29-2022,40.59,31.99,HOLD
08-26-2022,41.43,33.84,HOLD
08-25-2022,47.90,57.76,HOLD
08-24-2022,46.62,51.46,HOLD
08-23-2022,46.94,53.31,HOLD
08-22-2022,46.84,52.81,HOLD
08-19-2022,47.67,57.48,HOLD
08-18-2022,48.94,65.72,HOLD
08-17-2022,47.83,61.20,HOLD
08-16-2022,48.59,66.80,HOLD
08-15-2022,48.30,65.68,HOLD
08-12-2022,48.22,65.39,HOLD
08-11-2022,47.60,63.09,HOLD
08-10-2022,47.23,61.68,HOLD
08-09-2022,45.09,51.80,HOLD
08-08-2022,45.45,53.98,HOLD
08-05-2022,45.41,53.78,HOLD
08-04-2022,44.20,47.34,HOLD
08-03-2022,44.45,48.64,HOLD
08-02-2022,44.26,47.63,HOLD
08-01-2022,45.42,53.63,HOLD
07-29-2022,45.06,51.88,HOLD
07-28-2022,44.50,49.11,HOLD
07-27-2022,44.29,48.07,HOLD
07-26-2022,43.43,43.69,HOLD
07-25-2022,43.85,45.43,HOLD
07-22-2022,43.34,42.86,HOLD
07-21-2022,44.65,48.27,HOLD
07-20-2022,44.17,45.95,HOLD
07-19-2022,44.04,45.33,HOLD
07-18-2022,42.90,39.74,HOLD
07-15-2022,43.46,41.68,HOLD
07-14-2022,42.70,37.85,HOLD
07-13-2022,43.14,39.24,HOLD
07-12-2022,43.05,38.81,HOLD
07-11-2022,42.48,36.18,HOLD
07-08-2022,42.92,37.33,HOLD
07-07-2022,42.94,37.38,HOLD
07-06-2022,42.20,34.35,HOLD
07-05-2022,43.14,36.43,HOLD
07-01-2022,42.74,34.87,HOLD
06-30-2022,46.21,43.45,HOLD
06-29-2022,47.39,47.12,HOLD
06-28-2022,48.94,52.52,HOLD
06-27-2022,50.24,57.67,HOLD
06-24-2022,50.25,57.71,HOLD
06-23-2022,49.04,54.10,HOLD
06-22-2022,48.61,52.76,HOLD
06-21-2022,49.23,54.90,HOLD
06-17-2022,47.59,49.92,HOLD
06-16-2022,45.89,43.98,HOLD
06-15-2022,47.91,50.61,HOLD
06-14-2022,47.35,48.61,HOLD
06-13-2022,47.25,48.27,HOLD
06-10-2022,49.16,54.82,HOLD
06-09-2022,50.35,59.49,HOLD
06-08-2022,50.33,59.44,HOLD
06-07-2022,51.15,62.61,HOLD
06-06-2022,50.04,59.92,HOLD
06-03-2022,51.02,63.68,HOLD
06-02-2022,51.28,64.68,HOLD
06-01-2022,50.67,63.43,HOLD
05-31-2022,49.94,61.93,HOLD
05-27-2022,49.58,61.20,HOLD
05-26-2022,43.93,46.24,HOLD
05-25-2022,43.30,44.00,HOLD
05-24-2022,40.88,34.24,HOLD
05-23-2022,41.22,35.03,HOLD
05-20-2022,40.05,29.82,BUY
05-19-2022,41.10,31.95,HOLD
05-18-2022,43.31,37.17,HOLD
05-17-2022,46.61,48.02,HOLD
05-16-2022,45.03,40.26,HOLD
05-13-2022,45.09,40.48,HOLD
05-12-2022,43.74,33.08,HOLD
05-11-2022,44.41,35.09,HOLD
05-10-2022,45.50,38.64,HOLD
05-09-2022,45.19,36.95,HOLD
05-06-2022,45.58,38.18,HOLD
05-05-2022,47.26,44.00,HOLD
05-04-2022,48.81,50.62,HOLD
05-03-2022,47.85,45.94,HOLD
05-02-2022,47.50,44.15,HOLD
04-29-2022,47.01,41.64,HOLD
04-28-2022,48.12,45.99,HOLD
04-27-2022,46.55,37.40,HOLD
04-26-2022,46.51,37.16,HOLD
04-25-2022,47.27,39.82,HOLD
04-22-2022,46.87,37.64,HOLD
04-21-2022,48.21,42.41,HOLD
04-20-2022,49.00,45.57,HOLD
04-19-2022,47.99,40.29,HOLD
04-18-2022,47.44,37.20,HOLD
04-14-2022,46.94,34.34,HOLD
04-13-2022,47.31,35.45,HOLD
04-12-2022,47.10,34.33,HOLD
04-11-2022,46.95,33.57,HOLD
04-08-2022,47.39,34.66,HOLD
04-07-2022,47.69,35.40,HOLD
04-06-2022,47.12,32.89,HOLD
04-05-2022,48.66,36.44,HOLD
04-04-2022,49.38,38.23,HOLD
04-01-2022,48.80,35.87,HOLD
03-31-2022,50.19,39.20,HOLD
03-30-2022,54.32,52.67,HOLD
03-29-2022,55.03,55.73,HOLD
03-28-2022,54.30,53.13,HOLD
03-25-2022,54.79,55.15,HOLD
03-24-2022,53.51,50.60,HOLD
03-23-2022,52.60,47.05,HOLD
03-22-2022,52.99,48.44,HOLD
03-21-2022,52.32,45.90,HOLD
03-18-2022,51.83,44.03,HOLD
03-17-2022,50.51,38.73,HOLD
03-16-2022,51.97,42.90,HOLD
03-15-2022,52.08,43.23,HOLD
03-14-2022,50.74,37.90,HOLD
03-11-2022,52.01,41.31,HOLD
03-10-2022,51.97,41.16,HOLD
03-09-2022,51.98,41.18,HOLD
