Date,Price,RSI,STATUS
01-09-2023,102.07,53.92,HOLD
01-06-2023,102.18,54.28,HOLD
01-05-2023,99.40,45.86,HOLD
01-04-2023,102.06,54.83,HOLD
01-03-2023,101.21,52.05,HOLD
12-30-2022,101.07,51.59,HOLD
12-29-2022,101.50,53.03,HOLD
12-28-2022,99.91,48.06,HOLD
12-27-2022,100.82,50.92,HOLD
12-23-2022,100.46,49.82,HOLD
12-22-2022,99.54,47.01,HOLD
12-21-2022,101.14,51.69,HOLD
12-20-2022,99.56,46.83,HOLD
12-19-2022,98.67,43.88,HOLD
12-16-2022,98.58,43.59,HOLD
12-15-2022,98.47,43.25,HOLD
12-14-2022,101.91,52.35,HOLD
12-13-2022,101.56,51.38,HOLD
12-12-2022,102.47,54.03,HOLD
12-09-2022,100.64,49.14,HOLD
12-08-2022,101.46,51.41,HOLD
12-07-2022,100.49,48.81,HOLD
12-06-2022,100.35,48.44,HOLD
12-05-2022,102.19,53.13,HOLD
12-02-2022,105.46,63.24,HOLD
12-01-2022,105.03,62.37,HOLD
11-30-2022,104.36,61.03,HOLD
11-29-2022,101.52,54.67,HOLD
11-28-2022,101.76,55.38,HOLD
11-25-2022,102.49,57.48,HOLD
11-23-2022,102.08,56.62,HOLD
11-22-2022,100.99,54.34,HOLD
11-21-2022,99.38,50.79,HOLD
11-18-2022,99.86,51.91,HOLD
11-17-2022,98.59,49.16,HOLD
11-16-2022,99.98,52.19,HOLD
11-15-2022,100.35,53.00,HOLD
11-14-2022,100.01,52.37,HOLD
11-11-2022,100.47,53.26,HOLD
11-10-2022,101.00,54.26,HOLD
11-09-2022,96.18,45.72,HOLD
11-08-2022,98.48,49.84,HOLD
11-07-2022,96.39,45.71,HOLD
11-04-2022,94.32,41.26,HOLD
11-03-2022,94.57,41.65,HOLD
11-02-2022,100.56,52.47,HOLD
11-01-2022,104.02,60.97,HOLD
10-31-2022,102.74,58.67,HOLD
10-28-2022,102.60,58.42,HOLD
10-27-2022,98.81,51.01,HOLD
10-26-2022,101.76,58.56,HOLD
10-25-2022,100.08,55.04,HOLD
10-24-2022,97.35,48.43,HOLD
10-21-2022,96.74,46.81,HOLD
10-20-2022,95.01,42.01,HOLD
10-19-2022,96.23,44.65,HOLD
10-18-2022,97.17,46.75,HOLD
10-17-2022,97.37,47.19,HOLD
10-14-2022,94.14,38.53,HOLD
10-13-2022,95.65,41.48,HOLD
10-12-2022,93.70,35.57,HOLD
10-11-2022,95.45,38.84,HOLD
10-10-2022,98.49,45.61,HOLD
10-07-2022,98.70,46.13,HOLD
10-06-2022,99.08,47.02,HOLD
10-05-2022,100.55,50.53,HOLD
10-04-2022,98.73,45.88,HOLD
10-03-2022,95.42,35.66,HOLD
09-30-2022,93.57,28.67,BUY
09-29-2022,94.85,30.82,HOLD
09-28-2022,96.17,33.21,HOLD
09-27-2022,95.14,29.24,BUY
09-26-2022,95.90,30.48,HOLD
09-23-2022,97.95,34.11,HOLD
09-22-2022,98.56,35.27,HOLD
09-21-2022,99.59,37.25,HOLD
09-20-2022,102.17,42.87,HOLD
09-19-2022,103.65,46.61,HOLD
09-16-2022,103.61,46.49,HOLD
09-15-2022,104.58,48.91,HOLD
09-14-2022,105.90,52.35,HOLD
09-13-2022,105.92,52.40,HOLD
09-12-2022,109.05,61.21,HOLD
09-09-2022,106.46,55.45,HOLD
