Date,Price,RSI,STATUS
01-09-2023,88.02,43.04,HOLD
01-06-2023,87.34,41.01,HOLD
01-05-2023,86.20,37.54,HOLD
01-04-2023,88.08,41.26,HOLD
01-03-2023,89.12,43.47,HOLD
12-30-2022,88.23,40.95,HOLD
12-29-2022,88.45,41.38,HOLD
12-28-2022,86.02,34.44,HOLD
12-27-2022,87.39,36.71,HOLD
12-23-2022,89.23,40.01,HOLD
12-22-2022,87.76,35.73,HOLD
12-21-2022,89.58,38.92,HOLD
12-20-2022,89.02,37.32,HOLD
12-19-2022,88.44,35.70,HOLD
12-16-2022,90.26,38.61,HOLD
12-15-2022,90.86,39.60,HOLD
12-14-2022,95.07,47.51,HOLD
12-13-2022,95.63,48.71,HOLD
12-12-2022,93.31,43.18,HOLD
12-09-2022,92.83,41.98,HOLD
12-08-2022,93.71,43.55,HOLD
12-07-2022,94.94,45.77,HOLD
12-06-2022,96.98,49.67,HOLD
12-05-2022,99.48,55.00,HOLD
12-02-2022,100.44,57.19,HOLD
12-01-2022,100.99,58.43,HOLD
11-30-2022,100.99,58.43,HOLD
11-29-2022,95.19,48.24,HOLD
11-28-2022,96.05,49.93,HOLD
11-25-2022,97.46,52.73,HOLD
11-23-2022,98.46,54.75,HOLD
11-22-2022,97.05,52.36,HOLD
11-21-2022,95.60,49.82,HOLD
11-18-2022,97.43,53.14,HOLD
11-17-2022,98.36,54.86,HOLD
11-16-2022,98.85,55.74,HOLD
11-15-2022,98.44,55.18,HOLD
11-14-2022,95.70,51.36,HOLD
11-11-2022,96.41,52.43,HOLD
11-10-2022,93.94,48.98,HOLD
11-09-2022,87.32,37.72,HOLD
11-08-2022,88.90,39.66,HOLD
11-07-2022,88.49,38.90,HOLD
11-04-2022,86.58,35.40,HOLD
11-03-2022,83.43,29.18,BUY
11-02-2022,86.97,32.44,HOLD
11-01-2022,90.47,36.14,HOLD
10-31-2022,94.51,41.19,HOLD
10-28-2022,96.29,43.69,HOLD
10-27-2022,92.22,35.37,HOLD
10-26-2022,94.93,38.93,HOLD
10-25-2022,104.48,57.99,HOLD
10-24-2022,102.52,53.66,HOLD
10-21-2022,101.13,50.29,HOLD
10-20-2022,99.97,47.33,HOLD
10-19-2022,99.63,46.46,HOLD
10-18-2022,100.77,48.97,HOLD
10-17-2022,99.97,47.11,HOLD
10-14-2022,96.56,38.14,HOLD
10-13-2022,99.06,43.11,HOLD
10-12-2022,97.56,38.66,HOLD
10-11-2022,97.18,37.50,HOLD
10-10-2022,97.86,38.71,HOLD
10-07-2022,98.68,40.16,HOLD
10-06-2022,101.42,45.44,HOLD
10-05-2022,101.43,45.46,HOLD
10-04-2022,101.64,45.86,HOLD
10-03-2022,98.64,38.73,HOLD
09-30-2022,95.65,30.24,HOLD
09-29-2022,97.42,32.74,HOLD
09-28-2022,100.05,36.94,HOLD
09-27-2022,97.50,28.70,BUY
09-26-2022,98.17,29.64,BUY
09-23-2022,98.74,30.43,HOLD
09-22-2022,100.14,32.41,HOLD
09-21-2022,99.28,29.81,BUY
09-20-2022,101.14,32.30,HOLD
09-19-2022,103.07,35.14,HOLD
09-16-2022,102.80,34.39,HOLD
09-15-2022,102.91,34.54,HOLD
09-14-2022,105.00,37.43,HOLD
09-13-2022,104.32,35.81,HOLD
09-12-2022,110.86,46.61,HOLD
09-09-2022,110.65,46.12,HOLD
09-08-2022,108.38,40.72,HOLD
09-07-2022,109.45,42.59,HOLD
09-06-2022,106.81,35.85,HOLD
09-02-2022,107.85,37.46,HOLD
09-01-2022,109.74,40.53,HOLD
08-31-2022,108.22,36.65,HOLD
08-30-2022,108.94,37.73,HOLD
08-29-2022,109.42,38.44,HOLD
08-26-2022,110.34,39.75,HOLD
08-25-2022,116.65,50.85,HOLD
08-24-2022,113.69,44.05,HOLD
08-23-2022,113.86,44.37,HOLD
08-22-2022,114.24,45.07,HOLD
08-19-2022,117.21,50.86,HOLD
08-18-2022,120.17,57.71,HOLD
08-17-2022,119.55,56.57,HOLD
08-16-2022,121.70,61.95,HOLD
08-15-2022,122.08,62.93,HOLD
08-12-2022,121.68,62.34,HOLD
08-11-2022,118.84,57.99,HOLD
08-10-2022,119.70,59.94,HOLD
08-09-2022,116.63,54.92,HOLD
08-08-2022,117.30,56.35,HOLD
08-05-2022,117.47,56.70,HOLD
08-04-2022,118.19,58.11,HOLD
08-03-2022,118.08,57.96,HOLD
08-02-2022,115.13,53.89,HOLD
08-01-2022,114.86,53.51,HOLD
07-29-2022,116.32,55.83,HOLD
07-28-2022,114.22,53.11,HOLD
07-27-2022,113.06,51.58,HOLD
07-26-2022,105.02,38.70,HOLD
07-25-2022,107.51,41.90,HOLD
07-22-2022,107.90,42.42,HOLD
07-21-2022,114.34,52.17,HOLD
07-20-2022,113.90,51.47,HOLD
07-19-2022,113.81,51.33,HOLD
07-18-2022,109.03,43.46,HOLD
07-15-2022,111.78,47.56,HOLD
07-14-2022,110.37,45.09,HOLD
07-13-2022,111.35,46.52,HOLD
07-12-2022,114.02,50.52,HOLD
07-11-2022,115.68,53.16,HOLD
07-08-2022,119.35,59.57,HOLD
07-07-2022,118.78,58.86,HOLD
07-06-2022,114.57,53.18,HOLD
07-05-2022,113.26,51.24,HOLD
07-01-2022,108.74,43.75,HOLD
06-30-2022,108.96,44.06,HOLD
06-29-2022,111.70,47.93,HOLD
06-28-2022,112.01,48.37,HOLD
06-27-2022,115.83,54.15,HOLD
06-24-2022,117.97,57.74,HOLD
06-23-2022,112.24,49.41,HOLD
06-22-2022,111.49,48.16,HOLD
06-21-2022,111.54,48.25,HOLD
06-17-2022,107.14,40.89,HOLD
06-16-2022,106.03,38.86,HOLD
06-15-2022,109.76,43.54,HOLD
06-14-2022,106.72,37.86,HOLD
06-13-2022,106.39,37.24,HOLD
06-10-2022,111.16,43.15,HOLD
06-09-2022,114.84,48.67,HOLD
06-08-2022,117.19,52.69,HOLD
06-07-2022,117.15,52.62,HOLD
06-06-2022,116.82,52.14,HOLD
06-03-2022,114.54,48.84,HOLD
06-02-2022,117.62,53.48,HOLD
06-01-2022,113.89,47.91,HOLD
05-31-2022,113.76,47.71,HOLD
05-27-2022,112.32,45.53,HOLD
05-26-2022,107.79,38.00,HOLD
05-25-2022,105.81,34.30,HOLD
05-24-2022,105.97,34.46,HOLD
05-23-2022,111.49,40.24,HOLD
05-20-2022,108.91,35.54,HOLD
05-19-2022,110.38,37.09,HOLD
05-18-2022,111.90,38.70,HOLD
05-17-2022,116.47,44.04,HOLD
05-16-2022,114.44,40.67,HOLD
05-13-2022,116.05,42.56,HOLD
05-12-2022,112.84,37.15,HOLD
05-11-2022,113.60,37.93,HOLD
05-10-2022,114.39,38.73,HOLD
05-09-2022,112.51,35.76,HOLD
05-06-2022,115.75,38.75,HOLD
05-05-2022,116.51,39.47,HOLD
05-04-2022,122.26,45.40,HOLD
05-03-2022,117.33,37.99,HOLD
05-02-2022,116.58,36.78,HOLD
04-29-2022,114.11,32.75,HOLD
04-28-2022,118.52,36.62,HOLD
04-27-2022,114.29,29.19,BUY
04-26-2022,118.65,32.87,HOLD
04-25-2022,123.07,37.32,HOLD
04-22-2022,119.64,30.54,HOLD
04-21-2022,124.81,35.98,HOLD
04-20-2022,128.04,40.12,HOLD
04-19-2022,130.01,42.92,HOLD
04-18-2022,127.68,38.18,HOLD
04-14-2022,126.73,36.18,HOLD
04-13-2022,129.89,40.21,HOLD
04-12-2022,127.71,35.62,HOLD
04-11-2022,128.82,36.96,HOLD
04-08-2022,133.29,43.01,HOLD
04-07-2022,135.89,47.19,HOLD
04-06-2022,136.55,48.30,HOLD
04-05-2022,140.59,55.72,HOLD
04-04-2022,142.97,60.84,HOLD
04-01-2022,140.15,56.44,HOLD
03-31-2022,139.07,54.62,HOLD
03-30-2022,141.94,60.87,HOLD
03-29-2022,142.51,62.17,HOLD
03-28-2022,141.46,60.73,HOLD
03-25-2022,141.67,61.18,HOLD
03-24-2022,141.57,61.05,HOLD
03-23-2022,138.28,56.86,HOLD
03-22-2022,139.87,59.74,HOLD
03-21-2022,136.10,54.69,HOLD
03-18-2022,136.13,54.73,HOLD
03-17-2022,133.84,51.55,HOLD
03-16-2022,133.28,50.76,HOLD
03-15-2022,129.20,44.67,HOLD
03-14-2022,125.95,39.11,HOLD
03-11-2022,129.87,44.07,HOLD
03-10-2022,132.43,47.75,HOLD
03-09-2022,133.42,49.23,HOLD
03-08-2022,127.10,37.85,HOLD
03-07-2022,126.38,36.33,HOLD
03-04-2022,131.91,43.94,HOLD
03-03-2022,133.90,47.26,HOLD
03-02-2022,134.57,48.40,HOLD
03-01-2022,134.06,47.50,HOLD
02-28-2022,135.06,49.05,HOLD
02-25-2022,134.46,48.11,HOLD
02-24-2022,132.69,45.34,HOLD
02-23-2022,127.59,36.23,HOLD
02-22-2022,129.81,38.85,HOLD
02-18-2022,130.40,39.55,HOLD
02-17-2022,132.54,42.12,HOLD
02-16-2022,137.74,49.37,HOLD
02-15-2022,136.61,47.55,HOLD
02-14-2022,135.53,45.82,HOLD
02-11-2022,134.28,43.84,HOLD
02-10-2022,138.62,49.73,HOLD
02-09-2022,141.59,54.37,HOLD
02-08-2022,139.40,51.25,HOLD
02-07-2022,139.20,50.97,HOLD
02-04-2022,143.29,57.32,HOLD
02-03-2022,143.09,57.07,HOLD
02-02-2022,148.00,65.57,HOLD
02-01-2022,137.64,51.40,HOLD
01-31-2022,135.30,46.80,HOLD
01-28-2022,133.35,42.60,HOLD
01-27-2022,129.01,31.39,HOLD
01-26-2022,129.23,31.70,HOLD
01-25-2022,126.93,24.95,BUY
01-24-2022,130.80,29.51,BUY
01-21-2022,130.35,28.08,BUY
01-20-2022,133.31,32.01,HOLD
01-19-2022,135.12,34.77,HOLD
01-18-2022,136.00,36.18,HOLD
01-14-2022,139.48,42.52,HOLD
01-13-2022,138.59,40.02,HOLD
01-12-2022,141.43,45.93,HOLD
01-11-2022,139.74,41.12,HOLD
01-10-2022,138.67,37.88,HOLD
