Date,Price,RSI,STATUS
01-09-2023,317.81,50.21,HOLD
01-06-2023,317.53,49.93,HOLD
01-05-2023,315.47,47.87,HOLD
01-04-2023,319.73,51.97,HOLD
01-03-2023,315.91,48.28,HOLD
12-30-2022,315.86,48.23,HOLD
12-29-2022,320.41,52.37,HOLD
12-28-2022,315.73,48.12,HOLD
12-27-2022,319.55,51.61,HOLD
12-23-2022,318.73,50.90,HOLD
12-22-2022,316.12,48.67,HOLD
12-21-2022,319.36,51.35,HOLD
12-20-2022,314.84,47.61,HOLD
12-19-2022,317.33,49.56,HOLD
12-16-2022,323.34,54.57,HOLD
12-15-2022,327.60,58.46,HOLD
12-14-2022,333.43,64.29,HOLD
12-13-2022,332.89,63.98,HOLD
12-12-2022,327.98,61.14,HOLD
12-09-2022,320.48,56.26,HOLD
12-08-2022,324.09,59.61,HOLD
12-07-2022,320.15,57.02,HOLD
12-06-2022,317.45,55.19,HOLD
12-05-2022,320.08,57.40,HOLD
12-02-2022,327.99,64.63,HOLD
12-01-2022,327.07,64.14,HOLD
11-30-2022,323.99,62.53,HOLD
11-29-2022,315.96,57.98,HOLD
11-28-2022,318.92,60.50,HOLD
11-25-2022,326.38,67.34,HOLD
11-23-2022,321.51,64.94,HOLD
11-22-2022,324.88,68.16,HOLD
11-21-2022,316.78,64.19,HOLD
11-18-2022,313.18,62.25,HOLD
11-17-2022,311.44,61.31,HOLD
11-16-2022,314.91,64.28,HOLD
11-15-2022,311.93,62.84,HOLD
11-14-2022,306.92,60.35,HOLD
11-11-2022,314.94,67.03,HOLD
11-10-2022,311.70,65.60,HOLD
11-09-2022,286.75,50.19,HOLD
11-08-2022,291.14,54.15,HOLD
11-07-2022,290.27,53.48,HOLD
11-04-2022,284.03,48.41,HOLD
11-03-2022,281.50,46.21,HOLD
11-02-2022,288.73,52.12,HOLD
11-01-2022,296.06,59.26,HOLD
10-31-2022,296.13,59.33,HOLD
10-28-2022,298.65,61.84,HOLD
10-27-2022,291.06,56.71,HOLD
10-26-2022,290.15,56.06,HOLD
10-25-2022,290.26,56.15,HOLD
10-24-2022,283.26,51.23,HOLD
10-21-2022,275.53,44.88,HOLD
10-20-2022,269.46,39.10,HOLD
10-19-2022,275.49,43.29,HOLD
10-18-2022,285.06,51.40,HOLD
10-17-2022,281.26,47.79,HOLD
10-14-2022,276.43,42.78,HOLD
10-13-2022,282.83,48.51,HOLD
10-12-2022,280.52,46.09,HOLD
10-11-2022,282.89,48.25,HOLD
10-10-2022,282.46,47.84,HOLD
10-07-2022,284.32,49.42,HOLD
10-06-2022,290.39,54.91,HOLD
10-05-2022,289.85,54.49,HOLD
10-04-2022,289.56,54.28,HOLD
10-03-2022,283.70,49.92,HOLD
09-30-2022,275.94,43.26,HOLD
09-29-2022,278.33,44.97,HOLD
09-28-2022,282.19,47.80,HOLD
09-27-2022,268.69,34.37,HOLD
09-26-2022,266.58,31.83,HOLD
09-23-2022,270.94,34.38,HOLD
09-22-2022,269.14,32.30,HOLD
09-21-2022,271.57,33.64,HOLD
09-20-2022,274.17,35.09,HOLD
09-19-2022,280.42,38.82,HOLD
09-16-2022,275.97,34.19,HOLD
09-15-2022,271.54,29.25,BUY
09-14-2022,276.34,31.64,HOLD
09-13-2022,277.93,32.46,HOLD
09-12-2022,297.54,46.07,HOLD
09-09-2022,299.77,48.20,HOLD
09-08-2022,299.90,48.32,HOLD
09-07-2022,297.47,45.96,HOLD
09-06-2022,289.54,37.29,HOLD
09-02-2022,291.90,39.02,HOLD
09-01-2022,293.37,40.10,HOLD
08-31-2022,288.42,34.45,HOLD
08-30-2022,293.10,37.56,HOLD
08-29-2022,296.32,39.86,HOLD
08-26-2022,298.10,41.15,HOLD
08-25-2022,309.78,51.30,HOLD
08-24-2022,308.11,49.65,HOLD
08-23-2022,306.90,48.48,HOLD
08-22-2022,312.21,53.56,HOLD
08-19-2022,321.32,64.31,HOLD
08-18-2022,325.21,69.87,HOLD
08-17-2022,325.76,70.68,SELL
