Date,Price,RSI,STATUS
01-09-2023,66.20,69.77,HOLD
01-06-2023,66.00,69.30,HOLD
01-05-2023,64.05,64.26,HOLD
01-04-2023,63.66,63.13,HOLD
01-03-2023,62.81,60.62,HOLD
12-30-2022,62.25,58.91,HOLD
12-29-2022,62.56,60.25,HOLD
12-28-2022,60.90,55.16,HOLD
12-27-2022,61.69,58.47,HOLD
12-23-2022,61.63,58.29,HOLD
12-22-2022,61.04,56.61,HOLD
12-21-2022,61.78,59.40,HOLD
12-20-2022,59.22,51.75,HOLD
12-19-2022,58.49,49.21,HOLD
12-16-2022,58.51,49.28,HOLD
12-15-2022,60.85,57.67,HOLD
12-14-2022,61.90,62.07,HOLD
12-13-2022,62.78,65.99,HOLD
12-12-2022,61.01,61.44,HOLD
12-09-2022,60.09,58.78,HOLD
12-08-2022,60.18,59.15,HOLD
12-07-2022,59.57,57.46,HOLD
12-06-2022,59.98,58.98,HOLD
12-05-2022,61.32,64.14,HOLD
12-02-2022,62.74,70.17,SELL
12-01-2022,61.89,68.52,HOLD
11-30-2022,60.54,65.74,HOLD
11-29-2022,58.25,60.18,HOLD
11-28-2022,58.36,60.62,HOLD
11-25-2022,59.08,63.43,HOLD
11-23-2022,58.96,63.16,HOLD
11-22-2022,57.96,60.98,HOLD
11-21-2022,57.85,60.75,HOLD
11-18-2022,58.93,64.31,HOLD
11-17-2022,59.04,64.67,HOLD
11-16-2022,59.37,65.69,HOLD
11-15-2022,62.02,74.47,SELL
11-14-2022,61.35,73.64,SELL
11-11-2022,62.55,77.83,SELL
11-10-2022,58.56,73.10,SELL
11-09-2022,53.82,64.84,HOLD
11-08-2022,54.55,67.82,HOLD
11-07-2022,53.44,65.59,HOLD
11-04-2022,51.21,60.47,HOLD
11-03-2022,48.31,51.82,HOLD
11-02-2022,49.34,55.85,HOLD
11-01-2022,50.21,59.48,HOLD
10-31-2022,49.64,57.81,HOLD
10-28-2022,51.13,64.23,HOLD
10-27-2022,51.26,64.81,HOLD
10-26-2022,50.84,63.82,HOLD
10-25-2022,50.64,63.37,HOLD
10-24-2022,45.61,48.22,HOLD
10-21-2022,44.62,43.98,HOLD
10-20-2022,43.43,38.35,HOLD
10-19-2022,43.28,37.62,HOLD
10-18-2022,45.04,43.22,HOLD
10-17-2022,45.16,43.63,HOLD
10-14-2022,44.04,38.56,HOLD
10-13-2022,44.83,40.98,HOLD
10-12-2022,43.49,34.52,HOLD
10-11-2022,43.57,34.73,HOLD
10-10-2022,44.30,36.63,HOLD
10-07-2022,44.02,35.37,HOLD
10-06-2022,47.04,44.12,HOLD
10-05-2022,47.93,47.32,HOLD
10-04-2022,48.15,48.13,HOLD
10-03-2022,45.69,37.05,HOLD
09-30-2022,46.00,38.00,HOLD
09-29-2022,46.26,38.77,HOLD
09-28-2022,47.42,42.34,HOLD
09-27-2022,45.83,34.69,HOLD
09-26-2022,44.56,27.55,BUY
09-23-2022,46.09,31.38,HOLD
09-22-2022,46.66,32.97,HOLD
09-21-2022,47.06,34.10,HOLD
09-20-2022,47.52,35.39,HOLD
09-19-2022,48.38,37.87,HOLD
09-16-2022,48.84,39.24,HOLD
09-15-2022,48.85,39.27,HOLD
09-14-2022,49.64,41.49,HOLD
09-13-2022,49.85,42.08,HOLD
09-12-2022,52.13,49.10,HOLD
09-09-2022,50.57,43.07,HOLD
09-08-2022,48.22,31.76,HOLD
09-07-2022,48.57,32.66,HOLD
09-06-2022,47.80,28.54,BUY
09-02-2022,48.80,30.81,HOLD
09-01-2022,49.67,32.93,HOLD
08-31-2022,50.27,34.45,HOLD
08-30-2022,50.76,35.70,HOLD
08-29-2022,51.14,36.66,HOLD
08-26-2022,50.80,35.21,HOLD
08-25-2022,53.87,43.52,HOLD
08-24-2022,52.60,37.89,HOLD
08-23-2022,52.44,37.16,HOLD
08-22-2022,52.79,38.07,HOLD
08-19-2022,54.44,42.65,HOLD
08-18-2022,56.23,48.54,HOLD
08-17-2022,56.58,49.78,HOLD
08-16-2022,58.17,55.83,HOLD
08-15-2022,58.58,57.51,HOLD
08-12-2022,59.13,59.74,HOLD
08-11-2022,57.99,56.49,HOLD
08-10-2022,57.61,55.37,HOLD
08-09-2022,55.46,48.44,HOLD
08-08-2022,57.66,56.83,HOLD
08-05-2022,58.31,59.67,HOLD
08-04-2022,58.96,62.57,HOLD
08-03-2022,58.61,61.63,HOLD
08-02-2022,56.22,54.44,HOLD
08-01-2022,56.78,56.76,HOLD
07-29-2022,56.71,56.54,HOLD
07-28-2022,55.39,52.41,HOLD
07-27-2022,54.52,49.46,HOLD
07-26-2022,55.07,51.33,HOLD
07-25-2022,53.38,45.47,HOLD
07-22-2022,54.72,49.89,HOLD
07-21-2022,57.17,59.76,HOLD
07-20-2022,56.54,57.76,HOLD
07-19-2022,55.98,55.96,HOLD
