Date,Price,RSI,STATUS
01-09-2023,52.78,70.95,SELL
01-06-2023,51.57,67.89,HOLD
01-05-2023,51.53,67.79,HOLD
01-04-2023,51.89,69.68,HOLD
01-03-2023,49.33,62.84,HOLD
12-30-2022,48.07,58.57,HOLD
12-29-2022,47.08,54.78,HOLD
12-28-2022,46.18,51.00,HOLD
12-27-2022,48.46,63.50,HOLD
12-23-2022,46.52,54.73,HOLD
12-22-2022,46.52,54.73,HOLD
12-21-2022,46.89,56.98,HOLD
12-20-2022,46.38,54.59,HOLD
12-19-2022,46.36,54.50,HOLD
12-16-2022,47.49,60.98,HOLD
12-15-2022,48.65,68.78,HOLD
12-14-2022,48.75,69.50,HOLD
12-13-2022,48.67,69.26,HOLD
12-12-2022,48.36,68.38,HOLD
12-09-2022,47.31,65.25,HOLD
12-08-2022,48.31,71.51,SELL
12-07-2022,47.13,68.16,HOLD
12-06-2022,46.80,67.16,HOLD
12-05-2022,47.70,72.98,SELL
12-02-2022,47.96,74.72,SELL
12-01-2022,46.89,72.19,SELL
11-30-2022,46.84,72.06,SELL
11-29-2022,44.66,66.07,HOLD
11-28-2022,43.65,62.63,HOLD
11-25-2022,43.17,60.87,HOLD
11-23-2022,43.06,60.48,HOLD
11-22-2022,42.69,59.19,HOLD
11-21-2022,42.37,58.09,HOLD
11-18-2022,43.62,64.36,HOLD
11-17-2022,44.28,67.95,HOLD
11-16-2022,43.91,66.99,HOLD
11-15-2022,43.93,67.10,HOLD
11-14-2022,43.00,64.81,HOLD
11-11-2022,43.32,66.28,HOLD
11-10-2022,41.05,60.35,HOLD
11-09-2022,39.95,56.94,HOLD
11-08-2022,40.66,60.03,HOLD
11-07-2022,40.70,60.20,HOLD
11-04-2022,40.24,58.95,HOLD
11-03-2022,37.85,51.63,HOLD
11-02-2022,38.18,52.84,HOLD
11-01-2022,38.64,54.49,HOLD
10-31-2022,38.01,52.61,HOLD
10-28-2022,37.09,49.79,HOLD
10-27-2022,35.05,42.78,HOLD
10-26-2022,35.47,43.95,HOLD
10-25-2022,34.77,41.47,HOLD
10-24-2022,35.05,42.16,HOLD
10-21-2022,39.07,54.27,HOLD
10-20-2022,37.59,49.29,HOLD
10-19-2022,35.60,41.32,HOLD
10-18-2022,35.85,42.09,HOLD
10-17-2022,35.69,41.44,HOLD
10-14-2022,35.22,39.59,HOLD
10-13-2022,35.75,40.95,HOLD
10-12-2022,36.50,42.87,HOLD
10-11-2022,36.36,42.40,HOLD
10-10-2022,39.29,50.47,HOLD
10-07-2022,42.50,62.58,HOLD
10-06-2022,43.07,65.16,HOLD
10-05-2022,42.62,64.08,HOLD
10-04-2022,42.00,62.59,HOLD
10-03-2022,38.60,52.56,HOLD
09-30-2022,37.52,48.49,HOLD
09-29-2022,38.53,52.39,HOLD
09-28-2022,39.71,57.41,HOLD
09-27-2022,39.72,57.45,HOLD
09-26-2022,39.66,57.27,HOLD
09-23-2022,35.47,41.19,HOLD
09-22-2022,35.29,40.29,HOLD
09-21-2022,36.62,45.00,HOLD
09-20-2022,39.28,57.47,HOLD
09-19-2022,38.82,55.49,HOLD
09-16-2022,38.64,54.72,HOLD
09-15-2022,39.69,60.35,HOLD
09-14-2022,38.15,53.89,HOLD
09-13-2022,37.84,52.44,HOLD
09-12-2022,38.75,57.35,HOLD
09-09-2022,38.17,54.85,HOLD
09-08-2022,37.65,52.54,HOLD
09-07-2022,36.40,46.39,HOLD
09-06-2022,35.45,41.01,HOLD
09-02-2022,36.21,44.31,HOLD
09-01-2022,36.70,46.56,HOLD
08-31-2022,37.63,51.14,HOLD
08-30-2022,36.65,45.94,HOLD
08-29-2022,37.89,52.50,HOLD
08-26-2022,37.93,52.73,HOLD
08-25-2022,39.07,59.49,HOLD
08-24-2022,37.87,53.68,HOLD
08-23-2022,36.88,47.97,HOLD
08-22-2022,36.60,46.23,HOLD
08-19-2022,37.63,52.20,HOLD
08-18-2022,37.72,52.75,HOLD
