Date,Price,RSI,STATUS
01-09-2023,77.08,58.33,HOLD
01-06-2023,76.48,56.92,HOLD
01-05-2023,76.27,56.45,HOLD
01-04-2023,77.69,60.67,HOLD
01-03-2023,74.58,53.61,HOLD
12-30-2022,71.22,43.42,HOLD
12-29-2022,70.56,41.05,HOLD
12-28-2022,67.55,28.40,BUY
12-27-2022,68.33,29.94,BUY
12-23-2022,69.03,31.37,HOLD
12-22-2022,68.57,29.32,BUY
12-21-2022,69.21,30.49,HOLD
12-20-2022,68.76,28.62,BUY
12-19-2022,68.95,28.93,BUY
12-16-2022,69.26,29.40,BUY
12-15-2022,69.77,30.16,HOLD
12-14-2022,72.63,34.83,HOLD
12-13-2022,73.70,36.81,HOLD
12-12-2022,73.80,36.99,HOLD
12-09-2022,73.57,36.32,HOLD
12-08-2022,74.22,37.37,HOLD
12-07-2022,74.42,37.68,HOLD
12-06-2022,72.23,31.92,HOLD
12-05-2022,73.62,33.76,HOLD
12-02-2022,74.66,35.17,HOLD
12-01-2022,78.53,41.09,HOLD
11-30-2022,78.41,40.80,HOLD
11-29-2022,77.64,39.03,HOLD
11-28-2022,79.93,42.55,HOLD
11-25-2022,80.08,42.78,HOLD
11-23-2022,80.75,43.78,HOLD
11-22-2022,79.91,42.21,HOLD
11-21-2022,80.63,43.17,HOLD
11-18-2022,84.92,49.40,HOLD
11-17-2022,85.64,50.53,HOLD
11-16-2022,87.04,52.72,HOLD
11-15-2022,89.86,57.36,HOLD
11-14-2022,89.51,56.93,HOLD
11-11-2022,91.03,59.38,HOLD
11-10-2022,86.80,54.29,HOLD
11-09-2022,78.68,41.11,HOLD
11-08-2022,81.13,44.72,HOLD
11-07-2022,77.66,37.49,HOLD
11-04-2022,75.18,31.56,HOLD
11-03-2022,76.55,33.18,HOLD
11-02-2022,79.45,36.89,HOLD
11-01-2022,83.11,42.46,HOLD
10-31-2022,83.58,43.23,HOLD
10-28-2022,86.25,47.86,HOLD
10-27-2022,87.35,49.90,HOLD
10-26-2022,88.55,52.16,HOLD
10-25-2022,89.24,53.45,HOLD
10-24-2022,83.32,42.03,HOLD
10-21-2022,83.94,43.05,HOLD
10-20-2022,84.78,44.42,HOLD
10-19-2022,84.47,43.81,HOLD
10-18-2022,85.29,45.03,HOLD
10-17-2022,84.66,43.92,HOLD
10-14-2022,80.47,35.92,HOLD
10-13-2022,84.04,40.49,HOLD
10-12-2022,83.81,40.03,HOLD
10-11-2022,83.09,38.67,HOLD
10-10-2022,84.52,40.36,HOLD
10-07-2022,90.17,48.10,HOLD
10-06-2022,94.42,55.53,HOLD
10-05-2022,93.83,54.63,HOLD
10-04-2022,92.79,53.07,HOLD
10-03-2022,87.18,43.29,HOLD
09-30-2022,86.07,41.03,HOLD
09-29-2022,88.70,44.97,HOLD
09-28-2022,91.12,48.98,HOLD
09-27-2022,85.75,37.48,HOLD
09-26-2022,84.26,33.62,HOLD
09-23-2022,86.97,37.53,HOLD
09-22-2022,87.66,38.59,HOLD
09-21-2022,91.18,44.56,HOLD
09-20-2022,91.63,45.40,HOLD
09-19-2022,95.03,52.25,HOLD
09-16-2022,94.00,50.14,HOLD
09-15-2022,96.40,55.46,HOLD
09-14-2022,97.66,58.49,HOLD
09-13-2022,95.01,53.53,HOLD
09-12-2022,97.65,60.18,HOLD
09-09-2022,96.23,57.55,HOLD
09-08-2022,96.17,57.44,HOLD
09-07-2022,94.97,55.28,HOLD
09-06-2022,91.61,48.49,HOLD
09-02-2022,91.13,47.42,HOLD
09-01-2022,92.66,50.50,HOLD
08-31-2022,93.44,52.10,HOLD
08-30-2022,91.80,48.94,HOLD
08-29-2022,92.66,50.56,HOLD
08-26-2022,92.70,50.63,HOLD
08-25-2022,96.72,58.46,HOLD
08-24-2022,93.76,53.55,HOLD
08-23-2022,93.20,52.57,HOLD
08-22-2022,93.58,53.28,HOLD
08-19-2022,96.56,59.11,HOLD
08-18-2022,99.86,66.60,HOLD
08-17-2022,99.42,66.07,HOLD
08-16-2022,102.08,72.56,SELL
08-15-2022,101.51,72.01,SELL
08-12-2022,101.10,71.64,SELL
08-11-2022,99.11,69.80,HOLD
08-10-2022,98.91,69.61,HOLD
08-09-2022,94.48,65.27,HOLD
08-08-2022,96.26,68.95,HOLD
