Date,Price,RSI,STATUS
01-09-2023,71.50,56.84,HOLD
01-06-2023,71.63,57.56,HOLD
01-05-2023,70.38,52.15,HOLD
01-04-2023,72.51,65.32,HOLD
01-03-2023,71.90,62.82,HOLD
12-30-2022,71.41,60.72,HOLD
12-29-2022,72.19,66.28,HOLD
12-28-2022,71.65,64.17,HOLD
12-27-2022,72.27,68.75,HOLD
12-23-2022,71.74,66.87,HOLD
12-22-2022,70.76,63.06,HOLD
12-21-2022,70.73,62.94,HOLD
12-20-2022,69.47,57.49,HOLD
12-19-2022,68.91,54.75,HOLD
12-16-2022,69.43,57.98,HOLD
12-15-2022,70.37,64.34,HOLD
12-14-2022,71.11,69.95,HOLD
12-13-2022,71.21,70.72,SELL
12-12-2022,71.03,70.17,SELL
12-09-2022,68.36,59.72,HOLD
12-08-2022,68.68,62.14,HOLD
12-07-2022,68.50,61.32,HOLD
12-06-2022,68.48,61.23,HOLD
12-05-2022,67.48,56.73,HOLD
12-02-2022,67.34,56.07,HOLD
12-01-2022,67.72,58.32,HOLD
11-30-2022,67.64,57.99,HOLD
11-29-2022,65.73,49.06,HOLD
11-28-2022,65.84,49.62,HOLD
11-25-2022,66.91,55.38,HOLD
11-23-2022,66.36,52.76,HOLD
11-22-2022,65.95,50.76,HOLD
11-21-2022,65.73,49.71,HOLD
11-18-2022,65.57,48.96,HOLD
11-17-2022,64.92,45.96,HOLD
11-16-2022,65.83,49.77,HOLD
11-15-2022,65.89,50.02,HOLD
11-14-2022,64.54,44.06,HOLD
11-11-2022,65.09,46.14,HOLD
11-10-2022,65.71,48.54,HOLD
11-09-2022,63.44,37.47,HOLD
11-08-2022,63.95,39.23,HOLD
11-07-2022,63.36,36.00,HOLD
11-04-2022,64.91,41.37,HOLD
11-03-2022,64.85,41.05,HOLD
11-02-2022,64.80,40.80,HOLD
11-01-2022,65.53,43.26,HOLD
10-31-2022,65.48,43.04,HOLD
10-28-2022,66.34,45.85,HOLD
10-27-2022,65.17,40.98,HOLD
10-26-2022,65.64,42.40,HOLD
10-25-2022,65.72,42.64,HOLD
10-24-2022,64.59,38.16,HOLD
10-21-2022,64.50,37.80,HOLD
10-20-2022,63.50,33.84,HOLD
10-19-2022,64.69,36.40,HOLD
10-18-2022,65.39,37.97,HOLD
10-17-2022,64.28,33.77,HOLD
10-14-2022,63.51,30.74,HOLD
10-13-2022,64.05,31.68,HOLD
10-12-2022,61.50,21.06,BUY
10-11-2022,63.64,23.97,BUY
10-10-2022,63.99,24.48,BUY
10-07-2022,64.12,24.66,BUY
10-06-2022,65.73,26.96,BUY
10-05-2022,68.73,32.16,HOLD
10-04-2022,70.69,36.42,HOLD
10-03-2022,69.73,32.34,HOLD
09-30-2022,68.00,24.22,BUY
09-29-2022,69.38,26.58,BUY
09-28-2022,72.52,33.49,HOLD
09-27-2022,71.72,29.14,BUY
09-26-2022,73.15,32.69,HOLD
09-23-2022,74.99,38.27,HOLD
09-22-2022,75.94,41.68,HOLD
09-21-2022,76.13,42.38,HOLD
09-20-2022,77.22,46.56,HOLD
09-19-2022,78.27,51.05,HOLD
09-16-2022,77.25,46.38,HOLD
09-15-2022,77.29,46.54,HOLD
09-14-2022,79.43,56.30,HOLD
09-13-2022,78.23,50.94,HOLD
09-12-2022,80.15,62.28,HOLD
09-09-2022,79.52,59.53,HOLD
09-08-2022,79.41,59.05,HOLD
09-07-2022,79.75,61.15,HOLD
09-06-2022,77.78,51.99,HOLD
09-02-2022,77.87,52.51,HOLD
09-01-2022,78.77,57.95,HOLD
08-31-2022,77.07,48.62,HOLD
08-30-2022,77.58,51.82,HOLD
08-29-2022,78.68,59.70,HOLD
08-26-2022,78.20,57.05,HOLD
08-25-2022,79.12,64.59,HOLD
08-24-2022,78.87,63.37,HOLD
08-23-2022,78.79,62.99,HOLD
08-22-2022,79.11,65.51,HOLD
08-19-2022,80.16,74.61,SELL
08-18-2022,79.72,73.16,SELL
08-17-2022,79.25,71.55,SELL
08-16-2022,79.07,70.93,SELL
08-15-2022,78.37,68.44,HOLD
08-12-2022,78.12,67.52,HOLD
08-11-2022,77.90,66.73,HOLD
08-10-2022,78.29,69.52,HOLD
08-09-2022,78.25,69.40,HOLD
08-08-2022,77.19,66.05,HOLD
08-05-2022,77.27,66.56,HOLD
08-04-2022,77.97,71.02,SELL
08-03-2022,77.26,69.07,HOLD
08-02-2022,75.93,64.97,HOLD
08-01-2022,76.68,69.82,HOLD
07-29-2022,76.89,71.20,SELL
07-28-2022,75.84,68.29,HOLD
07-27-2022,73.26,58.75,HOLD
07-26-2022,73.51,60.38,HOLD
07-25-2022,72.69,56.72,HOLD
07-22-2022,71.94,53.03,HOLD
07-21-2022,70.85,46.92,HOLD
07-20-2022,70.94,47.40,HOLD
07-19-2022,71.75,51.75,HOLD
07-18-2022,71.69,51.44,HOLD
07-15-2022,72.33,54.90,HOLD
07-14-2022,71.86,52.74,HOLD
07-13-2022,71.20,49.58,HOLD
07-12-2022,71.98,53.50,HOLD
07-11-2022,71.77,52.56,HOLD
07-08-2022,71.19,49.97,HOLD
07-07-2022,71.29,50.41,HOLD
07-06-2022,71.47,51.17,HOLD
07-05-2022,70.82,48.59,HOLD
07-01-2022,73.14,58.90,HOLD
06-30-2022,71.31,51.33,HOLD
06-29-2022,70.67,48.24,HOLD
06-28-2022,70.62,48.00,HOLD
06-27-2022,70.37,46.86,HOLD
06-24-2022,69.83,44.41,HOLD
06-23-2022,69.28,41.87,HOLD
06-22-2022,67.69,33.76,HOLD
06-21-2022,67.15,30.71,HOLD
06-17-2022,65.39,19.50,BUY
06-16-2022,66.28,21.10,BUY
06-15-2022,66.57,21.64,BUY
06-14-2022,66.78,22.02,BUY
06-13-2022,68.75,25.97,BUY
06-10-2022,72.14,36.40,HOLD
06-09-2022,72.89,39.67,HOLD
06-08-2022,74.63,49.21,HOLD
06-07-2022,75.69,56.95,HOLD
06-06-2022,75.35,54.83,HOLD
06-03-2022,75.26,54.28,HOLD
06-02-2022,75.95,59.46,HOLD
06-01-2022,75.55,57.26,HOLD
05-31-2022,75.66,58.07,HOLD
05-27-2022,76.07,61.03,HOLD
05-26-2022,75.29,57.17,HOLD
05-25-2022,75.69,60.00,HOLD
05-24-2022,75.69,60.00,HOLD
05-23-2022,74.15,52.14,HOLD
05-20-2022,73.41,47.54,HOLD
05-19-2022,73.33,47.03,HOLD
05-18-2022,73.82,49.79,HOLD
05-17-2022,74.15,51.68,HOLD
05-16-2022,74.25,52.24,HOLD
05-13-2022,73.65,49.18,HOLD
05-12-2022,74.08,51.37,HOLD
05-11-2022,73.98,50.90,HOLD
05-10-2022,73.20,47.18,HOLD
05-09-2022,74.23,52.01,HOLD
05-06-2022,74.67,54.22,HOLD
05-05-2022,74.06,51.57,HOLD
05-04-2022,74.57,53.99,HOLD
05-03-2022,73.12,47.49,HOLD
05-02-2022,73.21,47.88,HOLD
04-29-2022,73.39,48.62,HOLD
04-28-2022,75.58,58.93,HOLD
04-27-2022,73.48,49.37,HOLD
04-26-2022,73.74,50.73,HOLD
04-25-2022,74.97,57.70,HOLD
04-22-2022,75.91,63.93,HOLD
04-21-2022,76.46,67.92,HOLD
04-20-2022,76.50,68.21,HOLD
04-19-2022,76.27,67.47,HOLD
04-18-2022,75.83,66.08,HOLD
04-14-2022,75.99,67.05,HOLD
04-13-2022,75.36,65.18,HOLD
04-12-2022,75.54,66.18,HOLD
04-11-2022,74.48,63.10,HOLD
04-08-2022,76.49,75.14,SELL
04-07-2022,75.76,73.43,SELL
04-06-2022,76.51,78.59,SELL
04-05-2022,74.35,73.64,SELL
04-04-2022,73.12,69.97,HOLD
04-01-2022,74.12,78.19,SELL
03-31-2022,72.51,73.54,SELL
