Date,Price,RSI,STATUS
01-09-2023,31.53,50.97,HOLD
01-06-2023,31.37,50.01,HOLD
01-05-2023,30.29,43.03,HOLD
01-04-2023,29.82,39.62,HOLD
01-03-2023,30.21,41.53,HOLD
12-30-2022,31.73,50.34,HOLD
12-29-2022,31.38,47.98,HOLD
12-28-2022,31.27,47.25,HOLD
12-27-2022,31.91,51.13,HOLD
12-23-2022,31.50,48.62,HOLD
12-22-2022,30.41,41.15,HOLD
12-21-2022,31.08,44.88,HOLD
12-20-2022,30.26,38.56,HOLD
12-19-2022,29.72,33.93,HOLD
12-16-2022,29.92,34.84,HOLD
12-15-2022,30.55,37.77,HOLD
12-14-2022,31.11,40.60,HOLD
12-13-2022,31.11,40.60,HOLD
12-12-2022,30.34,34.82,HOLD
12-09-2022,29.60,28.61,BUY
12-08-2022,29.90,29.68,BUY
12-07-2022,29.78,28.69,BUY
12-06-2022,29.97,29.30,BUY
12-05-2022,31.05,32.95,HOLD
12-02-2022,31.94,36.43,HOLD
12-01-2022,32.11,37.12,HOLD
11-30-2022,32.87,40.31,HOLD
11-29-2022,33.44,42.88,HOLD
11-28-2022,34.20,46.55,HOLD
11-25-2022,35.41,53.29,HOLD
11-23-2022,35.74,55.32,HOLD
11-22-2022,36.10,57.54,HOLD
11-21-2022,35.18,53.07,HOLD
11-18-2022,35.61,55.61,HOLD
11-17-2022,36.28,59.75,HOLD
11-16-2022,36.27,59.71,HOLD
11-15-2022,37.02,64.33,HOLD
11-14-2022,36.20,61.29,HOLD
11-11-2022,36.77,64.86,HOLD
11-10-2022,35.79,61.25,HOLD
11-09-2022,34.47,55.55,HOLD
11-08-2022,35.96,65.69,HOLD
11-07-2022,36.18,67.37,HOLD
11-04-2022,36.14,67.23,HOLD
11-03-2022,35.28,64.11,HOLD
11-02-2022,34.09,59.11,HOLD
11-01-2022,35.04,65.92,HOLD
10-31-2022,34.39,63.23,HOLD
10-28-2022,33.71,60.18,HOLD
10-27-2022,33.48,59.11,HOLD
10-26-2022,34.11,63.43,HOLD
10-25-2022,33.44,60.59,HOLD
10-24-2022,33.12,59.18,HOLD
10-21-2022,33.38,60.82,HOLD
10-20-2022,31.89,54.04,HOLD
10-19-2022,31.62,52.67,HOLD
10-18-2022,31.10,49.99,HOLD
10-17-2022,31.40,51.55,HOLD
10-14-2022,30.98,49.50,HOLD
10-13-2022,32.27,56.30,HOLD
10-12-2022,31.33,51.82,HOLD
10-11-2022,31.27,51.53,HOLD
10-10-2022,31.73,53.87,HOLD
10-07-2022,32.80,59.75,HOLD
10-06-2022,32.82,59.86,HOLD
10-05-2022,32.50,58.70,HOLD
10-04-2022,32.02,56.96,HOLD
10-03-2022,30.64,51.51,HOLD
09-30-2022,28.15,38.46,HOLD
09-29-2022,28.32,39.12,HOLD
09-28-2022,28.46,39.65,HOLD
09-27-2022,27.02,30.75,HOLD
09-26-2022,26.65,28.23,BUY
09-23-2022,27.20,29.72,BUY
09-22-2022,30.18,40.53,HOLD
09-21-2022,30.35,41.33,HOLD
09-20-2022,31.18,45.37,HOLD
09-19-2022,31.21,45.52,HOLD
09-16-2022,30.74,42.78,HOLD
09-15-2022,31.14,44.55,HOLD
09-14-2022,32.19,49.55,HOLD
09-13-2022,31.58,46.29,HOLD
09-12-2022,32.43,50.51,HOLD
09-09-2022,31.65,46.35,HOLD
09-08-2022,30.75,41.04,HOLD
09-07-2022,30.47,39.30,HOLD
09-06-2022,31.06,41.71,HOLD
09-02-2022,31.81,44.95,HOLD
09-01-2022,31.09,40.85,HOLD
08-31-2022,32.32,46.32,HOLD
08-30-2022,32.95,49.47,HOLD
08-29-2022,34.83,60.95,HOLD
08-26-2022,34.31,58.47,HOLD
08-25-2022,34.91,62.74,HOLD
08-24-2022,34.61,61.43,HOLD
08-23-2022,34.32,60.18,HOLD
08-22-2022,32.85,53.00,HOLD
08-19-2022,32.62,51.73,HOLD
08-18-2022,33.03,54.14,HOLD
08-17-2022,32.34,50.54,HOLD
08-16-2022,31.82,47.66,HOLD
08-15-2022,31.99,48.52,HOLD
08-12-2022,32.75,52.43,HOLD
08-11-2022,31.85,47.80,HOLD
08-10-2022,30.85,41.98,HOLD
08-09-2022,30.43,39.34,HOLD
08-08-2022,30.39,39.09,HOLD
08-05-2022,30.28,38.46,HOLD
08-04-2022,30.73,40.04,HOLD
08-03-2022,32.17,45.64,HOLD
08-02-2022,33.34,51.01,HOLD
08-01-2022,33.39,51.25,HOLD
07-29-2022,33.94,53.83,HOLD
07-28-2022,32.69,48.34,HOLD
07-27-2022,32.35,46.74,HOLD
07-26-2022,31.42,42.19,HOLD
07-25-2022,31.86,43.84,HOLD
07-22-2022,30.82,38.58,HOLD
07-21-2022,31.37,40.44,HOLD
07-20-2022,31.89,42.22,HOLD
07-19-2022,31.87,42.13,HOLD
07-18-2022,30.62,36.29,HOLD
