Date,Price,RSI,STATUS
01-09-2023,29.57,56.22,HOLD
01-06-2023,29.54,56.07,HOLD
01-05-2023,29.45,55.64,HOLD
01-04-2023,29.52,56.03,HOLD
01-03-2023,27.74,47.33,HOLD
12-30-2022,27.61,46.62,HOLD
12-29-2022,27.44,45.72,HOLD
12-28-2022,25.86,36.52,HOLD
12-27-2022,27.16,41.95,HOLD
12-23-2022,26.07,34.35,HOLD
12-22-2022,26.21,34.90,HOLD
12-21-2022,25.46,29.32,BUY
12-20-2022,25.17,27.08,BUY
12-19-2022,26.05,29.74,BUY
12-16-2022,26.37,30.76,HOLD
12-15-2022,27.53,34.77,HOLD
12-14-2022,28.04,36.73,HOLD
12-13-2022,28.42,38.22,HOLD
12-12-2022,28.15,36.52,HOLD
12-09-2022,28.20,36.69,HOLD
12-08-2022,28.67,38.28,HOLD
12-07-2022,28.97,39.29,HOLD
12-06-2022,29.39,40.68,HOLD
12-05-2022,29.51,41.06,HOLD
12-02-2022,33.22,56.42,HOLD
12-01-2022,33.48,57.82,HOLD
11-30-2022,32.82,55.19,HOLD
11-29-2022,32.46,53.73,HOLD
11-28-2022,32.41,53.53,HOLD
11-25-2022,34.34,63.10,HOLD
11-23-2022,33.76,61.16,HOLD
11-22-2022,33.67,60.87,HOLD
11-21-2022,32.35,56.33,HOLD
11-18-2022,33.08,59.89,HOLD
11-17-2022,32.60,58.28,HOLD
11-16-2022,32.17,56.84,HOLD
11-15-2022,33.45,62.85,HOLD
11-14-2022,33.11,61.85,HOLD
11-11-2022,33.34,62.91,HOLD
11-10-2022,29.93,51.50,HOLD
11-09-2022,26.90,34.99,HOLD
11-08-2022,28.55,42.26,HOLD
11-07-2022,28.21,39.87,HOLD
11-04-2022,28.25,40.05,HOLD
11-03-2022,27.12,31.93,HOLD
11-02-2022,27.50,33.34,HOLD
11-01-2022,28.63,37.97,HOLD
10-31-2022,28.25,35.16,HOLD
10-28-2022,28.27,35.24,HOLD
10-27-2022,27.42,29.02,BUY
10-26-2022,28.21,31.64,HOLD
10-25-2022,28.63,33.12,HOLD
10-24-2022,27.86,27.34,BUY
10-21-2022,27.69,26.03,BUY
10-20-2022,27.58,25.22,BUY
