Date,Price,RSI,STATUS
01-09-2023,47.81,64.57,HOLD
01-06-2023,47.82,64.65,HOLD
01-05-2023,46.76,59.98,HOLD
01-04-2023,47.03,61.92,HOLD
01-03-2023,45.37,53.33,HOLD
12-30-2022,45.05,51.36,HOLD
12-29-2022,45.56,54.77,HOLD
12-28-2022,44.81,50.27,HOLD
12-27-2022,45.82,57.42,HOLD
12-23-2022,45.49,55.50,HOLD
12-22-2022,45.26,54.16,HOLD
12-21-2022,44.84,51.70,HOLD
12-20-2022,44.66,50.64,HOLD
12-19-2022,44.55,50.02,HOLD
12-16-2022,44.65,50.55,HOLD
12-15-2022,46.28,60.35,HOLD
12-14-2022,46.47,61.65,HOLD
12-13-2022,46.29,60.91,HOLD
12-12-2022,45.87,59.21,HOLD
12-09-2022,45.43,57.41,HOLD
12-08-2022,45.14,56.23,HOLD
12-07-2022,43.82,50.41,HOLD
12-06-2022,45.03,56.84,HOLD
12-05-2022,45.46,59.34,HOLD
12-02-2022,46.24,64.08,HOLD
12-01-2022,46.37,64.88,HOLD
11-30-2022,46.53,65.82,HOLD
11-29-2022,45.40,62.23,HOLD
11-28-2022,44.18,57.78,HOLD
11-25-2022,45.49,65.47,HOLD
11-23-2022,44.92,63.51,HOLD
11-22-2022,44.68,62.68,HOLD
11-21-2022,44.08,60.60,HOLD
11-18-2022,44.07,60.56,HOLD
11-17-2022,43.35,58.15,HOLD
11-16-2022,43.74,60.00,HOLD
11-15-2022,44.93,65.94,HOLD
11-14-2022,44.77,65.51,HOLD
11-11-2022,45.31,68.19,HOLD
11-10-2022,44.86,67.15,HOLD
11-09-2022,41.75,58.45,HOLD
11-08-2022,42.22,60.70,HOLD
11-07-2022,40.61,55.20,HOLD
11-04-2022,39.49,50.75,HOLD
11-03-2022,37.00,38.03,HOLD
11-02-2022,37.37,39.44,HOLD
11-01-2022,38.41,43.65,HOLD
10-31-2022,39.13,46.86,HOLD
10-28-2022,39.69,49.50,HOLD
10-27-2022,38.71,44.42,HOLD
10-26-2022,38.69,44.32,HOLD
10-25-2022,39.12,46.07,HOLD
10-24-2022,37.14,35.08,HOLD
10-21-2022,37.13,35.02,HOLD
10-20-2022,37.44,36.01,HOLD
10-19-2022,37.12,34.22,HOLD
10-18-2022,38.11,37.21,HOLD
10-17-2022,37.52,34.02,HOLD
10-14-2022,36.04,25.20,BUY
10-13-2022,37.30,28.18,BUY
10-12-2022,36.54,23.08,BUY
10-11-2022,36.99,24.02,BUY
10-10-2022,36.62,21.59,BUY
10-07-2022,37.72,23.68,BUY
10-06-2022,38.33,24.92,BUY
10-05-2022,39.86,28.39,BUY
10-04-2022,40.85,30.99,HOLD
10-03-2022,40.61,29.54,BUY
09-30-2022,40.17,26.93,BUY
09-29-2022,39.65,23.83,BUY
09-28-2022,41.25,27.11,BUY
09-27-2022,40.41,21.87,BUY
09-26-2022,41.51,23.96,BUY
09-23-2022,43.43,28.38,BUY
09-22-2022,44.55,31.52,HOLD
09-21-2022,45.52,34.61,HOLD
09-20-2022,46.41,37.75,HOLD
09-19-2022,47.49,42.06,HOLD
09-16-2022,48.00,44.28,HOLD
09-15-2022,47.34,40.51,HOLD
09-14-2022,48.42,45.15,HOLD
09-13-2022,49.02,47.98,HOLD
09-12-2022,50.49,55.97,HOLD
09-09-2022,49.60,51.42,HOLD
09-08-2022,48.51,44.96,HOLD
09-07-2022,48.96,47.37,HOLD
09-06-2022,48.06,41.53,HOLD
09-02-2022,47.35,36.36,HOLD
09-01-2022,48.20,40.33,HOLD
08-31-2022,47.86,37.81,HOLD
08-30-2022,47.55,35.50,HOLD
08-29-2022,48.40,39.20,HOLD
08-26-2022,48.30,38.50,HOLD
08-25-2022,49.03,41.76,HOLD
08-24-2022,48.24,36.35,HOLD
08-23-2022,48.16,35.79,HOLD
08-22-2022,49.18,39.96,HOLD
08-19-2022,48.91,38.19,HOLD
08-18-2022,49.02,38.62,HOLD
08-17-2022,50.51,45.01,HOLD
08-16-2022,50.61,45.48,HOLD
08-15-2022,50.90,46.79,HOLD
08-12-2022,52.46,54.68,HOLD
08-11-2022,51.55,50.13,HOLD
08-10-2022,51.50,49.87,HOLD
08-09-2022,50.56,44.91,HOLD
08-08-2022,49.67,39.67,HOLD
08-05-2022,48.95,35.03,HOLD
08-04-2022,50.87,43.28,HOLD
08-03-2022,51.56,46.97,HOLD
08-02-2022,52.16,50.45,HOLD
08-01-2022,53.29,57.94,HOLD
07-29-2022,53.78,61.63,HOLD
07-28-2022,53.32,59.38,HOLD
07-27-2022,52.33,53.97,HOLD
07-26-2022,52.65,56.22,HOLD
07-25-2022,52.43,55.02,HOLD
07-22-2022,51.78,51.39,HOLD
07-21-2022,51.29,48.47,HOLD
07-20-2022,51.51,49.71,HOLD
07-19-2022,51.49,49.61,HOLD
07-18-2022,50.35,43.07,HOLD
07-15-2022,50.74,44.92,HOLD
07-14-2022,49.89,39.67,HOLD
07-13-2022,50.25,41.21,HOLD
07-12-2022,51.36,46.38,HOLD
07-11-2022,50.80,43.03,HOLD
07-08-2022,50.77,42.86,HOLD
07-07-2022,50.76,42.80,HOLD
07-06-2022,51.05,43.94,HOLD
07-05-2022,51.79,46.91,HOLD
07-01-2022,52.74,51.02,HOLD
06-30-2022,51.43,44.84,HOLD
06-29-2022,51.56,45.36,HOLD
06-28-2022,51.11,43.21,HOLD
06-27-2022,51.57,44.89,HOLD
06-24-2022,51.23,43.38,HOLD
06-23-2022,49.94,37.35,HOLD
06-22-2022,49.75,36.42,HOLD
06-21-2022,48.55,30.38,HOLD
06-17-2022,48.98,31.37,HOLD
06-16-2022,48.87,30.83,HOLD
06-15-2022,50.24,33.90,HOLD
06-14-2022,48.43,24.72,BUY
06-13-2022,49.15,26.06,BUY
06-10-2022,52.63,34.40,HOLD
06-09-2022,53.32,36.56,HOLD
06-08-2022,54.71,41.42,HOLD
06-07-2022,56.71,50.35,HOLD
06-06-2022,55.47,43.31,HOLD
06-03-2022,56.17,46.79,HOLD
06-02-2022,56.57,48.87,HOLD
06-01-2022,56.53,48.66,HOLD
05-31-2022,56.74,49.66,HOLD
05-27-2022,57.40,52.85,HOLD
05-26-2022,56.38,48.07,HOLD
05-25-2022,57.48,53.50,HOLD
05-24-2022,56.21,47.09,HOLD
05-23-2022,55.95,45.67,HOLD
05-20-2022,56.52,48.31,HOLD
05-19-2022,56.09,46.13,HOLD
05-18-2022,56.31,47.07,HOLD
05-17-2022,56.67,48.59,HOLD
05-16-2022,55.57,43.43,HOLD
05-13-2022,55.01,40.61,HOLD
05-12-2022,53.59,32.71,HOLD
05-11-2022,52.96,28.81,BUY
05-10-2022,52.60,26.55,BUY
05-09-2022,55.63,35.30,HOLD
05-06-2022,56.97,40.83,HOLD
05-05-2022,57.00,40.96,HOLD
05-04-2022,57.75,44.33,HOLD
05-03-2022,57.87,44.87,HOLD
05-02-2022,55.68,30.30,HOLD
04-29-2022,55.55,29.26,BUY
04-28-2022,57.65,37.61,HOLD
04-27-2022,57.25,34.29,HOLD
04-26-2022,57.90,37.28,HOLD
04-25-2022,58.22,38.83,HOLD
04-22-2022,58.49,40.13,HOLD
04-21-2022,60.02,48.75,HOLD
04-20-2022,60.75,53.87,HOLD
04-19-2022,60.56,52.67,HOLD
04-18-2022,60.35,51.37,HOLD
04-14-2022,60.67,53.45,HOLD
04-13-2022,61.21,57.07,HOLD
04-12-2022,60.99,55.94,HOLD
04-11-2022,60.82,55.09,HOLD
04-08-2022,61.04,56.40,HOLD
04-07-2022,61.35,58.20,HOLD
04-06-2022,62.10,62.69,HOLD
04-05-2022,61.60,60.82,HOLD
04-04-2022,62.86,68.92,HOLD
04-01-2022,62.84,68.86,HOLD
03-31-2022,61.76,65.45,HOLD
03-30-2022,62.83,72.78,SELL
03-29-2022,63.64,79.00,SELL
03-28-2022,62.47,76.28,SELL
03-25-2022,62.80,78.96,SELL
03-24-2022,61.35,75.44,SELL
03-23-2022,60.14,71.79,SELL
03-22-2022,60.23,72.54,SELL
03-21-2022,59.42,69.93,HOLD
03-18-2022,59.46,70.24,SELL
03-17-2022,59.25,69.59,HOLD
03-16-2022,58.54,67.35,HOLD
03-15-2022,58.22,66.32,HOLD
03-14-2022,57.81,65.00,HOLD
03-11-2022,58.50,69.24,HOLD
03-10-2022,58.86,71.50,SELL
03-09-2022,57.81,68.74,HOLD
03-08-2022,57.86,69.03,HOLD
03-07-2022,55.92,63.35,HOLD
03-04-2022,55.96,63.57,HOLD
03-03-2022,56.45,66.23,HOLD
03-02-2022,56.12,65.32,HOLD
03-01-2022,53.44,56.51,HOLD
02-28-2022,54.00,59.44,HOLD
02-25-2022,54.20,60.48,HOLD
02-24-2022,52.00,51.89,HOLD
02-23-2022,51.31,48.64,HOLD
02-22-2022,52.90,56.86,HOLD
02-18-2022,52.94,57.09,HOLD
02-17-2022,51.93,52.69,HOLD
02-16-2022,52.42,55.24,HOLD
02-15-2022,50.91,48.04,HOLD
02-14-2022,50.06,43.26,HOLD
02-11-2022,50.74,46.43,HOLD
02-10-2022,51.30,49.19,HOLD
02-09-2022,51.93,52.43,HOLD
02-08-2022,50.41,44.17,HOLD
02-07-2022,50.60,45.08,HOLD
02-04-2022,50.03,41.74,HOLD
02-03-2022,51.23,47.37,HOLD
02-02-2022,52.24,52.96,HOLD
02-01-2022,52.41,53.95,HOLD
01-31-2022,53.02,57.55,HOLD
01-28-2022,51.48,49.68,HOLD
01-27-2022,51.04,47.08,HOLD
01-26-2022,51.30,48.45,HOLD
01-25-2022,51.94,51.92,HOLD
01-24-2022,51.72,50.80,HOLD
01-21-2022,52.48,54.91,HOLD
01-20-2022,51.34,49.18,HOLD
01-19-2022,50.77,45.99,HOLD
01-18-2022,52.31,54.58,HOLD
01-14-2022,52.93,58.67,HOLD
01-13-2022,52.91,58.58,HOLD
01-12-2022,51.83,53.30,HOLD
01-11-2022,52.14,55.18,HOLD
01-10-2022,53.12,61.52,HOLD
01-07-2022,53.62,65.07,HOLD
01-06-2022,53.28,63.75,HOLD
01-05-2022,52.84,62.03,HOLD
01-04-2022,53.28,64.89,HOLD
01-03-2022,51.93,59.57,HOLD
