Date,Price,RSI,STATUS,Stock
01-09-2023,85.37,32.78,HOLD,ADM
01-09-2023,140.01,65.83,HOLD,ALL
01-09-2023,71.01,32.20,HOLD,BMY
01-09-2023,40.42,68.67,HOLD,CAG
01-09-2023,116.80,68.90,HOLD,CE
01-09-2023,37.55,66.50,HOLD,CMCSA
01-09-2023,91.49,33.75,HOLD,CVS
01-09-2023,36.77,66.32,HOLD,DAL
01-09-2023,92.77,65.41,HOLD,DHI
01-09-2023,44.15,65.65,HOLD,EXC
01-09-2023,42.83,69.79,HOLD,FCX
01-09-2023,189.74,67.68,HOLD,FDX
01-09-2023,35.42,68.42,HOLD,GLW
01-09-2023,98.23,66.61,HOLD,GRMN
01-09-2023,79.79,67.29,HOLD,HOLX
01-09-2023,20.77,66.11,HOLD,HR
01-09-2023,34.41,67.08,HOLD,KBH
01-09-2023,95.29,65.57,HOLD,LEN
01-09-2023,66.20,69.77,HOLD,LOGI
01-09-2023,14.53,67.11,HOLD,NWL
01-09-2023,46.61,68.25,HOLD,USB
01-09-2023,218.60,65.39,HOLD,V
01-09-2023,41.37,67.43,HOLD,VZ
01-09-2023,37.59,65.78,HOLD,WDC
