Date,Price,RSI,STATUS
12-16-2022,42.72,42.01,HOLD
12-15-2022,43.27,43.21,HOLD
12-14-2022,45.50,48.41,HOLD
12-13-2022,46.17,50.09,HOLD
12-12-2022,45.81,49.21,HOLD
12-09-2022,45.08,47.46,HOLD
12-08-2022,47.28,52.51,HOLD
12-07-2022,46.60,51.01,HOLD
12-06-2022,48.31,55.06,HOLD
12-05-2022,46.52,51.30,HOLD
12-02-2022,50.39,61.64,HOLD
12-01-2022,49.10,59.09,HOLD
11-30-2022,50.13,62.15,HOLD
11-29-2022,47.70,57.30,HOLD
11-28-2022,46.43,54.47,HOLD
11-25-2022,47.89,58.62,HOLD
11-23-2022,48.51,60.43,HOLD
11-22-2022,49.36,62.91,HOLD
11-21-2022,46.63,57.74,HOLD
11-18-2022,47.31,59.67,HOLD
11-17-2022,47.37,59.83,HOLD
11-16-2022,48.67,63.32,HOLD
11-15-2022,49.21,64.78,HOLD
11-14-2022,48.22,63.34,HOLD
11-11-2022,47.66,62.54,HOLD
11-10-2022,43.83,56.49,HOLD
11-09-2022,40.68,50.37,HOLD
11-08-2022,43.23,56.33,HOLD
11-07-2022,41.51,52.83,HOLD
11-04-2022,42.40,54.95,HOLD
11-03-2022,37.70,43.97,HOLD
11-02-2022,37.77,44.12,HOLD
11-01-2022,40.88,51.27,HOLD
10-31-2022,39.03,46.48,HOLD
10-28-2022,39.39,47.32,HOLD
10-27-2022,41.31,51.96,HOLD
10-26-2022,42.54,55.21,HOLD
10-25-2022,41.38,52.64,HOLD
10-24-2022,39.07,46.98,HOLD
10-21-2022,40.96,51.65,HOLD
10-20-2022,38.81,45.98,HOLD
10-19-2022,37.52,42.21,HOLD
10-18-2022,39.61,47.17,HOLD
10-17-2022,39.28,46.24,HOLD
10-14-2022,38.25,43.37,HOLD
10-13-2022,40.78,49.39,HOLD
10-12-2022,39.76,46.61,HOLD
10-11-2022,37.75,40.66,HOLD
10-10-2022,38.74,42.85,HOLD
10-07-2022,38.91,43.22,HOLD
10-06-2022,39.75,45.00,HOLD
10-05-2022,39.98,45.48,HOLD
10-04-2022,40.13,45.77,HOLD
10-03-2022,37.30,38.82,HOLD
09-30-2022,33.57,27.48,BUY
09-29-2022,35.34,29.92,BUY
09-28-2022,35.14,29.26,BUY
09-27-2022,34.61,27.58,BUY
09-26-2022,34.38,26.88,BUY
09-23-2022,35.42,28.02,BUY
09-22-2022,37.42,30.32,HOLD
09-21-2022,39.31,32.66,HOLD
09-20-2022,43.42,38.71,HOLD
09-19-2022,44.52,40.57,HOLD
09-16-2022,42.35,34.82,HOLD
09-15-2022,43.03,35.83,HOLD
09-14-2022,44.70,38.36,HOLD
09-13-2022,50.16,48.89,HOLD
09-12-2022,52.21,54.04,HOLD
09-09-2022,52.49,54.77,HOLD
09-08-2022,48.74,45.58,HOLD
09-07-2022,47.54,42.10,HOLD
09-06-2022,47.79,42.62,HOLD
09-02-2022,49.13,45.46,HOLD
09-01-2022,47.96,42.35,HOLD
08-31-2022,49.35,45.22,HOLD
08-30-2022,50.66,48.04,HOLD
08-29-2022,55.36,60.71,HOLD
08-26-2022,55.70,61.80,HOLD
08-25-2022,56.78,65.27,HOLD
08-24-2022,54.29,60.53,HOLD
08-23-2022,52.96,57.65,HOLD
08-22-2022,50.14,50.58,HOLD
08-19-2022,50.88,52.73,HOLD
08-18-2022,53.70,62.06,HOLD
08-17-2022,51.85,57.46,HOLD
08-16-2022,52.99,61.72,HOLD
08-15-2022,51.57,58.13,HOLD
08-12-2022,52.63,62.17,HOLD
08-11-2022,53.14,64.16,HOLD
08-10-2022,52.82,63.48,HOLD
08-09-2022,50.25,57.45,HOLD
08-08-2022,48.53,52.55,HOLD
08-05-2022,49.29,55.18,HOLD
08-04-2022,47.63,50.18,HOLD
08-03-2022,48.27,52.25,HOLD
08-02-2022,48.12,51.82,HOLD
08-01-2022,48.06,51.65,HOLD
07-29-2022,50.66,59.83,HOLD
07-28-2022,48.86,55.27,HOLD
07-27-2022,47.53,51.52,HOLD
07-26-2022,46.78,49.26,HOLD
07-25-2022,46.59,48.70,HOLD
07-22-2022,45.59,45.80,HOLD
07-21-2022,44.94,43.89,HOLD
07-20-2022,44.86,43.64,HOLD
07-19-2022,44.70,43.21,HOLD
07-18-2022,43.22,39.25,HOLD
07-15-2022,42.86,38.28,HOLD
07-14-2022,40.62,31.97,HOLD
07-13-2022,42.99,35.54,HOLD
07-12-2022,42.06,32.79,HOLD
07-11-2022,42.54,33.46,HOLD
07-08-2022,44.63,36.53,HOLD
07-07-2022,45.44,37.79,HOLD
07-06-2022,42.44,29.50,BUY
07-05-2022,41.90,27.91,BUY
07-01-2022,44.58,31.17,HOLD
06-30-2022,45.37,32.21,HOLD
06-29-2022,47.40,34.97,HOLD
06-28-2022,49.03,37.34,HOLD
06-27-2022,49.33,37.79,HOLD
06-24-2022,49.14,37.34,HOLD
06-23-2022,46.41,30.90,HOLD
06-22-2022,48.68,33.56,HOLD
06-21-2022,49.85,35.01,HOLD
06-17-2022,49.06,33.20,HOLD
06-16-2022,49.45,33.63,HOLD
06-15-2022,50.88,35.17,HOLD
06-14-2022,48.70,30.66,HOLD
06-13-2022,49.61,31.52,HOLD
06-10-2022,52.77,34.60,HOLD
06-09-2022,55.31,37.33,HOLD
06-08-2022,62.00,46.26,HOLD
06-07-2022,65.21,51.79,HOLD
06-06-2022,63.73,49.19,HOLD
06-03-2022,61.55,45.15,HOLD
06-02-2022,63.54,48.42,HOLD
06-01-2022,62.13,45.84,HOLD
05-31-2022,61.44,44.58,HOLD
05-27-2022,64.21,48.80,HOLD
05-26-2022,62.56,45.99,HOLD
05-25-2022,60.66,42.59,HOLD
05-24-2022,61.05,43.10,HOLD
05-23-2022,62.85,45.47,HOLD
05-20-2022,60.29,41.22,HOLD
05-19-2022,61.77,43.01,HOLD
05-18-2022,60.23,40.51,HOLD
05-17-2022,63.11,43.86,HOLD
05-16-2022,60.01,38.79,HOLD
05-13-2022,57.97,35.21,HOLD
05-12-2022,54.24,28.09,BUY
05-11-2022,56.31,29.78,BUY
05-10-2022,55.49,28.20,BUY
05-09-2022,53.87,25.10,BUY
05-06-2022,60.66,30.17,HOLD
05-05-2022,63.06,32.33,HOLD
05-04-2022,67.54,36.86,HOLD
05-03-2022,64.26,30.19,HOLD
05-02-2022,65.75,31.60,HOLD
04-29-2022,67.38,33.17,HOLD
04-28-2022,70.08,35.93,HOLD
04-27-2022,69.55,34.95,HOLD
04-26-2022,66.55,29.24,BUY
04-25-2022,66.95,29.56,BUY
04-22-2022,66.95,29.56,BUY
04-21-2022,71.75,33.35,HOLD
04-20-2022,86.39,52.35,HOLD
04-19-2022,86.04,51.75,HOLD
04-18-2022,88.89,57.30,HOLD
04-14-2022,87.22,54.66,HOLD
04-13-2022,86.87,54.11,HOLD
04-12-2022,82.74,47.01,HOLD
04-11-2022,82.01,45.64,HOLD
04-08-2022,83.62,48.21,HOLD
04-07-2022,85.56,51.44,HOLD
04-06-2022,87.18,54.27,HOLD
04-05-2022,87.16,54.24,HOLD
04-04-2022,90.33,59.79,HOLD
04-01-2022,90.05,59.45,HOLD
03-31-2022,89.47,58.77,HOLD
03-30-2022,91.61,62.31,HOLD
03-29-2022,89.51,60.12,HOLD
03-28-2022,91.88,64.02,HOLD
03-25-2022,91.38,63.56,HOLD
03-24-2022,94.47,68.60,HOLD
03-23-2022,93.63,67.96,HOLD
