Date,Price,RSI,STATUS
12-16-2022,12.81,37.96,HOLD
12-15-2022,12.93,39.06,HOLD
12-14-2022,13.35,43.11,HOLD
12-13-2022,13.46,44.22,HOLD
12-12-2022,14.20,52.75,HOLD
12-09-2022,13.53,43.61,HOLD
12-08-2022,13.60,44.44,HOLD
12-07-2022,13.55,43.73,HOLD
12-06-2022,14.33,53.72,HOLD
12-05-2022,14.11,50.78,HOLD
12-02-2022,13.97,48.85,HOLD
12-01-2022,13.98,48.98,HOLD
11-30-2022,14.43,54.95,HOLD
11-29-2022,14.14,51.41,HOLD
11-28-2022,13.83,47.29,HOLD
11-25-2022,14.50,56.97,HOLD
11-23-2022,14.42,55.98,HOLD
11-22-2022,13.98,50.05,HOLD
11-21-2022,13.85,48.13,HOLD
11-18-2022,14.05,50.92,HOLD
11-17-2022,13.95,49.56,HOLD
11-16-2022,14.09,51.41,HOLD
11-15-2022,14.61,59.00,HOLD
11-14-2022,14.68,60.11,HOLD
11-11-2022,14.88,63.27,HOLD
11-10-2022,14.93,64.05,HOLD
11-09-2022,13.98,54.05,HOLD
11-08-2022,14.25,58.33,HOLD
11-07-2022,14.32,59.46,HOLD
11-04-2022,14.11,57.14,HOLD
11-03-2022,13.73,52.58,HOLD
11-02-2022,13.58,50.65,HOLD
11-01-2022,14.11,58.44,HOLD
10-31-2022,14.18,59.56,HOLD
10-28-2022,14.00,57.62,HOLD
10-27-2022,13.97,57.30,HOLD
10-26-2022,14.00,57.70,HOLD
10-25-2022,14.29,61.58,HOLD
10-24-2022,14.10,59.94,HOLD
10-21-2022,13.71,56.40,HOLD
10-20-2022,13.46,53.98,HOLD
10-19-2022,13.99,60.61,HOLD
10-18-2022,13.70,57.99,HOLD
10-17-2022,13.20,52.97,HOLD
10-14-2022,13.11,52.02,HOLD
10-13-2022,13.05,51.40,HOLD
10-12-2022,12.70,47.80,HOLD
10-11-2022,12.26,42.84,HOLD
10-10-2022,12.05,40.34,HOLD
10-07-2022,12.18,41.38,HOLD
10-06-2022,12.73,46.06,HOLD
10-05-2022,12.87,47.33,HOLD
10-04-2022,12.95,48.03,HOLD
10-03-2022,11.92,36.86,HOLD
09-30-2022,12.04,37.73,HOLD
09-29-2022,12.25,39.25,HOLD
09-28-2022,12.75,43.09,HOLD
09-27-2022,12.27,37.66,HOLD
09-26-2022,11.86,32.55,HOLD
09-23-2022,12.21,34.81,HOLD
09-22-2022,12.71,38.34,HOLD
09-21-2022,13.23,42.50,HOLD
09-20-2022,13.97,49.62,HOLD
09-19-2022,14.21,52.26,HOLD
09-16-2022,13.75,47.27,HOLD
09-15-2022,14.27,53.09,HOLD
09-14-2022,14.03,50.48,HOLD
09-13-2022,13.68,46.44,HOLD
09-12-2022,14.47,56.01,HOLD
09-09-2022,14.19,52.81,HOLD
09-08-2022,13.96,50.04,HOLD
09-07-2022,13.89,49.19,HOLD
09-06-2022,13.22,40.22,HOLD
09-02-2022,12.99,36.66,HOLD
09-01-2022,12.93,35.73,HOLD
08-31-2022,12.99,36.22,HOLD
08-30-2022,13.33,39.06,HOLD
08-29-2022,13.51,40.62,HOLD
08-26-2022,13.74,42.65,HOLD
08-25-2022,14.42,49.41,HOLD
08-24-2022,13.99,44.21,HOLD
08-23-2022,13.82,42.03,HOLD
08-22-2022,13.71,40.63,HOLD
08-19-2022,14.17,44.83,HOLD
08-18-2022,14.84,52.11,HOLD
08-17-2022,14.96,53.56,HOLD
08-16-2022,15.50,60.58,HOLD
08-15-2022,15.33,59.01,HOLD
08-12-2022,15.25,58.28,HOLD
08-11-2022,14.99,55.92,HOLD
08-10-2022,15.07,56.84,HOLD
08-09-2022,14.62,52.79,HOLD
