Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,130.73,44.08,HOLD,0.45,4.53,2023
01-09-2023,130.15,43.04,HOLD,0.41,4.06,2023
01-06-2023,129.62,42.12,HOLD,3.68,3.64,2023
01-05-2023,125.02,33.47,HOLD,-1.06,-0.04,2023
01-04-2023,126.36,34.88,HOLD,1.03,1.03,2023
01-03-2023,125.07,32.33,HOLD,-3.74,0.00,2023
12-30-2022,129.93,37.46,HOLD,0.25,,2022
12-29-2022,129.61,36.85,HOLD,2.83,,2022
12-28-2022,126.04,29.71,BUY,-3.07,,2022
12-27-2022,130.03,33.66,HOLD,-1.39,,2022
12-23-2022,131.86,35.68,HOLD,-0.28,,2022
12-22-2022,132.23,36.08,HOLD,-2.38,,2022
12-21-2022,135.45,39.73,HOLD,2.38,,2022
12-20-2022,132.30,33.63,HOLD,-0.05,,2022
12-19-2022,132.37,33.70,HOLD,-1.59,,2022
12-16-2022,134.51,35.83,HOLD,-1.46,,2022
12-15-2022,136.50,37.90,HOLD,-4.69,,2022
12-14-2022,143.21,46.26,HOLD,-1.55,,2022
12-13-2022,145.47,49.69,HOLD,0.68,,2022
12-12-2022,144.49,48.15,HOLD,1.64,,2022
12-09-2022,142.16,44.37,HOLD,-0.34,,2022
12-08-2022,142.65,45.01,HOLD,1.21,,2022
12-07-2022,140.94,42.31,HOLD,-1.38,,2022
12-06-2022,142.91,44.65,HOLD,-2.54,,2022
12-05-2022,146.63,49.46,HOLD,-0.80,,2022
12-02-2022,147.81,51.08,HOLD,-0.34,,2022
12-01-2022,148.31,51.74,HOLD,0.19,,2022
11-30-2022,148.03,51.41,HOLD,4.86,,2022
11-29-2022,141.17,42.47,HOLD,-2.11,,2022
11-28-2022,144.22,45.96,HOLD,-2.63,,2022
11-25-2022,148.11,50.92,HOLD,-1.96,,2022
11-23-2022,151.07,55.13,HOLD,0.59,,2022
11-22-2022,150.18,54.07,HOLD,1.47,,2022
11-21-2022,148.01,51.48,HOLD,-2.17,,2022
11-18-2022,151.29,55.90,HOLD,0.38,,2022
11-17-2022,150.72,55.28,HOLD,1.30,,2022
11-16-2022,148.79,53.21,HOLD,-0.83,,2022
11-15-2022,150.04,54.73,HOLD,1.19,,2022
11-14-2022,148.28,52.97,HOLD,-0.95,,2022
11-11-2022,149.70,54.56,HOLD,1.93,,2022
11-10-2022,146.87,51.89,HOLD,8.90,,2022
11-09-2022,134.87,37.40,HOLD,-3.32,,2022
11-08-2022,139.50,41.93,HOLD,0.42,,2022
11-07-2022,138.92,41.10,HOLD,0.39,,2022
11-04-2022,138.38,40.36,HOLD,-0.36,,2022
11-03-2022,138.88,40.80,HOLD,-4.24,,2022
11-02-2022,145.03,46.58,HOLD,-3.73,,2022
11-01-2022,150.65,52.94,HOLD,-1.75,,2022
10-31-2022,153.34,56.36,HOLD,-1.54,,2022
10-28-2022,155.74,59.54,HOLD,7.56,,2022
10-27-2022,144.80,46.81,HOLD,-3.05,,2022
10-26-2022,149.35,53.29,HOLD,-1.96,,2022
10-25-2022,152.34,58.20,HOLD,1.93,,2022
10-24-2022,149.45,54.43,HOLD,1.48,,2022
10-21-2022,147.27,51.36,HOLD,2.71,,2022
10-20-2022,143.39,45.25,HOLD,-0.33,,2022
10-19-2022,143.86,45.90,HOLD,0.08,,2022
10-18-2022,143.75,45.73,HOLD,0.94,,2022
10-17-2022,142.41,43.75,HOLD,2.91,,2022
10-14-2022,138.38,37.34,HOLD,-3.22,,2022
10-13-2022,142.99,42.48,HOLD,3.36,,2022
10-12-2022,138.34,33.97,HOLD,-0.46,,2022
10-11-2022,138.98,34.63,HOLD,-1.03,,2022
10-10-2022,140.42,36.08,HOLD,0.24,,2022
10-07-2022,140.09,35.50,HOLD,-3.67,,2022
10-06-2022,145.43,41.06,HOLD,-0.66,,2022
10-05-2022,146.40,42.17,HOLD,0.21,,2022
10-04-2022,146.10,41.72,HOLD,2.56,,2022
10-03-2022,142.45,36.05,HOLD,3.08,,2022
09-30-2022,138.20,28.53,BUY,-3.00,,2022
09-29-2022,142.48,32.06,HOLD,-4.91,,2022
09-28-2022,149.84,39.93,HOLD,-1.27,,2022
09-27-2022,151.76,42.45,HOLD,0.66,,2022
09-26-2022,150.77,40.66,HOLD,0.23,,2022
09-23-2022,150.43,40.06,HOLD,-1.51,,2022
09-22-2022,152.74,42.77,HOLD,-0.64,,2022
09-21-2022,153.72,43.95,HOLD,-2.03,,2022
09-20-2022,156.90,47.91,HOLD,1.57,,2022
09-19-2022,154.48,44.36,HOLD,2.51,,2022
09-16-2022,150.70,38.28,HOLD,-1.10,,2022
09-15-2022,152.37,40.08,HOLD,-1.89,,2022
09-14-2022,155.31,43.41,HOLD,0.96,,2022
09-13-2022,153.84,41.14,HOLD,-5.87,,2022
09-12-2022,163.43,54.37,HOLD,3.85,,2022
09-09-2022,157.37,43.75,HOLD,1.88,,2022
09-08-2022,154.46,37.24,HOLD,-0.96,,2022
09-07-2022,155.96,39.43,HOLD,0.93,,2022
09-06-2022,154.53,36.11,HOLD,-0.82,,2022
09-02-2022,155.81,37.83,HOLD,-1.36,,2022
09-01-2022,157.96,40.87,HOLD,0.47,,2022
08-31-2022,157.22,39.32,HOLD,-1.06,,2022
08-30-2022,158.91,41.64,HOLD,-1.53,,2022
08-29-2022,161.38,45.28,HOLD,-1.37,,2022
08-26-2022,163.62,48.88,HOLD,-3.77,,2022
08-25-2022,170.03,61.95,HOLD,1.49,,2022
08-24-2022,167.53,57.86,HOLD,0.18,,2022
08-23-2022,167.23,57.36,HOLD,-0.20,,2022
08-22-2022,167.57,58.09,HOLD,-2.30,,2022
08-19-2022,171.52,67.48,HOLD,-1.51,,2022
08-18-2022,174.15,74.96,SELL,-0.23,,2022
08-17-2022,174.55,76.16,SELL,0.88,,2022
08-16-2022,173.03,74.74,SELL,-0.09,,2022
08-15-2022,173.19,75.18,SELL,0.63,,2022
08-12-2022,172.10,74.22,SELL,2.14,,2022
08-11-2022,168.49,70.77,SELL,-0.44,,2022
08-10-2022,169.24,72.65,SELL,2.62,,2022
08-09-2022,164.92,68.12,HOLD,0.03,,2022
08-08-2022,164.87,68.06,HOLD,-0.29,,2022
08-05-2022,165.35,69.16,HOLD,-0.28,,2022
08-04-2022,165.81,70.17,SELL,-0.19,,2022
08-03-2022,166.13,70.83,SELL,3.82,,2022
08-02-2022,160.01,64.92,HOLD,-0.93,,2022
08-01-2022,161.51,68.06,HOLD,-0.62,,2022
07-29-2022,162.51,70.16,SELL,3.28,,2022
07-28-2022,157.35,64.98,HOLD,0.36,,2022
07-27-2022,156.79,64.35,HOLD,3.42,,2022
07-26-2022,151.60,57.89,HOLD,-0.88,,2022
07-25-2022,152.95,60.54,HOLD,-0.74,,2022
07-22-2022,154.09,62.79,HOLD,-0.81,,2022
07-21-2022,155.35,65.29,HOLD,1.51,,2022
07-20-2022,153.04,62.77,HOLD,1.35,,2022
07-19-2022,151.00,60.42,HOLD,2.67,,2022
07-18-2022,147.07,55.36,HOLD,-2.06,,2022
07-15-2022,150.17,61.07,HOLD,1.15,,2022
07-14-2022,148.47,58.92,HOLD,2.05,,2022
07-13-2022,145.49,54.84,HOLD,-0.25,,2022
07-12-2022,145.86,55.48,HOLD,0.68,,2022
07-11-2022,144.87,54.16,HOLD,-1.48,,2022
07-08-2022,147.04,57.63,HOLD,0.47,,2022
07-07-2022,146.35,56.81,HOLD,2.40,,2022
07-06-2022,142.92,52.59,HOLD,0.96,,2022
07-05-2022,141.56,50.83,HOLD,1.89,,2022
07-01-2022,138.93,47.30,HOLD,1.62,,2022
06-30-2022,136.72,44.17,HOLD,-1.80,,2022
06-29-2022,139.23,47.12,HOLD,1.30,,2022
06-28-2022,137.44,44.67,HOLD,-2.98,,2022
06-27-2022,141.66,49.70,HOLD,0.00,,2022
06-24-2022,141.66,49.70,HOLD,2.45,,2022
06-23-2022,138.27,45.45,HOLD,2.16,,2022
