Date,Price,RSI,STATUS
12-16-2022,106.91,52.75,HOLD
12-15-2022,108.52,57.44,HOLD
12-14-2022,111.26,66.81,HOLD
12-13-2022,111.53,67.82,HOLD
12-12-2022,109.49,63.99,HOLD
12-09-2022,107.51,59.67,HOLD
12-08-2022,106.92,58.28,HOLD
12-07-2022,104.81,52.90,HOLD
12-06-2022,103.86,50.22,HOLD
12-05-2022,105.41,54.96,HOLD
12-02-2022,108.09,64.79,HOLD
12-01-2022,107.93,64.44,HOLD
11-30-2022,107.58,63.70,HOLD
11-29-2022,105.00,57.69,HOLD
11-28-2022,105.39,59.06,HOLD
11-25-2022,106.96,64.83,HOLD
11-23-2022,106.02,62.81,HOLD
11-22-2022,104.87,60.22,HOLD
11-21-2022,103.88,57.87,HOLD
11-18-2022,103.87,57.84,HOLD
11-17-2022,102.56,54.80,HOLD
11-16-2022,103.61,57.91,HOLD
11-15-2022,103.14,56.89,HOLD
11-14-2022,102.01,54.43,HOLD
11-11-2022,104.09,60.32,HOLD
11-10-2022,104.23,60.73,HOLD
11-09-2022,99.46,49.95,HOLD
11-08-2022,99.64,50.43,HOLD
11-07-2022,99.50,50.08,HOLD
11-04-2022,98.07,46.50,HOLD
11-03-2022,96.45,42.12,HOLD
11-02-2022,98.04,45.51,HOLD
11-01-2022,99.31,48.40,HOLD
10-31-2022,98.94,47.50,HOLD
10-28-2022,99.49,48.68,HOLD
10-27-2022,96.93,42.54,HOLD
10-26-2022,98.42,45.48,HOLD
10-25-2022,97.95,44.35,HOLD
10-24-2022,98.29,44.98,HOLD
10-21-2022,95.06,37.18,HOLD
10-20-2022,95.21,37.40,HOLD
10-19-2022,98.11,42.05,HOLD
10-18-2022,104.98,57.84,HOLD
10-17-2022,103.52,54.46,HOLD
10-14-2022,100.91,47.49,HOLD
10-13-2022,102.47,51.90,HOLD
10-12-2022,99.61,42.86,HOLD
10-11-2022,101.27,47.70,HOLD
10-10-2022,100.66,45.58,HOLD
10-07-2022,101.31,47.48,HOLD
10-06-2022,101.97,49.39,HOLD
10-05-2022,102.89,52.14,HOLD
10-04-2022,102.60,51.33,HOLD
10-03-2022,99.05,40.15,HOLD
09-30-2022,96.31,28.29,BUY
09-29-2022,97.83,31.50,HOLD
09-28-2022,98.26,32.46,HOLD
09-27-2022,97.87,30.68,HOLD
09-26-2022,99.37,33.90,HOLD
09-23-2022,100.21,35.84,HOLD
09-22-2022,100.60,36.75,HOLD
09-21-2022,100.18,35.11,HOLD
09-20-2022,101.83,38.81,HOLD
09-19-2022,103.60,43.35,HOLD
09-16-2022,103.51,43.04,HOLD
09-15-2022,104.57,45.81,HOLD
09-14-2022,105.28,47.75,HOLD
09-13-2022,105.34,47.91,HOLD
09-12-2022,108.78,58.11,HOLD
09-09-2022,107.97,56.07,HOLD
09-08-2022,106.49,52.09,HOLD
09-07-2022,104.21,44.97,HOLD
09-06-2022,102.23,37.46,HOLD
09-02-2022,102.02,36.61,HOLD
09-01-2022,104.35,42.58,HOLD
08-31-2022,102.17,33.11,HOLD
08-30-2022,101.72,30.93,HOLD
08-29-2022,101.36,29.23,BUY
08-26-2022,101.42,29.34,BUY
08-25-2022,105.39,38.47,HOLD
08-24-2022,104.94,36.40,HOLD
08-23-2022,105.51,37.90,HOLD
08-22-2022,106.95,41.96,HOLD
08-19-2022,109.54,51.19,HOLD
08-18-2022,109.44,50.81,HOLD
08-17-2022,110.03,53.10,HOLD
08-16-2022,111.50,59.35,HOLD
08-15-2022,111.37,58.95,HOLD
08-12-2022,110.96,57.73,HOLD
08-11-2022,109.97,54.76,HOLD
08-10-2022,109.75,54.10,HOLD
08-09-2022,107.40,46.24,HOLD
08-08-2022,108.49,49.90,HOLD
08-05-2022,108.74,50.76,HOLD
08-04-2022,109.20,52.33,HOLD
08-03-2022,109.10,52.01,HOLD
08-02-2022,108.13,49.19,HOLD
08-01-2022,109.01,51.75,HOLD
07-29-2022,108.33,49.88,HOLD
07-28-2022,109.84,54.24,HOLD
07-27-2022,109.47,53.32,HOLD
07-26-2022,108.58,51.09,HOLD
07-25-2022,107.99,49.63,HOLD
07-22-2022,108.69,51.32,HOLD
07-21-2022,110.17,55.02,HOLD
07-20-2022,107.72,49.43,HOLD
07-19-2022,109.41,53.71,HOLD
07-18-2022,106.52,46.31,HOLD
07-15-2022,108.31,51.00,HOLD
07-14-2022,105.21,41.51,HOLD
07-13-2022,105.24,41.58,HOLD
07-12-2022,107.31,46.82,HOLD
07-11-2022,107.90,48.42,HOLD
07-08-2022,108.27,49.40,HOLD
07-07-2022,108.49,49.99,HOLD
07-06-2022,107.70,47.99,HOLD
07-05-2022,108.31,49.39,HOLD
07-01-2022,109.22,51.48,HOLD
06-30-2022,107.66,47.99,HOLD
06-29-2022,108.11,48.92,HOLD
06-28-2022,106.00,44.13,HOLD
06-27-2022,108.09,48.30,HOLD
06-24-2022,108.45,49.06,HOLD
06-23-2022,105.24,41.64,HOLD
06-22-2022,104.48,39.71,HOLD
06-21-2022,103.46,37.11,HOLD
06-17-2022,101.60,32.17,HOLD
06-16-2022,101.14,30.94,HOLD
06-15-2022,103.85,34.38,HOLD
