Date,Price,RSI,STATUS
12-16-2022,92.31,46.87,HOLD
12-15-2022,92.42,47.25,HOLD
12-14-2022,92.80,48.51,HOLD
12-13-2022,93.23,49.91,HOLD
12-12-2022,93.33,50.23,HOLD
12-09-2022,91.88,45.63,HOLD
12-08-2022,92.40,47.08,HOLD
12-07-2022,93.17,49.23,HOLD
12-06-2022,90.85,41.80,HOLD
12-05-2022,90.77,41.53,HOLD
12-02-2022,91.71,43.78,HOLD
12-01-2022,91.32,42.58,HOLD
11-30-2022,97.50,62.00,HOLD
11-29-2022,96.45,59.05,HOLD
11-28-2022,96.25,58.48,HOLD
11-25-2022,97.40,63.17,HOLD
11-23-2022,96.78,61.63,HOLD
11-22-2022,97.67,65.27,HOLD
11-21-2022,96.11,61.58,HOLD
11-18-2022,95.15,59.09,HOLD
11-17-2022,94.60,57.63,HOLD
11-16-2022,95.19,59.75,HOLD
11-15-2022,94.53,58.16,HOLD
11-14-2022,93.88,56.58,HOLD
11-11-2022,92.68,53.56,HOLD
11-10-2022,93.88,57.25,HOLD
11-09-2022,92.67,54.31,HOLD
11-08-2022,95.98,65.81,HOLD
11-07-2022,95.19,64.13,HOLD
11-04-2022,94.79,63.27,HOLD
11-03-2022,95.87,67.28,HOLD
11-02-2022,95.39,66.41,HOLD
11-01-2022,97.12,72.90,SELL
10-31-2022,96.57,72.09,SELL
10-28-2022,94.48,68.81,HOLD
10-27-2022,93.73,67.54,HOLD
10-26-2022,93.19,66.63,HOLD
10-25-2022,90.75,62.18,HOLD
10-24-2022,88.90,58.26,HOLD
10-21-2022,89.31,59.52,HOLD
10-20-2022,87.96,56.62,HOLD
10-19-2022,87.98,56.68,HOLD
10-18-2022,87.40,55.50,HOLD
10-17-2022,85.40,51.25,HOLD
10-14-2022,83.03,45.54,HOLD
10-13-2022,88.46,60.70,HOLD
10-12-2022,85.67,53.27,HOLD
10-11-2022,85.93,54.18,HOLD
10-10-2022,86.24,55.19,HOLD
10-07-2022,85.08,52.06,HOLD
10-06-2022,85.39,52.97,HOLD
