Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,95.34,62.12,HOLD,11.40,976.00,0.00
08-22-2022,95.83,65.33,HOLD,11.98,1025.00,0.00
08-19-2022,97.35,76.80,HOLD,13.75,1177.00,0.00
08-18-2022,96.70,75.06,HOLD,12.99,1112.00,0.00
08-17-2022,96.34,74.06,HOLD,12.57,1076.00,0.00
08-16-2022,96.02,73.18,HOLD,12.20,1044.00,0.00
08-15-2022,95.99,73.10,HOLD,12.16,1041.00,0.00
08-12-2022,94.83,69.86,HOLD,10.81,925.00,0.00
08-11-2022,94.03,67.35,HOLD,9.87,845.00,0.00
08-10-2022,93.95,67.10,HOLD,9.78,837.00,0.00
08-09-2022,93.46,65.57,HOLD,9.21,788.00,0.00
08-08-2022,91.89,60.06,HOLD,7.37,631.00,0.00
08-05-2022,91.30,57.69,HOLD,6.68,572.00,0.00
08-04-2022,91.59,59.30,HOLD,7.02,601.00,0.00
08-03-2022,92.30,63.29,HOLD,7.85,672.00,0.00
08-02-2022,92.53,64.60,HOLD,8.12,695.00,0.00
08-01-2022,93.02,67.36,HOLD,8.69,744.00,0.00
07-29-2022,93.12,67.91,HOLD,8.81,754.00,0.00
07-28-2022,92.06,65.11,HOLD,7.57,648.00,0.00
07-27-2022,89.39,56.16,HOLD,4.45,381.00,0.00
07-26-2022,89.40,56.21,HOLD,4.46,382.00,0.00
07-25-2022,88.28,51.73,HOLD,3.15,270.00,0.00
07-22-2022,87.43,47.98,HOLD,2.16,185.00,0.00
07-21-2022,86.31,42.52,HOLD,0.85,73.00,0.00
07-20-2022,85.85,40.12,HOLD,0.32,27.00,0.00
07-19-2022,86.47,42.33,HOLD,1.04,89.00,0.00
07-18-2022,86.42,42.09,HOLD,0.98,84.00,0.00
07-15-2022,87.75,46.89,HOLD,2.54,217.00,0.00
07-14-2022,87.05,43.76,HOLD,1.72,147.00,0.00
07-13-2022,87.08,43.86,HOLD,1.75,150.00,0.00
07-12-2022,87.52,45.31,HOLD,2.27,194.00,0.00
07-11-2022,87.92,46.61,HOLD,2.73,234.00,0.00
07-08-2022,87.75,46.00,HOLD,2.54,217.00,0.00
07-07-2022,88.24,47.46,HOLD,3.11,266.00,0.00
07-06-2022,88.51,48.24,HOLD,3.42,293.00,0.00
07-05-2022,87.99,46.67,HOLD,2.82,241.00,0.00
07-01-2022,92.19,60.45,HOLD,7.72,661.00,0.00
06-30-2022,90.36,55.08,HOLD,5.59,478.00,0.00
06-29-2022,89.64,52.74,HOLD,4.74,406.00,0.00
06-28-2022,89.60,52.61,HOLD,4.70,402.00,0.00
06-27-2022,88.97,50.67,HOLD,3.96,339.00,0.00
06-24-2022,87.91,47.29,HOLD,2.72,233.00,0.00
06-23-2022,85.31,37.53,HOLD,-0.32,0.00,-27.00
06-22-2022,83.28,27.85,HOLD,-2.69,0.00,-230.00
06-21-2022,82.45,23.34,HOLD,-3.66,0.00,-313.00
06-17-2022,81.39,17.20,HOLD,-4.90,0.00,-419.00
06-16-2022,82.00,17.97,HOLD,-4.18,0.00,-358.00
06-15-2022,83.26,19.66,HOLD,-2.71,0.00,-232.00
06-14-2022,83.30,19.71,HOLD,-2.66,0.00,-228.00
06-13-2022,85.58,23.10,BUY,0.00,,
06-10-2022,89.24,31.06,HOLD,0.00,0.00,0.00
06-09-2022,89.94,33.08,HOLD,0.00,0.00,0.00
06-08-2022,92.34,41.75,HOLD,0.00,0.00,0.00
06-07-2022,93.72,48.54,HOLD,0.00,0.00,0.00
06-06-2022,93.15,45.11,HOLD,0.00,0.00,0.00
06-03-2022,93.31,45.91,HOLD,0.00,0.00,0.00
06-02-2022,94.11,50.01,HOLD,0.00,0.00,0.00
06-01-2022,94.37,51.39,HOLD,0.00,0.00,0.00
05-31-2022,95.19,55.92,HOLD,0.00,0.00,0.00
05-27-2022,96.55,64.70,HOLD,0.00,0.00,0.00
05-26-2022,95.87,61.93,HOLD,0.00,0.00,0.00
05-25-2022,95.49,60.31,HOLD,0.00,0.00,0.00
05-24-2022,95.51,60.43,HOLD,0.00,0.00,0.00
05-23-2022,93.23,49.23,HOLD,0.00,0.00,0.00
05-20-2022,92.64,45.52,HOLD,0.00,0.00,0.00
05-19-2022,92.48,44.50,HOLD,0.00,0.00,0.00
05-18-2022,92.80,46.10,HOLD,0.00,0.00,0.00
05-17-2022,93.50,49.75,HOLD,0.00,0.00,0.00
05-16-2022,92.98,46.85,HOLD,0.00,0.00,0.00
05-13-2022,93.11,47.49,HOLD,0.00,0.00,0.00
05-12-2022,92.61,44.81,HOLD,0.00,0.00,0.00
05-11-2022,93.42,48.53,HOLD,0.00,0.00,0.00
05-10-2022,92.89,45.80,HOLD,0.00,0.00,0.00
05-09-2022,92.68,44.72,HOLD,0.00,0.00,0.00
05-06-2022,92.65,44.57,HOLD,0.00,0.00,0.00
05-05-2022,93.25,46.88,HOLD,0.00,0.00,0.00
05-04-2022,93.86,49.28,HOLD,0.00,0.00,0.00
05-03-2022,92.42,42.86,HOLD,0.00,0.00,0.00
05-02-2022,92.00,40.83,HOLD,0.00,0.00,0.00
04-29-2022,92.90,43.93,HOLD,0.00,0.00,0.00
04-28-2022,95.45,54.93,HOLD,0.00,0.00,0.00
04-27-2022,94.33,49.80,HOLD,0.00,0.00,0.00
04-26-2022,94.92,52.74,HOLD,0.00,0.00,0.00
04-25-2022,95.92,58.12,HOLD,0.00,0.00,0.00
04-22-2022,96.88,63.95,HOLD,0.00,0.00,0.00
04-21-2022,97.81,70.28,HOLD,0.00,0.00,0.00
04-20-2022,98.51,75.51,HOLD,0.00,0.00,0.00
04-19-2022,96.62,69.90,HOLD,0.00,0.00,0.00
04-18-2022,96.08,67.95,HOLD,0.00,0.00,0.00
04-14-2022,96.25,69.26,HOLD,0.00,0.00,0.00
04-13-2022,96.25,69.26,HOLD,0.00,0.00,0.00
04-12-2022,96.75,72.82,HOLD,0.00,0.00,0.00
04-11-2022,96.48,72.10,HOLD,0.00,0.00,0.00
04-08-2022,97.07,76.19,HOLD,0.00,0.00,0.00
04-07-2022,96.80,75.61,HOLD,0.00,0.00,0.00
04-06-2022,97.13,77.79,HOLD,0.00,0.00,0.00
04-05-2022,94.94,72.98,HOLD,0.00,0.00,0.00
04-04-2022,94.39,71.55,HOLD,0.00,0.00,0.00
04-01-2022,94.79,74.21,HOLD,0.00,0.00,0.00
03-31-2022,93.76,71.69,HOLD,0.00,0.00,0.00
03-30-2022,93.82,72.07,SELL,15.23,1240.00,0.00
03-29-2022,92.40,68.38,HOLD,13.49,1098.00,0.00
03-28-2022,91.80,66.65,HOLD,12.75,1038.00,0.00
03-25-2022,90.78,63.49,HOLD,11.50,936.00,0.00
03-24-2022,89.55,59.17,HOLD,9.99,813.00,0.00
03-23-2022,89.13,57.58,HOLD,9.47,771.00,0.00
