Date,Price,RSI,STATUS
12-16-2022,69.02,46.70,HOLD
12-15-2022,69.33,48.49,HOLD
12-14-2022,70.39,55.21,HOLD
12-13-2022,70.67,57.15,HOLD
12-12-2022,70.82,58.16,HOLD
12-09-2022,69.96,53.78,HOLD
12-08-2022,70.32,56.07,HOLD
12-07-2022,71.20,62.04,HOLD
12-06-2022,71.09,61.56,HOLD
12-05-2022,71.04,61.36,HOLD
12-02-2022,72.34,70.39,SELL
12-01-2022,71.91,68.99,HOLD
11-30-2022,71.93,69.13,HOLD
11-29-2022,70.88,65.70,HOLD
11-28-2022,70.99,66.42,HOLD
11-25-2022,72.50,77.15,SELL
11-23-2022,72.00,75.96,SELL
11-22-2022,71.99,75.93,SELL
11-21-2022,71.37,74.51,SELL
11-18-2022,70.94,73.50,SELL
11-17-2022,70.59,72.68,SELL
11-16-2022,70.81,74.01,SELL
11-15-2022,70.23,72.79,SELL
11-14-2022,68.31,68.18,HOLD
11-11-2022,69.89,78.32,SELL
11-10-2022,69.56,77.68,SELL
11-09-2022,67.13,71.98,SELL
11-08-2022,67.58,75.34,SELL
11-07-2022,67.43,74.96,SELL
11-04-2022,66.79,73.45,SELL
11-03-2022,65.59,70.32,SELL
11-02-2022,66.30,75.23,SELL
11-01-2022,66.42,76.05,SELL
10-31-2022,64.73,72.03,SELL
10-28-2022,64.41,71.19,SELL
10-27-2022,62.33,64.73,HOLD
10-26-2022,61.60,61.92,HOLD
10-25-2022,61.59,61.88,HOLD
10-24-2022,61.52,61.63,HOLD
10-21-2022,60.62,58.34,HOLD
10-20-2022,58.81,50.46,HOLD
10-19-2022,59.79,55.79,HOLD
10-18-2022,59.84,56.07,HOLD
10-17-2022,59.28,53.67,HOLD
10-14-2022,58.79,51.47,HOLD
10-13-2022,59.34,54.14,HOLD
10-12-2022,57.08,42.94,HOLD
10-11-2022,57.76,46.11,HOLD
10-10-2022,57.68,45.68,HOLD
10-07-2022,57.35,43.96,HOLD
10-06-2022,58.80,50.47,HOLD
10-05-2022,59.32,53.13,HOLD
10-04-2022,59.66,54.86,HOLD
10-03-2022,57.52,44.20,HOLD
09-30-2022,55.87,32.83,HOLD
09-29-2022,56.25,34.32,HOLD
09-28-2022,56.88,36.89,HOLD
09-27-2022,56.24,32.09,HOLD
09-26-2022,56.50,33.04,HOLD
09-23-2022,57.45,36.76,HOLD
09-22-2022,58.33,40.66,HOLD
09-21-2022,59.44,46.50,HOLD
09-20-2022,60.18,50.98,HOLD
