Date,Price,RSI,STATUS
12-16-2022,44.49,46.07,HOLD
12-15-2022,43.48,40.00,HOLD
12-14-2022,45.49,50.49,HOLD
12-13-2022,45.95,53.48,HOLD
12-12-2022,46.23,55.32,HOLD
12-09-2022,45.42,50.76,HOLD
12-08-2022,46.23,56.08,HOLD
12-07-2022,46.41,57.32,HOLD
12-06-2022,46.19,56.22,HOLD
12-05-2022,46.92,61.07,HOLD
12-02-2022,47.56,65.67,HOLD
12-01-2022,46.93,63.13,HOLD
11-30-2022,46.56,61.58,HOLD
11-29-2022,45.30,55.68,HOLD
11-28-2022,44.98,54.01,HOLD
11-25-2022,46.55,65.17,HOLD
11-23-2022,46.46,64.78,HOLD
11-22-2022,46.68,66.46,HOLD
11-21-2022,46.06,64.02,HOLD
11-18-2022,46.01,63.83,HOLD
11-17-2022,46.04,64.02,HOLD
11-16-2022,45.46,61.93,HOLD
11-15-2022,45.09,60.57,HOLD
11-14-2022,44.29,57.54,HOLD
11-11-2022,44.92,60.97,HOLD
11-10-2022,45.81,66.16,HOLD
11-09-2022,43.57,57.77,HOLD
11-08-2022,44.29,62.38,HOLD
11-07-2022,43.85,60.59,HOLD
11-04-2022,43.07,57.25,HOLD
11-03-2022,42.46,54.45,HOLD
11-02-2022,42.64,55.44,HOLD
11-01-2022,44.94,70.84,SELL
10-31-2022,44.32,68.66,HOLD
10-28-2022,44.98,74.13,SELL
10-27-2022,44.21,71.69,SELL
10-26-2022,43.42,68.88,HOLD
10-25-2022,43.41,68.85,HOLD
10-24-2022,43.07,67.66,HOLD
10-21-2022,42.71,66.40,HOLD
10-20-2022,41.67,62.47,HOLD
10-19-2022,41.25,60.75,HOLD
10-18-2022,40.59,57.94,HOLD
10-17-2022,39.58,53.18,HOLD
10-14-2022,38.37,46.42,HOLD
10-13-2022,39.40,52.40,HOLD
10-12-2022,38.18,44.55,HOLD
10-11-2022,38.46,46.17,HOLD
10-10-2022,38.34,45.38,HOLD
10-07-2022,38.28,45.01,HOLD
10-06-2022,38.12,44.05,HOLD
10-05-2022,38.32,44.96,HOLD
10-04-2022,38.31,44.90,HOLD
10-03-2022,36.90,37.05,HOLD
09-30-2022,35.82,29.94,BUY
09-29-2022,35.77,29.60,BUY
09-28-2022,35.92,30.01,HOLD
09-27-2022,35.01,24.12,BUY
09-26-2022,34.97,23.86,BUY
09-23-2022,35.31,24.53,BUY
09-22-2022,38.02,30.92,HOLD
09-21-2022,38.95,33.73,HOLD
09-20-2022,39.52,35.56,HOLD
09-19-2022,39.69,36.10,HOLD
