Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,151.03,75.53,SELL,0.44,10.52,8.68
01-11-2024,150.37,74.53,SELL,0.04,10.03,9.70
01-10-2024,150.31,74.44,SELL,-0.44,9.99,8.74
01-09-2024,150.98,77.21,SELL,1.07,10.48,6.88
01-08-2024,149.38,75.16,SELL,-0.40,9.31,6.69
01-05-2024,149.98,77.59,SELL,1.00,9.75,6.09
01-04-2024,148.50,75.80,SELL,2.41,8.66,6.57
01-03-2024,145.00,70.66,HOLD,0.83,6.10,4.35
01-02-2024,143.81,68.54,HOLD,2.74,5.23,5.23
12-29-2023,139.98,59.92,HOLD,0.11,2.43,0.00
12-28-2023,139.82,59.49,HOLD,1.03,2.31,0.00
12-27-2023,138.39,55.53,HOLD,0.22,1.27,0.00
12-26-2023,138.08,54.63,HOLD,0.49,1.04,0.00
12-22-2023,137.40,52.69,HOLD,1.48,0.54,0.00
12-21-2023,135.40,46.45,HOLD,-0.16,-0.92,0.00
12-20-2023,135.62,47.08,HOLD,-1.90,-0.76,0.00
12-19-2023,138.25,55.51,HOLD,-0.36,1.16,0.00
12-18-2023,138.75,57.32,HOLD,-0.22,1.53,0.00
12-15-2023,139.06,58.41,HOLD,-0.13,1.76,0.00
12-14-2023,139.24,59.02,HOLD,-3.54,1.89,0.00
12-13-2023,144.35,81.38,SELL,-0.01,5.63,0.00
12-12-2023,144.36,81.44,SELL,0.90,5.63,0.00
12-11-2023,143.07,79.77,SELL,2.69,4.69,0.00
12-08-2023,139.32,73.28,HOLD,0.22,1.95,0.00
12-07-2023,139.02,72.63,HOLD,0.38,1.73,0.00
12-06-2023,138.49,71.49,HOLD,-0.14,1.34,0.00
12-05-2023,138.68,72.50,HOLD,0.03,1.48,0.00
12-04-2023,138.64,72.42,HOLD,0.70,1.45,0.00
12-01-2023,137.68,70.61,HOLD,-0.14,0.75,0.00
11-30-2023,137.87,71.47,HOLD,1.76,0.89,0.00
11-29-2023,135.49,66.76,HOLD,-0.69,-0.86,0.00
11-28-2023,136.43,71.07,HOLD,-0.76,-0.17,0.00
11-27-2023,137.47,76.11,SELL,0.63,0.59,0.00
11-24-2023,136.61,74.73,SELL,0.38,-0.04,0.00
11-22-2023,136.09,73.89,HOLD,0.84,-0.42,0.00
11-21-2023,134.96,72.00,HOLD,0.24,-1.24,0.00
11-20-2023,134.64,71.45,HOLD,0.34,-1.48,0.00
11-17-2023,134.19,70.71,HOLD,-0.42,-1.81,0.00
11-16-2023,134.75,72.90,HOLD,2.42,-1.40,0.00
11-15-2023,131.57,67.62,HOLD,-0.06,-3.72,0.00
11-14-2023,131.65,67.93,HOLD,1.39,-3.67,0.00
11-13-2023,129.85,64.54,HOLD,-0.36,-4.98,0.00
11-10-2023,130.32,66.23,HOLD,1.03,-4.64,0.00
11-09-2023,128.99,63.73,HOLD,-0.22,-5.61,0.00
11-08-2023,129.28,64.70,HOLD,-0.29,-5.40,0.00
11-07-2023,129.66,65.92,HOLD,-0.66,-5.12,0.00
11-06-2023,130.52,68.65,HOLD,-0.92,-4.49,0.00
11-03-2023,131.73,72.58,HOLD,0.28,-3.61,0.00
11-02-2023,131.36,72.13,HOLD,1.24,-3.88,0.00
11-01-2023,129.75,70.14,HOLD,1.26,-5.06,0.00
10-31-2023,128.13,68.00,HOLD,2.12,-6.24,0.00
10-30-2023,125.47,64.08,HOLD,1.76,-8.19,0.00
10-27-2023,123.30,60.40,HOLD,-1.85,-9.78,0.00
10-26-2023,125.62,67.23,HOLD,0.34,-8.08,0.00
10-25-2023,125.19,66.58,HOLD,0.72,-8.39,0.00
10-24-2023,124.29,65.24,HOLD,2.02,-9.05,0.00
10-23-2023,121.83,61.30,HOLD,-1.10,-10.85,0.00
10-20-2023,123.19,65.09,HOLD,-1.24,-9.86,0.00
10-19-2023,124.74,69.64,HOLD,-2.10,-8.72,0.00
10-18-2023,127.41,78.41,SELL,-0.40,-6.77,0.00
10-17-2023,127.92,80.20,SELL,2.40,-6.40,0.00
10-16-2023,124.92,77.38,SELL,3.82,-8.59,0.00
10-13-2023,120.32,71.62,HOLD,5.56,-11.96,0.00
