Date,Price,RSI,STATUS
11-17-2022,74.17,63.22,HOLD
11-16-2022,72.70,61.45,HOLD
11-15-2022,76.37,69.15,HOLD
11-14-2022,73.53,66.10,HOLD
11-11-2022,72.37,64.78,HOLD
11-10-2022,68.47,59.89,HOLD
11-09-2022,59.92,44.14,HOLD
11-08-2022,63.85,53.03,HOLD
11-07-2022,63.08,51.24,HOLD
11-04-2022,62.19,49.17,HOLD
11-03-2022,60.11,43.99,HOLD
11-02-2022,58.63,39.95,HOLD
11-01-2022,59.66,41.91,HOLD
10-31-2022,60.06,42.66,HOLD
10-28-2022,62.01,46.43,HOLD
10-27-2022,58.60,37.45,HOLD
10-26-2022,59.73,39.49,HOLD
10-25-2022,61.47,42.82,HOLD
10-24-2022,58.70,34.67,HOLD
10-21-2022,58.82,34.87,HOLD
10-20-2022,57.77,31.68,HOLD
10-19-2022,57.23,30.04,HOLD
10-18-2022,57.92,30.92,HOLD
10-17-2022,57.96,30.97,HOLD
10-14-2022,55.94,25.44,BUY
10-13-2022,58.94,28.60,BUY
10-12-2022,57.85,25.47,BUY
10-11-2022,57.63,24.86,BUY
10-10-2022,57.81,25.02,BUY
10-07-2022,58.44,25.54,BUY
10-06-2022,67.85,36.00,HOLD
10-05-2022,67.94,36.14,HOLD
10-04-2022,67.90,36.04,HOLD
10-03-2022,66.11,31.76,HOLD
09-30-2022,63.36,24.56,BUY
09-29-2022,64.14,25.26,BUY
09-28-2022,68.36,29.50,BUY
09-27-2022,67.17,26.26,BUY
09-26-2022,66.30,23.88,BUY
09-23-2022,67.96,25.33,BUY
09-22-2022,69.50,26.72,BUY
09-21-2022,74.48,32.00,HOLD
09-20-2022,75.25,32.94,HOLD
09-19-2022,76.77,34.80,HOLD
09-16-2022,76.51,34.21,HOLD
09-15-2022,76.66,34.38,HOLD
09-14-2022,77.45,35.22,HOLD
09-13-2022,77.03,34.43,HOLD
09-12-2022,84.64,43.34,HOLD
09-09-2022,85.45,44.47,HOLD
09-08-2022,82.78,39.62,HOLD
09-07-2022,79.61,33.19,HOLD
09-06-2022,78.72,31.27,HOLD
09-02-2022,80.24,32.76,HOLD
09-01-2022,82.33,34.87,HOLD
08-31-2022,84.87,37.61,HOLD
08-30-2022,86.94,39.99,HOLD
08-29-2022,88.49,41.83,HOLD
08-26-2022,91.18,45.18,HOLD
08-25-2022,97.18,54.15,HOLD
08-24-2022,92.73,46.89,HOLD
08-23-2022,92.49,46.46,HOLD
08-22-2022,92.84,46.97,HOLD
08-19-2022,95.95,51.64,HOLD
08-18-2022,100.44,59.57,HOLD
08-17-2022,98.27,56.58,HOLD
08-16-2022,100.20,60.26,HOLD
08-15-2022,101.01,61.83,HOLD
08-12-2022,100.83,61.62,HOLD
08-11-2022,98.12,58.49,HOLD
08-10-2022,99.05,60.05,HOLD
08-09-2022,95.54,55.92,HOLD
08-08-2022,100.07,63.83,HOLD
08-05-2022,102.31,68.27,HOLD
08-04-2022,103.91,71.56,SELL
08-03-2022,98.09,66.02,HOLD
08-02-2022,99.29,68.58,HOLD
08-01-2022,96.78,66.02,HOLD
07-29-2022,94.47,63.48,HOLD
07-28-2022,91.67,60.12,HOLD
07-27-2022,89.82,57.74,HOLD
07-26-2022,85.25,51.03,HOLD
07-25-2022,87.54,55.10,HOLD
07-22-2022,88.10,56.12,HOLD
07-21-2022,91.09,61.77,HOLD
07-20-2022,89.43,59.67,HOLD
07-19-2022,85.88,54.75,HOLD
07-18-2022,81.43,47.26,HOLD
07-15-2022,81.11,46.67,HOLD
07-14-2022,78.60,41.94,HOLD
07-13-2022,77.52,39.81,HOLD
07-12-2022,76.36,37.52,HOLD
07-11-2022,76.95,38.20,HOLD
07-08-2022,79.35,41.04,HOLD
07-07-2022,79.30,40.95,HOLD
07-06-2022,75.35,33.99,HOLD
07-05-2022,75.20,33.72,HOLD
07-01-2022,73.67,30.99,HOLD
