Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,143.90,55.08,HOLD,0.24,2.41,8.64
01-26-2023,143.55,54.33,HOLD,0.53,2.16,7.62
01-25-2023,142.80,52.75,HOLD,-0.89,1.62,6.65
01-24-2023,144.08,55.81,HOLD,0.72,2.53,5.68
01-23-2023,143.05,53.81,HOLD,0.39,1.80,4.86
01-20-2023,142.50,52.74,HOLD,2.50,1.41,4.30
01-19-2023,139.03,45.39,HOLD,-1.69,-1.06,0.14
01-18-2023,141.42,50.41,HOLD,-2.22,0.64,1.33
01-17-2023,144.63,58.47,HOLD,-1.03,2.92,2.18
01-13-2023,146.13,62.83,HOLD,0.40,3.99,1.44
01-12-2023,145.55,61.81,HOLD,0.05,3.58,1.35
01-11-2023,145.48,61.69,HOLD,1.87,3.53,2.03
01-10-2023,142.81,56.97,HOLD,0.22,1.63,1.84
01-09-2023,142.50,56.40,HOLD,-0.93,1.41,0.08
01-06-2023,143.84,59.61,HOLD,4.25,2.36,-0.90
01-05-2023,137.98,47.44,HOLD,-2.04,-1.81,-3.80
01-04-2023,140.85,54.97,HOLD,0.23,0.23,-3.59
01-03-2023,140.52,54.20,HOLD,0.57,0.00,-2.19
12-30-2022,139.72,52.35,HOLD,-0.46,,0.00
12-29-2022,140.37,53.99,HOLD,1.45,,0.00
12-28-2022,138.36,49.43,HOLD,-1.26,,0.00
12-27-2022,140.13,53.79,HOLD,0.54,,0.00
12-23-2022,139.38,52.13,HOLD,0.77,,0.00
12-22-2022,138.32,49.76,HOLD,-1.45,,0.00
12-21-2022,140.36,54.59,HOLD,1.89,,0.00
12-20-2022,137.75,48.66,HOLD,0.56,,0.00
12-19-2022,136.98,46.76,HOLD,0.15,,0.00
12-16-2022,136.77,46.25,HOLD,-1.07,,0.00
12-15-2022,138.25,49.31,HOLD,-2.47,,0.00
12-14-2022,141.75,57.70,HOLD,-1.18,,0.00
12-13-2022,143.44,62.46,HOLD,0.96,,0.00
12-12-2022,142.07,59.98,HOLD,2.13,,0.00
12-09-2022,139.11,53.84,HOLD,-1.17,,0.00
12-08-2022,140.76,58.48,HOLD,0.20,,0.00
12-07-2022,140.48,57.91,HOLD,0.47,,0.00
12-06-2022,139.82,56.60,HOLD,-1.59,,0.00
12-05-2022,142.08,62.81,HOLD,-1.60,,0.00
12-02-2022,144.39,70.10,HOLD,0.77,,0.00
12-01-2022,143.29,68.48,HOLD,0.61,,0.00
11-30-2022,142.42,67.18,HOLD,2.45,,0.00
