Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,102.24,67.79,HOLD,3.04,19.13,-26.78
01-26-2023,99.22,63.61,HOLD,2.10,15.61,-28.55
01-25-2023,97.18,60.38,HOLD,0.89,13.24,-30.58
01-24-2023,96.32,58.95,HOLD,-1.23,12.23,-33.36
01-23-2023,97.52,61.84,HOLD,0.28,13.63,-31.63
01-20-2023,97.25,61.44,HOLD,3.81,13.32,-35.88
01-19-2023,93.68,55.85,HOLD,-1.86,9.16,-40.06
01-18-2023,95.46,59.87,HOLD,-0.61,11.23,-39.93
01-17-2023,96.05,61.23,HOLD,-2.11,11.92,-40.76
01-13-2023,98.12,66.11,HOLD,2.99,14.33,-39.14
01-12-2023,95.27,62.26,HOLD,0.19,11.01,-42.33
01-11-2023,95.09,62.01,HOLD,5.81,10.80,-42.50
01-10-2023,89.87,53.64,HOLD,2.87,4.72,-44.35
01-09-2023,87.36,48.58,HOLD,1.49,1.79,-46.26
01-06-2023,86.08,45.78,HOLD,3.56,0.30,-47.27
01-05-2023,83.12,38.60,HOLD,-2.37,-3.15,-49.43
01-04-2023,85.14,42.14,HOLD,-0.79,-0.79,-49.18
01-03-2023,85.82,43.38,HOLD,2.17,0.00,-49.64
12-30-2022,84.00,38.90,HOLD,-0.21,,0.00
12-29-2022,84.18,39.19,HOLD,2.88,,0.00
12-28-2022,81.82,33.24,HOLD,-1.47,,0.00
12-27-2022,83.04,34.88,HOLD,-2.59,,0.00
12-23-2022,85.25,38.03,HOLD,1.74,,0.00
12-22-2022,83.79,34.39,HOLD,-3.43,,0.00
12-21-2022,86.77,38.69,HOLD,1.85,,0.00
12-20-2022,85.19,34.67,HOLD,0.32,,0.00
12-19-2022,84.92,33.98,HOLD,-3.35,,0.00
12-16-2022,87.86,38.03,HOLD,-0.67,,0.00
12-15-2022,88.45,38.89,HOLD,-3.42,,0.00
12-14-2022,91.58,43.79,HOLD,-0.98,,0.00
12-13-2022,92.49,45.33,HOLD,2.14,,0.00
12-12-2022,90.55,41.24,HOLD,1.64,,0.00
12-09-2022,89.09,37.99,HOLD,-1.39,,0.00
12-08-2022,90.35,39.75,HOLD,2.14,,0.00
12-07-2022,88.46,35.60,HOLD,0.24,,0.00
12-06-2022,88.25,35.14,HOLD,-3.03,,0.00
12-05-2022,91.01,38.50,HOLD,-3.31,,0.00
12-02-2022,94.13,42.81,HOLD,-1.43,,0.00
12-01-2022,95.50,44.85,HOLD,-1.08,,0.00
11-30-2022,96.54,46.41,HOLD,4.46,,0.00
11-29-2022,92.42,38.54,HOLD,-1.63,,0.00
11-28-2022,93.95,40.59,HOLD,0.58,,0.00
11-25-2022,93.41,39.54,HOLD,-0.76,,0.00
11-23-2022,94.13,40.43,HOLD,1.00,,0.00
11-22-2022,93.20,38.77,HOLD,0.80,,0.00
11-21-2022,92.46,37.49,HOLD,-1.78,,0.00
11-18-2022,94.14,39.22,HOLD,-0.75,,0.00
11-17-2022,94.85,39.95,HOLD,-2.34,,0.00
11-16-2022,97.12,42.27,HOLD,-1.84,,0.00
11-15-2022,98.94,44.17,HOLD,0.46,,0.00
11-14-2022,98.49,43.59,HOLD,-2.28,,0.00
11-11-2022,100.79,45.87,HOLD,4.31,,0.00
11-10-2022,96.63,40.66,HOLD,12.18,,0.00
11-09-2022,86.14,23.39,BUY,-4.27,,0.00
11-08-2022,89.98,25.95,BUY,-0.61,,0.00
11-07-2022,90.53,26.34,BUY,-0.49,,0.00
11-04-2022,90.98,26.64,BUY,1.88,,0.00
11-03-2022,89.30,23.62,BUY,-3.06,,0.00
11-02-2022,92.12,25.24,BUY,-4.82,,0.00
11-01-2022,96.79,28.21,HOLD,-5.52,,0.00
10-31-2022,102.44,32.50,HOLD,-0.94,,0.00
10-28-2022,103.41,33.31,HOLD,-6.80,,0.00
10-27-2022,110.96,40.61,HOLD,-4.06,,0.00
10-26-2022,115.66,46.50,HOLD,-4.10,,0.00
10-25-2022,120.60,54.17,HOLD,0.65,,0.00
10-24-2022,119.82,53.03,HOLD,0.42,,0.00
10-21-2022,119.32,52.33,HOLD,3.53,,0.00
10-20-2022,115.25,46.25,HOLD,0.16,,0.00
10-19-2022,115.07,45.97,HOLD,-1.11,,0.00
10-18-2022,116.36,47.64,HOLD,2.26,,0.00
10-17-2022,113.79,43.86,HOLD,6.45,,0.00
10-14-2022,106.90,31.59,HOLD,-5.00,,0.00
10-13-2022,112.53,37.87,HOLD,-0.33,,0.00
10-12-2022,112.90,38.34,HOLD,0.61,,0.00
10-11-2022,112.21,37.00,HOLD,-1.28,,0.00
10-10-2022,113.67,38.65,HOLD,-0.78,,0.00
10-07-2022,114.56,39.65,HOLD,-4.77,,0.00
10-06-2022,120.30,46.93,HOLD,-0.54,,0.00
10-05-2022,120.95,47.85,HOLD,-0.12,,0.00
10-04-2022,121.09,48.04,HOLD,4.50,,0.00
10-03-2022,115.88,39.82,HOLD,2.55,,0.00
09-30-2022,113.00,34.51,HOLD,-1.57,,0.00
09-29-2022,114.80,36.37,HOLD,-2.72,,0.00
09-28-2022,118.01,39.95,HOLD,3.15,,0.00
09-27-2022,114.41,33.10,HOLD,-0.64,,0.00
09-26-2022,115.15,33.83,HOLD,1.20,,0.00
09-23-2022,113.78,31.20,HOLD,-3.01,,0.00
09-22-2022,117.31,34.48,HOLD,-1.04,,0.00
09-21-2022,118.54,35.70,HOLD,-2.99,,0.00
09-20-2022,122.19,39.54,HOLD,-1.98,,0.00
09-19-2022,124.66,42.40,HOLD,0.91,,0.00
09-16-2022,123.53,40.57,HOLD,-2.18,,0.00
09-15-2022,126.28,43.71,HOLD,-1.77,,0.00
09-14-2022,128.55,46.46,HOLD,1.36,,0.00
09-13-2022,126.82,43.96,HOLD,-7.06,,0.00
09-12-2022,136.45,57.94,HOLD,2.39,,0.00
09-09-2022,133.27,53.40,HOLD,2.66,,0.00
09-08-2022,129.82,47.71,HOLD,0.26,,0.00
09-07-2022,129.48,47.12,HOLD,2.67,,0.00
09-06-2022,126.11,40.98,HOLD,-1.10,,0.00
09-02-2022,127.51,42.90,HOLD,-0.24,,0.00
09-01-2022,127.82,43.32,HOLD,0.83,,0.00
08-31-2022,126.77,41.53,HOLD,-1.52,,0.00
08-30-2022,128.73,43.93,HOLD,-0.82,,0.00
08-29-2022,129.79,45.25,HOLD,-0.73,,0.00
08-26-2022,130.75,46.42,HOLD,-4.76,,0.00
08-25-2022,137.28,55.47,HOLD,2.60,,0.00
08-24-2022,133.80,50.71,HOLD,0.13,,0.00
08-23-2022,133.62,50.46,HOLD,0.30,,0.00
08-22-2022,133.22,49.93,HOLD,-3.62,,0.00
08-19-2022,138.23,57.06,HOLD,-2.86,,0.00
08-18-2022,142.30,63.96,HOLD,0.14,,0.00
08-17-2022,142.10,63.76,HOLD,-1.85,,0.00
08-16-2022,144.78,68.48,HOLD,1.12,,0.00
08-15-2022,143.18,67.13,HOLD,-0.26,,0.00
08-12-2022,143.55,67.76,HOLD,2.07,,0.00
08-11-2022,140.64,65.41,HOLD,-1.44,,0.00
08-10-2022,142.69,68.68,HOLD,3.53,,0.00
08-09-2022,137.83,64.81,HOLD,-1.13,,0.00
08-08-2022,139.41,67.32,HOLD,-0.99,,0.00
08-05-2022,140.80,69.52,HOLD,-1.24,,0.00
08-04-2022,142.57,72.32,HOLD,2.19,,0.00
08-03-2022,139.52,70.41,HOLD,4.00,,0.00
08-02-2022,134.16,66.67,HOLD,-0.91,,0.00
08-01-2022,135.39,68.52,HOLD,0.33,,0.00
07-29-2022,134.95,68.23,HOLD,10.36,,0.00
07-28-2022,122.28,57.74,HOLD,1.08,,0.00
07-27-2022,120.97,56.35,HOLD,5.37,,0.00
07-26-2022,114.81,49.08,HOLD,-5.23,,0.00
07-25-2022,121.14,58.36,HOLD,-1.05,,0.00
07-22-2022,122.42,60.51,HOLD,-1.77,,0.00
07-21-2022,124.63,64.31,HOLD,1.52,,0.00
07-20-2022,122.77,62.47,HOLD,3.86,,0.00
07-19-2022,118.21,57.48,HOLD,3.91,,0.00
07-18-2022,113.76,51.65,HOLD,0.18,,0.00
07-15-2022,113.55,51.36,HOLD,2.64,,0.00
07-14-2022,110.63,47.24,HOLD,0.21,,0.00
07-13-2022,110.40,46.91,HOLD,1.08,,0.00
07-12-2022,109.22,45.29,HOLD,-2.26,,0.00
07-11-2022,111.75,48.23,HOLD,-3.28,,0.00
07-08-2022,115.54,53.00,HOLD,-0.68,,0.00
07-07-2022,116.33,54.04,HOLD,1.75,,0.00
07-06-2022,114.33,51.83,HOLD,0.73,,0.00
07-05-2022,113.50,50.91,HOLD,3.60,,0.00
07-01-2022,109.56,46.45,HOLD,3.15,,0.00
06-30-2022,106.21,42.30,HOLD,-2.49,,0.00
06-29-2022,108.92,44.92,HOLD,1.42,,0.00
06-28-2022,107.40,43.09,HOLD,-5.14,,0.00
06-27-2022,113.22,48.85,HOLD,-2.78,,0.00
06-24-2022,116.46,52.49,HOLD,3.58,,0.00
