Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,135.73,38.02,HOLD,-3.98,26.59,22.82
01-11-2024,141.35,46.03,HOLD,-0.74,31.83,21.94
01-10-2024,142.40,47.78,HOLD,-0.56,32.81,23.32
01-09-2024,143.20,49.10,HOLD,0.04,33.56,26.56
01-08-2024,143.14,49.00,HOLD,2.09,33.50,29.55
01-05-2024,140.21,44.12,HOLD,-0.43,30.77,26.32
01-04-2024,140.82,44.96,HOLD,-1.76,31.34,29.06
01-03-2024,143.35,48.47,HOLD,-4.87,33.70,29.56
01-02-2024,150.69,61.40,HOLD,0.34,40.54,40.54
12-29-2023,150.18,60.73,HOLD,-0.87,40.07,0.00
12-28-2023,151.50,63.39,HOLD,0.26,41.30,0.00
12-27-2023,151.11,62.95,HOLD,-0.73,40.93,0.00
12-26-2023,152.22,65.05,HOLD,0.89,41.97,0.00
12-22-2023,150.88,63.69,HOLD,-0.74,40.72,0.00
12-21-2023,152.00,65.67,HOLD,2.78,41.76,0.00
12-20-2023,147.89,61.60,HOLD,-1.94,37.93,0.00
12-19-2023,150.82,66.84,HOLD,2.64,40.66,0.00
12-18-2023,146.94,62.97,HOLD,-0.45,37.05,0.00
12-15-2023,147.61,64.17,HOLD,-1.01,37.67,0.00
12-14-2023,149.11,66.82,HOLD,6.40,39.07,0.00
12-13-2023,140.14,56.95,HOLD,4.66,30.70,0.00
12-12-2023,133.90,46.71,HOLD,-1.73,24.88,0.00
12-11-2023,136.26,50.97,HOLD,0.12,27.08,0.00
12-08-2023,136.10,50.69,HOLD,-0.21,26.94,0.00
12-07-2023,136.39,51.18,HOLD,0.77,27.21,0.00
12-06-2023,135.35,49.53,HOLD,0.12,26.24,0.00
12-05-2023,135.19,49.29,HOLD,-2.82,26.09,0.00
12-04-2023,139.12,55.42,HOLD,-0.72,29.75,0.00
12-01-2023,140.13,57.11,HOLD,3.59,30.69,0.00
11-30-2023,135.27,50.33,HOLD,0.85,26.16,0.00
11-29-2023,134.13,48.55,HOLD,1.17,25.10,0.00
11-28-2023,132.58,46.13,HOLD,1.46,23.65,0.00
11-27-2023,130.67,43.05,HOLD,-3.24,21.87,0.00
11-24-2023,135.05,49.01,HOLD,1.24,25.96,0.00
11-22-2023,133.40,46.41,HOLD,0.48,24.42,0.00
11-21-2023,132.76,45.42,HOLD,-2.35,23.82,0.00
11-20-2023,135.95,49.71,HOLD,0.28,26.80,0.00
11-17-2023,135.57,49.17,HOLD,2.73,26.44,0.00
11-16-2023,131.97,43.97,HOLD,-6.00,23.08,0.00
11-15-2023,140.39,56.55,HOLD,1.02,30.94,0.00
11-14-2023,138.97,54.51,HOLD,5.01,29.61,0.00
11-13-2023,132.34,42.90,HOLD,-0.29,23.43,0.00
11-10-2023,132.72,43.49,HOLD,1.02,23.78,0.00
11-09-2023,131.38,40.82,HOLD,-2.23,22.53,0.00
11-08-2023,134.37,45.25,HOLD,-0.40,25.32,0.00
11-07-2023,134.91,46.09,HOLD,-1.36,25.83,0.00
11-06-2023,136.77,48.99,HOLD,-2.28,27.56,0.00
11-03-2023,139.96,54.45,HOLD,3.58,30.54,0.00
11-02-2023,135.12,45.96,HOLD,1.63,26.02,0.00
11-01-2023,132.95,41.42,HOLD,2.21,24.00,0.00
10-31-2023,130.08,34.67,HOLD,0.67,21.32,0.00
10-30-2023,129.22,32.51,HOLD,-1.01,20.52,0.00
10-27-2023,130.54,34.12,HOLD,0.09,21.75,0.00
10-26-2023,130.42,33.84,HOLD,1.99,21.64,0.00
10-25-2023,127.87,27.87,HOLD,-1.16,19.26,0.00
10-24-2023,129.37,29.32,HOLD,-1.52,20.66,0.00
10-23-2023,131.37,31.33,HOLD,-1.74,22.52,0.00
10-20-2023,133.70,33.84,HOLD,-0.11,24.70,0.00
10-19-2023,133.85,34.00,HOLD,-2.62,24.84,0.00
10-18-2023,137.45,38.10,HOLD,-0.64,28.19,0.00
10-17-2023,138.33,39.17,HOLD,-0.25,29.02,0.00
10-16-2023,138.67,39.56,HOLD,2.63,29.33,0.00
10-13-2023,135.11,32.93,HOLD,-0.75,26.01,0.00
10-12-2023,136.13,33.92,HOLD,-2.57,26.96,0.00
10-11-2023,139.72,37.62,HOLD,-2.03,30.31,0.00
10-10-2023,142.61,40.96,HOLD,3.73,33.01,0.00
10-09-2023,137.48,30.84,HOLD,0.53,28.22,0.00
10-06-2023,136.76,29.26,HOLD,1.08,27.55,0.00
10-05-2023,135.30,26.08,BUY,-4.54,26.19,0.00
10-04-2023,141.73,31.95,HOLD,-1.21,32.19,0.00
10-03-2023,143.46,33.86,HOLD,-1.73,33.80,0.00
10-02-2023,145.98,36.83,HOLD,-3.58,36.15,0.00
09-29-2023,151.40,44.65,HOLD,-0.78,41.20,0.00
09-28-2023,152.59,46.68,HOLD,-0.05,42.31,0.00
09-27-2023,152.66,46.79,HOLD,1.34,42.38,0.00
09-26-2023,150.64,43.01,HOLD,-0.24,40.50,0.00
09-25-2023,151.00,43.52,HOLD,0.75,40.83,0.00
09-22-2023,149.88,41.50,HOLD,-1.74,39.79,0.00
09-21-2023,152.53,45.03,HOLD,-1.05,42.26,0.00
09-20-2023,154.15,47.32,HOLD,-0.82,43.77,0.00
09-19-2023,155.43,49.14,HOLD,0.03,44.96,0.00
09-18-2023,155.38,49.07,HOLD,1.82,44.92,0.00
09-15-2023,152.61,45.11,HOLD,-4.15,42.33,0.00
09-14-2023,159.22,54.51,HOLD,4.97,48.50,0.00
09-13-2023,151.68,41.63,HOLD,0.21,41.47,0.00
09-12-2023,151.36,40.97,HOLD,0.37,41.17,0.00
09-11-2023,150.80,39.86,HOLD,-0.82,40.65,0.00
09-08-2023,152.04,41.46,HOLD,-0.26,41.80,0.00
09-07-2023,152.44,41.96,HOLD,-2.56,42.17,0.00
09-06-2023,156.45,47.29,HOLD,-1.73,45.91,0.00
09-05-2023,159.20,51.45,HOLD,-0.91,48.48,0.00
09-01-2023,160.66,53.78,HOLD,2.27,49.84,0.00
08-31-2023,157.09,48.48,HOLD,-1.26,46.51,0.00
08-30-2023,159.10,51.57,HOLD,1.13,48.39,0.00
08-29-2023,157.33,48.91,HOLD,1.39,46.74,0.00
08-28-2023,155.18,45.52,HOLD,0.81,44.73,0.00
08-25-2023,153.93,43.50,HOLD,-1.17,43.56,0.00
08-24-2023,155.76,45.81,HOLD,-3.16,45.27,0.00
08-23-2023,160.85,53.09,HOLD,1.68,50.02,0.00
08-22-2023,158.19,49.17,HOLD,-1.60,47.54,0.00
08-21-2023,160.77,53.17,HOLD,1.77,49.94,0.00
08-18-2023,157.98,49.01,HOLD,2.36,47.34,0.00
08-17-2023,154.34,42.84,HOLD,-0.14,43.95,0.00
08-16-2023,154.56,43.13,HOLD,-1.33,44.15,0.00
08-15-2023,156.64,45.89,HOLD,-2.52,46.09,0.00
08-14-2023,160.69,51.87,HOLD,0.41,49.87,0.00
08-11-2023,160.03,50.90,HOLD,3.75,49.25,0.00
08-10-2023,154.25,41.29,HOLD,0.05,43.86,0.00
08-09-2023,154.18,41.16,HOLD,-1.09,43.80,0.00
08-08-2023,155.88,43.31,HOLD,-0.41,45.38,0.00
08-07-2023,156.52,44.12,HOLD,0.33,45.98,0.00
08-04-2023,156.00,43.32,HOLD,-1.94,45.50,0.00
08-03-2023,159.08,47.01,HOLD,0.34,48.37,0.00
08-02-2023,158.54,46.27,HOLD,-0.90,47.86,0.00
08-01-2023,159.98,47.94,HOLD,-0.62,49.21,0.00
07-31-2023,160.98,49.08,HOLD,2.02,50.14,0.00
07-28-2023,157.80,45.23,HOLD,0.88,47.17,0.00
07-27-2023,156.42,43.51,HOLD,0.26,45.89,0.00
07-26-2023,156.01,43.01,HOLD,2.35,45.50,0.00
07-25-2023,152.43,38.66,HOLD,1.51,42.17,0.00
07-24-2023,150.16,35.78,HOLD,-3.19,40.05,0.00
07-21-2023,155.11,39.55,HOLD,-12.33,44.67,0.00
07-20-2023,176.92,69.47,HOLD,-2.51,65.01,0.00
07-19-2023,181.47,81.41,SELL,1.00,69.25,0.00
07-18-2023,179.67,80.16,SELL,1.47,67.57,0.00
07-17-2023,177.07,78.18,SELL,0.57,65.15,0.00
07-14-2023,176.07,77.38,SELL,-1.17,64.21,0.00
07-13-2023,178.16,83.33,SELL,0.15,66.16,0.00
07-12-2023,177.90,83.18,SELL,0.41,65.92,0.00
07-11-2023,177.17,82.78,SELL,2.22,65.24,0.00
07-10-2023,173.33,80.50,SELL,1.16,61.66,0.00
07-07-2023,171.34,79.18,SELL,1.39,59.80,0.00
07-06-2023,168.99,77.50,SELL,0.72,57.61,0.00
07-05-2023,167.78,76.60,SELL,0.76,56.48,0.00
07-03-2023,166.51,75.65,SELL,1.15,55.30,0.00
06-30-2023,164.61,74.19,SELL,0.51,53.53,0.00
06-29-2023,163.78,73.55,HOLD,-0.18,52.75,0.00
06-28-2023,164.08,74.17,SELL,2.89,53.03,0.00
06-27-2023,159.47,70.64,HOLD,2.77,48.73,0.00
06-26-2023,155.17,66.71,HOLD,0.36,44.72,0.00
06-23-2023,154.61,66.16,HOLD,0.91,44.20,0.00
06-22-2023,153.22,64.83,HOLD,1.02,42.90,0.00
06-21-2023,151.68,63.34,HOLD,1.11,41.47,0.00
06-20-2023,150.02,61.72,HOLD,0.58,39.92,0.00
06-16-2023,149.16,60.89,HOLD,-1.54,39.12,0.00
06-15-2023,151.49,64.41,HOLD,2.02,41.29,0.00
06-14-2023,148.49,61.76,HOLD,-1.94,38.49,0.00
06-13-2023,151.42,66.23,HOLD,5.46,41.22,0.00
06-12-2023,143.58,58.84,HOLD,1.13,33.91,0.00
06-09-2023,141.97,57.05,HOLD,-2.24,32.41,0.00
06-08-2023,145.23,62.13,HOLD,0.43,35.45,0.00
06-07-2023,144.61,61.53,HOLD,3.25,34.87,0.00
06-06-2023,140.06,56.82,HOLD,2.49,30.63,0.00
06-05-2023,136.66,52.81,HOLD,-2.08,27.46,0.00
06-02-2023,139.57,57.02,HOLD,6.07,30.17,0.00
06-01-2023,131.58,46.07,HOLD,0.50,22.72,0.00
05-31-2023,130.92,45.00,HOLD,-6.88,22.10,0.00
05-30-2023,140.60,61.75,HOLD,2.40,31.13,0.00
05-26-2023,137.31,56.66,HOLD,1.07,28.06,0.00
05-25-2023,135.86,54.16,HOLD,-1.10,26.71,0.00
05-24-2023,137.37,57.36,HOLD,0.28,28.12,0.00
05-23-2023,136.98,56.74,HOLD,2.16,27.76,0.00
05-22-2023,134.09,52.00,HOLD,0.69,25.06,0.00
05-19-2023,133.17,50.40,HOLD,-2.09,24.20,0.00
05-18-2023,136.01,55.75,HOLD,0.74,26.85,0.00
05-17-2023,135.01,54.15,HOLD,2.97,25.92,0.00
05-16-2023,131.11,47.29,HOLD,-1.57,22.28,0.00
05-15-2023,133.20,51.10,HOLD,1.02,24.23,0.00
05-12-2023,131.86,48.64,HOLD,-0.57,22.98,0.00
05-11-2023,132.61,49.94,HOLD,-0.37,23.68,0.00
05-10-2023,133.10,50.77,HOLD,-1.50,24.14,0.00
05-09-2023,135.13,54.23,HOLD,0.29,26.03,0.00
05-08-2023,134.74,53.66,HOLD,1.14,25.67,0.00
05-05-2023,133.22,51.51,HOLD,2.94,24.25,0.00
05-04-2023,129.42,45.63,HOLD,-2.14,20.71,0.00
05-03-2023,132.25,49.80,HOLD,-1.92,23.34,0.00
05-02-2023,134.84,54.00,HOLD,-1.57,25.76,0.00
05-01-2023,136.99,57.75,HOLD,4.02,27.77,0.00
04-28-2023,131.70,49.78,HOLD,-0.10,22.83,0.00
