Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,59.86,55.01,HOLD,-2.65,1.60,2023
01-09-2023,61.49,62.74,HOLD,0.08,4.36,2023
01-06-2023,61.44,62.59,HOLD,3.47,4.28,2023
01-05-2023,59.38,55.79,HOLD,-2.11,0.78,2023
01-04-2023,60.66,62.32,HOLD,2.95,2.95,2023
01-03-2023,58.92,55.79,HOLD,2.94,0.00,2023
12-30-2022,57.24,47.65,HOLD,-0.73,,2022
12-29-2022,57.66,49.78,HOLD,1.57,,2022
12-28-2022,56.77,44.95,HOLD,-1.56,,2022
12-27-2022,57.67,49.41,HOLD,1.35,,2022
12-23-2022,56.90,45.08,HOLD,1.19,,2022
12-22-2022,56.23,40.99,HOLD,-1.76,,2022
12-21-2022,57.24,45.75,HOLD,1.60,,2022
12-20-2022,56.34,39.98,HOLD,0.50,,2022
12-19-2022,56.06,38.07,HOLD,0.02,,2022
12-16-2022,56.05,38.01,HOLD,-1.32,,2022
12-15-2022,56.80,41.02,HOLD,-3.53,,2022
12-14-2022,58.88,51.52,HOLD,-0.83,,2022
12-13-2022,59.37,54.58,HOLD,1.47,,2022
12-12-2022,58.51,49.72,HOLD,0.36,,2022
12-09-2022,58.30,48.47,HOLD,-0.21,,2022
12-08-2022,58.42,49.12,HOLD,-1.43,,2022
12-07-2022,59.27,53.85,HOLD,-0.17,,2022
12-06-2022,59.37,54.43,HOLD,-0.75,,2022
12-05-2022,59.82,56.96,HOLD,-0.93,,2022
12-02-2022,60.38,60.21,HOLD,-0.17,,2022
12-01-2022,60.48,60.78,HOLD,-0.43,,2022
11-30-2022,60.74,62.21,HOLD,0.41,,2022
11-29-2022,60.49,61.40,HOLD,1.22,,2022
11-28-2022,59.76,59.01,HOLD,-3.39,,2022
11-25-2022,61.86,70.68,SELL,0.54,,2022
11-23-2022,61.53,69.81,HOLD,-0.60,,2022
11-22-2022,61.90,72.04,SELL,0.81,,2022
11-21-2022,61.40,70.87,SELL,0.20,,2022
11-18-2022,61.28,70.60,SELL,1.96,,2022
11-17-2022,60.10,67.84,HOLD,0.50,,2022
11-16-2022,59.80,67.12,HOLD,-0.98,,2022
11-15-2022,60.39,70.01,SELL,1.48,,2022
11-14-2022,59.51,68.11,HOLD,-0.82,,2022
11-11-2022,60.00,70.42,SELL,1.21,,2022
11-10-2022,59.28,68.98,HOLD,7.68,,2022
11-09-2022,55.05,57.80,HOLD,-1.64,,2022
