Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,43.24,45.64,HOLD,-0.30,-0.87,2023
01-09-2023,43.37,46.02,HOLD,1.12,-0.57,2023
01-06-2023,42.89,44.44,HOLD,2.71,-1.67,2023
01-05-2023,41.76,40.65,HOLD,-0.93,-4.26,2023
01-04-2023,42.15,41.56,HOLD,-3.37,-3.37,2023
01-03-2023,43.62,45.09,HOLD,-6.56,0.00,2023
12-30-2022,46.68,53.94,HOLD,1.68,,2022
12-29-2022,45.91,51.72,HOLD,1.62,,2022
12-28-2022,45.18,49.59,HOLD,-5.16,,2022
12-27-2022,47.64,57.54,HOLD,0.83,,2022
12-23-2022,47.25,56.52,HOLD,5.73,,2022
12-22-2022,44.69,49.00,HOLD,-4.24,,2022
12-21-2022,46.67,55.94,HOLD,5.76,,2022
12-20-2022,44.13,47.00,HOLD,0.66,,2022
12-19-2022,43.84,45.83,HOLD,0.11,,2022
12-16-2022,43.79,45.64,HOLD,-2.80,,2022
12-15-2022,45.05,49.75,HOLD,0.02,,2022
12-14-2022,45.04,49.72,HOLD,-1.72,,2022
12-13-2022,45.83,52.27,HOLD,4.37,,2022
12-12-2022,43.91,46.02,HOLD,4.90,,2022
12-09-2022,41.86,37.97,HOLD,-2.13,,2022
12-08-2022,42.77,40.46,HOLD,-2.04,,2022
12-07-2022,43.66,43.02,HOLD,-0.48,,2022
12-06-2022,43.87,43.62,HOLD,-4.03,,2022
12-05-2022,45.71,49.25,HOLD,-2.97,,2022
12-02-2022,47.11,54.20,HOLD,0.83,,2022
12-01-2022,46.72,52.98,HOLD,-0.28,,2022
11-30-2022,46.85,53.42,HOLD,0.56,,2022
11-29-2022,46.59,52.69,HOLD,3.63,,2022
11-28-2022,44.96,47.93,HOLD,-3.17,,2022
11-25-2022,46.43,52.34,HOLD,-0.75,,2022
11-23-2022,46.78,53.43,HOLD,-2.09,,2022
11-22-2022,47.78,56.54,HOLD,5.54,,2022
11-21-2022,45.27,49.71,HOLD,-2.31,,2022
11-18-2022,46.34,53.01,HOLD,-1.28,,2022
11-17-2022,46.94,54.90,HOLD,-1.03,,2022
11-16-2022,47.43,56.43,HOLD,-3.28,,2022
11-15-2022,49.04,61.68,HOLD,3.88,,2022
11-14-2022,47.21,57.51,HOLD,-3.18,,2022
11-11-2022,48.76,62.90,HOLD,3.74,,2022
11-10-2022,47.00,58.83,HOLD,3.18,,2022
11-09-2022,45.55,55.07,HOLD,-7.12,,2022
11-08-2022,49.04,69.22,HOLD,-0.93,,2022
11-07-2022,49.50,71.46,SELL,1.04,,2022
11-04-2022,48.99,70.48,SELL,3.59,,2022
11-03-2022,47.29,66.94,HOLD,6.89,,2022
11-02-2022,44.24,58.69,HOLD,-3.39,,2022
11-01-2022,45.79,66.52,HOLD,0.73,,2022
10-31-2022,45.46,65.61,HOLD,0.04,,2022
10-28-2022,45.44,65.56,HOLD,-0.63,,2022
10-27-2022,45.73,66.94,HOLD,-0.76,,2022
10-26-2022,46.08,68.55,HOLD,1.95,,2022
10-25-2022,45.20,66.68,HOLD,3.29,,2022
