Date,Price,RSI,STATUS
12-16-2022,33.26,39.39,HOLD
12-15-2022,33.22,39.20,HOLD
12-14-2022,34.93,44.99,HOLD
12-13-2022,35.29,46.33,HOLD
12-12-2022,35.31,46.40,HOLD
12-09-2022,34.65,43.75,HOLD
12-08-2022,35.16,45.36,HOLD
12-07-2022,34.35,42.23,HOLD
12-06-2022,34.62,42.99,HOLD
12-05-2022,36.07,47.24,HOLD
12-02-2022,38.16,54.46,HOLD
12-01-2022,37.90,53.64,HOLD
11-30-2022,37.48,52.36,HOLD
11-29-2022,34.80,43.01,HOLD
11-28-2022,34.99,43.57,HOLD
11-25-2022,36.00,46.58,HOLD
11-23-2022,36.32,47.55,HOLD
11-22-2022,35.31,44.15,HOLD
11-21-2022,35.20,43.79,HOLD
11-18-2022,36.56,47.37,HOLD
11-17-2022,37.12,48.90,HOLD
11-16-2022,37.91,51.06,HOLD
11-15-2022,39.97,57.17,HOLD
11-14-2022,38.91,54.58,HOLD
11-11-2022,40.40,59.27,HOLD
11-10-2022,37.30,51.15,HOLD
11-09-2022,32.57,31.91,HOLD
11-08-2022,34.85,38.74,HOLD
11-07-2022,34.99,39.22,HOLD
11-04-2022,35.22,39.97,HOLD
11-03-2022,36.20,43.26,HOLD
11-02-2022,36.44,44.09,HOLD
11-01-2022,38.29,51.05,HOLD
10-31-2022,38.28,51.01,HOLD
10-28-2022,38.89,53.41,HOLD
10-27-2022,37.87,49.74,HOLD
10-26-2022,37.89,49.81,HOLD
10-25-2022,37.81,49.54,HOLD
10-24-2022,35.43,40.76,HOLD
10-21-2022,35.88,42.04,HOLD
10-20-2022,35.25,39.57,HOLD
10-19-2022,35.38,39.89,HOLD
10-18-2022,36.97,44.02,HOLD
10-17-2022,36.38,41.95,HOLD
10-14-2022,33.99,32.58,HOLD
10-13-2022,36.04,37.38,HOLD
10-12-2022,36.12,37.59,HOLD
10-11-2022,35.65,35.70,HOLD
10-10-2022,36.30,37.14,HOLD
10-07-2022,37.53,39.98,HOLD
10-06-2022,40.17,47.15,HOLD
10-05-2022,40.04,46.71,HOLD
10-04-2022,40.79,48.88,HOLD
10-03-2022,37.90,38.71,HOLD
09-30-2022,37.73,38.04,HOLD
09-29-2022,37.80,38.20,HOLD
09-28-2022,39.99,43.53,HOLD
09-27-2022,38.21,36.88,HOLD
09-26-2022,37.43,33.70,HOLD
09-23-2022,37.83,34.52,HOLD
09-22-2022,38.61,36.13,HOLD
09-21-2022,40.34,39.97,HOLD
09-20-2022,41.44,42.64,HOLD
09-19-2022,42.49,45.32,HOLD
09-16-2022,42.58,45.55,HOLD
09-15-2022,44.71,51.22,HOLD
09-14-2022,43.75,48.54,HOLD
09-13-2022,42.58,45.13,HOLD
09-12-2022,45.68,53.92,HOLD
09-09-2022,44.60,50.82,HOLD
09-08-2022,42.70,44.75,HOLD
09-07-2022,41.47,40.31,HOLD
09-06-2022,40.09,34.87,HOLD
09-02-2022,40.59,35.97,HOLD
09-01-2022,41.72,38.53,HOLD
08-31-2022,41.88,38.90,HOLD
08-30-2022,41.91,38.96,HOLD
08-29-2022,42.13,39.40,HOLD
08-26-2022,42.84,40.79,HOLD
08-25-2022,45.78,47.17,HOLD
08-24-2022,44.50,43.61,HOLD
08-23-2022,43.37,40.30,HOLD
08-22-2022,43.61,40.77,HOLD
08-19-2022,44.69,42.87,HOLD
08-18-2022,47.50,48.94,HOLD
08-17-2022,48.03,50.18,HOLD
08-16-2022,50.74,57.08,HOLD
08-15-2022,52.19,61.26,HOLD
08-12-2022,52.01,60.93,HOLD
08-11-2022,49.92,56.98,HOLD
08-10-2022,51.57,61.55,HOLD
08-09-2022,48.03,54.25,HOLD
08-08-2022,50.80,62.93,HOLD
08-05-2022,50.07,61.41,HOLD
08-04-2022,50.17,61.73,HOLD
08-03-2022,49.76,60.96,HOLD
08-02-2022,46.91,55.10,HOLD
08-01-2022,45.69,52.24,HOLD
07-29-2022,45.13,50.91,HOLD
07-28-2022,46.18,53.51,HOLD
07-27-2022,46.38,53.99,HOLD
07-26-2022,43.47,47.55,HOLD
07-25-2022,45.65,52.68,HOLD
07-22-2022,46.25,54.18,HOLD
07-21-2022,48.96,61.49,HOLD
07-20-2022,48.12,59.93,HOLD
07-19-2022,45.80,55.30,HOLD
07-18-2022,43.97,51.16,HOLD
07-15-2022,44.11,51.50,HOLD
07-14-2022,43.10,49.25,HOLD
07-13-2022,44.01,51.24,HOLD
07-12-2022,44.32,51.90,HOLD
07-11-2022,43.62,50.56,HOLD
07-08-2022,46.86,57.44,HOLD
07-07-2022,46.83,57.39,HOLD
