Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,76.61,56.12,HOLD,1.34,-0.35,-2.90
01-26-2023,75.60,49.86,HOLD,1.29,-1.66,-4.04
01-25-2023,74.64,42.65,HOLD,-0.63,-2.91,-5.66
01-24-2023,75.11,45.63,HOLD,-0.15,-2.30,-6.08
01-23-2023,75.22,46.34,HOLD,1.87,-2.16,-7.54
01-20-2023,73.84,34.56,HOLD,0.11,-3.95,-9.69
01-19-2023,73.76,33.78,HOLD,-0.97,-4.06,-10.21
01-18-2023,74.48,37.53,HOLD,-0.11,-3.12,-9.51
01-17-2023,74.56,37.96,HOLD,-2.74,-3.02,14.02
01-13-2023,76.66,52.90,HOLD,-0.31,-0.29,19.46
01-12-2023,76.90,55.21,HOLD,-0.13,0.03,18.65
01-11-2023,77.00,56.16,HOLD,-0.89,0.16,16.93
01-10-2023,77.69,63.09,HOLD,0.61,1.05,23.10
01-09-2023,77.22,59.97,HOLD,-0.48,0.44,20.58
01-06-2023,77.59,63.93,HOLD,0.82,0.92,21.58
01-05-2023,76.96,59.72,HOLD,0.16,0.10,16.10
01-04-2023,76.84,58.87,HOLD,-0.05,-0.05,14.35
01-03-2023,76.88,59.26,HOLD,0.43,0.00,14.03
12-30-2022,76.55,57.10,HOLD,-0.27,,0.00
12-29-2022,76.76,58.95,HOLD,0.93,,0.00
12-28-2022,76.05,54.32,HOLD,0.34,,0.00
12-27-2022,75.79,52.50,HOLD,-0.21,,0.00
12-23-2022,75.95,53.72,HOLD,0.33,,0.00
12-22-2022,75.70,52.10,HOLD,-0.25,,0.00
12-21-2022,75.89,53.42,HOLD,0.01,,0.00
12-20-2022,75.88,53.36,HOLD,-0.14,,0.00
12-19-2022,75.99,54.05,HOLD,-0.12,,0.00
12-16-2022,76.08,54.58,HOLD,-0.38,,0.00
12-15-2022,76.37,56.23,HOLD,-0.87,,0.00
12-14-2022,77.04,60.15,HOLD,0.40,,0.00
12-13-2022,76.73,58.92,HOLD,-0.81,,0.00
12-12-2022,77.36,62.56,HOLD,2.93,,0.00
12-09-2022,75.16,53.18,HOLD,0.54,,0.00
12-08-2022,74.76,51.11,HOLD,-1.54,,0.00
12-07-2022,75.93,58.08,HOLD,-0.24,,0.00
12-06-2022,76.11,59.23,HOLD,-0.29,,0.00
12-05-2022,76.33,60.59,HOLD,0.75,,0.00
12-02-2022,75.76,58.28,HOLD,0.76,,0.00
12-01-2022,75.19,55.88,HOLD,1.68,,0.00
11-30-2022,73.95,50.06,HOLD,-0.52,,0.00
11-29-2022,74.34,52.07,HOLD,-0.51,,0.00
11-28-2022,74.72,54.02,HOLD,1.70,,0.00
11-25-2022,73.47,48.06,HOLD,-4.07,,0.00
11-23-2022,76.59,68.70,HOLD,0.94,,0.00
11-22-2022,75.88,65.58,HOLD,1.44,,0.00
11-21-2022,74.80,59.93,HOLD,0.94,,0.00
11-18-2022,74.10,55.54,HOLD,0.39,,0.00
11-17-2022,73.81,53.58,HOLD,-0.73,,0.00
11-16-2022,74.35,58.00,HOLD,0.64,,0.00
11-15-2022,73.88,55.00,HOLD,-0.11,,0.00
11-14-2022,73.96,55.63,HOLD,-0.24,,0.00
11-11-2022,74.14,56.99,HOLD,0.71,,0.00
11-10-2022,73.62,53.97,HOLD,2.74,,0.00
11-09-2022,71.66,39.03,HOLD,-0.47,,0.00
11-08-2022,72.00,41.19,HOLD,1.27,,0.00
11-07-2022,71.10,31.96,HOLD,-1.20,,0.00
11-04-2022,71.96,37.13,HOLD,0.08,,0.00
11-03-2022,71.90,36.46,HOLD,-1.05,,0.00
11-02-2022,72.66,41.65,HOLD,-0.89,,0.00
11-01-2022,73.31,46.95,HOLD,0.70,,0.00
10-31-2022,72.80,41.53,HOLD,-0.07,,0.00
10-28-2022,72.85,41.92,HOLD,0.48,,0.00
10-27-2022,72.50,38.14,HOLD,0.03,,0.00
10-26-2022,72.48,37.92,HOLD,-0.03,,0.00
10-25-2022,72.50,38.04,HOLD,-0.01,,0.00
10-24-2022,72.51,38.10,HOLD,-0.28,,0.00
10-21-2022,72.71,39.19,HOLD,-0.82,,0.00
10-20-2022,73.31,42.60,HOLD,1.52,,0.00
10-19-2022,72.21,32.64,HOLD,-0.07,,0.00
10-18-2022,72.26,32.88,HOLD,0.70,,0.00
10-17-2022,71.76,27.95,HOLD,-0.51,,0.00
10-14-2022,72.13,29.43,HOLD,-1.35,,0.00
10-13-2022,73.12,33.92,HOLD,-0.52,,0.00
10-12-2022,73.50,35.87,HOLD,-0.07,,0.00
10-11-2022,73.55,36.12,HOLD,-0.27,,0.00
10-10-2022,73.75,37.09,HOLD,0.55,,0.00
10-07-2022,73.35,33.78,HOLD,-0.65,,0.00
10-06-2022,73.83,35.88,HOLD,-0.38,,0.00
10-05-2022,74.11,37.14,HOLD,-1.19,,0.00
10-04-2022,75.00,41.41,HOLD,0.86,,0.00
10-03-2022,74.36,36.54,HOLD,0.03,,0.00
09-30-2022,74.34,36.38,HOLD,-0.71,,0.00
09-29-2022,74.87,38.69,HOLD,-0.69,,0.00
09-28-2022,75.39,41.06,HOLD,0.71,,0.00
09-27-2022,74.86,37.43,HOLD,0.71,,0.00
