Date,Price,RSI,STATUS
01-09-2023,150.40,52.01,HOLD
01-06-2023,150.17,51.61,HOLD
01-05-2023,146.43,44.68,HOLD
01-04-2023,150.54,52.33,HOLD
01-03-2023,147.12,45.06,HOLD
12-30-2022,147.75,46.27,HOLD
12-29-2022,147.32,45.34,HOLD
12-28-2022,144.01,37.65,HOLD
12-27-2022,146.39,41.55,HOLD
12-23-2022,147.02,42.64,HOLD
12-22-2022,145.31,38.59,HOLD
12-21-2022,147.10,41.44,HOLD
12-20-2022,145.70,38.13,HOLD
12-19-2022,145.01,36.48,HOLD
12-16-2022,146.30,38.25,HOLD
12-15-2022,150.22,44.28,HOLD
12-14-2022,154.11,51.82,HOLD
12-13-2022,157.52,60.16,HOLD
12-12-2022,157.31,59.79,HOLD
12-09-2022,153.90,53.24,HOLD
12-08-2022,154.12,53.77,HOLD
12-07-2022,154.77,55.26,HOLD
12-06-2022,154.70,55.14,HOLD
12-05-2022,156.08,58.10,HOLD
12-02-2022,156.75,59.54,HOLD
12-01-2022,157.50,61.12,HOLD
11-30-2022,157.59,61.30,HOLD
11-29-2022,154.42,57.15,HOLD
11-28-2022,150.87,51.78,HOLD
11-25-2022,154.15,58.02,HOLD
11-23-2022,153.93,57.70,HOLD
11-22-2022,154.58,58.92,HOLD
11-21-2022,152.81,56.60,HOLD
11-18-2022,152.50,56.19,HOLD
11-17-2022,150.64,53.80,HOLD
11-16-2022,152.57,56.79,HOLD
11-15-2022,153.89,58.87,HOLD
11-14-2022,154.13,59.23,HOLD
11-11-2022,154.89,60.34,HOLD
11-10-2022,154.75,60.21,HOLD
11-09-2022,145.86,50.98,HOLD
11-08-2022,150.20,56.97,HOLD
11-07-2022,146.98,53.18,HOLD
11-04-2022,144.72,50.33,HOLD
11-03-2022,139.31,42.55,HOLD
11-02-2022,143.50,47.95,HOLD
11-01-2022,147.08,53.32,HOLD
10-31-2022,148.45,55.53,HOLD
10-28-2022,150.44,58.81,HOLD
10-27-2022,146.97,54.45,HOLD
10-26-2022,146.88,54.33,HOLD
10-25-2022,147.02,54.53,HOLD
10-24-2022,141.63,47.58,HOLD
