Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,69.42,67.71,HOLD,0.35,0.13,-2.34
01-11-2024,69.18,66.53,HOLD,-0.56,-0.22,-1.28
01-10-2024,69.57,70.42,HOLD,0.96,0.35,-1.25
01-09-2024,68.91,67.43,HOLD,-0.43,-0.61,-3.76
01-08-2024,69.21,70.44,HOLD,1.21,-0.17,-2.38
01-05-2024,68.38,66.61,HOLD,-0.58,-1.37,-3.42
01-04-2024,68.78,70.71,HOLD,0.67,-0.79,-1.48
01-03-2024,68.32,68.65,HOLD,-0.12,-1.46,-1.70
01-02-2024,68.40,69.44,HOLD,1.56,-1.34,-1.34
12-29-2023,67.35,64.45,HOLD,0.07,-2.86,0.00
12-28-2023,67.30,64.20,HOLD,-0.07,-2.93,0.00
12-27-2023,67.35,64.63,HOLD,1.28,-2.86,0.00
12-26-2023,66.50,60.39,HOLD,0.32,-4.08,0.00
12-22-2023,66.29,59.26,HOLD,-0.02,-4.38,0.00
12-21-2023,66.30,59.34,HOLD,0.79,-4.37,0.00
12-20-2023,65.78,56.72,HOLD,-0.18,-5.12,0.00
12-19-2023,65.90,57.51,HOLD,-0.08,-4.95,0.00
12-18-2023,65.95,57.83,HOLD,1.77,-4.88,0.00
12-15-2023,64.80,52.27,HOLD,-2.34,-6.53,0.00
12-14-2023,66.35,62.58,HOLD,0.68,-4.30,0.00
12-13-2023,65.90,60.48,HOLD,3.00,-4.95,0.00
12-12-2023,63.98,49.17,HOLD,0.76,-7.72,0.00
12-11-2023,63.50,45.55,HOLD,0.40,-8.41,0.00
12-08-2023,63.25,43.61,HOLD,-0.41,-8.77,0.00
12-07-2023,63.51,45.17,HOLD,-0.13,-8.39,0.00
12-06-2023,63.59,45.63,HOLD,-0.66,-8.28,0.00
12-05-2023,64.01,48.04,HOLD,-1.55,-7.67,0.00
12-04-2023,65.02,54.47,HOLD,0.35,-6.22,0.00
12-01-2023,64.79,53.14,HOLD,0.31,-6.55,0.00
11-30-2023,64.59,52.02,HOLD,0.73,-6.84,0.00
11-29-2023,64.12,49.36,HOLD,1.30,-7.51,0.00
11-28-2023,63.30,44.36,HOLD,-0.57,-8.70,0.00
11-27-2023,63.66,46.22,HOLD,-1.30,-8.18,0.00
11-24-2023,64.50,50.83,HOLD,1.40,-6.97,0.00
11-22-2023,63.61,45.48,HOLD,-1.04,-8.25,0.00
11-21-2023,64.28,49.23,HOLD,0.77,-7.28,0.00
11-20-2023,63.79,46.22,HOLD,-0.53,-7.99,0.00
11-17-2023,64.13,48.05,HOLD,0.52,-7.50,0.00
11-16-2023,63.80,46.12,HOLD,1.06,-7.98,0.00
11-15-2023,63.13,42.07,HOLD,-1.71,-8.94,0.00
11-14-2023,64.23,47.52,HOLD,0.83,-7.36,0.00
11-13-2023,63.70,44.29,HOLD,0.84,-8.12,0.00
11-10-2023,63.17,40.91,HOLD,-1.44,-8.89,0.00
11-09-2023,64.09,45.34,HOLD,0.88,-7.56,0.00
11-08-2023,63.53,41.78,HOLD,-0.13,-8.37,0.00
11-07-2023,63.61,42.14,HOLD,-0.69,-8.25,0.00
11-06-2023,64.05,44.11,HOLD,0.14,-7.62,0.00
11-03-2023,63.96,43.61,HOLD,-0.34,-7.75,0.00
11-02-2023,64.18,44.51,HOLD,0.63,-7.43,0.00
11-01-2023,63.78,42.50,HOLD,0.87,-8.01,0.00
10-31-2023,63.23,39.71,HOLD,0.46,-8.80,0.00
10-30-2023,62.94,38.25,HOLD,1.70,-9.22,0.00
10-27-2023,61.89,32.74,HOLD,-2.40,-10.73,0.00
10-26-2023,63.41,37.20,HOLD,-1.25,-8.54,0.00
10-25-2023,64.21,39.85,HOLD,-0.56,-7.38,0.00
10-24-2023,64.57,41.07,HOLD,2.41,-6.87,0.00
10-23-2023,63.05,33.01,HOLD,-1.22,-9.06,0.00
10-20-2023,63.83,35.31,HOLD,-0.92,-7.93,0.00
10-19-2023,64.42,37.13,HOLD,-1.26,-7.08,0.00
10-18-2023,65.24,39.77,HOLD,-5.83,-5.90,0.00
10-17-2023,69.28,58.96,HOLD,2.15,-0.07,0.00
10-16-2023,67.82,51.03,HOLD,0.73,-2.18,0.00
10-13-2023,67.33,47.90,HOLD,-1.15,-2.88,0.00
10-12-2023,68.11,52.90,HOLD,0.15,-1.76,0.00
10-11-2023,68.01,52.31,HOLD,0.00,-1.90,0.00
10-10-2023,68.01,52.31,HOLD,1.45,-1.90,0.00
10-09-2023,67.04,46.69,HOLD,-0.56,-3.30,0.00
10-06-2023,67.42,48.78,HOLD,0.81,-2.75,0.00
10-05-2023,66.88,45.56,HOLD,0.39,-3.53,0.00
10-04-2023,66.62,43.99,HOLD,0.54,-3.91,0.00
10-03-2023,66.26,41.83,HOLD,-0.70,-4.43,0.00
10-02-2023,66.73,43.88,HOLD,-1.46,-3.75,0.00
09-29-2023,67.72,48.54,HOLD,0.44,-2.32,0.00
09-28-2023,67.42,46.96,HOLD,-0.77,-2.75,0.00
09-27-2023,67.94,49.41,HOLD,-0.41,-2.00,0.00
09-26-2023,68.22,50.73,HOLD,-1.04,-1.60,0.00
09-25-2023,68.94,54.19,HOLD,1.64,-0.56,0.00
09-22-2023,67.83,49.23,HOLD,1.21,-2.16,0.00
09-21-2023,67.02,45.21,HOLD,-1.38,-3.33,0.00
09-20-2023,67.96,49.43,HOLD,1.93,-1.98,0.00
09-19-2023,66.67,42.60,HOLD,0.06,-3.84,0.00
09-18-2023,66.63,42.37,HOLD,-2.40,-3.89,0.00
09-15-2023,68.27,49.77,HOLD,0.72,-1.53,0.00
09-14-2023,67.78,47.21,HOLD,2.00,-2.24,0.00
09-13-2023,66.45,39.44,HOLD,-1.32,-4.15,0.00
09-12-2023,67.34,43.41,HOLD,1.11,-2.87,0.00
09-11-2023,66.60,38.65,HOLD,-2.37,-3.94,0.00
09-08-2023,68.22,46.63,HOLD,0.32,-1.60,0.00
09-07-2023,68.00,45.21,HOLD,1.49,-1.92,0.00
09-06-2023,67.00,38.23,HOLD,-0.95,-3.36,0.00
09-05-2023,67.64,41.36,HOLD,-0.73,-2.44,0.00
09-01-2023,68.14,43.97,HOLD,0.47,-1.72,0.00
08-31-2023,67.82,41.78,HOLD,-1.51,-2.18,0.00
08-30-2023,68.86,47.36,HOLD,-0.40,-0.68,0.00
08-29-2023,69.14,48.99,HOLD,0.73,-0.27,0.00
08-28-2023,68.64,45.90,HOLD,0.57,-1.00,0.00
08-25-2023,68.25,43.41,HOLD,0.53,-1.56,0.00
08-24-2023,67.89,41.09,HOLD,-1.75,-2.08,0.00
08-23-2023,69.10,47.12,HOLD,0.48,-0.33,0.00
08-22-2023,68.77,45.08,HOLD,-0.16,-0.81,0.00
08-21-2023,68.88,45.62,HOLD,0.61,-0.65,0.00
08-18-2023,68.46,43.19,HOLD,-0.95,-1.25,0.00
08-17-2023,69.12,46.21,HOLD,-0.85,-0.30,0.00
08-16-2023,69.71,49.06,HOLD,0.29,0.55,0.00
08-15-2023,69.51,48.05,HOLD,-1.88,0.26,0.00
08-14-2023,70.84,54.74,HOLD,0.67,2.18,0.00
08-11-2023,70.37,52.57,HOLD,0.04,1.50,0.00
08-10-2023,70.34,52.44,HOLD,-1.32,1.46,0.00
08-09-2023,71.28,57.17,HOLD,1.14,2.81,0.00
08-08-2023,70.48,53.88,HOLD,0.79,1.66,0.00
08-07-2023,69.93,51.50,HOLD,0.76,0.87,0.00
08-04-2023,69.40,49.16,HOLD,-0.39,0.10,0.00
08-03-2023,69.67,50.31,HOLD,-1.14,0.49,0.00
08-02-2023,70.47,53.77,HOLD,-1.37,1.64,0.00
08-01-2023,71.45,58.34,HOLD,-0.35,3.06,0.00
07-31-2023,71.70,59.53,HOLD,0.52,3.42,0.00
07-28-2023,71.33,58.36,HOLD,4.68,2.88,0.00
07-27-2023,68.14,45.75,HOLD,-1.79,-1.72,0.00
07-26-2023,69.38,51.36,HOLD,0.26,0.07,0.00
07-25-2023,69.20,50.54,HOLD,0.41,-0.19,0.00
07-24-2023,68.92,49.31,HOLD,-0.61,-0.59,0.00
07-21-2023,69.34,51.08,HOLD,1.14,0.01,0.00
07-20-2023,68.56,47.85,HOLD,1.50,-1.11,0.00
07-19-2023,67.55,43.35,HOLD,1.17,-2.57,0.00
07-18-2023,66.77,39.61,HOLD,-0.42,-3.69,0.00
07-17-2023,67.05,40.50,HOLD,-0.49,-3.29,0.00
07-14-2023,67.38,41.53,HOLD,-0.49,-2.81,0.00
07-13-2023,67.71,42.52,HOLD,1.87,-2.34,0.00
07-12-2023,66.47,37.27,HOLD,2.48,-4.13,0.00
07-11-2023,64.86,29.51,HOLD,-0.51,-6.45,0.00
07-10-2023,65.19,30.22,HOLD,0.52,-5.97,0.00
07-07-2023,64.85,28.57,HOLD,-0.86,-6.46,0.00
07-06-2023,65.41,29.64,HOLD,-2.46,-5.65,0.00
07-05-2023,67.06,33.03,HOLD,2.77,-3.27,0.00
07-03-2023,65.25,24.20,BUY,-8.83,-5.88,0.00
06-30-2023,71.57,42.26,HOLD,1.02,3.23,0.00
06-29-2023,70.85,37.31,HOLD,-0.16,2.19,0.00
06-28-2023,70.96,37.77,HOLD,-0.99,2.35,0.00
06-27-2023,71.67,40.78,HOLD,-0.08,3.38,0.00
06-26-2023,71.73,41.03,HOLD,-0.54,3.46,0.00
06-23-2023,72.12,42.65,HOLD,-2.47,4.02,0.00
06-22-2023,73.95,51.50,HOLD,0.78,6.66,0.00
06-21-2023,73.38,48.40,HOLD,-0.77,5.84,0.00
06-20-2023,73.95,51.45,HOLD,-1.69,6.66,0.00
06-16-2023,75.22,59.17,HOLD,0.80,8.50,0.00
06-15-2023,74.62,56.29,HOLD,2.54,7.63,0.00
06-14-2023,72.77,45.26,HOLD,-1.83,4.96,0.00
06-13-2023,74.13,54.68,HOLD,0.38,6.92,0.00
06-12-2023,73.85,52.80,HOLD,-0.28,6.52,0.00
06-09-2023,74.06,54.37,HOLD,-0.26,6.82,0.00
06-08-2023,74.25,55.77,HOLD,1.28,7.10,0.00
06-07-2023,73.31,49.87,HOLD,-0.12,5.74,0.00
06-06-2023,73.40,50.47,HOLD,0.27,5.87,0.00
06-05-2023,73.20,49.21,HOLD,0.84,5.58,0.00
06-02-2023,72.59,45.27,HOLD,-0.34,4.70,0.00
06-01-2023,72.84,46.65,HOLD,-0.33,5.06,0.00
05-31-2023,73.08,47.95,HOLD,2.31,5.41,0.00
05-30-2023,71.43,36.70,HOLD,-1.50,3.03,0.00
05-26-2023,72.52,42.31,HOLD,1.02,4.60,0.00
05-25-2023,71.79,36.25,HOLD,-0.84,3.55,0.00
05-24-2023,72.40,39.46,HOLD,-2.25,4.43,0.00
05-23-2023,74.07,50.95,HOLD,-0.51,6.84,0.00
05-22-2023,74.45,54.29,HOLD,-0.45,7.38,0.00
05-19-2023,74.79,57.42,HOLD,0.78,7.88,0.00
05-18-2023,74.21,53.15,HOLD,-0.66,7.04,0.00
05-17-2023,74.70,57.69,HOLD,-0.77,7.75,0.00
05-16-2023,75.28,63.67,HOLD,0.39,8.58,0.00
05-15-2023,74.99,61.83,HOLD,0.35,8.16,0.00
05-12-2023,74.73,60.16,HOLD,0.00,7.79,0.00
05-11-2023,74.73,60.16,HOLD,-0.19,7.79,0.00
05-10-2023,74.87,61.41,HOLD,-0.28,7.99,0.00
05-09-2023,75.08,63.25,HOLD,-0.33,8.29,0.00
05-08-2023,75.33,65.41,HOLD,0.08,8.65,0.00
05-05-2023,75.27,65.14,HOLD,1.20,8.57,0.00
05-04-2023,74.38,61.02,HOLD,-0.28,7.28,0.00
05-03-2023,74.59,62.64,HOLD,1.21,7.59,0.00
05-02-2023,73.70,58.28,HOLD,0.27,6.30,0.00
05-01-2023,73.50,57.24,HOLD,0.38,6.01,0.00
04-28-2023,73.22,55.80,HOLD,-0.76,5.61,0.00
04-27-2023,73.78,59.51,HOLD,0.18,6.42,0.00
04-26-2023,73.65,58.92,HOLD,-2.66,6.23,0.00
