Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,217.70,31.00,HOLD,-2.23,11.42,1.67
01-11-2024,222.66,33.78,HOLD,-2.27,13.96,3.89
01-10-2024,227.84,37.00,HOLD,0.92,16.61,9.52
01-09-2024,225.76,34.68,HOLD,-1.41,15.54,9.23
01-08-2024,229.00,36.63,HOLD,-8.03,17.20,9.80
01-05-2024,249.00,54.07,HOLD,1.66,27.44,16.90
01-04-2024,244.94,49.54,HOLD,0.42,25.36,19.49
01-03-2024,243.91,48.34,HOLD,-3.12,24.83,19.78
01-02-2024,251.76,58.12,HOLD,-3.41,28.85,28.85
12-29-2023,260.66,73.84,HOLD,0.12,33.40,0.00
12-28-2023,260.35,73.61,HOLD,-0.67,33.25,0.00
12-27-2023,262.10,77.18,SELL,-0.26,34.14,0.00
12-26-2023,262.79,78.58,SELL,0.90,34.50,0.00
12-22-2023,260.44,77.28,SELL,-0.60,33.29,0.00
12-21-2023,262.02,80.32,SELL,0.68,34.10,0.00
12-20-2023,260.25,79.48,SELL,-1.24,33.20,0.00
12-19-2023,263.51,85.74,SELL,1.19,34.86,0.00
12-18-2023,260.41,84.67,SELL,-1.46,33.28,0.00
12-15-2023,264.27,92.69,SELL,3.13,35.25,0.00
12-14-2023,256.24,91.05,SELL,2.12,31.14,0.00
12-13-2023,250.91,89.62,SELL,0.92,28.41,0.00
12-12-2023,248.63,88.92,SELL,0.22,27.25,0.00
12-11-2023,248.08,88.75,SELL,1.38,26.97,0.00
12-08-2023,244.70,87.66,SELL,3.11,25.24,0.00
12-07-2023,237.33,84.66,SELL,0.19,21.46,0.00
12-06-2023,236.89,84.45,SELL,1.17,21.24,0.00
12-05-2023,234.16,83.12,SELL,-0.30,19.84,0.00
12-04-2023,234.87,84.87,SELL,0.43,20.21,0.00
12-01-2023,233.87,84.45,SELL,0.97,19.69,0.00
11-30-2023,231.63,83.47,SELL,3.21,18.55,0.00
11-29-2023,224.43,79.68,SELL,0.93,14.86,0.00
11-28-2023,222.37,78.36,SELL,1.40,13.81,0.00
11-27-2023,219.30,76.22,SELL,-0.32,12.24,0.00
11-24-2023,220.00,77.85,SELL,0.04,12.60,0.00
11-22-2023,219.91,77.79,SELL,0.75,12.55,0.00
11-21-2023,218.27,76.79,SELL,0.26,11.71,0.00
11-20-2023,217.71,76.45,SELL,4.65,11.42,0.00
11-17-2023,208.04,69.29,HOLD,0.70,6.47,0.00
11-16-2023,206.60,67.94,HOLD,-1.01,5.74,0.00
11-15-2023,208.71,72.26,HOLD,0.60,6.82,0.00
11-14-2023,207.47,71.26,HOLD,1.43,6.18,0.00
11-13-2023,204.54,68.80,HOLD,4.01,4.68,0.00
11-10-2023,196.65,60.32,HOLD,1.72,0.64,0.00
11-09-2023,193.33,55.60,HOLD,0.78,-1.05,0.00
11-08-2023,191.83,53.27,HOLD,0.22,-1.82,0.00
11-07-2023,191.41,52.62,HOLD,-0.80,-2.04,0.00
11-06-2023,192.95,55.22,HOLD,-1.08,-1.25,0.00
11-03-2023,195.05,58.91,HOLD,1.58,-0.17,0.00
11-02-2023,192.01,54.86,HOLD,1.39,-1.73,0.00
11-01-2023,189.38,50.97,HOLD,1.37,-3.08,0.00
10-31-2023,186.82,46.83,HOLD,2.45,-4.39,0.00
10-30-2023,182.35,38.40,HOLD,1.48,-6.67,0.00
10-27-2023,179.69,32.49,HOLD,0.34,-8.04,0.00
10-26-2023,179.09,31.11,HOLD,0.77,-8.34,0.00
10-25-2023,177.73,28.00,HOLD,-2.54,-9.04,0.00
10-24-2023,182.36,32.66,HOLD,0.73,-6.67,0.00
10-23-2023,181.03,29.53,HOLD,0.55,-7.35,0.00
10-20-2023,180.04,27.19,HOLD,-1.50,-7.86,0.00
10-19-2023,182.79,29.73,HOLD,-1.56,-6.45,0.00
10-18-2023,185.69,32.73,HOLD,0.05,-4.96,0.00
10-17-2023,185.60,32.54,HOLD,0.36,-5.01,0.00
10-16-2023,184.93,31.15,HOLD,0.01,-5.35,0.00
10-13-2023,184.91,31.11,HOLD,-3.34,-5.36,0.00
10-12-2023,191.30,37.45,HOLD,-2.43,-2.09,0.00
10-11-2023,196.07,43.61,HOLD,1.31,0.35,0.00
10-10-2023,193.53,38.62,HOLD,2.67,-0.95,0.00
10-09-2023,188.49,26.65,BUY,0.59,-3.53,0.00
10-06-2023,187.38,23.61,BUY,0.59,-4.10,0.00
10-05-2023,186.29,20.60,BUY,-0.24,-4.66,0.00
10-04-2023,186.73,20.91,BUY,-1.16,-4.43,0.00
10-03-2023,188.92,22.46,BUY,0.58,-3.31,0.00
10-02-2023,187.83,19.70,BUY,-2.01,-3.87,0.00
09-29-2023,191.68,22.31,BUY,0.66,-1.90,0.00
09-28-2023,190.43,19.09,BUY,-2.57,-2.54,0.00
09-27-2023,195.46,22.59,BUY,-0.09,0.04,0.00
09-26-2023,195.64,22.72,BUY,-1.58,0.13,0.00
09-25-2023,198.78,25.23,BUY,0.54,1.73,0.00
09-22-2023,197.71,22.53,BUY,-1.12,1.19,0.00
09-21-2023,199.95,24.23,BUY,-1.20,2.33,0.00
09-20-2023,202.37,26.22,BUY,-1.03,3.57,0.00
09-19-2023,204.48,28.08,HOLD,-0.31,4.65,0.00
09-18-2023,205.12,28.66,HOLD,-1.44,4.98,0.00
