Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,34.12,54.29,HOLD,0.68,1.82,2023
01-09-2023,33.89,52.02,HOLD,-1.51,1.13,2023
01-06-2023,34.41,58.09,HOLD,1.00,2.69,2023
01-05-2023,34.07,54.89,HOLD,-0.21,1.67,2023
01-04-2023,34.14,55.71,HOLD,1.88,1.88,2023
01-03-2023,33.51,49.46,HOLD,1.18,0.00,2023
12-30-2022,33.12,45.00,HOLD,-0.06,,2022
12-29-2022,33.14,45.19,HOLD,1.13,,2022
12-28-2022,32.77,40.90,HOLD,0.74,,2022
12-27-2022,32.53,37.99,HOLD,0.18,,2022
12-23-2022,32.47,37.27,HOLD,0.25,,2022
12-22-2022,32.39,36.35,HOLD,-0.89,,2022
12-21-2022,32.68,38.23,HOLD,1.52,,2022
12-20-2022,32.19,32.79,HOLD,0.41,,2022
12-19-2022,32.06,31.30,HOLD,1.14,,2022
12-16-2022,31.70,27.14,BUY,-0.22,,2022
12-15-2022,31.77,27.44,BUY,-1.58,,2022
12-14-2022,32.28,29.66,BUY,-1.44,,2022
12-13-2022,32.75,31.86,HOLD,0.06,,2022
12-12-2022,32.73,31.66,HOLD,1.08,,2022
12-09-2022,32.38,28.23,BUY,-0.18,,2022
12-08-2022,32.44,28.46,BUY,-0.92,,2022
12-07-2022,32.74,29.56,BUY,-0.79,,2022
12-06-2022,33.00,30.52,HOLD,-4.26,,2022
12-05-2022,34.47,36.74,HOLD,-4.46,,2022
12-02-2022,36.08,46.34,HOLD,-1.29,,2022
12-01-2022,36.55,49.88,HOLD,-3.43,,2022
11-30-2022,37.85,62.03,HOLD,2.30,,2022
11-29-2022,37.00,55.44,HOLD,0.38,,2022
11-28-2022,36.86,54.22,HOLD,-2.23,,2022
11-25-2022,37.70,63.95,HOLD,0.24,,2022
11-23-2022,37.61,63.29,HOLD,0.32,,2022
11-22-2022,37.49,62.45,HOLD,0.48,,2022
11-21-2022,37.31,61.20,HOLD,0.32,,2022
11-18-2022,37.19,60.39,HOLD,0.05,,2022
11-17-2022,37.17,60.26,HOLD,-0.51,,2022
11-16-2022,37.36,62.04,HOLD,-0.90,,2022
11-15-2022,37.70,65.24,HOLD,-0.16,,2022
11-14-2022,37.76,65.79,HOLD,-1.69,,2022
11-11-2022,38.41,71.96,SELL,0.73,,2022
11-10-2022,38.13,70.87,SELL,4.41,,2022
11-09-2022,36.52,63.22,HOLD,-1.59,,2022
11-08-2022,37.11,69.42,HOLD,0.27,,2022
11-07-2022,37.01,68.94,HOLD,0.60,,2022
11-04-2022,36.79,67.91,HOLD,2.51,,2022
11-03-2022,35.89,63.30,HOLD,-0.55,,2022
11-02-2022,36.09,65.23,HOLD,-0.30,,2022
11-01-2022,36.20,66.27,HOLD,0.44,,2022
10-31-2022,36.04,65.53,HOLD,-0.39,,2022
10-28-2022,36.18,66.72,HOLD,0.86,,2022
10-27-2022,35.87,65.43,HOLD,0.48,,2022
10-26-2022,35.70,64.74,HOLD,0.88,,2022
10-25-2022,35.39,63.49,HOLD,0.91,,2022
10-24-2022,35.07,62.22,HOLD,0.34,,2022
10-21-2022,34.95,61.75,HOLD,3.71,,2022
10-20-2022,33.70,56.58,HOLD,-0.65,,2022
10-19-2022,33.92,57.86,HOLD,-2.75,,2022
10-18-2022,34.88,63.69,HOLD,3.75,,2022
10-17-2022,33.62,58.61,HOLD,6.06,,2022
