Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,56.09,64.90,HOLD,0.94,7.93,2023
01-09-2023,55.57,63.18,HOLD,2.41,6.93,2023
01-06-2023,54.26,58.43,HOLD,2.69,4.41,2023
01-05-2023,52.84,52.22,HOLD,0.67,1.67,2023
01-04-2023,52.49,50.53,HOLD,1.00,1.00,2023
01-03-2023,51.97,47.98,HOLD,1.62,0.00,2023
12-30-2022,51.14,43.70,HOLD,-0.93,,2022
12-29-2022,51.62,45.72,HOLD,2.06,,2022
12-28-2022,50.58,40.15,HOLD,-2.34,,2022
12-27-2022,51.79,45.16,HOLD,0.31,,2022
12-23-2022,51.63,44.31,HOLD,0.94,,2022
12-22-2022,51.15,41.78,HOLD,-1.14,,2022
12-21-2022,51.74,44.06,HOLD,2.19,,2022
12-20-2022,50.63,38.17,HOLD,0.04,,2022
12-19-2022,50.61,38.06,HOLD,-1.38,,2022
12-16-2022,51.32,40.41,HOLD,-0.64,,2022
12-15-2022,51.65,41.52,HOLD,-5.16,,2022
12-14-2022,54.46,53.00,HOLD,1.19,,2022
12-13-2022,53.82,50.08,HOLD,0.41,,2022
12-12-2022,53.60,49.07,HOLD,0.07,,2022
12-09-2022,53.56,48.89,HOLD,-0.61,,2022
12-08-2022,53.89,50.21,HOLD,2.67,,2022
12-07-2022,52.49,44.30,HOLD,-4.22,,2022
12-06-2022,54.80,54.15,HOLD,0.83,,2022
12-05-2022,54.35,52.23,HOLD,-2.62,,2022
12-02-2022,55.81,59.78,HOLD,-0.07,,2022
12-01-2022,55.85,60.01,HOLD,-0.41,,2022
11-30-2022,56.08,61.21,HOLD,2.45,,2022
11-29-2022,54.74,56.48,HOLD,-0.80,,2022
11-28-2022,55.18,58.66,HOLD,-1.76,,2022
11-25-2022,56.17,63.82,HOLD,0.09,,2022
11-23-2022,56.12,63.67,HOLD,1.30,,2022
11-22-2022,55.40,61.54,HOLD,0.38,,2022
11-21-2022,55.19,60.92,HOLD,0.18,,2022
11-18-2022,55.09,60.64,HOLD,1.32,,2022
11-17-2022,54.37,58.65,HOLD,-0.68,,2022
11-16-2022,54.74,60.10,HOLD,-1.35,,2022
11-15-2022,55.49,63.02,HOLD,-0.09,,2022
11-14-2022,55.54,63.21,HOLD,-2.24,,2022
11-11-2022,56.81,68.06,HOLD,6.19,,2022
11-10-2022,53.50,60.78,HOLD,7.97,,2022
11-09-2022,49.55,47.52,HOLD,-1.96,,2022
11-08-2022,50.54,51.58,HOLD,-0.92,,2022
11-07-2022,51.01,53.59,HOLD,0.31,,2022
11-04-2022,50.85,53.01,HOLD,-0.35,,2022
11-03-2022,51.03,53.72,HOLD,6.65,,2022
11-02-2022,47.85,40.85,HOLD,-3.26,,2022
11-01-2022,49.46,46.99,HOLD,0.14,,2022
10-31-2022,49.39,46.67,HOLD,-0.42,,2022
10-28-2022,49.60,47.48,HOLD,3.83,,2022
10-27-2022,47.77,38.93,HOLD,-0.87,,2022
10-26-2022,48.19,40.32,HOLD,-0.48,,2022
10-25-2022,48.42,41.08,HOLD,-1.96,,2022
10-24-2022,49.39,44.31,HOLD,0.39,,2022
10-21-2022,49.20,43.50,HOLD,1.42,,2022
10-20-2022,48.51,40.59,HOLD,-0.88,,2022
10-19-2022,48.94,41.84,HOLD,-2.37,,2022
10-18-2022,50.13,45.42,HOLD,1.87,,2022
10-17-2022,49.21,41.84,HOLD,3.69,,2022
10-14-2022,47.46,34.24,HOLD,-3.02,,2022
10-13-2022,48.94,38.16,HOLD,0.00,,2022
10-12-2022,48.94,38.16,HOLD,0.97,,2022
10-11-2022,48.47,36.15,HOLD,-1.74,,2022
10-10-2022,49.33,38.26,HOLD,1.67,,2022
10-07-2022,48.52,34.95,HOLD,-2.84,,2022
10-06-2022,49.94,38.29,HOLD,-1.96,,2022
10-05-2022,50.94,40.84,HOLD,0.75,,2022
10-04-2022,50.56,39.42,HOLD,2.41,,2022
10-03-2022,49.37,34.85,HOLD,2.17,,2022
09-30-2022,48.32,30.57,HOLD,1.41,,2022
09-29-2022,47.65,27.75,BUY,-3.21,,2022
09-28-2022,49.23,30.45,HOLD,3.66,,2022
09-27-2022,47.49,22.75,BUY,-1.70,,2022
09-26-2022,48.31,23.91,BUY,-1.69,,2022
09-23-2022,49.14,25.11,BUY,-0.18,,2022
09-22-2022,49.23,25.24,BUY,-8.66,,2022
09-21-2022,53.90,33.44,HOLD,-2.48,,2022
09-20-2022,55.27,36.68,HOLD,-3.02,,2022
09-19-2022,56.99,41.37,HOLD,0.58,,2022
09-16-2022,56.66,40.00,HOLD,-1.73,,2022
09-15-2022,57.66,42.80,HOLD,0.44,,2022
09-14-2022,57.41,41.86,HOLD,-2.00,,2022
09-13-2022,58.58,45.10,HOLD,-3.48,,2022
09-12-2022,60.69,51.81,HOLD,2.29,,2022
09-09-2022,59.33,47.10,HOLD,0.78,,2022
09-08-2022,58.87,45.42,HOLD,0.39,,2022
09-07-2022,58.64,44.61,HOLD,5.58,,2022
09-06-2022,55.54,31.87,HOLD,-0.48,,2022
09-02-2022,55.81,32.47,HOLD,0.34,,2022
09-01-2022,55.62,31.62,HOLD,-0.34,,2022
08-31-2022,55.81,32.00,HOLD,-1.78,,2022
08-30-2022,56.82,33.97,HOLD,0.04,,2022
08-29-2022,56.80,33.90,HOLD,-1.58,,2022
08-26-2022,57.71,35.61,HOLD,-4.60,,2022
08-25-2022,60.49,41.55,HOLD,-1.32,,2022
08-24-2022,61.30,43.52,HOLD,0.39,,2022
08-23-2022,61.06,42.77,HOLD,0.94,,2022
08-22-2022,60.49,41.06,HOLD,-2.29,,2022
08-19-2022,61.91,44.12,HOLD,0.32,,2022
08-18-2022,61.71,43.57,HOLD,0.75,,2022
08-17-2022,61.25,42.36,HOLD,-0.71,,2022
08-16-2022,61.69,43.18,HOLD,2.39,,2022
08-15-2022,60.25,39.61,HOLD,1.31,,2022
