Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,58.66,35.67,HOLD,0.00,0.00,0.00
08-22-2022,59.67,39.31,HOLD,0.00,0.00,0.00
08-19-2022,61.25,46.13,HOLD,0.00,0.00,0.00
08-18-2022,61.05,45.01,HOLD,0.00,0.00,0.00
08-17-2022,61.38,46.49,HOLD,0.00,0.00,0.00
08-16-2022,61.84,48.56,HOLD,0.00,0.00,0.00
08-15-2022,62.02,49.36,HOLD,0.00,0.00,0.00
08-12-2022,60.46,41.63,HOLD,0.00,0.00,0.00
08-11-2022,59.97,38.91,HOLD,0.00,0.00,0.00
08-10-2022,59.90,38.53,HOLD,0.00,0.00,0.00
08-09-2022,58.95,33.30,HOLD,0.00,0.00,0.00
08-08-2022,59.71,35.54,HOLD,0.00,0.00,0.00
08-05-2022,58.59,28.98,HOLD,0.00,0.00,0.00
08-04-2022,57.91,24.66,HOLD,0.00,0.00,0.00
08-03-2022,58.18,25.23,HOLD,0.00,0.00,0.00
08-02-2022,58.88,26.70,HOLD,0.00,0.00,0.00
08-01-2022,58.67,25.49,HOLD,0.00,0.00,0.00
07-29-2022,58.66,25.43,HOLD,0.00,0.00,0.00
07-28-2022,59.50,26.98,HOLD,0.00,0.00,0.00
07-27-2022,66.80,52.83,HOLD,0.00,0.00,0.00
07-26-2022,66.74,52.48,HOLD,0.00,0.00,0.00
07-25-2022,66.26,49.73,HOLD,0.00,0.00,0.00
07-22-2022,66.16,49.16,HOLD,0.00,0.00,0.00
07-21-2022,66.03,48.45,HOLD,0.00,0.00,0.00
07-20-2022,65.59,46.10,HOLD,0.00,0.00,0.00
07-19-2022,65.32,44.67,HOLD,0.00,0.00,0.00
07-18-2022,64.36,39.33,HOLD,0.00,0.00,0.00
07-15-2022,64.91,41.46,HOLD,0.00,0.00,0.00
07-14-2022,63.42,32.24,HOLD,0.00,0.00,0.00
07-13-2022,63.78,33.42,HOLD,0.00,0.00,0.00
07-12-2022,64.68,36.52,HOLD,0.00,0.00,0.00
07-11-2022,64.51,35.47,HOLD,0.00,0.00,0.00
07-08-2022,65.18,37.76,HOLD,0.00,0.00,0.00
07-07-2022,65.21,37.86,HOLD,0.00,0.00,0.00
07-06-2022,65.11,37.34,HOLD,0.00,0.00,0.00
07-05-2022,65.39,38.18,HOLD,0.00,0.00,0.00
07-01-2022,65.49,38.46,HOLD,0.00,0.00,0.00
06-30-2022,64.23,32.58,HOLD,0.00,0.00,0.00
06-29-2022,65.81,36.66,HOLD,0.00,0.00,0.00
06-28-2022,65.25,33.93,HOLD,0.00,0.00,0.00
06-27-2022,66.71,37.88,HOLD,0.00,0.00,0.00
06-24-2022,66.78,38.08,HOLD,0.00,0.00,0.00
06-23-2022,65.08,29.84,HOLD,0.00,0.00,0.00
06-22-2022,64.75,28.12,HOLD,0.00,0.00,0.00
06-21-2022,64.02,24.31,HOLD,0.00,0.00,0.00
06-17-2022,63.83,23.32,HOLD,0.00,0.00,0.00
06-16-2022,65.29,25.71,HOLD,0.00,0.00,0.00
06-15-2022,67.83,30.79,HOLD,0.00,0.00,0.00
06-14-2022,67.48,29.00,HOLD,0.00,0.00,0.00
06-13-2022,71.57,40.37,HOLD,0.00,0.00,0.00
06-10-2022,73.12,46.84,HOLD,0.00,0.00,0.00
06-09-2022,72.03,40.63,HOLD,0.00,0.00,0.00
06-08-2022,72.85,44.24,HOLD,0.00,0.00,0.00
06-07-2022,72.58,42.68,HOLD,0.00,0.00,0.00
06-06-2022,72.50,42.24,HOLD,0.00,0.00,0.00
06-03-2022,72.54,42.39,HOLD,0.00,0.00,0.00
06-02-2022,74.26,49.53,HOLD,0.00,0.00,0.00
06-01-2022,74.47,50.49,HOLD,0.00,0.00,0.00
05-31-2022,76.05,58.44,HOLD,0.00,0.00,0.00
05-27-2022,76.16,59.04,HOLD,0.00,0.00,0.00
05-26-2022,75.75,57.53,HOLD,0.00,0.00,0.00
