Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,73.86,44.96,HOLD,-1.06,-8.15,-13.90
01-11-2024,74.65,48.40,HOLD,-1.48,-7.16,-13.60
01-10-2024,75.77,53.84,HOLD,0.81,-5.77,-11.74
01-09-2024,75.16,51.06,HOLD,-0.50,-6.53,-10.81
01-08-2024,75.54,52.91,HOLD,-0.38,-6.06,-7.95
01-05-2024,75.83,54.30,HOLD,0.70,-5.70,-8.68
01-04-2024,75.30,52.16,HOLD,-0.17,-6.35,-7.62
01-03-2024,75.43,52.72,HOLD,-2.37,-6.19,-7.94
01-02-2024,77.26,61.33,HOLD,-1.30,-3.92,-3.92
12-29-2023,78.28,66.99,HOLD,-0.23,-2.65,0.00
12-28-2023,78.46,68.02,HOLD,0.65,-2.43,0.00
12-27-2023,77.95,66.68,HOLD,0.09,-3.06,0.00
12-26-2023,77.88,66.50,HOLD,2.29,-3.15,0.00
12-22-2023,76.14,61.73,HOLD,0.42,-5.31,0.00
12-21-2023,75.82,60.78,HOLD,0.28,-5.71,0.00
12-20-2023,75.61,60.17,HOLD,-2.36,-5.97,0.00
12-19-2023,77.44,68.74,HOLD,0.16,-3.69,0.00
12-18-2023,77.32,68.47,HOLD,0.00,-3.84,0.00
12-15-2023,77.32,68.47,HOLD,-0.23,-3.84,0.00
12-14-2023,77.50,69.25,HOLD,7.09,-3.62,0.00
12-13-2023,72.37,55.90,HOLD,-1.15,-10.00,0.00
12-12-2023,73.21,59.85,HOLD,-1.25,-8.95,0.00
12-11-2023,74.14,64.54,HOLD,0.20,-7.80,0.00
12-08-2023,73.99,64.12,HOLD,-0.76,-7.98,0.00
12-07-2023,74.56,66.92,HOLD,-0.71,-7.28,0.00
12-06-2023,75.09,69.55,HOLD,1.47,-6.62,0.00
12-05-2023,74.00,67.08,HOLD,-0.92,-7.97,0.00
12-04-2023,74.69,70.44,HOLD,1.73,-7.11,0.00
12-01-2023,73.42,67.68,HOLD,3.50,-8.69,0.00
11-30-2023,70.94,61.08,HOLD,0.23,-11.78,0.00
11-29-2023,70.78,60.59,HOLD,-0.34,-11.98,0.00
11-28-2023,71.02,61.66,HOLD,2.39,-11.68,0.00
11-27-2023,69.36,56.79,HOLD,-0.22,-13.74,0.00
11-24-2023,69.51,57.40,HOLD,2.18,-13.56,0.00
11-22-2023,68.03,52.73,HOLD,0.61,-15.40,0.00
11-21-2023,67.62,51.36,HOLD,-0.72,-15.91,0.00
11-20-2023,68.11,53.07,HOLD,-0.16,-15.30,0.00
11-17-2023,68.22,53.44,HOLD,2.20,-15.16,0.00
11-16-2023,66.75,49.03,HOLD,-3.09,-16.99,0.00
11-15-2023,68.88,56.19,HOLD,3.61,-14.34,0.00
11-14-2023,66.48,48.28,HOLD,4.14,-17.32,0.00
11-13-2023,63.84,36.59,HOLD,-0.44,-20.61,0.00
11-10-2023,64.12,37.42,HOLD,1.97,-20.26,0.00
11-09-2023,62.88,30.95,HOLD,-1.66,-21.80,0.00
11-08-2023,63.94,33.72,HOLD,-2.49,-20.48,0.00
11-07-2023,65.57,38.65,HOLD,-2.08,-18.46,0.00
11-06-2023,66.96,43.72,HOLD,-0.34,-16.73,0.00
11-03-2023,67.19,44.61,HOLD,1.27,-16.44,0.00
11-02-2023,66.35,40.47,HOLD,0.58,-17.49,0.00
11-01-2023,65.97,38.53,HOLD,-1.27,-17.96,0.00
10-31-2023,66.82,41.32,HOLD,3.61,-16.90,0.00
10-30-2023,64.49,28.07,HOLD,0.12,-19.80,0.00
10-27-2023,64.41,27.55,HOLD,-2.57,-19.90,0.00
10-26-2023,66.11,32.15,HOLD,-2.19,-17.78,0.00
10-25-2023,67.59,37.17,HOLD,-0.59,-15.94,0.00
10-24-2023,67.99,38.68,HOLD,-0.31,-15.45,0.00
10-23-2023,68.20,39.46,HOLD,-0.70,-15.18,0.00
10-20-2023,68.68,41.24,HOLD,-1.18,-14.59,0.00
