Date,Price,RSI,STATUS
12-16-2022,96.08,46.86,HOLD
12-15-2022,96.75,48.65,HOLD
12-14-2022,96.23,47.20,HOLD
12-13-2022,94.47,42.06,HOLD
12-12-2022,95.47,44.34,HOLD
12-09-2022,95.51,44.43,HOLD
12-08-2022,96.36,46.27,HOLD
12-07-2022,95.51,44.12,HOLD
12-06-2022,95.47,44.02,HOLD
12-05-2022,93.32,38.67,HOLD
12-02-2022,94.83,41.24,HOLD
12-01-2022,98.94,49.57,HOLD
11-30-2022,104.84,67.86,HOLD
11-29-2022,104.16,66.53,HOLD
11-28-2022,102.38,62.82,HOLD
11-25-2022,101.78,61.48,HOLD
11-23-2022,101.18,60.15,HOLD
11-22-2022,101.58,61.47,HOLD
11-21-2022,101.28,60.87,HOLD
11-18-2022,100.70,59.76,HOLD
11-17-2022,99.49,57.40,HOLD
11-16-2022,98.79,56.01,HOLD
11-15-2022,99.13,56.86,HOLD
11-14-2022,98.24,55.23,HOLD
11-11-2022,100.87,61.58,HOLD
11-10-2022,101.55,63.31,HOLD
11-09-2022,99.30,59.82,HOLD
11-08-2022,103.90,73.04,SELL
11-07-2022,102.56,71.32,SELL
11-04-2022,98.90,65.82,HOLD
11-03-2022,98.11,64.44,HOLD
11-02-2022,98.56,65.83,HOLD
11-01-2022,99.14,67.60,HOLD
10-31-2022,98.08,66.06,HOLD
10-28-2022,96.15,63.11,HOLD
10-27-2022,97.24,66.14,HOLD
10-26-2022,97.79,67.64,HOLD
10-25-2022,91.39,57.01,HOLD
10-24-2022,90.54,55.19,HOLD
10-21-2022,90.23,54.54,HOLD
10-20-2022,89.27,52.55,HOLD
10-19-2022,90.03,54.30,HOLD
10-18-2022,88.74,51.79,HOLD
10-17-2022,87.29,48.85,HOLD
10-14-2022,84.46,42.50,HOLD
10-13-2022,89.78,54.27,HOLD
10-12-2022,87.05,47.32,HOLD
10-11-2022,85.66,43.24,HOLD
10-10-2022,86.06,44.15,HOLD
10-07-2022,84.98,41.05,HOLD
10-06-2022,85.71,42.53,HOLD
10-05-2022,87.19,45.65,HOLD
10-04-2022,87.58,46.48,HOLD
10-03-2022,83.86,36.16,HOLD
09-30-2022,82.05,30.07,HOLD
09-29-2022,81.72,28.93,BUY
09-28-2022,83.37,31.32,HOLD
09-27-2022,81.69,25.50,BUY
09-26-2022,81.40,24.48,BUY
09-23-2022,82.67,25.93,BUY
09-22-2022,87.74,33.24,HOLD
09-21-2022,88.94,35.42,HOLD
09-20-2022,89.64,36.74,HOLD
09-19-2022,90.68,38.71,HOLD
09-16-2022,88.89,32.94,HOLD
09-15-2022,90.63,36.00,HOLD
09-14-2022,91.62,37.86,HOLD
09-13-2022,92.36,39.26,HOLD
09-12-2022,94.31,43.21,HOLD
09-09-2022,96.28,47.68,HOLD
09-08-2022,96.26,47.63,HOLD
09-07-2022,94.97,44.36,HOLD
09-06-2022,93.51,40.47,HOLD
09-02-2022,98.39,51.69,HOLD
09-01-2022,97.45,49.18,HOLD
08-31-2022,98.55,52.12,HOLD
08-30-2022,99.25,54.05,HOLD
08-29-2022,103.15,66.75,HOLD
08-26-2022,101.68,63.76,HOLD
08-25-2022,102.29,66.07,HOLD
08-24-2022,100.69,62.83,HOLD
08-23-2022,101.27,64.90,HOLD
08-22-2022,98.68,59.28,HOLD
08-19-2022,99.39,61.82,HOLD
08-18-2022,100.06,64.19,HOLD
08-17-2022,98.85,61.72,HOLD
08-16-2022,98.28,60.52,HOLD
08-15-2022,99.10,63.15,HOLD
08-12-2022,99.98,66.00,HOLD
08-11-2022,97.36,61.14,HOLD
08-10-2022,96.63,59.65,HOLD
08-09-2022,96.16,58.71,HOLD
08-08-2022,95.09,56.53,HOLD
08-05-2022,95.54,57.72,HOLD
08-04-2022,93.86,54.43,HOLD
08-03-2022,93.86,54.43,HOLD
08-02-2022,91.78,50.28,HOLD
08-01-2022,92.67,52.16,HOLD
07-29-2022,91.18,49.20,HOLD
07-28-2022,88.20,42.62,HOLD
07-27-2022,90.38,46.73,HOLD
07-26-2022,94.14,55.29,HOLD
