Date,Price,RSI,STATUS
12-16-2022,28.37,49.38,HOLD
12-15-2022,29.04,53.90,HOLD
12-14-2022,28.98,53.55,HOLD
12-13-2022,29.26,55.39,HOLD
12-12-2022,28.15,48.93,HOLD
12-09-2022,27.11,41.57,HOLD
12-08-2022,28.08,47.50,HOLD
12-07-2022,27.88,46.03,HOLD
12-06-2022,28.38,49.23,HOLD
12-05-2022,28.72,51.50,HOLD
12-02-2022,29.51,57.18,HOLD
12-01-2022,29.26,55.74,HOLD
11-30-2022,29.02,54.38,HOLD
11-29-2022,28.65,52.28,HOLD
11-28-2022,28.19,49.60,HOLD
11-25-2022,28.50,51.41,HOLD
11-23-2022,28.83,53.33,HOLD
11-22-2022,29.49,57.30,HOLD
11-21-2022,28.72,53.55,HOLD
11-18-2022,29.13,55.98,HOLD
11-17-2022,29.83,60.32,HOLD
11-16-2022,30.23,62.91,HOLD
11-15-2022,30.89,67.34,HOLD
11-14-2022,30.25,65.13,HOLD
11-11-2022,31.02,70.46,SELL
11-10-2022,30.58,69.12,HOLD
11-09-2022,29.51,65.60,HOLD
11-08-2022,30.94,76.42,SELL
11-07-2022,30.62,75.59,SELL
11-04-2022,29.11,71.09,SELL
11-03-2022,28.10,67.35,HOLD
11-02-2022,27.40,64.41,HOLD
11-01-2022,28.31,72.26,SELL
10-31-2022,27.47,69.03,HOLD
10-28-2022,27.06,67.25,HOLD
10-27-2022,26.85,66.35,HOLD
10-26-2022,26.25,63.72,HOLD
10-25-2022,25.92,62.21,HOLD
10-24-2022,25.95,62.43,HOLD
10-21-2022,26.49,66.34,HOLD
10-20-2022,25.78,63.51,HOLD
10-19-2022,25.48,62.29,HOLD
10-18-2022,24.02,55.48,HOLD
10-17-2022,23.77,54.17,HOLD
10-14-2022,22.76,48.44,HOLD
10-13-2022,23.72,54.46,HOLD
10-12-2022,22.49,46.58,HOLD
10-11-2022,22.10,43.75,HOLD
10-10-2022,22.22,44.42,HOLD
10-07-2022,22.73,47.30,HOLD
10-06-2022,23.58,52.64,HOLD
10-05-2022,23.55,52.47,HOLD
10-04-2022,23.03,49.48,HOLD
10-03-2022,22.13,43.74,HOLD
09-30-2022,20.82,33.57,HOLD
09-29-2022,20.98,34.27,HOLD
09-28-2022,21.14,34.94,HOLD
09-27-2022,20.62,30.84,HOLD
09-26-2022,20.31,28.33,BUY
09-23-2022,21.58,32.90,HOLD
09-22-2022,22.82,38.47,HOLD
09-21-2022,22.87,38.72,HOLD
09-20-2022,22.85,38.57,HOLD
09-19-2022,24.02,44.35,HOLD
09-16-2022,23.64,41.74,HOLD
09-15-2022,24.17,44.44,HOLD
09-14-2022,25.22,50.50,HOLD
09-13-2022,24.38,44.90,HOLD
09-12-2022,25.29,50.66,HOLD
09-09-2022,25.08,49.28,HOLD
09-08-2022,23.73,39.04,HOLD
09-07-2022,24.19,41.69,HOLD
09-06-2022,24.72,45.01,HOLD
09-02-2022,25.11,47.55,HOLD
09-01-2022,24.43,42.27,HOLD
08-31-2022,25.09,46.49,HOLD
08-30-2022,24.88,44.86,HOLD
08-29-2022,26.05,53.30,HOLD
08-26-2022,25.95,52.60,HOLD
08-25-2022,26.47,56.72,HOLD
08-24-2022,26.29,55.60,HOLD
08-23-2022,25.92,53.30,HOLD
08-22-2022,25.10,47.65,HOLD
08-19-2022,24.99,46.86,HOLD
08-18-2022,24.82,45.69,HOLD
08-17-2022,24.58,44.06,HOLD
08-16-2022,24.89,45.70,HOLD
08-15-2022,25.13,46.96,HOLD
08-12-2022,25.84,50.79,HOLD
08-11-2022,25.11,46.63,HOLD
08-10-2022,24.19,40.70,HOLD
08-09-2022,23.69,37.21,HOLD
08-08-2022,24.11,39.00,HOLD
08-05-2022,23.72,36.37,HOLD
08-04-2022,23.37,34.01,HOLD
