Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,72.45,44.87,HOLD,-0.74,0.26,13.45
01-26-2023,72.99,47.69,HOLD,-0.25,1.01,17.27
01-25-2023,73.17,48.64,HOLD,1.15,1.26,17.15
01-24-2023,72.34,43.87,HOLD,-1.26,0.11,15.54
01-23-2023,73.26,48.51,HOLD,-1.20,1.38,15.30
01-20-2023,74.15,53.60,HOLD,0.54,2.62,14.82
01-19-2023,73.75,51.47,HOLD,2.23,2.06,13.95
01-18-2023,72.14,41.44,HOLD,-0.24,-0.17,11.17
01-17-2023,72.31,42.30,HOLD,-0.28,0.07,11.37
01-13-2023,72.51,43.28,HOLD,1.27,0.35,12.24
01-12-2023,71.60,37.14,HOLD,-0.47,-0.91,10.46
01-11-2023,71.94,38.59,HOLD,0.40,-0.44,9.87
01-10-2023,71.65,36.63,HOLD,0.90,-0.84,10.06
01-09-2023,71.01,32.20,HOLD,-2.73,-1.73,13.02
01-06-2023,73.00,40.35,HOLD,1.50,1.02,18.74
01-05-2023,71.92,31.63,HOLD,-0.96,-0.47,15.70
01-04-2023,72.62,34.68,HOLD,0.50,0.50,16.88
01-03-2023,72.26,31.53,HOLD,0.43,0.00,16.77
12-30-2022,71.95,28.78,HOLD,-0.21,,0.00
12-29-2022,72.10,29.31,HOLD,0.15,,0.00
12-28-2022,71.99,28.42,HOLD,-0.85,,0.00
12-27-2022,72.61,30.43,HOLD,-0.38,,0.00
12-23-2022,72.89,31.36,HOLD,-1.27,,0.00
12-22-2022,73.83,34.68,HOLD,0.68,,0.00
12-21-2022,73.33,31.08,HOLD,0.94,,0.00
12-20-2022,72.65,25.93,BUY,-0.70,,0.00
12-19-2022,73.16,27.35,HOLD,-0.45,,0.00
12-16-2022,73.49,28.29,HOLD,-2.01,,0.00
12-15-2022,75.00,33.09,HOLD,-2.77,,0.00
12-14-2022,77.14,42.60,HOLD,-0.27,,0.00
12-13-2022,77.35,43.74,HOLD,-1.95,,0.00
12-12-2022,78.89,53.55,HOLD,0.08,,0.00
