Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,53.31,68.18,HOLD,-0.15,11.83,-25.05
01-26-2023,53.39,68.98,HOLD,1.95,12.00,-25.25
01-25-2023,52.37,63.98,HOLD,0.91,9.86,-26.21
01-24-2023,51.90,61.32,HOLD,-0.27,8.87,-26.26
01-23-2023,52.04,62.60,HOLD,0.72,9.17,-27.18
01-20-2023,51.67,60.58,HOLD,0.92,8.39,-28.98
01-19-2023,51.20,57.90,HOLD,-0.12,7.41,-29.70
01-18-2023,51.26,58.37,HOLD,-1.44,7.53,-30.49
01-17-2023,52.01,64.45,HOLD,0.70,9.10,-29.27
01-13-2023,51.65,62.72,HOLD,0.70,8.35,-29.85
01-12-2023,51.29,60.96,HOLD,1.69,7.59,-30.10
01-11-2023,50.44,56.43,HOLD,0.22,5.81,-30.89
01-10-2023,50.33,55.82,HOLD,0.14,5.58,-29.84
01-09-2023,50.26,55.44,HOLD,0.56,5.43,-30.60
01-06-2023,49.98,54.01,HOLD,2.08,4.85,-30.30
01-05-2023,48.96,48.37,HOLD,-0.57,2.71,-30.75
01-04-2023,49.24,49.93,HOLD,3.29,3.29,-31.15
01-03-2023,47.67,39.83,HOLD,-2.67,0.00,-33.26
12-30-2022,48.98,47.21,HOLD,-0.47,,0.00
12-29-2022,49.21,48.68,HOLD,2.31,,0.00
12-28-2022,48.10,40.36,HOLD,-1.70,,0.00
12-27-2022,48.93,45.48,HOLD,0.20,,0.00
12-23-2022,48.83,44.69,HOLD,1.20,,0.00
12-22-2022,48.25,40.04,HOLD,-0.33,,0.00
12-21-2022,48.41,40.93,HOLD,0.88,,0.00
12-20-2022,47.99,37.58,HOLD,1.63,,0.00
12-19-2022,47.22,30.91,HOLD,-0.88,,0.00
12-16-2022,47.64,32.68,HOLD,-0.67,,0.00
12-15-2022,47.96,34.06,HOLD,-2.50,,0.00
12-14-2022,49.19,40.09,HOLD,-1.44,,0.00
12-13-2022,49.91,44.36,HOLD,-0.32,,0.00
12-12-2022,50.07,45.36,HOLD,-0.46,,0.00
12-09-2022,50.30,46.76,HOLD,0.24,,0.00
12-08-2022,50.18,45.95,HOLD,0.76,,0.00
12-07-2022,49.80,43.42,HOLD,-0.52,,0.00
12-06-2022,50.06,44.75,HOLD,0.18,,0.00
12-05-2022,49.97,44.20,HOLD,-2.42,,0.00
12-02-2022,51.21,50.65,HOLD,-1.95,,0.00
12-01-2022,52.23,57.01,HOLD,0.06,,0.00
11-30-2022,52.20,56.86,HOLD,1.75,,0.00
11-29-2022,51.30,52.29,HOLD,-2.97,,0.00
11-28-2022,52.87,63.13,HOLD,-0.92,,0.00
11-25-2022,53.36,67.16,HOLD,0.45,,0.00
11-23-2022,53.12,66.18,HOLD,0.76,,0.00
11-22-2022,52.72,64.54,HOLD,1.09,,0.00
11-21-2022,52.15,62.10,HOLD,1.16,,0.00
11-18-2022,51.55,59.37,HOLD,-0.12,,0.00
11-17-2022,51.61,59.77,HOLD,-0.02,,0.00
11-16-2022,51.62,59.83,HOLD,-1.39,,0.00
11-15-2022,52.35,64.38,HOLD,1.77,,0.00
