Date,Price,RSI,STATUS
01-09-2023,45.59,49.58,HOLD
01-06-2023,46.33,56.52,HOLD
01-05-2023,45.76,51.68,HOLD
01-04-2023,46.50,59.68,HOLD
01-03-2023,46.01,55.44,HOLD
12-30-2022,46.27,58.47,HOLD
12-29-2022,46.35,59.40,HOLD
12-28-2022,45.78,54.64,HOLD
12-27-2022,46.24,59.90,HOLD
12-23-2022,46.06,58.45,HOLD
12-22-2022,46.15,59.45,HOLD
12-21-2022,46.08,58.94,HOLD
12-20-2022,45.84,57.23,HOLD
12-19-2022,45.80,56.96,HOLD
12-16-2022,45.81,57.04,HOLD
12-15-2022,46.32,61.42,HOLD
12-14-2022,47.18,69.80,HOLD
12-13-2022,47.20,70.00,HOLD
12-12-2022,47.13,69.71,HOLD
12-09-2022,46.23,65.75,HOLD
12-08-2022,46.32,66.55,HOLD
12-07-2022,45.63,63.34,HOLD
12-06-2022,45.16,60.97,HOLD
12-05-2022,45.42,63.07,HOLD
12-02-2022,46.60,73.75,SELL
12-01-2022,46.12,71.95,SELL
11-30-2022,45.27,68.40,HOLD
11-29-2022,44.50,64.64,HOLD
11-28-2022,43.79,60.62,HOLD
11-25-2022,44.15,64.05,HOLD
11-23-2022,43.89,62.63,HOLD
11-22-2022,43.54,60.70,HOLD
11-21-2022,42.94,57.16,HOLD
11-18-2022,42.96,57.32,HOLD
11-17-2022,42.20,52.67,HOLD
11-16-2022,42.98,58.78,HOLD
11-15-2022,42.42,55.32,HOLD
11-14-2022,42.24,54.18,HOLD
11-11-2022,42.52,56.26,HOLD
11-10-2022,43.76,66.85,HOLD
11-09-2022,42.06,56.41,HOLD
11-08-2022,41.92,55.33,HOLD
11-07-2022,41.96,55.69,HOLD
11-04-2022,41.59,53.04,HOLD
11-03-2022,41.53,52.61,HOLD
11-02-2022,41.93,55.75,HOLD
11-01-2022,42.76,63.02,HOLD
10-31-2022,43.11,66.41,HOLD
10-28-2022,43.16,66.89,HOLD
10-27-2022,41.58,58.04,HOLD
10-26-2022,41.79,60.02,HOLD
10-25-2022,41.30,56.83,HOLD
10-24-2022,40.98,54.64,HOLD
10-21-2022,40.57,51.72,HOLD
10-20-2022,40.23,49.20,HOLD
10-19-2022,40.96,54.91,HOLD
10-18-2022,41.08,55.90,HOLD
10-17-2022,40.86,54.50,HOLD
10-14-2022,39.98,48.44,HOLD
10-13-2022,40.35,51.10,HOLD
10-12-2022,39.60,45.47,HOLD
10-11-2022,39.56,45.15,HOLD
10-10-2022,39.64,45.64,HOLD
10-07-2022,39.76,46.33,HOLD
10-06-2022,40.65,51.76,HOLD
10-05-2022,41.30,56.23,HOLD
10-04-2022,41.03,54.72,HOLD
10-03-2022,39.88,47.58,HOLD
09-30-2022,38.73,38.59,HOLD
09-29-2022,39.34,42.15,HOLD
09-28-2022,39.13,40.39,HOLD
09-27-2022,38.14,31.24,HOLD
09-26-2022,38.36,32.26,HOLD
09-23-2022,38.90,34.86,HOLD
09-22-2022,39.30,36.91,HOLD
09-21-2022,39.76,39.38,HOLD
09-20-2022,40.43,43.29,HOLD
09-19-2022,41.18,48.28,HOLD
09-16-2022,41.70,52.15,HOLD
09-15-2022,42.20,56.17,HOLD
09-14-2022,42.07,55.34,HOLD
09-13-2022,42.18,56.17,HOLD
09-12-2022,43.46,67.14,HOLD
09-09-2022,42.94,64.53,HOLD
09-08-2022,42.71,63.33,HOLD
09-07-2022,41.47,55.87,HOLD
09-06-2022,40.38,47.09,HOLD
09-02-2022,40.49,47.98,HOLD
09-01-2022,40.99,52.17,HOLD
08-31-2022,40.31,46.24,HOLD
08-30-2022,40.04,43.67,HOLD
08-29-2022,40.39,46.34,HOLD
08-26-2022,40.52,47.34,HOLD
08-25-2022,41.78,58.71,HOLD
08-24-2022,41.15,53.53,HOLD
08-23-2022,40.86,50.89,HOLD
08-22-2022,41.26,54.88,HOLD
08-19-2022,42.02,63.68,HOLD
08-18-2022,42.63,72.33,SELL
08-17-2022,42.43,71.13,SELL
08-16-2022,42.35,70.66,SELL
08-15-2022,42.15,69.51,HOLD
08-12-2022,42.33,71.87,SELL
08-11-2022,41.76,68.75,HOLD
08-10-2022,41.86,70.02,SELL
08-09-2022,41.03,65.07,HOLD
08-08-2022,40.97,64.68,HOLD
08-05-2022,40.94,64.49,HOLD
08-04-2022,41.23,67.67,HOLD
08-03-2022,41.62,72.10,SELL
08-02-2022,41.46,71.39,SELL
08-01-2022,41.05,69.53,HOLD
07-29-2022,41.05,69.53,HOLD
07-28-2022,41.16,70.59,SELL
07-27-2022,40.31,66.98,HOLD
07-26-2022,37.96,51.79,HOLD
07-25-2022,38.00,52.17,HOLD
07-22-2022,38.12,53.25,HOLD
07-21-2022,38.12,53.25,HOLD
07-20-2022,37.28,46.53,HOLD
07-19-2022,37.71,49.94,HOLD
07-18-2022,37.17,45.26,HOLD
07-15-2022,37.55,48.20,HOLD
07-14-2022,36.71,40.21,HOLD
07-13-2022,36.77,40.62,HOLD
07-12-2022,36.88,41.35,HOLD
07-11-2022,37.51,45.71,HOLD
07-08-2022,37.84,48.18,HOLD
07-07-2022,37.85,48.25,HOLD
07-06-2022,37.66,46.83,HOLD
07-05-2022,37.76,47.47,HOLD
07-01-2022,38.01,49.02,HOLD
06-30-2022,37.27,43.97,HOLD
06-29-2022,37.80,47.07,HOLD
06-28-2022,37.50,45.04,HOLD
06-27-2022,37.82,46.82,HOLD
06-24-2022,38.02,47.92,HOLD
06-23-2022,36.94,40.95,HOLD
06-22-2022,37.03,41.38,HOLD
06-21-2022,36.30,36.36,HOLD
06-17-2022,36.01,34.29,HOLD
06-16-2022,35.51,30.67,HOLD
06-15-2022,36.03,32.39,HOLD
06-14-2022,35.24,26.58,BUY
06-13-2022,36.41,30.14,HOLD
06-10-2022,37.23,33.03,HOLD
06-09-2022,37.97,35.91,HOLD
06-08-2022,39.11,41.03,HOLD
06-07-2022,39.58,43.40,HOLD
06-06-2022,39.38,42.07,HOLD
06-03-2022,39.91,44.64,HOLD
06-02-2022,40.67,48.58,HOLD
06-01-2022,39.92,44.05,HOLD
05-31-2022,41.01,49.99,HOLD
05-27-2022,41.20,51.10,HOLD
05-26-2022,40.14,44.72,HOLD
05-25-2022,40.09,44.40,HOLD
05-24-2022,40.15,44.69,HOLD
05-23-2022,39.89,43.21,HOLD
05-20-2022,39.22,39.34,HOLD
05-19-2022,39.49,40.37,HOLD
05-18-2022,40.23,43.25,HOLD
05-17-2022,41.32,47.93,HOLD
05-16-2022,39.82,39.58,HOLD
05-13-2022,39.66,38.60,HOLD
05-12-2022,38.79,33.16,HOLD
05-11-2022,38.74,32.84,HOLD
05-10-2022,38.65,32.30,HOLD
05-09-2022,38.29,30.23,HOLD
05-06-2022,40.85,37.90,HOLD
05-05-2022,42.03,42.53,HOLD
05-04-2022,42.75,45.68,HOLD
05-03-2022,41.77,40.06,HOLD
05-02-2022,41.63,39.22,HOLD
04-29-2022,42.11,41.04,HOLD
04-28-2022,42.73,43.46,HOLD
04-27-2022,43.06,44.77,HOLD
04-26-2022,42.60,42.54,HOLD
04-25-2022,44.59,50.78,HOLD
04-22-2022,43.90,47.50,HOLD
04-21-2022,46.31,60.57,HOLD
04-20-2022,47.10,66.10,HOLD
04-19-2022,45.72,60.20,HOLD
04-18-2022,43.74,48.19,HOLD
04-14-2022,44.25,51.94,HOLD
04-13-2022,44.43,53.30,HOLD
04-12-2022,43.76,48.66,HOLD
04-11-2022,44.22,51.95,HOLD
04-08-2022,44.84,56.76,HOLD
04-07-2022,44.96,57.72,HOLD
04-06-2022,44.58,55.51,HOLD
04-05-2022,44.35,54.16,HOLD
04-04-2022,44.16,53.07,HOLD
04-01-2022,44.99,58.74,HOLD
03-31-2022,44.29,54.97,HOLD
03-30-2022,44.70,57.84,HOLD
03-29-2022,44.85,58.89,HOLD
03-28-2022,44.27,56.04,HOLD
03-25-2022,43.50,51.92,HOLD
03-24-2022,42.87,48.24,HOLD
03-23-2022,42.30,44.68,HOLD
03-22-2022,43.74,53.27,HOLD
03-21-2022,44.32,57.40,HOLD
03-18-2022,44.22,56.86,HOLD
03-17-2022,44.21,56.81,HOLD
03-16-2022,43.84,55.01,HOLD
03-15-2022,42.66,48.65,HOLD
