Date,Price,RSI,STATUS
01-09-2023,40.42,68.67,HOLD
01-06-2023,40.96,76.25,SELL
01-05-2023,39.97,70.75,SELL
01-04-2023,38.65,58.99,HOLD
01-03-2023,38.83,62.15,HOLD
12-30-2022,38.70,60.74,HOLD
12-29-2022,38.77,61.90,HOLD
12-28-2022,38.65,60.71,HOLD
12-27-2022,39.02,66.67,HOLD
12-23-2022,38.84,65.12,HOLD
12-22-2022,38.76,64.44,HOLD
12-21-2022,38.78,64.73,HOLD
12-20-2022,38.49,62.43,HOLD
12-19-2022,38.13,59.37,HOLD
12-16-2022,38.01,58.32,HOLD
12-15-2022,38.31,62.04,HOLD
12-14-2022,38.48,64.20,HOLD
12-13-2022,38.23,62.42,HOLD
12-12-2022,38.47,65.32,HOLD
12-09-2022,38.02,62.26,HOLD
12-08-2022,38.49,68.08,HOLD
12-07-2022,38.23,66.47,HOLD
12-06-2022,37.56,61.87,HOLD
12-05-2022,38.25,71.21,SELL
12-02-2022,38.12,70.43,SELL
12-01-2022,37.83,68.67,HOLD
11-30-2022,37.98,70.69,SELL
11-29-2022,36.96,64.00,HOLD
11-28-2022,37.04,65.08,HOLD
11-25-2022,37.12,66.12,HOLD
11-23-2022,36.87,64.47,HOLD
11-22-2022,36.58,62.52,HOLD
11-21-2022,36.40,61.29,HOLD
11-18-2022,35.95,58.09,HOLD
11-17-2022,34.94,49.40,HOLD
11-16-2022,35.04,50.36,HOLD
11-15-2022,34.38,43.64,HOLD
11-14-2022,33.96,38.74,HOLD
11-11-2022,34.56,43.79,HOLD
11-10-2022,35.19,50.17,HOLD
11-09-2022,35.53,54.11,HOLD
11-08-2022,35.69,56.04,HOLD
11-07-2022,36.10,61.23,HOLD
11-04-2022,35.98,60.23,HOLD
11-03-2022,35.77,58.49,HOLD
11-02-2022,35.91,60.12,HOLD
11-01-2022,36.34,65.30,HOLD
10-31-2022,36.70,70.00,HOLD
10-28-2022,36.64,69.66,HOLD
10-27-2022,35.78,64.32,HOLD
10-26-2022,35.24,60.23,HOLD
10-25-2022,35.04,58.60,HOLD
10-24-2022,35.00,58.28,HOLD
10-21-2022,34.69,55.85,HOLD
10-20-2022,34.36,53.14,HOLD
10-19-2022,34.93,58.93,HOLD
10-18-2022,34.93,58.93,HOLD
10-17-2022,34.25,53.75,HOLD
10-14-2022,34.29,54.12,HOLD
10-13-2022,34.38,54.92,HOLD
10-12-2022,33.58,48.68,HOLD
10-11-2022,33.89,51.23,HOLD
10-10-2022,33.57,48.65,HOLD
10-07-2022,32.85,42.27,HOLD
10-06-2022,32.56,39.46,HOLD
10-05-2022,33.80,48.92,HOLD
10-04-2022,33.91,49.91,HOLD
10-03-2022,32.91,39.64,HOLD
09-30-2022,32.63,36.24,HOLD
09-29-2022,33.26,41.07,HOLD
09-28-2022,33.47,42.84,HOLD
09-27-2022,33.12,38.76,HOLD
09-26-2022,34.00,46.51,HOLD
09-23-2022,34.35,50.22,HOLD
09-22-2022,34.76,54.99,HOLD
09-21-2022,34.32,50.28,HOLD
09-20-2022,33.98,46.25,HOLD
09-19-2022,34.24,49.08,HOLD
09-16-2022,33.83,44.07,HOLD
09-15-2022,33.62,41.33,HOLD
09-14-2022,33.35,37.68,HOLD
09-13-2022,33.65,40.27,HOLD
09-12-2022,34.66,51.25,HOLD
09-09-2022,34.37,47.42,HOLD
09-08-2022,34.32,46.76,HOLD
09-07-2022,34.70,51.36,HOLD
09-06-2022,33.84,38.66,HOLD
09-02-2022,34.22,43.30,HOLD
09-01-2022,34.30,44.34,HOLD
08-31-2022,34.38,45.35,HOLD
08-30-2022,34.75,50.28,HOLD
08-29-2022,35.04,54.60,HOLD
08-26-2022,34.91,52.92,HOLD
08-25-2022,35.58,64.33,HOLD
08-24-2022,35.55,64.01,HOLD
08-23-2022,35.19,59.97,HOLD
08-22-2022,35.15,59.50,HOLD
08-19-2022,35.40,63.84,HOLD
08-18-2022,35.29,62.73,HOLD
08-17-2022,35.23,62.14,HOLD
08-16-2022,35.24,62.29,HOLD
08-15-2022,34.90,59.13,HOLD
08-12-2022,34.39,53.73,HOLD
08-11-2022,34.44,54.38,HOLD
08-10-2022,34.41,54.07,HOLD
08-09-2022,34.31,53.08,HOLD
08-08-2022,34.27,52.70,HOLD
08-05-2022,34.43,54.33,HOLD
08-04-2022,33.98,50.31,HOLD
08-03-2022,34.30,53.42,HOLD
08-02-2022,34.12,51.87,HOLD
08-01-2022,34.83,59.07,HOLD
07-29-2022,34.21,53.88,HOLD
07-28-2022,33.99,51.86,HOLD
07-27-2022,33.38,45.77,HOLD
07-26-2022,33.82,50.01,HOLD
07-25-2022,33.87,50.50,HOLD
07-22-2022,33.63,48.22,HOLD
07-21-2022,33.18,43.71,HOLD
07-20-2022,33.13,43.20,HOLD
07-19-2022,33.45,45.66,HOLD
07-18-2022,33.41,45.30,HOLD
07-15-2022,33.73,47.66,HOLD
07-14-2022,33.15,42.64,HOLD
07-13-2022,35.74,70.82,SELL
07-12-2022,35.60,69.82,HOLD
07-11-2022,35.56,69.54,HOLD
07-08-2022,35.31,67.83,HOLD
07-07-2022,35.20,67.07,HOLD
07-06-2022,34.79,64.15,HOLD
07-05-2022,34.37,60.84,HOLD
07-01-2022,34.56,63.29,HOLD
06-30-2022,34.24,60.82,HOLD
06-29-2022,34.33,61.91,HOLD
06-28-2022,33.94,58.96,HOLD
06-27-2022,34.05,60.18,HOLD
06-24-2022,34.10,60.71,HOLD
06-23-2022,33.31,54.87,HOLD
06-22-2022,32.46,46.99,HOLD
06-21-2022,32.34,45.74,HOLD
06-17-2022,31.37,34.17,HOLD
06-16-2022,31.75,37.05,HOLD
06-15-2022,31.98,38.89,HOLD
06-14-2022,31.80,36.60,HOLD
06-13-2022,32.00,38.07,HOLD
06-10-2022,32.57,42.59,HOLD
06-09-2022,32.25,38.80,HOLD
06-08-2022,32.66,42.11,HOLD
06-07-2022,32.60,41.43,HOLD
06-06-2022,32.21,36.97,HOLD
06-03-2022,32.00,34.48,HOLD
06-02-2022,32.32,36.52,HOLD
06-01-2022,32.52,37.82,HOLD
05-31-2022,32.89,40.29,HOLD
05-27-2022,33.15,42.09,HOLD
05-26-2022,32.98,40.48,HOLD
05-25-2022,32.77,38.52,HOLD
05-24-2022,32.88,39.15,HOLD
05-23-2022,32.34,34.28,HOLD
05-20-2022,31.72,28.14,BUY
05-19-2022,31.74,28.22,BUY
05-18-2022,32.33,30.57,HOLD
05-17-2022,35.31,50.11,HOLD
05-16-2022,35.64,53.64,HOLD
05-13-2022,35.89,56.44,HOLD
05-12-2022,35.67,54.50,HOLD
05-11-2022,35.69,54.70,HOLD
05-10-2022,35.71,54.90,HOLD
05-09-2022,36.29,60.63,HOLD
05-06-2022,35.59,55.41,HOLD
05-05-2022,35.42,54.04,HOLD
05-04-2022,35.69,56.61,HOLD
05-03-2022,34.85,49.69,HOLD
05-02-2022,34.22,43.41,HOLD
04-29-2022,34.93,49.94,HOLD
04-28-2022,35.92,62.00,HOLD
04-27-2022,35.63,59.33,HOLD
04-26-2022,35.41,57.21,HOLD
04-25-2022,36.11,67.62,HOLD
04-22-2022,36.12,67.78,HOLD
04-21-2022,36.56,75.22,SELL
04-20-2022,36.54,75.11,SELL
04-19-2022,36.23,73.32,SELL
04-18-2022,35.39,67.44,HOLD
04-14-2022,35.62,71.44,SELL
04-13-2022,35.66,72.14,SELL
04-12-2022,35.09,68.04,HOLD
04-11-2022,35.00,67.34,HOLD
04-08-2022,34.50,63.15,HOLD
04-07-2022,34.43,62.53,HOLD
04-06-2022,34.34,61.76,HOLD
04-05-2022,34.10,59.70,HOLD
04-04-2022,34.12,59.95,HOLD
04-01-2022,34.08,59.63,HOLD
03-31-2022,33.57,55.50,HOLD
03-30-2022,33.40,54.05,HOLD
03-29-2022,33.40,54.05,HOLD
03-28-2022,32.83,49.26,HOLD
03-25-2022,32.89,49.76,HOLD
03-24-2022,32.28,44.35,HOLD
03-23-2022,32.14,43.04,HOLD
03-22-2022,32.31,44.22,HOLD
03-21-2022,31.96,41.15,HOLD
03-18-2022,31.74,39.21,HOLD
03-17-2022,32.06,41.04,HOLD
03-16-2022,31.70,38.01,HOLD
03-15-2022,31.83,38.68,HOLD
03-14-2022,31.57,36.61,HOLD
03-11-2022,30.10,23.00,BUY
03-10-2022,30.67,24.93,BUY
03-09-2022,31.18,26.80,BUY
03-08-2022,30.93,24.22,BUY
03-07-2022,33.70,38.00,HOLD
03-04-2022,34.40,43.85,HOLD
03-03-2022,34.62,45.92,HOLD
03-02-2022,34.60,45.70,HOLD
03-01-2022,34.49,44.57,HOLD
02-28-2022,34.97,48.68,HOLD
02-25-2022,35.35,52.21,HOLD
02-24-2022,34.31,41.40,HOLD
02-23-2022,35.74,58.22,HOLD
02-22-2022,35.84,59.80,HOLD
02-18-2022,36.02,62.64,HOLD
02-17-2022,35.88,61.31,HOLD
02-16-2022,35.43,56.73,HOLD
02-15-2022,35.42,56.62,HOLD
02-14-2022,35.30,55.41,HOLD
02-11-2022,35.69,60.53,HOLD
02-10-2022,34.92,52.47,HOLD
02-09-2022,35.19,56.21,HOLD
02-08-2022,35.25,57.05,HOLD
02-07-2022,34.98,54.19,HOLD
02-04-2022,34.73,51.41,HOLD
02-03-2022,35.27,58.53,HOLD
02-02-2022,35.24,58.24,HOLD
02-01-2022,34.97,55.56,HOLD
01-31-2022,34.76,53.41,HOLD
01-28-2022,35.34,60.99,HOLD
01-27-2022,35.37,61.41,HOLD
01-26-2022,34.84,56.51,HOLD
01-25-2022,35.04,59.14,HOLD
01-24-2022,35.31,62.80,HOLD
