Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,105.79,58.77,HOLD,0.06,37.87,37.62
01-11-2024,105.73,58.59,HOLD,1.48,37.79,38.17
01-10-2024,104.19,53.68,HOLD,0.79,35.79,36.16
01-09-2024,103.37,50.79,HOLD,-1.71,34.72,32.31
01-08-2024,105.17,58.18,HOLD,-0.52,37.07,35.58
01-05-2024,105.72,60.68,HOLD,0.15,37.78,34.44
01-04-2024,105.56,60.22,HOLD,0.79,37.57,37.77
01-03-2024,104.73,57.83,HOLD,2.06,36.49,36.01
01-02-2024,102.62,50.87,HOLD,1.81,33.74,33.74
12-29-2023,100.80,43.37,HOLD,0.52,31.37,0.00
12-28-2023,100.28,40.99,HOLD,-0.67,30.69,0.00
12-27-2023,100.96,43.20,HOLD,-0.18,31.58,0.00
12-26-2023,101.14,43.78,HOLD,-0.19,31.81,0.00
12-22-2023,101.33,44.36,HOLD,0.09,32.06,0.00
12-21-2023,101.24,44.04,HOLD,2.14,31.94,0.00
12-20-2023,99.12,35.73,HOLD,-2.01,29.18,0.00
12-19-2023,101.15,41.16,HOLD,0.03,31.83,0.00
12-18-2023,101.12,41.04,HOLD,0.63,31.79,0.00
12-15-2023,100.49,38.53,HOLD,-2.14,30.97,0.00
12-14-2023,102.69,44.69,HOLD,-4.96,33.83,0.00
12-13-2023,108.05,69.99,HOLD,0.11,40.82,0.00
12-12-2023,107.93,69.63,HOLD,0.90,40.66,0.00
12-11-2023,106.97,66.68,HOLD,0.13,39.41,0.00
12-08-2023,106.83,66.24,HOLD,0.42,39.23,0.00
12-07-2023,106.38,64.84,HOLD,0.48,38.64,0.00
12-06-2023,105.87,63.24,HOLD,-1.19,37.98,0.00
12-05-2023,107.14,70.69,HOLD,-0.30,39.63,0.00
12-04-2023,107.46,72.69,HOLD,0.28,40.05,0.00
12-01-2023,107.16,72.00,HOLD,0.07,39.66,0.00
11-30-2023,107.08,71.82,HOLD,1.69,39.55,0.00
11-29-2023,105.30,67.61,HOLD,-0.81,37.23,0.00
11-28-2023,106.16,72.47,HOLD,-0.46,38.36,0.00
11-27-2023,106.65,75.34,SELL,0.36,38.99,0.00
11-24-2023,106.27,74.61,SELL,0.37,38.50,0.00
11-22-2023,105.88,73.88,HOLD,0.34,37.99,0.00
11-21-2023,105.52,73.22,HOLD,0.25,37.52,0.00
11-20-2023,105.26,72.76,HOLD,1.81,37.18,0.00
11-17-2023,103.39,69.22,HOLD,0.09,34.75,0.00
11-16-2023,103.30,69.04,HOLD,1.47,34.63,0.00
11-15-2023,101.80,65.96,HOLD,-1.07,32.67,0.00
11-14-2023,102.90,70.75,HOLD,-1.94,34.11,0.00
11-13-2023,104.94,80.87,SELL,0.79,36.77,0.00
11-10-2023,104.12,79.80,SELL,1.27,35.70,0.00
11-09-2023,102.81,77.95,SELL,0.53,33.99,0.00
11-08-2023,102.27,77.15,SELL,-0.71,33.29,0.00
11-07-2023,103.00,80.83,SELL,1.32,34.24,0.00
