Date,Price,RSI,STATUS
12-16-2022,232.72,55.97,HOLD
12-15-2022,230.66,53.44,HOLD
12-14-2022,234.48,59.32,HOLD
12-13-2022,235.49,60.97,HOLD
12-12-2022,233.06,58.38,HOLD
12-09-2022,227.29,51.28,HOLD
12-08-2022,230.92,56.96,HOLD
12-07-2022,228.98,54.45,HOLD
12-06-2022,228.29,53.56,HOLD
12-05-2022,232.57,60.38,HOLD
12-02-2022,236.13,66.96,HOLD
12-01-2022,235.69,66.54,HOLD
11-30-2022,236.41,67.84,HOLD
11-29-2022,235.12,66.76,HOLD
11-28-2022,232.30,64.31,HOLD
11-25-2022,235.70,70.08,SELL
11-23-2022,236.92,72.24,SELL
11-22-2022,237.26,72.82,SELL
11-21-2022,232.17,69.40,HOLD
11-18-2022,231.43,68.88,HOLD
11-17-2022,230.44,68.19,HOLD
11-16-2022,232.42,71.09,SELL
11-15-2022,234.59,74.30,SELL
11-14-2022,236.50,77.15,SELL
11-11-2022,236.49,77.14,SELL
11-10-2022,232.45,75.42,SELL
11-09-2022,225.54,72.09,SELL
11-08-2022,229.81,78.17,SELL
11-07-2022,228.61,77.68,SELL
11-04-2022,227.85,77.38,SELL
11-03-2022,219.26,73.68,SELL
11-02-2022,214.54,71.28,SELL
11-01-2022,218.50,76.73,SELL
10-31-2022,216.46,75.84,SELL
10-28-2022,219.34,79.82,SELL
10-27-2022,212.14,77.02,SELL
10-26-2022,196.96,68.48,HOLD
10-25-2022,194.84,66.88,HOLD
10-24-2022,191.30,64.05,HOLD
10-21-2022,190.22,63.16,HOLD
10-20-2022,179.34,52.05,HOLD
10-19-2022,183.18,57.77,HOLD
10-18-2022,182.33,56.79,HOLD
10-17-2022,179.60,53.59,HOLD
10-14-2022,177.01,50.36,HOLD
10-13-2022,181.92,57.40,HOLD
10-12-2022,178.31,52.90,HOLD
10-11-2022,178.56,53.26,HOLD
10-10-2022,177.48,51.95,HOLD
10-07-2022,176.37,50.62,HOLD
10-06-2022,177.62,52.13,HOLD
10-05-2022,177.19,51.68,HOLD
10-04-2022,178.44,53.04,HOLD
10-03-2022,170.09,43.78,HOLD
09-30-2022,162.99,33.40,HOLD
09-29-2022,164.80,34.93,HOLD
09-28-2022,166.64,36.51,HOLD
09-27-2022,161.36,27.83,BUY
09-26-2022,161.54,27.95,BUY
09-23-2022,163.15,29.00,BUY
09-22-2022,169.42,33.53,HOLD
09-21-2022,170.81,34.65,HOLD
09-20-2022,176.81,39.97,HOLD
09-19-2022,180.90,44.29,HOLD
09-16-2022,178.28,40.47,HOLD
09-15-2022,181.28,43.65,HOLD
09-14-2022,183.42,46.05,HOLD
09-13-2022,183.08,45.61,HOLD
09-12-2022,191.12,55.58,HOLD
09-09-2022,188.23,52.08,HOLD
09-08-2022,181.93,43.00,HOLD
09-07-2022,179.66,39.14,HOLD
09-06-2022,179.46,38.80,HOLD
09-02-2022,179.63,38.97,HOLD
09-01-2022,181.23,40.53,HOLD
08-31-2022,183.48,42.78,HOLD
08-30-2022,185.70,45.06,HOLD
08-29-2022,190.51,50.48,HOLD
08-26-2022,190.64,50.65,HOLD
08-25-2022,197.56,59.56,HOLD
08-24-2022,192.87,54.52,HOLD
08-23-2022,195.90,58.93,HOLD
08-22-2022,190.49,52.56,HOLD
08-19-2022,194.30,58.49,HOLD
08-18-2022,196.04,61.43,HOLD
08-17-2022,194.63,59.91,HOLD
08-16-2022,196.21,62.46,HOLD
08-15-2022,194.65,60.94,HOLD
08-12-2022,195.53,62.27,HOLD
08-11-2022,192.71,59.66,HOLD
08-10-2022,189.45,56.42,HOLD
08-09-2022,184.79,51.24,HOLD
08-08-2022,184.57,50.98,HOLD
08-05-2022,184.16,50.52,HOLD
08-04-2022,182.42,48.67,HOLD
08-03-2022,181.65,47.87,HOLD
08-02-2022,182.29,48.46,HOLD
08-01-2022,193.56,60.56,HOLD
07-29-2022,196.93,65.06,HOLD
07-28-2022,186.59,55.65,HOLD
07-27-2022,184.02,52.71,HOLD
07-26-2022,180.03,47.71,HOLD
07-25-2022,180.60,48.39,HOLD
07-22-2022,177.43,44.31,HOLD
07-21-2022,179.79,46.87,HOLD
07-20-2022,178.77,45.61,HOLD
07-19-2022,178.30,45.04,HOLD
07-18-2022,171.14,35.69,HOLD
07-15-2022,171.04,35.53,HOLD
07-14-2022,167.64,30.70,HOLD
07-13-2022,171.52,33.35,HOLD
07-12-2022,172.13,33.78,HOLD
07-11-2022,172.65,34.13,HOLD
07-08-2022,176.68,36.84,HOLD
07-07-2022,177.84,37.64,HOLD
07-06-2022,169.98,27.77,BUY
07-05-2022,171.41,28.53,BUY
07-01-2022,175.88,31.00,HOLD
06-30-2022,176.34,31.26,HOLD
06-29-2022,181.00,33.93,HOLD
06-28-2022,184.91,36.34,HOLD
06-27-2022,185.05,36.43,HOLD
06-24-2022,182.98,34.29,HOLD
06-23-2022,176.25,26.86,BUY
06-22-2022,185.29,31.27,HOLD
06-21-2022,193.72,36.44,HOLD
06-17-2022,190.04,31.87,HOLD
06-16-2022,192.16,33.15,HOLD
06-15-2022,203.22,41.12,HOLD
06-14-2022,203.90,41.70,HOLD
06-13-2022,204.08,41.84,HOLD
06-10-2022,212.27,48.95,HOLD
06-09-2022,220.65,58.36,HOLD
06-08-2022,226.69,67.00,HOLD
06-07-2022,224.03,64.87,HOLD
06-06-2022,220.61,61.95,HOLD
06-03-2022,219.89,61.32,HOLD
06-02-2022,217.03,58.81,HOLD
06-01-2022,214.63,56.61,HOLD
05-31-2022,212.93,55.04,HOLD
05-27-2022,214.20,56.46,HOLD
05-26-2022,210.11,52.81,HOLD
05-25-2022,206.48,49.31,HOLD
05-24-2022,202.87,45.58,HOLD
05-23-2022,201.39,44.01,HOLD
05-20-2022,195.15,36.88,HOLD
05-19-2022,203.97,44.27,HOLD
05-18-2022,205.13,45.39,HOLD
05-17-2022,210.21,50.54,HOLD
05-16-2022,204.39,43.75,HOLD
05-13-2022,201.57,40.03,HOLD
05-12-2022,200.29,38.32,HOLD
05-11-2022,202.44,40.11,HOLD
05-10-2022,200.25,37.34,HOLD
05-09-2022,203.50,39.88,HOLD
05-06-2022,211.75,47.49,HOLD
05-05-2022,213.01,48.81,HOLD
05-04-2022,219.58,56.40,HOLD
05-03-2022,210.73,45.87,HOLD
05-02-2022,209.20,43.69,HOLD
04-29-2022,207.69,41.53,HOLD
04-28-2022,209.57,43.45,HOLD
04-27-2022,211.07,45.00,HOLD
04-26-2022,207.46,40.24,HOLD
04-25-2022,213.77,46.82,HOLD
04-22-2022,213.38,46.31,HOLD
04-21-2022,228.33,69.87,HOLD
04-20-2022,230.80,75.76,SELL
04-19-2022,227.93,73.33,SELL
04-18-2022,225.73,71.28,SELL
04-14-2022,223.66,69.21,HOLD
04-13-2022,214.29,55.82,HOLD
04-12-2022,212.75,52.67,HOLD
04-11-2022,212.11,51.34,HOLD
04-08-2022,213.07,53.45,HOLD
04-07-2022,211.97,51.31,HOLD
04-06-2022,212.27,51.92,HOLD
04-05-2022,212.08,51.59,HOLD
04-04-2022,216.79,61.32,HOLD
04-01-2022,215.76,59.79,HOLD
03-31-2022,218.76,67.01,HOLD
03-30-2022,219.01,67.66,HOLD
03-29-2022,217.01,65.21,HOLD
03-28-2022,217.81,67.08,HOLD
03-25-2022,219.29,70.58,SELL
03-24-2022,218.16,69.45,HOLD
03-23-2022,218.12,69.42,HOLD
03-22-2022,218.65,70.51,SELL
03-21-2022,219.63,72.48,SELL
03-18-2022,216.88,70.33,SELL
03-17-2022,217.66,71.80,SELL
03-16-2022,212.14,67.28,HOLD
03-15-2022,212.51,67.96,HOLD
03-14-2022,211.51,67.13,HOLD
03-11-2022,210.91,66.64,HOLD
03-10-2022,207.93,64.22,HOLD
03-09-2022,205.96,62.54,HOLD
03-08-2022,206.17,62.84,HOLD
03-07-2022,193.11,49.23,HOLD
03-04-2022,192.09,47.85,HOLD
03-03-2022,191.30,46.79,HOLD
03-02-2022,189.10,43.89,HOLD
03-01-2022,179.50,27.94,BUY
02-28-2022,184.16,32.05,HOLD
02-25-2022,183.65,31.02,HOLD
02-24-2022,181.32,26.28,BUY
02-23-2022,183.27,27.76,BUY
02-22-2022,187.73,31.54,HOLD
02-18-2022,188.45,32.20,HOLD
02-17-2022,191.19,34.76,HOLD
02-16-2022,199.93,45.45,HOLD
02-15-2022,199.70,45.05,HOLD
02-14-2022,196.25,38.55,HOLD
02-11-2022,197.57,40.25,HOLD
02-10-2022,199.37,42.60,HOLD
02-09-2022,199.89,43.28,HOLD
02-08-2022,197.83,39.74,HOLD
02-07-2022,196.18,36.80,HOLD
02-04-2022,194.79,34.31,HOLD
02-03-2022,196.93,36.37,HOLD
02-02-2022,201.20,40.92,HOLD
02-01-2022,201.61,41.37,HOLD
01-31-2022,197.89,35.21,HOLD
01-28-2022,197.49,34.54,HOLD
01-27-2022,208.30,47.06,HOLD
01-26-2022,210.38,50.32,HOLD
01-25-2022,210.40,50.35,HOLD
01-24-2022,210.42,50.38,HOLD
01-21-2022,210.19,50.06,HOLD
01-20-2022,212.68,53.38,HOLD
01-19-2022,217.62,60.79,HOLD
01-18-2022,224.59,74.32,SELL
01-14-2022,223.68,73.61,SELL
01-13-2022,221.79,72.12,SELL
01-12-2022,217.29,68.14,HOLD
01-11-2022,214.90,65.73,HOLD
01-10-2022,216.55,69.08,HOLD
01-07-2022,219.04,74.40,SELL
01-06-2022,216.89,72.72,SELL
01-05-2022,214.70,70.91,SELL
01-04-2022,213.07,69.51,HOLD
01-03-2022,202.25,56.67,HOLD
12-31-2021,201.99,56.27,HOLD
12-30-2021,201.35,55.29,HOLD
12-29-2021,202.57,57.55,HOLD
12-28-2021,201.87,56.61,HOLD
12-27-2021,201.64,56.31,HOLD
12-23-2021,201.46,56.10,HOLD
12-22-2021,197.51,51.12,HOLD
12-21-2021,193.76,45.70,HOLD
12-20-2021,190.97,41.21,HOLD
12-17-2021,196.75,49.02,HOLD
12-16-2021,201.43,57.19,HOLD
12-15-2021,197.90,51.53,HOLD
12-14-2021,197.01,49.99,HOLD
12-13-2021,196.63,49.35,HOLD
12-10-2021,198.79,52.92,HOLD
12-09-2021,199.44,54.02,HOLD
12-08-2021,199.50,54.12,HOLD
12-07-2021,199.79,54.56,HOLD
12-06-2021,196.66,50.57,HOLD
12-03-2021,193.26,45.79,HOLD
12-02-2021,192.27,44.34,HOLD
12-01-2021,187.07,35.95,HOLD
11-30-2021,188.91,37.82,HOLD
11-29-2021,191.42,40.49,HOLD
11-26-2021,194.17,43.62,HOLD
11-24-2021,202.31,55.45,HOLD
11-23-2021,200.61,52.98,HOLD
11-22-2021,197.73,48.48,HOLD
11-19-2021,195.84,45.29,HOLD
11-18-2021,196.79,46.65,HOLD
11-17-2021,198.32,48.81,HOLD
11-16-2021,200.71,52.34,HOLD
11-15-2021,202.94,55.84,HOLD
11-12-2021,204.46,58.31,HOLD
11-11-2021,203.74,57.48,HOLD
11-10-2021,201.92,55.41,HOLD
11-09-2021,204.99,59.99,HOLD
11-08-2021,209.33,67.29,HOLD
11-05-2021,201.15,58.43,HOLD
11-04-2021,198.91,55.36,HOLD
11-03-2021,198.88,55.31,HOLD
11-02-2021,202.36,61.42,HOLD
11-01-2021,200.66,59.39,HOLD
10-29-2021,199.32,57.76,HOLD
10-28-2021,199.40,57.89,HOLD
10-27-2021,191.63,47.30,HOLD
10-26-2021,195.05,52.73,HOLD
10-25-2021,197.57,57.19,HOLD
10-22-2021,196.04,55.05,HOLD
10-21-2021,196.41,55.68,HOLD
10-20-2021,198.40,59.05,HOLD
10-19-2021,195.44,55.31,HOLD
10-18-2021,192.57,51.31,HOLD
10-15-2021,193.38,52.55,HOLD
10-14-2021,188.82,45.75,HOLD
10-13-2021,183.59,35.95,HOLD
10-12-2021,184.54,37.08,HOLD
10-11-2021,187.43,40.68,HOLD
10-08-2021,189.63,43.69,HOLD
10-07-2021,190.20,44.48,HOLD
10-06-2021,186.42,37.53,HOLD
10-05-2021,187.05,38.26,HOLD
10-04-2021,187.66,38.96,HOLD
10-01-2021,188.82,40.25,HOLD
09-30-2021,186.53,36.39,HOLD
09-29-2021,192.26,42.80,HOLD
09-28-2021,194.87,46.24,HOLD
09-27-2021,194.33,45.40,HOLD
09-24-2021,191.24,40.44,HOLD
09-23-2021,191.05,40.12,HOLD
09-22-2021,185.93,31.12,HOLD
09-21-2021,184.46,28.25,BUY
09-20-2021,185.41,28.98,BUY
09-17-2021,194.09,37.05,HOLD
09-16-2021,197.83,41.70,HOLD
09-15-2021,199.90,44.57,HOLD
09-14-2021,196.60,38.27,HOLD
09-13-2021,200.36,43.50,HOLD
09-10-2021,199.20,41.20,HOLD
09-09-2021,199.60,41.75,HOLD
09-08-2021,200.91,43.50,HOLD
09-07-2021,202.33,45.41,HOLD
09-03-2021,204.41,48.30,HOLD
09-02-2021,205.78,50.26,HOLD
09-01-2021,202.07,44.61,HOLD
08-31-2021,204.90,48.51,HOLD
08-30-2021,205.46,49.31,HOLD
08-27-2021,206.80,51.16,HOLD
08-26-2021,205.26,49.11,HOLD
08-25-2021,208.68,53.75,HOLD
08-24-2021,206.57,51.11,HOLD
08-23-2021,203.21,46.60,HOLD
08-20-2021,199.13,40.39,HOLD
08-19-2021,198.66,39.63,HOLD
08-18-2021,203.87,45.53,HOLD
08-17-2021,207.39,50.24,HOLD
08-16-2021,211.54,56.63,HOLD
08-13-2021,212.38,58.01,HOLD
08-12-2021,214.00,60.68,HOLD
08-11-2021,215.38,62.97,HOLD
08-10-2021,208.01,54.45,HOLD
08-09-2021,202.97,46.67,HOLD
08-06-2021,202.45,45.78,HOLD
08-05-2021,201.32,43.90,HOLD
08-04-2021,198.73,39.41,HOLD
08-03-2021,202.59,44.32,HOLD
08-02-2021,199.35,38.33,HOLD
07-30-2021,200.89,40.24,HOLD
07-29-2021,206.54,48.45,HOLD
07-28-2021,205.45,46.49,HOLD
07-27-2021,203.95,43.77,HOLD
07-26-2021,205.05,45.34,HOLD
07-23-2021,203.59,42.82,HOLD
07-22-2021,203.23,42.20,HOLD
07-21-2021,204.76,44.06,HOLD
07-20-2021,202.07,39.71,HOLD
07-19-2021,197.33,30.93,HOLD
07-16-2021,200.98,34.53,HOLD
07-15-2021,204.32,38.32,HOLD
07-14-2021,204.55,38.58,HOLD
07-13-2021,207.98,42.76,HOLD
07-12-2021,211.25,47.31,HOLD
07-09-2021,210.13,45.47,HOLD
07-08-2021,205.00,35.95,HOLD
07-07-2021,207.49,39.02,HOLD
07-06-2021,206.36,36.74,HOLD
07-02-2021,210.46,42.03,HOLD
07-01-2021,209.45,40.04,HOLD
06-30-2021,210.34,41.19,HOLD
06-29-2021,207.89,36.55,HOLD
06-28-2021,209.02,37.83,HOLD
06-25-2021,209.06,37.88,HOLD
06-24-2021,211.99,41.09,HOLD
06-23-2021,206.62,31.14,HOLD
06-22-2021,205.99,29.83,BUY
06-21-2021,206.06,29.90,BUY
06-18-2021,201.86,21.39,BUY
06-17-2021,202.43,21.72,BUY
06-16-2021,209.88,26.76,BUY
06-15-2021,212.10,28.60,BUY
06-14-2021,211.67,27.70,BUY
06-11-2021,213.30,28.98,BUY
06-10-2021,218.16,33.21,HOLD
06-09-2021,226.78,43.73,HOLD
06-08-2021,232.11,53.45,HOLD
06-07-2021,231.72,52.74,HOLD
06-04-2021,235.84,62.08,HOLD
06-03-2021,235.67,61.81,HOLD
06-02-2021,235.30,61.28,HOLD
06-01-2021,234.62,60.34,HOLD
05-28-2021,233.00,58.06,HOLD
05-27-2021,233.19,58.43,HOLD
05-26-2021,229.74,53.51,HOLD
05-25-2021,229.22,52.73,HOLD
05-24-2021,231.04,55.78,HOLD
05-21-2021,229.29,53.37,HOLD
05-20-2021,227.11,50.24,HOLD
