Date,Price,RSI,STATUS
12-16-2022,8.45,38.94,HOLD
12-15-2022,8.63,41.07,HOLD
12-14-2022,8.93,44.89,HOLD
12-13-2022,8.91,44.57,HOLD
12-12-2022,9.01,45.80,HOLD
12-09-2022,8.87,43.78,HOLD
12-08-2022,9.03,45.58,HOLD
12-07-2022,8.89,43.70,HOLD
12-06-2022,9.30,48.23,HOLD
12-05-2022,9.68,52.96,HOLD
12-02-2022,10.00,57.35,HOLD
12-01-2022,9.97,57.04,HOLD
11-30-2022,9.93,56.65,HOLD
11-29-2022,9.75,54.94,HOLD
11-28-2022,9.32,50.62,HOLD
11-25-2022,9.73,55.32,HOLD
11-23-2022,9.73,55.32,HOLD
11-22-2022,9.47,52.93,HOLD
11-21-2022,9.32,51.54,HOLD
11-18-2022,9.47,52.99,HOLD
11-17-2022,9.51,53.36,HOLD
11-16-2022,9.63,54.43,HOLD
11-15-2022,11.16,71.26,SELL
11-14-2022,10.60,67.88,HOLD
11-11-2022,10.35,66.24,HOLD
11-10-2022,9.78,62.14,HOLD
11-09-2022,8.56,50.08,HOLD
11-08-2022,9.10,57.62,HOLD
11-07-2022,8.76,53.53,HOLD
11-04-2022,9.00,57.14,HOLD
11-03-2022,8.83,55.15,HOLD
11-02-2022,8.69,53.50,HOLD
11-01-2022,9.05,58.66,HOLD
10-31-2022,9.06,58.81,HOLD
10-28-2022,8.94,57.63,HOLD
10-27-2022,8.65,54.72,HOLD
10-26-2022,8.67,54.96,HOLD
10-25-2022,8.62,54.50,HOLD
10-24-2022,8.22,50.71,HOLD
10-21-2022,8.20,50.51,HOLD
10-20-2022,8.00,48.66,HOLD
10-19-2022,7.68,45.64,HOLD
10-18-2022,8.08,48.99,HOLD
10-17-2022,7.27,40.83,HOLD
10-14-2022,7.13,39.27,HOLD
10-13-2022,7.10,38.95,HOLD
10-12-2022,7.31,40.33,HOLD
10-11-2022,6.64,33.32,HOLD
10-10-2022,6.38,30.37,HOLD
10-07-2022,6.76,32.31,HOLD
10-06-2022,6.98,33.46,HOLD
10-05-2022,7.43,35.88,HOLD
10-04-2022,7.76,37.74,HOLD
10-03-2022,6.85,28.21,BUY
09-30-2022,7.03,29.03,BUY
09-29-2022,9.16,42.54,HOLD
09-28-2022,9.83,49.24,HOLD
09-27-2022,9.22,41.45,HOLD
09-26-2022,8.90,36.72,HOLD
09-23-2022,8.95,37.15,HOLD
09-22-2022,9.64,43.81,HOLD
09-21-2022,9.71,44.57,HOLD
09-20-2022,10.42,53.16,HOLD
09-19-2022,10.78,58.48,HOLD
09-16-2022,10.76,58.26,HOLD
09-15-2022,10.92,60.59,HOLD
09-14-2022,10.57,57.10,HOLD
09-13-2022,10.24,53.50,HOLD
09-12-2022,10.60,58.48,HOLD
09-09-2022,10.40,56.39,HOLD
09-08-2022,10.08,52.86,HOLD
09-07-2022,9.82,49.79,HOLD
09-06-2022,9.44,44.93,HOLD
09-02-2022,9.37,44.00,HOLD
09-01-2022,9.35,43.75,HOLD
08-31-2022,9.46,44.78,HOLD
08-30-2022,9.77,47.70,HOLD
08-29-2022,9.83,48.27,HOLD
08-26-2022,9.97,49.55,HOLD
08-25-2022,10.54,55.05,HOLD
08-24-2022,10.05,50.68,HOLD
08-23-2022,9.54,45.56,HOLD
08-22-2022,9.39,43.97,HOLD
08-19-2022,9.87,48.14,HOLD
08-18-2022,10.45,53.88,HOLD
08-17-2022,10.56,55.04,HOLD
08-16-2022,11.19,62.12,HOLD
08-15-2022,10.71,58.33,HOLD
08-12-2022,10.72,58.44,HOLD
08-11-2022,10.54,57.05,HOLD
08-10-2022,10.34,55.51,HOLD
08-09-2022,9.47,47.97,HOLD
08-08-2022,10.01,53.16,HOLD
08-05-2022,9.82,51.45,HOLD
08-04-2022,9.75,50.83,HOLD
08-03-2022,9.79,51.17,HOLD
08-02-2022,9.35,47.54,HOLD
08-01-2022,8.92,43.74,HOLD
07-29-2022,9.06,44.72,HOLD
07-28-2022,9.10,44.99,HOLD
07-27-2022,8.85,43.01,HOLD
07-26-2022,8.50,40.22,HOLD
07-25-2022,9.18,44.12,HOLD
07-22-2022,9.26,44.59,HOLD
07-21-2022,9.85,48.12,HOLD
07-20-2022,11.09,56.90,HOLD
07-19-2022,10.36,52.12,HOLD
07-18-2022,9.65,46.80,HOLD
07-15-2022,9.18,42.90,HOLD
