Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,303.79,30.82,HOLD,0.25,-5.50,2023
01-09-2023,303.04,29.70,BUY,0.12,-5.74,2023
01-06-2023,302.68,29.19,BUY,-0.50,-5.85,2023
01-05-2023,304.19,30.04,HOLD,-1.97,-5.38,2023
01-04-2023,310.30,33.74,HOLD,-3.48,-3.48,2023
01-03-2023,321.48,42.66,HOLD,-2.98,0.00,2023
12-30-2022,331.34,54.44,HOLD,0.19,,2022
12-29-2022,330.72,53.70,HOLD,-0.34,,2022
12-28-2022,331.85,55.23,HOLD,-0.67,,2022
12-27-2022,334.10,58.31,HOLD,-0.06,,2022
12-23-2022,334.31,58.59,HOLD,0.31,,2022
12-22-2022,333.28,57.65,HOLD,0.04,,2022
12-21-2022,333.16,57.55,HOLD,1.10,,2022
12-20-2022,329.54,54.42,HOLD,-0.37,,2022
12-19-2022,330.78,55.73,HOLD,1.07,,2022
12-16-2022,327.29,52.76,HOLD,-1.26,,2022
12-15-2022,331.45,56.99,HOLD,-0.97,,2022
12-14-2022,334.68,60.48,HOLD,1.34,,2022
12-13-2022,330.25,57.13,HOLD,-2.67,,2022
12-12-2022,339.30,68.05,HOLD,2.16,,2022
12-09-2022,332.12,62.82,HOLD,-0.41,,2022
12-08-2022,333.50,64.71,HOLD,0.39,,2022
12-07-2022,332.19,63.75,HOLD,0.77,,2022
12-06-2022,329.64,61.87,HOLD,0.69,,2022
12-05-2022,327.39,60.17,HOLD,0.06,,2022
12-02-2022,327.20,60.03,HOLD,1.16,,2022
12-01-2022,323.45,57.30,HOLD,-1.65,,2022
11-30-2022,328.89,63.11,HOLD,2.55,,2022
11-29-2022,320.70,57.02,HOLD,0.37,,2022
11-28-2022,319.51,56.04,HOLD,-1.36,,2022
11-25-2022,323.90,60.79,HOLD,1.27,,2022
11-23-2022,319.84,57.71,HOLD,0.15,,2022
11-22-2022,319.35,57.33,HOLD,1.29,,2022
11-21-2022,315.29,54.21,HOLD,-1.23,,2022
11-18-2022,319.21,58.02,HOLD,2.28,,2022
11-17-2022,312.10,52.38,HOLD,1.76,,2022
11-16-2022,306.69,47.39,HOLD,0.50,,2022
11-15-2022,305.17,45.91,HOLD,-0.55,,2022
11-14-2022,306.85,47.27,HOLD,1.00,,2022
11-11-2022,303.82,44.51,HOLD,-6.04,,2022
11-10-2022,323.34,64.83,HOLD,-0.51,,2022
11-09-2022,324.99,67.23,HOLD,-0.84,,2022
11-08-2022,327.74,71.34,SELL,1.04,,2022
11-07-2022,324.37,69.20,HOLD,0.70,,2022
11-04-2022,322.13,67.71,HOLD,-0.65,,2022
11-03-2022,324.24,70.70,SELL,1.05,,2022
11-02-2022,320.86,68.64,HOLD,-1.31,,2022
11-01-2022,325.12,74.78,SELL,0.64,,2022
10-31-2022,323.06,73.72,SELL,-0.52,,2022
10-28-2022,324.76,76.17,SELL,2.58,,2022
10-27-2022,316.58,72.03,SELL,0.52,,2022
10-26-2022,314.95,71.10,SELL,1.30,,2022
10-25-2022,310.92,68.71,HOLD,1.29,,2022
10-24-2022,306.95,66.15,HOLD,1.86,,2022
10-21-2022,301.34,62.09,HOLD,2.39,,2022
10-20-2022,294.31,55.93,HOLD,0.42,,2022
10-19-2022,293.08,54.73,HOLD,-0.22,,2022
10-18-2022,293.74,55.48,HOLD,1.32,,2022
10-17-2022,289.92,51.95,HOLD,-1.82,,2022
10-14-2022,295.30,57.97,HOLD,-0.79,,2022
10-13-2022,297.64,60.82,HOLD,3.22,,2022
10-12-2022,288.36,52.16,HOLD,-0.89,,2022
10-11-2022,290.95,55.33,HOLD,1.83,,2022
10-10-2022,285.73,49.60,HOLD,-0.92,,2022
10-07-2022,288.38,52.79,HOLD,-1.60,,2022
10-06-2022,293.08,59.05,HOLD,-0.32,,2022
10-05-2022,294.03,60.39,HOLD,0.34,,2022
10-04-2022,293.02,59.48,HOLD,2.02,,2022
10-03-2022,287.22,53.82,HOLD,3.51,,2022
09-30-2022,277.47,40.97,HOLD,-1.10,,2022
09-29-2022,280.56,44.62,HOLD,-0.70,,2022
09-28-2022,282.55,47.14,HOLD,1.78,,2022
09-27-2022,277.62,39.26,HOLD,0.30,,2022
09-26-2022,276.80,37.83,HOLD,-0.35,,2022
09-23-2022,277.77,38.83,HOLD,-1.81,,2022
09-22-2022,282.90,44.66,HOLD,-0.72,,2022
09-21-2022,284.95,47.30,HOLD,-1.09,,2022
09-20-2022,288.08,51.61,HOLD,-0.43,,2022
09-19-2022,289.32,53.40,HOLD,-0.35,,2022
09-16-2022,290.35,54.87,HOLD,0.13,,2022
09-15-2022,289.96,54.43,HOLD,2.07,,2022
