Date,Price,RSI,STATUS
12-16-2022,34.49,48.64,HOLD
12-15-2022,34.61,49.48,HOLD
12-14-2022,35.35,54.91,HOLD
12-13-2022,36.71,67.56,HOLD
12-12-2022,36.52,66.56,HOLD
12-09-2022,35.32,59.19,HOLD
12-08-2022,34.97,56.60,HOLD
12-07-2022,34.62,53.88,HOLD
12-06-2022,34.77,55.26,HOLD
12-05-2022,35.15,58.80,HOLD
12-02-2022,35.86,66.14,HOLD
12-01-2022,36.28,71.01,SELL
11-30-2022,36.64,75.44,SELL
11-29-2022,35.48,69.81,HOLD
11-28-2022,35.59,71.25,SELL
11-25-2022,35.65,72.00,SELL
11-23-2022,35.53,71.44,SELL
11-22-2022,35.10,69.41,HOLD
11-21-2022,34.35,65.42,HOLD
11-18-2022,34.50,67.05,HOLD
11-17-2022,34.26,65.79,HOLD
11-16-2022,33.98,64.31,HOLD
11-15-2022,34.28,67.20,HOLD
11-14-2022,34.13,66.50,HOLD
11-11-2022,34.02,66.00,HOLD
11-10-2022,32.77,59.75,HOLD
11-09-2022,31.39,50.41,HOLD
11-08-2022,31.90,54.77,HOLD
11-07-2022,31.60,52.53,HOLD
11-04-2022,31.00,47.71,HOLD
11-03-2022,30.38,42.06,HOLD
11-02-2022,30.91,46.01,HOLD
11-01-2022,31.56,51.50,HOLD
10-31-2022,31.74,53.14,HOLD
10-28-2022,31.95,55.03,HOLD
10-27-2022,31.97,55.20,HOLD
10-26-2022,31.50,51.89,HOLD
10-25-2022,31.56,52.35,HOLD
10-24-2022,31.08,49.00,HOLD
10-21-2022,30.48,44.46,HOLD
10-20-2022,30.46,44.31,HOLD
10-19-2022,30.39,43.81,HOLD
10-18-2022,30.75,45.78,HOLD
10-17-2022,30.82,46.16,HOLD
10-14-2022,30.05,41.23,HOLD
10-13-2022,30.23,42.06,HOLD
10-12-2022,28.69,30.93,HOLD
10-11-2022,28.68,30.85,HOLD
10-10-2022,29.13,32.42,HOLD
10-07-2022,29.27,32.90,HOLD
10-06-2022,30.05,35.66,HOLD
10-05-2022,30.74,38.29,HOLD
