Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,78.81,65.43,HOLD,-0.83,-1.17,2.30
01-11-2024,79.47,69.70,HOLD,1.35,-0.34,1.65
01-10-2024,78.41,66.44,HOLD,0.51,-1.67,-0.04
01-09-2024,78.01,65.12,HOLD,1.63,-2.17,2.48
01-08-2024,76.76,60.64,HOLD,-0.80,-3.74,-1.07
01-05-2024,77.38,64.45,HOLD,0.22,-2.96,-1.63
01-04-2024,77.21,63.87,HOLD,0.61,-3.17,-0.06
01-03-2024,76.74,62.30,HOLD,-0.12,-3.76,-3.42
01-02-2024,76.83,62.79,HOLD,3.53,-3.65,-3.65
12-29-2023,74.21,52.83,HOLD,0.43,-6.94,0.00
12-28-2023,73.89,51.35,HOLD,0.63,-7.34,0.00
12-27-2023,73.43,49.23,HOLD,-0.30,-7.91,0.00
12-26-2023,73.65,50.21,HOLD,0.42,-7.64,0.00
12-22-2023,73.34,48.88,HOLD,-0.10,-8.03,0.00
12-21-2023,73.41,49.16,HOLD,1.66,-7.94,0.00
12-20-2023,72.21,44.19,HOLD,-3.11,-9.44,0.00
12-19-2023,74.53,53.59,HOLD,-0.35,-6.53,0.00
12-18-2023,74.79,54.80,HOLD,0.77,-6.21,0.00
12-15-2023,74.22,52.62,HOLD,-1.71,-6.92,0.00
12-14-2023,75.51,58.56,HOLD,-1.51,-5.30,0.00
12-13-2023,76.67,64.66,HOLD,0.43,-3.85,0.00
12-12-2023,76.34,63.66,HOLD,2.81,-4.26,0.00
12-11-2023,74.25,56.41,HOLD,0.65,-6.88,0.00
12-08-2023,73.77,54.47,HOLD,-0.63,-7.49,0.00
12-07-2023,74.24,56.77,HOLD,-0.22,-6.90,0.00
12-06-2023,74.40,57.53,HOLD,-0.81,-6.70,0.00
12-05-2023,75.01,60.42,HOLD,1.32,-5.93,0.00
12-04-2023,74.03,57.22,HOLD,-1.14,-7.16,0.00
12-01-2023,74.88,61.20,HOLD,1.63,-6.09,0.00
11-30-2023,73.68,57.30,HOLD,4.54,-7.60,0.00
11-29-2023,70.48,43.15,HOLD,-3.40,-11.61,0.00
11-28-2023,72.96,56.67,HOLD,-1.55,-8.50,0.00
11-27-2023,74.11,65.51,HOLD,-0.34,-7.06,0.00
11-24-2023,74.36,67.63,HOLD,0.20,-6.75,0.00
11-22-2023,74.21,67.04,HOLD,0.69,-6.94,0.00
11-21-2023,73.70,65.00,HOLD,1.29,-7.57,0.00
11-20-2023,72.76,60.86,HOLD,0.21,-8.75,0.00
11-17-2023,72.61,60.16,HOLD,-0.82,-8.94,0.00
11-16-2023,73.21,64.43,HOLD,-0.03,-8.19,0.00
11-15-2023,73.23,64.57,HOLD,0.00,-8.16,0.00
11-14-2023,73.23,64.57,HOLD,1.51,-8.16,0.00
11-13-2023,72.14,60.48,HOLD,0.38,-9.53,0.00
11-10-2023,71.87,59.41,HOLD,0.57,-9.87,0.00
11-09-2023,71.46,57.78,HOLD,1.64,-10.38,0.00
11-08-2023,70.31,52.88,HOLD,-2.01,-11.83,0.00
11-07-2023,71.75,61.14,HOLD,-0.13,-10.02,0.00
11-06-2023,71.84,61.70,HOLD,3.64,-9.91,0.00
11-03-2023,69.32,49.74,HOLD,0.57,-13.07,0.00
11-02-2023,68.93,47.38,HOLD,-0.56,-13.56,0.00
11-01-2023,69.32,49.54,HOLD,0.49,-13.07,0.00
10-31-2023,68.98,47.60,HOLD,1.50,-13.49,0.00
10-30-2023,67.96,41.34,HOLD,0.71,-14.77,0.00
10-27-2023,67.48,38.10,HOLD,-0.92,-15.37,0.00
10-26-2023,68.11,40.85,HOLD,-0.87,-14.58,0.00
10-25-2023,68.71,43.63,HOLD,-1.41,-13.83,0.00
10-24-2023,69.69,48.65,HOLD,-1.65,-12.60,0.00
10-23-2023,70.86,55.76,HOLD,-1.43,-11.14,0.00
10-20-2023,71.89,63.34,HOLD,-0.07,-9.84,0.00
10-19-2023,71.94,63.73,HOLD,-1.43,-9.78,0.00
10-18-2023,72.98,72.33,HOLD,1.19,-8.48,0.00
10-17-2023,72.12,69.13,HOLD,1.41,-9.56,0.00
10-16-2023,71.12,64.73,HOLD,0.07,-10.81,0.00
10-13-2023,71.07,64.49,HOLD,0.16,-10.87,0.00
10-12-2023,70.96,64.00,HOLD,-0.03,-11.01,0.00
10-11-2023,70.98,64.15,HOLD,-0.27,-10.99,0.00
10-10-2023,71.17,65.50,HOLD,0.44,-10.75,0.00
10-09-2023,70.86,64.36,HOLD,0.93,-11.14,0.00
10-06-2023,70.21,61.92,HOLD,1.72,-11.95,0.00
10-05-2023,69.02,56.90,HOLD,0.06,-13.44,0.00
10-04-2023,68.98,56.72,HOLD,1.08,-13.49,0.00
10-03-2023,68.24,53.41,HOLD,-1.53,-14.42,0.00
10-02-2023,69.30,59.45,HOLD,0.61,-13.09,0.00
09-29-2023,68.88,57.69,HOLD,-0.55,-13.62,0.00
09-28-2023,69.26,59.88,HOLD,-0.69,-13.14,0.00
09-27-2023,69.74,62.66,HOLD,-0.36,-12.54,0.00
09-26-2023,69.99,64.11,HOLD,-0.82,-12.23,0.00
09-25-2023,70.57,67.45,HOLD,2.75,-11.50,0.00
09-22-2023,68.68,61.35,HOLD,-1.24,-13.87,0.00
09-21-2023,69.54,66.63,HOLD,2.14,-12.79,0.00
09-20-2023,68.08,61.39,HOLD,0.34,-14.62,0.00
09-19-2023,67.85,60.48,HOLD,-0.01,-14.91,0.00
09-18-2023,67.86,60.54,HOLD,0.07,-14.90,0.00
09-15-2023,67.81,60.37,HOLD,0.30,-14.96,0.00
09-14-2023,67.61,59.70,HOLD,-1.07,-15.21,0.00
09-13-2023,68.34,63.29,HOLD,1.97,-14.30,0.00
09-12-2023,67.02,59.17,HOLD,0.90,-15.95,0.00
09-11-2023,66.42,57.14,HOLD,1.54,-16.70,0.00
09-08-2023,65.41,53.54,HOLD,-1.55,-17.97,0.00
09-07-2023,66.44,58.18,HOLD,4.93,-16.68,0.00
09-06-2023,63.32,44.69,HOLD,2.33,-20.59,0.00
09-05-2023,61.88,35.83,HOLD,1.00,-22.40,0.00
09-01-2023,61.27,31.51,HOLD,-0.62,-23.16,0.00
08-31-2023,61.65,32.79,HOLD,-1.71,-22.69,0.00
08-30-2023,62.72,36.67,HOLD,-2.67,-21.34,0.00
08-29-2023,64.44,44.55,HOLD,0.66,-19.19,0.00
