Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,118.08,52.02,HOLD,0.61,4.38,2023
01-09-2023,117.36,50.75,HOLD,-0.74,3.75,2023
01-06-2023,118.23,52.31,HOLD,1.25,4.52,2023
01-05-2023,116.77,49.92,HOLD,3.03,3.23,2023
01-04-2023,113.34,43.77,HOLD,0.19,0.19,2023
01-03-2023,113.12,43.36,HOLD,-4.14,0.00,2023
12-30-2022,118.00,51.11,HOLD,1.38,,2022
12-29-2022,116.39,48.28,HOLD,0.94,,2022
12-28-2022,115.31,46.34,HOLD,-2.67,,2022
12-27-2022,118.47,51.58,HOLD,1.21,,2022
12-23-2022,117.05,49.19,HOLD,3.68,,2022
12-22-2022,112.90,41.29,HOLD,-2.91,,2022
12-21-2022,116.28,46.79,HOLD,3.22,,2022
12-20-2022,112.65,38.64,HOLD,2.00,,2022
12-19-2022,110.44,32.82,HOLD,0.00,,2022
12-16-2022,110.44,32.82,HOLD,-1.87,,2022
12-15-2022,112.55,35.60,HOLD,-0.28,,2022
12-14-2022,112.87,36.03,HOLD,-0.48,,2022
12-13-2022,113.41,36.72,HOLD,1.46,,2022
12-12-2022,111.78,33.11,HOLD,1.60,,2022
12-09-2022,110.02,29.05,BUY,-2.29,,2022
12-08-2022,112.60,31.66,HOLD,-1.98,,2022
12-07-2022,114.88,34.19,HOLD,-0.63,,2022
12-06-2022,115.61,35.02,HOLD,-3.15,,2022
12-05-2022,119.37,39.63,HOLD,-2.30,,2022
12-02-2022,122.18,43.61,HOLD,-0.72,,2022
12-01-2022,123.06,44.93,HOLD,-0.36,,2022
11-30-2022,123.51,45.58,HOLD,-0.60,,2022
11-29-2022,124.25,46.61,HOLD,0.33,,2022
11-28-2022,123.84,45.98,HOLD,-2.34,,2022
11-25-2022,126.81,49.94,HOLD,0.06,,2022
11-23-2022,126.74,49.85,HOLD,-2.49,,2022
11-22-2022,129.98,54.25,HOLD,3.58,,2022
11-21-2022,125.49,48.38,HOLD,-2.41,,2022
11-18-2022,128.59,52.71,HOLD,-1.98,,2022
11-17-2022,131.19,56.67,HOLD,1.51,,2022
11-16-2022,129.24,54.28,HOLD,-3.62,,2022
11-15-2022,134.09,62.19,HOLD,0.80,,2022
11-14-2022,133.03,61.04,HOLD,-0.69,,2022
11-11-2022,133.96,62.60,HOLD,3.48,,2022
11-10-2022,129.46,57.76,HOLD,3.35,,2022
11-09-2022,125.26,52.43,HOLD,-6.83,,2022
11-08-2022,134.44,70.48,SELL,-0.37,,2022
11-07-2022,134.94,71.73,SELL,1.98,,2022
11-04-2022,132.32,69.06,HOLD,-1.12,,2022
11-03-2022,133.82,72.71,SELL,5.78,,2022
11-02-2022,126.51,64.14,HOLD,-0.99,,2022
11-01-2022,127.78,67.56,HOLD,1.34,,2022
10-31-2022,126.09,65.27,HOLD,-0.85,,2022
10-28-2022,127.17,68.12,HOLD,0.42,,2022
10-27-2022,126.64,67.47,HOLD,0.06,,2022
10-26-2022,126.57,67.39,HOLD,2.12,,2022
10-25-2022,123.94,64.28,HOLD,-0.96,,2022
10-24-2022,125.14,66.99,HOLD,0.52,,2022
10-21-2022,124.49,66.28,HOLD,2.20,,2022
10-20-2022,121.81,63.23,HOLD,0.58,,2022
10-19-2022,121.11,62.40,HOLD,2.73,,2022
10-18-2022,117.89,58.42,HOLD,-0.40,,2022
10-17-2022,118.36,59.27,HOLD,0.34,,2022
10-14-2022,117.96,58.79,HOLD,-3.89,,2022
10-13-2022,122.74,67.52,HOLD,5.54,,2022
10-12-2022,116.30,60.11,HOLD,0.62,,2022
10-11-2022,115.58,59.15,HOLD,-1.04,,2022
10-10-2022,116.80,61.49,HOLD,-1.44,,2022
10-07-2022,118.51,64.84,HOLD,0.73,,2022
10-06-2022,117.65,63.92,HOLD,1.48,,2022
10-05-2022,115.93,62.09,HOLD,0.27,,2022
10-04-2022,115.62,61.76,HOLD,5.14,,2022
10-03-2022,109.97,55.25,HOLD,7.46,,2022
09-30-2022,102.34,43.12,HOLD,-1.27,,2022
09-29-2022,103.66,45.08,HOLD,0.64,,2022
09-28-2022,103.00,43.90,HOLD,4.29,,2022
09-27-2022,98.76,35.59,HOLD,-0.44,,2022
09-26-2022,99.20,36.11,HOLD,-1.38,,2022
09-23-2022,100.59,37.71,HOLD,-8.60,,2022
09-22-2022,110.06,52.40,HOLD,-0.93,,2022
09-21-2022,111.09,54.54,HOLD,-0.87,,2022
09-20-2022,112.07,56.59,HOLD,-0.71,,2022
09-19-2022,112.87,58.25,HOLD,-0.23,,2022
09-16-2022,113.13,58.77,HOLD,-2.10,,2022
09-15-2022,115.56,63.70,HOLD,-1.83,,2022
09-14-2022,117.71,68.41,HOLD,4.79,,2022
09-13-2022,112.33,61.85,HOLD,-1.80,,2022
09-12-2022,114.39,66.79,HOLD,2.16,,2022
09-09-2022,111.97,63.62,HOLD,3.37,,2022
09-08-2022,108.32,58.02,HOLD,1.46,,2022
09-07-2022,106.76,55.29,HOLD,-1.72,,2022
09-06-2022,108.63,59.61,HOLD,-1.48,,2022
09-02-2022,110.26,63.63,HOLD,2.54,,2022
09-01-2022,107.53,59.36,HOLD,-1.75,,2022
08-31-2022,109.45,64.29,HOLD,-0.95,,2022
08-30-2022,110.50,67.11,HOLD,-2.57,,2022
08-29-2022,113.42,75.71,SELL,1.16,,2022
08-26-2022,112.12,74.35,SELL,0.04,,2022
08-25-2022,112.08,74.31,SELL,1.41,,2022
08-24-2022,110.52,72.73,SELL,1.91,,2022
08-23-2022,108.45,70.49,SELL,3.05,,2022
08-22-2022,105.24,66.54,HOLD,0.10,,2022
08-19-2022,105.14,66.41,HOLD,0.25,,2022
08-18-2022,104.88,66.10,HOLD,3.47,,2022
08-17-2022,101.36,61.51,HOLD,1.26,,2022
08-16-2022,100.10,59.70,HOLD,-0.66,,2022
08-15-2022,100.77,61.12,HOLD,-1.93,,2022
08-12-2022,102.75,65.39,HOLD,2.38,,2022
08-11-2022,100.36,62.45,HOLD,4.56,,2022
08-10-2022,95.98,56.10,HOLD,0.49,,2022
08-09-2022,95.51,55.35,HOLD,2.01,,2022
08-08-2022,93.63,52.32,HOLD,0.84,,2022
08-05-2022,92.85,51.03,HOLD,3.30,,2022
08-04-2022,89.88,45.89,HOLD,-1.58,,2022
08-03-2022,91.32,48.17,HOLD,-3.58,,2022
08-02-2022,94.71,54.03,HOLD,-0.41,,2022
08-01-2022,95.10,54.74,HOLD,-2.39,,2022
07-29-2022,97.43,59.06,HOLD,3.58,,2022
07-28-2022,94.06,54.21,HOLD,0.85,,2022
07-27-2022,93.27,53.00,HOLD,2.39,,2022
07-26-2022,91.09,49.58,HOLD,-1.04,,2022
07-25-2022,92.05,51.10,HOLD,4.45,,2022
07-22-2022,88.13,44.67,HOLD,-0.90,,2022
07-21-2022,88.93,45.81,HOLD,-1.96,,2022
07-20-2022,90.71,48.37,HOLD,2.52,,2022
07-19-2022,88.48,44.79,HOLD,4.01,,2022
07-18-2022,85.07,38.76,HOLD,2.63,,2022
07-15-2022,82.89,34.51,HOLD,1.57,,2022
07-14-2022,81.61,31.94,HOLD,-1.80,,2022
07-13-2022,83.11,33.37,HOLD,-0.41,,2022
07-12-2022,83.45,33.68,HOLD,-2.45,,2022
07-11-2022,85.55,35.62,HOLD,-1.05,,2022
07-08-2022,86.46,36.47,HOLD,0.13,,2022
07-07-2022,86.35,36.30,HOLD,3.61,,2022
07-06-2022,83.34,31.66,HOLD,-1.54,,2022
07-05-2022,84.64,32.62,HOLD,-6.97,,2022
07-01-2022,90.98,37.75,HOLD,1.30,,2022
06-30-2022,89.81,36.02,HOLD,-1.80,,2022
06-29-2022,91.46,37.38,HOLD,-3.95,,2022
06-28-2022,95.22,40.62,HOLD,3.24,,2022
06-27-2022,92.23,36.56,HOLD,1.45,,2022
06-24-2022,90.91,34.73,HOLD,3.44,,2022
06-23-2022,87.89,30.48,HOLD,-5.56,,2022
06-22-2022,93.06,34.00,HOLD,-6.27,,2022
06-21-2022,99.28,39.05,HOLD,5.91,,2022
06-17-2022,93.74,30.52,HOLD,-8.47,,2022
06-16-2022,102.42,38.32,HOLD,-6.32,,2022
06-15-2022,109.33,47.24,HOLD,-1.94,,2022
06-14-2022,111.49,50.66,HOLD,-0.24,,2022
06-13-2022,111.76,51.09,HOLD,-4.34,,2022
06-10-2022,116.83,59.96,HOLD,-1.46,,2022
06-09-2022,118.56,63.45,HOLD,-2.71,,2022
06-08-2022,121.86,70.74,SELL,-0.69,,2022
06-07-2022,122.71,72.74,SELL,4.54,,2022
06-06-2022,117.38,67.37,HOLD,-0.63,,2022
06-03-2022,118.12,69.12,HOLD,2.75,,2022
06-02-2022,114.96,65.56,HOLD,-0.68,,2022
06-01-2022,115.75,67.37,HOLD,3.02,,2022
05-31-2022,112.36,63.35,HOLD,-1.95,,2022
05-27-2022,114.60,68.52,HOLD,1.28,,2022
05-26-2022,113.15,66.90,HOLD,1.75,,2022
05-25-2022,111.20,64.62,HOLD,1.57,,2022
05-24-2022,109.48,62.50,HOLD,0.42,,2022
05-23-2022,109.02,61.94,HOLD,3.81,,2022
05-20-2022,105.02,56.67,HOLD,0.39,,2022
05-19-2022,104.61,56.09,HOLD,0.12,,2022
05-18-2022,104.48,55.91,HOLD,-2.37,,2022
05-17-2022,107.02,60.23,HOLD,1.44,,2022
05-16-2022,105.50,58.45,HOLD,2.52,,2022
05-13-2022,102.91,55.28,HOLD,3.32,,2022
05-12-2022,99.60,50.82,HOLD,0.57,,2022
05-11-2022,99.04,50.04,HOLD,1.06,,2022
05-10-2022,98.00,48.63,HOLD,0.82,,2022
05-09-2022,97.20,47.58,HOLD,-9.74,,2022
05-06-2022,107.69,63.45,HOLD,4.70,,2022
05-05-2022,102.86,57.37,HOLD,-0.96,,2022
05-04-2022,103.86,59.26,HOLD,4.98,,2022
05-03-2022,98.93,52.00,HOLD,3.14,,2022
05-02-2022,95.92,46.61,HOLD,0.42,,2022
04-29-2022,95.52,45.86,HOLD,-2.08,,2022
04-28-2022,97.55,49.11,HOLD,4.82,,2022
04-27-2022,93.06,40.43,HOLD,1.91,,2022
04-26-2022,91.32,36.54,HOLD,-0.37,,2022
04-25-2022,91.66,36.98,HOLD,-4.53,,2022
04-22-2022,96.01,43.13,HOLD,-2.70,,2022
04-21-2022,98.67,47.63,HOLD,-3.90,,2022
04-20-2022,102.67,55.76,HOLD,1.09,,2022
04-19-2022,101.56,53.72,HOLD,-1.85,,2022
04-18-2022,103.47,57.98,HOLD,2.07,,2022
04-14-2022,101.37,54.28,HOLD,1.14,,2022
04-13-2022,100.23,52.16,HOLD,0.23,,2022
04-12-2022,100.00,51.74,HOLD,2.06,,2022
04-11-2022,97.98,48.01,HOLD,-4.92,,2022
04-08-2022,103.05,58.54,HOLD,3.09,,2022
04-07-2022,99.96,52.67,HOLD,2.48,,2022
04-06-2022,97.54,47.23,HOLD,-0.52,,2022
04-05-2022,98.05,48.32,HOLD,-2.49,,2022
04-04-2022,100.55,53.96,HOLD,-0.03,,2022
04-01-2022,100.58,54.03,HOLD,0.58,,2022
03-31-2022,100.00,52.93,HOLD,-1.09,,2022
03-30-2022,101.10,55.26,HOLD,0.41,,2022
03-29-2022,100.69,54.57,HOLD,-2.71,,2022
03-28-2022,103.50,60.53,HOLD,-3.72,,2022
03-25-2022,107.50,70.75,SELL,2.83,,2022
03-24-2022,104.54,66.91,HOLD,0.16,,2022
03-23-2022,104.37,66.68,HOLD,2.55,,2022
03-22-2022,101.77,62.97,HOLD,-0.96,,2022
03-21-2022,102.76,65.55,HOLD,3.17,,2022
03-18-2022,99.60,60.79,HOLD,0.78,,2022
03-17-2022,98.83,59.53,HOLD,4.23,,2022
03-16-2022,94.82,52.05,HOLD,-0.24,,2022
