Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,77.42,51.69,HOLD,0.47,3.39,-2.14
01-11-2024,77.06,49.71,HOLD,-2.34,2.91,-1.12
01-10-2024,78.91,61.81,HOLD,0.55,5.38,2.04
01-09-2024,78.48,59.70,HOLD,-0.54,4.81,2.66
01-08-2024,78.91,62.94,HOLD,0.36,5.38,1.54
01-05-2024,78.63,61.68,HOLD,-0.84,5.01,1.42
01-04-2024,79.30,66.71,HOLD,0.56,5.90,6.46
01-03-2024,78.86,64.97,HOLD,-0.25,5.32,2.83
01-02-2024,79.06,66.44,HOLD,0.00,5.58,5.58
12-29-2023,79.06,66.44,HOLD,-0.29,5.58,0.00
12-28-2023,79.29,67.96,HOLD,-0.56,5.89,0.00
12-27-2023,79.74,70.92,HOLD,0.35,6.49,0.00
12-26-2023,79.46,70.17,HOLD,-0.01,6.12,0.00
12-22-2023,79.47,70.23,HOLD,0.44,6.13,0.00
12-21-2023,79.12,69.38,HOLD,2.43,5.66,0.00
12-20-2023,77.24,64.28,HOLD,-0.62,3.15,0.00
12-19-2023,77.72,66.92,HOLD,2.06,3.79,0.00
12-18-2023,76.15,62.21,HOLD,0.33,1.70,0.00
12-15-2023,75.90,61.40,HOLD,-1.24,1.36,0.00
12-14-2023,76.85,66.44,HOLD,2.60,2.63,0.00
12-13-2023,74.90,60.21,HOLD,1.38,0.03,0.00
12-12-2023,73.88,56.27,HOLD,1.16,-1.34,0.00
12-11-2023,73.03,52.64,HOLD,0.19,-2.47,0.00
12-08-2023,72.89,52.03,HOLD,-0.51,-2.66,0.00
12-07-2023,73.26,53.73,HOLD,-0.96,-2.16,0.00
12-06-2023,73.97,57.04,HOLD,0.68,-1.22,0.00
12-05-2023,73.47,55.23,HOLD,-1.51,-1.88,0.00
12-04-2023,74.60,60.58,HOLD,-0.31,-0.37,0.00
12-01-2023,74.83,61.70,HOLD,3.93,-0.07,0.00
11-30-2023,72.00,51.35,HOLD,0.95,-3.85,0.00
11-29-2023,71.32,48.23,HOLD,1.52,-4.75,0.00
11-28-2023,70.25,42.88,HOLD,0.88,-6.18,0.00
11-27-2023,69.64,39.57,HOLD,-3.53,-7.00,0.00
11-24-2023,72.19,51.05,HOLD,1.69,-3.59,0.00
11-22-2023,70.99,43.94,HOLD,0.04,-5.19,0.00
11-21-2023,70.96,43.75,HOLD,-0.76,-5.24,0.00
11-20-2023,71.50,46.37,HOLD,-0.31,-4.51,0.00
11-17-2023,71.72,47.45,HOLD,0.11,-4.22,0.00
11-16-2023,71.64,47.03,HOLD,0.13,-4.33,0.00
11-15-2023,71.55,46.59,HOLD,0.95,-4.45,0.00
11-14-2023,70.88,43.33,HOLD,2.03,-5.34,0.00
11-13-2023,69.47,35.67,HOLD,-1.71,-7.22,0.00
11-10-2023,70.68,39.98,HOLD,-2.91,-5.61,0.00
11-09-2023,72.80,49.76,HOLD,-1.34,-2.78,0.00
11-08-2023,73.79,55.67,HOLD,0.41,-1.46,0.00
11-07-2023,73.49,54.14,HOLD,-1.12,-1.86,0.00
11-06-2023,74.32,59.41,HOLD,0.00,-0.75,0.00
11-03-2023,74.32,59.41,HOLD,1.27,-0.75,0.00
11-02-2023,73.39,55.19,HOLD,2.41,-1.99,0.00
11-01-2023,71.66,45.39,HOLD,0.97,-4.30,0.00
10-31-2023,70.97,40.58,HOLD,-0.08,-5.22,0.00
10-30-2023,71.03,40.87,HOLD,2.13,-5.14,0.00
10-27-2023,69.55,29.25,HOLD,-0.36,-7.12,0.00
10-26-2023,69.80,30.18,HOLD,0.09,-6.78,0.00
10-25-2023,69.74,29.68,HOLD,0.42,-6.86,0.00
10-24-2023,69.45,27.36,HOLD,-1.53,-7.25,0.00
10-23-2023,70.53,30.89,HOLD,-0.90,-5.81,0.00
10-20-2023,71.17,33.26,HOLD,-0.17,-4.95,0.00
10-19-2023,71.29,33.71,HOLD,0.52,-4.79,0.00
10-18-2023,70.92,31.04,HOLD,-1.94,-5.29,0.00
10-17-2023,72.32,36.15,HOLD,-0.65,-3.42,0.00
10-16-2023,72.79,38.10,HOLD,1.25,-2.79,0.00
10-13-2023,71.89,31.52,HOLD,-0.62,-3.99,0.00
10-12-2023,72.34,33.15,HOLD,-1.40,-3.39,0.00
10-11-2023,73.37,37.27,HOLD,0.67,-2.02,0.00
10-10-2023,72.88,33.63,HOLD,-0.45,-2.67,0.00
10-09-2023,73.21,34.90,HOLD,0.49,-2.23,0.00
10-06-2023,72.85,32.32,HOLD,0.14,-2.71,0.00
10-05-2023,72.75,31.62,HOLD,-0.45,-2.84,0.00
10-04-2023,73.08,32.65,HOLD,-0.61,-2.40,0.00
10-03-2023,73.53,34.06,HOLD,0.85,-1.80,0.00
10-02-2023,72.91,30.20,HOLD,-2.02,-2.63,0.00
09-29-2023,74.41,34.77,HOLD,-0.31,-0.63,0.00
09-28-2023,74.64,35.54,HOLD,0.99,-0.32,0.00
09-27-2023,73.91,31.06,HOLD,-0.78,-1.30,0.00
09-26-2023,74.49,32.74,HOLD,-3.11,-0.52,0.00
09-25-2023,76.88,41.26,HOLD,0.54,2.67,0.00
09-22-2023,76.47,38.72,HOLD,0.16,2.12,0.00
09-21-2023,76.35,37.99,HOLD,-2.66,1.96,0.00
