Date,Price,RSI,STATUS
12-16-2022,57.06,66.55,HOLD
12-15-2022,56.92,66.06,HOLD
12-14-2022,57.00,66.57,HOLD
12-13-2022,56.27,64.23,HOLD
12-12-2022,56.91,68.12,HOLD
12-09-2022,55.66,64.19,HOLD
12-08-2022,57.07,73.71,SELL
12-07-2022,56.18,71.21,SELL
12-06-2022,52.99,57.83,HOLD
12-05-2022,53.30,60.36,HOLD
12-02-2022,54.10,67.43,HOLD
12-01-2022,53.59,65.01,HOLD
11-30-2022,53.67,65.72,HOLD
11-29-2022,52.62,60.43,HOLD
11-28-2022,52.92,63.01,HOLD
11-25-2022,53.04,64.03,HOLD
11-23-2022,52.54,61.63,HOLD
11-22-2022,52.57,61.86,HOLD
11-21-2022,52.19,60.12,HOLD
11-18-2022,51.56,57.10,HOLD
11-17-2022,50.49,51.28,HOLD
11-16-2022,50.71,52.64,HOLD
11-15-2022,48.81,39.81,HOLD
11-14-2022,48.64,38.43,HOLD
11-11-2022,48.97,40.09,HOLD
11-10-2022,50.55,49.65,HOLD
11-09-2022,51.44,56.73,HOLD
11-08-2022,51.54,57.58,HOLD
11-07-2022,51.12,54.93,HOLD
11-04-2022,50.83,53.05,HOLD
11-03-2022,51.23,56.05,HOLD
11-02-2022,52.26,64.80,HOLD
11-01-2022,52.57,67.76,HOLD
10-31-2022,52.91,71.07,SELL
10-28-2022,52.73,70.36,SELL
10-27-2022,51.80,66.40,HOLD
10-26-2022,51.54,65.19,HOLD
10-25-2022,51.16,63.41,HOLD
10-24-2022,50.60,60.64,HOLD
10-21-2022,50.25,58.84,HOLD
10-20-2022,49.88,56.90,HOLD
10-19-2022,50.98,65.40,HOLD
10-18-2022,50.55,63.42,HOLD
10-17-2022,50.01,60.80,HOLD
10-14-2022,50.37,63.62,HOLD
10-13-2022,50.62,65.58,HOLD
10-12-2022,49.09,58.27,HOLD
10-11-2022,48.62,55.58,HOLD
10-10-2022,47.72,49.82,HOLD
10-07-2022,46.63,41.25,HOLD
10-06-2022,46.81,42.36,HOLD
10-05-2022,47.59,47.50,HOLD
10-04-2022,47.69,48.19,HOLD
10-03-2022,47.35,45.70,HOLD
09-30-2022,46.76,41.06,HOLD
09-29-2022,46.65,40.19,HOLD
09-28-2022,47.51,45.08,HOLD
09-27-2022,46.72,38.71,HOLD
09-26-2022,47.61,44.05,HOLD
09-23-2022,48.23,48.31,HOLD
09-22-2022,48.80,52.74,HOLD
09-21-2022,48.16,47.75,HOLD
09-20-2022,47.40,40.99,HOLD
09-19-2022,47.68,42.89,HOLD
09-16-2022,47.32,39.55,HOLD
09-15-2022,46.73,33.52,HOLD
09-14-2022,46.98,34.87,HOLD
09-13-2022,46.92,34.28,HOLD
09-12-2022,48.14,41.38,HOLD
09-09-2022,47.56,35.54,HOLD
09-08-2022,47.47,34.60,HOLD
09-07-2022,48.93,44.42,HOLD
09-06-2022,48.43,38.94,HOLD
09-02-2022,48.75,41.36,HOLD
09-01-2022,48.99,43.23,HOLD
08-31-2022,49.99,52.52,HOLD
08-30-2022,50.30,55.95,HOLD
08-29-2022,50.75,61.34,HOLD
08-26-2022,50.30,57.54,HOLD
08-25-2022,50.80,64.04,HOLD
08-24-2022,51.15,69.26,HOLD
08-23-2022,50.77,66.51,HOLD
08-22-2022,50.46,64.15,HOLD
08-19-2022,50.91,71.07,SELL
08-18-2022,50.40,67.37,HOLD
08-17-2022,50.30,66.61,HOLD
08-16-2022,50.30,66.61,HOLD
08-15-2022,49.66,61.67,HOLD
08-12-2022,49.56,60.75,HOLD
08-11-2022,49.70,62.66,HOLD
08-10-2022,49.56,61.54,HOLD
08-09-2022,49.30,59.57,HOLD
08-08-2022,49.16,58.51,HOLD
08-05-2022,49.04,57.63,HOLD
08-04-2022,48.56,53.98,HOLD
08-03-2022,49.31,61.68,HOLD
08-02-2022,48.82,58.05,HOLD
08-01-2022,49.20,62.30,HOLD
07-29-2022,48.97,60.68,HOLD
07-28-2022,48.74,59.05,HOLD
