Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,50.34,53.64,HOLD,-0.20,5.01,2.99
01-11-2024,50.44,55.10,HOLD,0.40,5.21,2.94
01-10-2024,50.24,52.72,HOLD,0.66,4.80,2.09
01-09-2024,49.91,48.54,HOLD,-1.09,4.11,2.25
01-08-2024,50.46,56.23,HOLD,0.74,5.26,3.87
01-05-2024,50.09,51.42,HOLD,0.02,4.48,3.66
01-04-2024,50.08,51.29,HOLD,-0.85,4.46,6.83
01-03-2024,50.51,57.65,HOLD,0.00,5.36,6.23
01-02-2024,50.51,57.65,HOLD,-0.02,5.36,5.36
12-29-2023,50.52,57.80,HOLD,0.08,5.38,0.00
12-28-2023,50.48,57.40,HOLD,0.08,5.30,0.00
12-27-2023,50.44,57.03,HOLD,0.32,5.21,0.00
12-26-2023,50.28,55.58,HOLD,0.38,4.88,0.00
12-22-2023,50.09,53.87,HOLD,0.78,4.48,0.00
12-21-2023,49.70,50.22,HOLD,-0.20,3.67,0.00
12-20-2023,49.80,51.18,HOLD,-0.76,3.88,0.00
12-19-2023,50.18,54.91,HOLD,-0.12,4.67,0.00
12-18-2023,50.24,55.50,HOLD,0.74,4.80,0.00
12-15-2023,49.87,52.57,HOLD,0.87,4.03,0.00
12-14-2023,49.44,48.94,HOLD,-0.50,3.13,0.00
12-13-2023,49.69,51.05,HOLD,0.73,3.65,0.00
12-12-2023,49.33,48.06,HOLD,-0.12,2.90,0.00
12-11-2023,49.39,48.52,HOLD,2.09,3.02,0.00
12-08-2023,48.38,39.49,HOLD,0.25,0.92,0.00
12-07-2023,48.26,38.29,HOLD,1.17,0.67,0.00
12-06-2023,47.70,32.52,HOLD,-0.48,-0.50,0.00
12-05-2023,47.93,33.72,HOLD,-0.25,-0.02,0.00
12-04-2023,48.05,34.34,HOLD,-0.87,0.23,0.00
12-01-2023,48.47,36.50,HOLD,0.19,1.11,0.00
11-30-2023,48.38,35.69,HOLD,0.69,0.92,0.00
11-29-2023,48.05,32.79,HOLD,0.42,0.23,0.00
11-28-2023,47.85,31.03,HOLD,-0.17,-0.19,0.00
11-27-2023,47.93,31.34,HOLD,-0.89,-0.02,0.00
11-24-2023,48.36,32.95,HOLD,0.58,0.88,0.00
11-22-2023,48.08,30.80,HOLD,0.59,0.29,0.00
11-21-2023,47.80,28.67,HOLD,-0.97,-0.29,0.00
11-20-2023,48.27,30.11,HOLD,1.07,0.69,0.00
11-17-2023,47.76,26.39,BUY,-0.58,-0.38,0.00
11-16-2023,48.04,27.12,HOLD,-9.83,0.21,0.00
11-15-2023,53.28,52.73,HOLD,0.21,11.14,0.00
11-14-2023,53.17,51.84,HOLD,1.80,10.91,0.00
11-13-2023,52.23,43.43,HOLD,-0.68,8.95,0.00
11-10-2023,52.59,46.31,HOLD,1.13,9.70,0.00
11-09-2023,52.00,40.28,HOLD,-1.89,8.47,0.00
11-08-2023,53.00,48.92,HOLD,-0.24,10.55,0.00
11-07-2023,53.13,50.22,HOLD,-0.30,10.83,0.00
11-06-2023,53.29,51.79,HOLD,0.53,11.16,0.00
11-03-2023,53.01,49.20,HOLD,0.49,10.58,0.00
11-02-2023,52.75,46.74,HOLD,1.07,10.03,0.00
11-01-2023,52.19,41.03,HOLD,0.12,8.87,0.00
10-31-2023,52.13,40.39,HOLD,1.09,8.74,0.00
10-30-2023,51.57,34.24,HOLD,0.02,7.57,0.00
10-27-2023,51.56,34.13,HOLD,0.37,7.55,0.00
10-26-2023,51.37,32.08,HOLD,-1.97,7.15,0.00
10-25-2023,52.40,38.05,HOLD,-1.15,9.30,0.00
10-24-2023,53.01,42.39,HOLD,1.55,10.58,0.00
10-23-2023,52.20,32.96,HOLD,-1.38,8.89,0.00
10-20-2023,52.93,38.19,HOLD,-0.73,10.41,0.00
10-19-2023,53.32,41.45,HOLD,-0.84,11.22,0.00
10-18-2023,53.77,45.63,HOLD,-0.32,12.16,0.00
10-17-2023,53.94,47.30,HOLD,-0.41,12.52,0.00
10-16-2023,54.16,49.48,HOLD,0.73,12.97,0.00
10-13-2023,53.77,45.33,HOLD,-0.15,12.16,0.00
10-12-2023,53.85,46.05,HOLD,0.35,12.33,0.00
10-11-2023,53.66,44.10,HOLD,-0.39,11.93,0.00
10-10-2023,53.87,45.80,HOLD,-0.09,12.37,0.00
10-09-2023,53.92,46.20,HOLD,0.88,12.47,0.00
10-06-2023,53.45,41.82,HOLD,0.72,11.49,0.00
10-05-2023,53.07,38.03,HOLD,-0.71,10.70,0.00
10-04-2023,53.45,40.48,HOLD,-0.37,11.49,0.00
10-03-2023,53.65,41.79,HOLD,-1.36,11.91,0.00
10-02-2023,54.39,47.04,HOLD,1.17,13.45,0.00
09-29-2023,53.76,41.20,HOLD,-0.22,12.14,0.00
09-28-2023,53.88,42.02,HOLD,1.28,12.39,0.00
09-27-2023,53.20,35.25,HOLD,0.93,10.97,0.00
09-26-2023,52.71,29.76,HOLD,-1.44,9.95,0.00
09-25-2023,53.48,33.96,HOLD,-0.17,11.56,0.00
09-22-2023,53.57,34.49,HOLD,0.43,11.74,0.00
09-21-2023,53.34,31.97,HOLD,-3.89,11.26,0.00
09-20-2023,55.50,48.04,HOLD,-0.61,15.77,0.00
09-19-2023,55.84,51.84,HOLD,-0.48,16.48,0.00
09-18-2023,56.11,55.06,HOLD,0.12,17.04,0.00
09-15-2023,56.04,54.38,HOLD,-0.59,16.90,0.00
09-14-2023,56.37,58.25,HOLD,0.16,17.58,0.00
09-13-2023,56.28,57.48,HOLD,-0.20,17.40,0.00
09-12-2023,56.39,58.70,HOLD,-0.79,17.63,0.00
09-11-2023,56.84,63.86,HOLD,0.30,18.56,0.00
09-08-2023,56.67,62.71,HOLD,-0.21,18.21,0.00
09-07-2023,56.79,64.05,HOLD,-0.65,18.46,0.00
09-06-2023,57.16,68.20,HOLD,-0.17,19.23,0.00
09-05-2023,57.26,69.33,HOLD,-1.00,19.44,0.00
09-01-2023,57.84,76.12,SELL,0.85,20.65,0.00
08-31-2023,57.35,74.13,SELL,0.95,19.63,0.00
08-30-2023,56.81,71.73,HOLD,0.44,18.50,0.00
08-29-2023,56.56,70.55,HOLD,0.64,17.98,0.00
08-28-2023,56.20,68.81,HOLD,0.90,17.23,0.00
08-25-2023,55.70,66.24,HOLD,0.83,16.19,0.00
08-24-2023,55.24,63.69,HOLD,-1.32,15.23,0.00
08-23-2023,55.98,71.80,HOLD,0.94,16.77,0.00
