Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,52.41,65.11,HOLD,-0.23,24.02,-25.55
01-26-2023,52.53,65.58,HOLD,1.31,24.30,-30.29
01-25-2023,51.85,64.23,HOLD,1.49,22.69,-32.91
01-24-2023,51.09,62.71,HOLD,1.49,20.89,-32.74
01-23-2023,50.34,61.20,HOLD,5.93,19.12,-30.25
01-20-2023,47.52,54.80,HOLD,4.39,12.45,-38.27
01-19-2023,45.52,49.30,HOLD,-3.50,7.71,-41.49
01-18-2023,47.17,54.37,HOLD,-2.30,11.62,-40.41
01-17-2023,48.28,58.11,HOLD,-0.19,14.25,-41.72
01-13-2023,48.37,58.41,HOLD,2.46,14.46,-42.93
01-12-2023,47.21,55.65,HOLD,3.01,11.71,-46.32
01-11-2023,45.83,52.15,HOLD,1.17,8.45,-49.07
01-10-2023,45.30,50.76,HOLD,4.14,7.19,-48.70
01-09-2023,43.50,45.80,HOLD,-1.38,2.93,-51.48
01-06-2023,44.11,47.30,HOLD,3.86,4.38,-49.06
01-05-2023,42.47,42.62,HOLD,-6.43,0.50,-49.53
01-04-2023,45.39,49.96,HOLD,7.41,7.41,-49.54
01-03-2023,42.26,39.60,HOLD,1.59,0.00,-54.79
12-30-2022,41.60,37.05,HOLD,0.39,,0.00
12-29-2022,41.44,36.44,HOLD,3.63,,0.00
12-28-2022,39.99,30.85,HOLD,-4.22,,0.00
12-27-2022,41.75,34.25,HOLD,-3.11,,0.00
12-23-2022,43.09,37.14,HOLD,1.17,,0.00
12-22-2022,42.59,35.24,HOLD,-5.17,,0.00
12-21-2022,44.91,40.49,HOLD,-0.29,,0.00
12-20-2022,45.04,40.81,HOLD,0.00,,0.00
12-19-2022,45.04,40.81,HOLD,-4.70,,0.00
12-16-2022,47.26,46.11,HOLD,-2.11,,0.00
12-15-2022,48.28,48.82,HOLD,-2.84,,0.00
12-14-2022,49.69,52.80,HOLD,-5.44,,0.00
12-13-2022,52.55,62.37,HOLD,4.54,,0.00
12-12-2022,50.27,56.54,HOLD,1.88,,0.00
12-09-2022,49.34,53.83,HOLD,-1.83,,0.00
12-08-2022,50.26,57.10,HOLD,2.24,,0.00
12-07-2022,49.16,53.99,HOLD,0.92,,0.00
12-06-2022,48.71,52.69,HOLD,-2.17,,0.00
12-05-2022,49.79,56.24,HOLD,-3.09,,0.00
12-02-2022,51.38,61.93,HOLD,-0.89,,0.00
12-01-2022,51.84,63.66,HOLD,2.03,,0.00
11-30-2022,50.81,61.42,HOLD,3.97,,0.00
11-29-2022,48.87,56.75,HOLD,0.35,,0.00
11-28-2022,48.70,56.32,HOLD,-1.97,,0.00
11-25-2022,49.68,59.49,HOLD,1.08,,0.00
11-23-2022,49.15,58.31,HOLD,-0.06,,0.00
11-22-2022,49.18,58.40,HOLD,1.26,,0.00
11-21-2022,48.57,57.16,HOLD,-2.82,,0.00
11-18-2022,49.98,61.06,HOLD,0.44,,0.00
11-17-2022,49.76,60.67,HOLD,-1.91,,0.00
11-16-2022,50.73,63.25,HOLD,-6.57,,0.00
11-15-2022,54.30,74.02,SELL,5.42,,0.00
11-14-2022,51.51,70.36,HOLD,-1.17,,0.00
11-11-2022,52.12,72.43,HOLD,2.96,,0.00
11-10-2022,50.62,70.45,HOLD,17.83,,0.00
11-09-2022,42.96,55.08,HOLD,-3.78,,0.00
11-08-2022,44.65,61.65,HOLD,1.32,,0.00
11-07-2022,44.07,60.13,HOLD,3.35,,0.00
11-04-2022,42.64,56.17,HOLD,-0.88,,0.00
11-03-2022,43.02,57.58,HOLD,-2.40,,0.00
11-02-2022,44.08,61.59,HOLD,-0.70,,0.00
11-01-2022,44.39,62.78,HOLD,1.51,,0.00
10-31-2022,43.73,61.31,HOLD,-0.84,,0.00
10-28-2022,44.10,62.60,HOLD,6.24,,0.00
10-27-2022,41.51,56.66,HOLD,-2.40,,0.00
10-26-2022,42.53,60.15,HOLD,0.09,,0.00
10-25-2022,42.49,60.06,HOLD,2.58,,0.00
10-24-2022,41.42,57.70,HOLD,4.57,,0.00
10-21-2022,39.61,53.37,HOLD,5.88,,0.00
10-20-2022,37.41,47.28,HOLD,0.27,,0.00
10-19-2022,37.31,46.99,HOLD,-3.99,,0.00
10-18-2022,38.86,51.07,HOLD,3.21,,0.00
10-17-2022,37.65,47.78,HOLD,6.57,,0.00
10-14-2022,35.33,40.70,HOLD,-2.81,,0.00
10-13-2022,36.35,43.09,HOLD,0.66,,0.00
10-12-2022,36.11,42.35,HOLD,2.61,,0.00
10-11-2022,35.19,39.56,HOLD,-0.54,,0.00
10-10-2022,35.38,39.93,HOLD,-5.10,,0.00
10-07-2022,37.28,43.73,HOLD,-3.47,,0.00
10-06-2022,38.62,46.65,HOLD,0.26,,0.00
10-05-2022,38.52,46.40,HOLD,1.24,,0.00
10-04-2022,38.05,45.29,HOLD,11.42,,0.00
10-03-2022,34.15,34.94,HOLD,5.86,,0.00
09-30-2022,32.26,28.89,HOLD,-0.49,,0.00
09-29-2022,32.42,29.11,HOLD,-6.03,,0.00
09-28-2022,34.50,31.95,HOLD,4.74,,0.00
09-27-2022,32.94,26.98,BUY,-2.46,,0.00
