Date,Price,RSI,STATUS
12-16-2022,77.76,56.12,HOLD
12-15-2022,77.88,56.95,HOLD
12-14-2022,79.34,68.29,HOLD
12-13-2022,78.75,65.73,HOLD
12-12-2022,78.61,65.10,HOLD
12-09-2022,77.78,61.24,HOLD
12-08-2022,78.14,64.10,HOLD
12-07-2022,77.55,61.35,HOLD
12-06-2022,77.21,59.70,HOLD
12-05-2022,77.12,59.27,HOLD
12-02-2022,78.17,66.97,HOLD
12-01-2022,77.75,65.29,HOLD
11-30-2022,77.48,64.21,HOLD
11-29-2022,75.97,57.30,HOLD
11-28-2022,76.38,60.23,HOLD
11-25-2022,76.77,63.08,HOLD
11-23-2022,76.93,64.24,HOLD
11-22-2022,76.37,61.97,HOLD
11-21-2022,76.92,65.78,HOLD
11-18-2022,76.46,64.07,HOLD
11-17-2022,75.29,59.24,HOLD
11-16-2022,76.01,64.17,HOLD
11-15-2022,75.32,61.30,HOLD
11-14-2022,74.57,57.90,HOLD
11-11-2022,74.57,57.90,HOLD
11-10-2022,74.97,60.34,HOLD
11-09-2022,73.46,53.48,HOLD
11-08-2022,73.81,55.55,HOLD
11-07-2022,73.50,54.09,HOLD
11-04-2022,73.19,52.64,HOLD
11-03-2022,72.39,48.78,HOLD
11-02-2022,72.77,50.60,HOLD
11-01-2022,73.74,55.51,HOLD
10-31-2022,73.84,56.03,HOLD
10-28-2022,74.64,60.22,HOLD
10-27-2022,73.23,54.67,HOLD
10-26-2022,73.43,55.70,HOLD
10-25-2022,72.76,52.96,HOLD
10-24-2022,72.02,49.77,HOLD
10-21-2022,71.47,47.31,HOLD
10-20-2022,70.25,41.39,HOLD
10-19-2022,71.28,45.38,HOLD
10-18-2022,72.44,50.49,HOLD
10-17-2022,71.67,46.79,HOLD
10-14-2022,70.86,42.64,HOLD
10-13-2022,70.54,40.95,HOLD
10-12-2022,68.66,29.52,BUY
10-11-2022,68.60,29.12,BUY
10-10-2022,68.03,25.36,BUY
10-07-2022,68.54,26.53,BUY
10-06-2022,69.10,27.87,BUY
10-05-2022,70.64,31.91,HOLD
10-04-2022,71.37,34.08,HOLD
10-03-2022,70.64,29.65,BUY
09-30-2022,69.79,24.06,BUY
09-29-2022,71.30,27.67,BUY
09-28-2022,72.43,30.89,HOLD
09-27-2022,72.10,28.66,BUY
09-26-2022,74.51,36.74,HOLD
09-23-2022,75.04,38.98,HOLD
09-22-2022,74.87,37.85,HOLD
09-21-2022,74.41,34.83,HOLD
09-20-2022,74.67,35.74,HOLD
09-19-2022,75.51,38.83,HOLD
09-16-2022,75.19,36.92,HOLD
09-15-2022,74.74,34.18,HOLD
09-14-2022,75.56,36.86,HOLD
09-13-2022,74.94,33.17,HOLD
09-12-2022,77.39,42.14,HOLD
09-09-2022,77.52,42.71,HOLD
09-08-2022,77.33,41.65,HOLD
09-07-2022,78.04,44.51,HOLD
09-06-2022,77.26,40.33,HOLD
09-02-2022,77.66,41.83,HOLD
09-01-2022,79.28,48.68,HOLD
08-31-2022,77.70,39.74,HOLD
08-30-2022,78.48,43.21,HOLD
08-29-2022,79.07,46.00,HOLD
08-26-2022,78.69,43.83,HOLD
08-25-2022,80.39,52.66,HOLD
08-24-2022,80.47,53.13,HOLD
08-23-2022,80.43,52.94,HOLD
08-22-2022,81.42,58.53,HOLD
08-19-2022,82.72,67.17,HOLD
08-18-2022,82.31,65.66,HOLD
08-17-2022,81.63,63.11,HOLD
08-16-2022,81.64,63.17,HOLD
08-15-2022,80.71,59.60,HOLD
08-12-2022,79.76,55.55,HOLD
08-11-2022,78.98,51.81,HOLD
08-10-2022,79.81,56.50,HOLD
