Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,38.47,42.41,HOLD,-8.97,17.97,0.71
01-11-2024,42.26,64.33,HOLD,0.36,29.59,6.72
01-10-2024,42.11,63.64,HOLD,-0.50,29.13,10.29
01-09-2024,42.32,65.28,HOLD,1.66,29.78,11.11
01-08-2024,41.63,62.31,HOLD,2.69,27.66,13.22
01-05-2024,40.54,56.90,HOLD,3.42,24.32,12.52
01-04-2024,39.20,48.47,HOLD,1.19,20.21,11.27
01-03-2024,38.74,45.04,HOLD,-4.23,18.80,12.65
01-02-2024,40.45,58.47,HOLD,0.55,24.04,24.04
12-29-2023,40.23,56.94,HOLD,-0.98,23.37,0.00
12-28-2023,40.63,60.72,HOLD,0.10,24.59,0.00
12-27-2023,40.59,60.48,HOLD,-0.42,24.47,0.00
12-26-2023,40.76,62.00,HOLD,-0.90,24.99,0.00
12-22-2023,41.13,65.32,HOLD,0.02,26.13,0.00
12-21-2023,41.12,65.27,HOLD,1.93,26.10,0.00
12-20-2023,40.34,61.52,HOLD,-1.97,23.70,0.00
12-19-2023,41.15,68.68,HOLD,-0.07,26.19,0.00
12-18-2023,41.18,68.95,HOLD,-2.74,26.28,0.00
12-15-2023,42.34,80.56,SELL,-0.24,29.84,0.00
12-14-2023,42.44,81.66,SELL,3.03,30.14,0.00
12-13-2023,41.19,78.20,SELL,-0.12,26.31,0.00
12-12-2023,41.24,78.76,SELL,1.80,26.46,0.00
12-11-2023,40.51,76.51,SELL,0.40,24.23,0.00
12-08-2023,40.35,76.00,SELL,0.02,23.74,0.00
12-07-2023,40.34,75.96,SELL,3.60,23.70,0.00
12-06-2023,38.94,71.18,HOLD,3.54,19.41,0.00
12-05-2023,37.61,65.04,HOLD,-1.44,15.33,0.00
12-04-2023,38.16,70.83,HOLD,0.29,17.02,0.00
12-01-2023,38.05,70.34,HOLD,3.03,16.68,0.00
11-30-2023,36.93,64.73,HOLD,0.79,13.25,0.00
11-29-2023,36.64,63.05,HOLD,1.66,12.36,0.00
11-28-2023,36.04,59.33,HOLD,0.56,10.52,0.00
11-27-2023,35.84,58.02,HOLD,-0.72,9.90,0.00
