Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,75.53,55.41,HOLD,-0.30,9.69,0.44
01-11-2024,75.76,57.52,HOLD,-0.55,10.02,1.35
01-10-2024,76.18,61.50,HOLD,-0.17,10.63,1.71
01-09-2024,76.31,62.75,HOLD,-0.47,10.82,3.23
01-08-2024,76.67,66.21,HOLD,-0.03,11.34,4.34
01-05-2024,76.69,66.40,HOLD,0.17,11.37,5.82
01-04-2024,76.56,65.81,HOLD,-0.60,11.18,8.03
01-03-2024,77.02,69.82,HOLD,-0.63,11.85,9.20
01-02-2024,77.51,74.30,SELL,0.75,12.56,12.56
12-29-2023,76.93,72.35,HOLD,-0.14,11.72,0.00
12-28-2023,77.04,73.33,HOLD,0.14,11.88,0.00
12-27-2023,76.93,72.99,HOLD,0.55,11.72,0.00
12-26-2023,76.51,71.72,HOLD,1.30,11.11,0.00
12-22-2023,75.53,68.48,HOLD,1.57,9.69,0.00
12-21-2023,74.36,63.92,HOLD,1.49,7.99,0.00
12-20-2023,73.27,58.74,HOLD,-1.15,6.40,0.00
12-19-2023,74.12,65.55,HOLD,0.72,7.64,0.00
12-18-2023,73.59,63.07,HOLD,0.49,6.87,0.00
12-15-2023,73.23,61.32,HOLD,-0.26,6.35,0.00
12-14-2023,73.42,62.78,HOLD,2.13,6.62,0.00
12-13-2023,71.89,54.70,HOLD,1.38,4.40,0.00
12-12-2023,70.91,47.99,HOLD,-0.66,2.98,0.00
12-11-2023,71.38,51.38,HOLD,0.69,3.66,0.00
12-08-2023,70.89,47.82,HOLD,0.24,2.95,0.00
12-07-2023,70.72,46.55,HOLD,0.13,2.70,0.00
12-06-2023,70.63,45.91,HOLD,-0.35,2.57,0.00
12-05-2023,70.88,47.38,HOLD,-1.23,2.93,0.00
12-04-2023,71.76,52.93,HOLD,-0.90,4.21,0.00
12-01-2023,72.41,57.55,HOLD,1.22,5.16,0.00
11-30-2023,71.54,52.38,HOLD,0.14,3.89,0.00
11-29-2023,71.44,51.76,HOLD,0.21,3.75,0.00
11-28-2023,71.29,50.85,HOLD,0.10,3.53,0.00
11-27-2023,71.22,50.45,HOLD,-0.42,3.43,0.00
11-24-2023,71.52,52.15,HOLD,0.29,3.86,0.00
11-22-2023,71.31,51.08,HOLD,0.65,3.56,0.00
11-21-2023,70.85,48.75,HOLD,-0.71,2.89,0.00
11-20-2023,71.36,51.26,HOLD,0.20,3.63,0.00
11-17-2023,71.22,50.62,HOLD,0.89,3.43,0.00
11-16-2023,70.59,47.71,HOLD,-0.40,2.51,0.00
11-15-2023,70.87,48.90,HOLD,0.70,2.92,0.00
11-14-2023,70.38,46.75,HOLD,2.70,2.21,0.00
11-13-2023,68.53,37.52,HOLD,-0.31,-0.48,0.00
11-10-2023,68.74,38.22,HOLD,1.34,-0.17,0.00
11-09-2023,67.83,33.22,HOLD,-0.85,-1.50,0.00
11-08-2023,68.41,34.89,HOLD,-0.03,-0.65,0.00
11-07-2023,68.43,34.95,HOLD,-1.60,-0.62,0.00
11-06-2023,69.54,38.12,HOLD,-0.19,0.99,0.00
11-03-2023,69.67,38.50,HOLD,2.26,1.18,0.00
11-02-2023,68.13,30.93,HOLD,1.81,-1.06,0.00
11-01-2023,66.92,24.13,BUY,-8.18,-2.82,0.00
10-31-2023,72.88,43.93,HOLD,-0.01,5.84,0.00
10-30-2023,72.89,43.99,HOLD,1.03,5.85,0.00
10-27-2023,72.15,38.58,HOLD,-0.10,4.78,0.00
10-26-2023,72.22,38.91,HOLD,0.81,4.88,0.00
10-25-2023,71.64,34.61,HOLD,-1.59,4.04,0.00
10-24-2023,72.80,39.82,HOLD,0.72,5.72,0.00
10-23-2023,72.28,35.80,HOLD,-1.00,4.97,0.00
10-20-2023,73.01,39.21,HOLD,-1.31,6.03,0.00
