Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,109.53,58.83,HOLD,-1.53,12.93,2.17
01-11-2024,111.23,66.04,HOLD,0.18,14.68,4.87
01-10-2024,111.03,65.58,HOLD,-0.35,14.48,3.73
01-09-2024,111.42,67.23,HOLD,-1.26,14.88,5.50
01-08-2024,112.84,73.49,HOLD,0.89,16.34,8.63
01-05-2024,111.85,71.79,HOLD,1.38,15.32,8.55
01-04-2024,110.33,68.95,HOLD,-0.37,13.75,10.83
01-03-2024,110.74,70.73,HOLD,-1.42,14.18,9.35
01-02-2024,112.34,78.04,SELL,-0.05,15.83,15.83
12-29-2023,112.40,78.32,SELL,-0.15,15.89,0.00
12-28-2023,112.57,79.08,SELL,0.29,16.06,0.00
12-27-2023,112.24,78.71,SELL,0.53,15.72,0.00
12-26-2023,111.65,78.07,SELL,0.59,15.11,0.00
12-22-2023,110.99,77.36,SELL,-0.15,14.43,0.00
12-21-2023,111.16,77.96,SELL,3.29,14.61,0.00
12-20-2023,107.62,74.06,SELL,-1.23,10.96,0.00
12-19-2023,108.96,78.97,SELL,1.97,12.34,0.00
12-18-2023,106.85,76.71,SELL,0.77,10.17,0.00
12-15-2023,106.03,75.77,SELL,-1.57,9.32,0.00
12-14-2023,107.72,82.11,SELL,1.81,11.06,0.00
12-13-2023,105.81,80.39,SELL,2.99,9.09,0.00
12-12-2023,102.74,77.10,SELL,-0.54,5.93,0.00
12-11-2023,103.30,79.36,SELL,0.00,6.51,0.00
12-08-2023,103.30,79.36,SELL,0.95,6.51,0.00
12-07-2023,102.33,78.41,SELL,1.62,5.51,0.00
12-06-2023,100.70,76.76,SELL,1.64,3.83,0.00
12-05-2023,99.08,74.98,SELL,4.58,2.15,0.00
12-04-2023,94.74,69.12,HOLD,-0.92,-2.32,0.00
12-01-2023,95.62,72.31,HOLD,2.82,-1.41,0.00
11-30-2023,93.00,68.27,HOLD,4.62,-4.11,0.00
11-29-2023,88.89,59.68,HOLD,1.91,-8.35,0.00
