Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,72.86,42.35,HOLD,0.00,0.00,0.00
08-22-2022,72.70,41.83,HOLD,0.00,0.00,0.00
08-19-2022,74.28,45.57,HOLD,0.00,0.00,0.00
08-18-2022,76.83,52.63,HOLD,0.00,0.00,0.00
08-17-2022,76.51,51.76,HOLD,0.00,0.00,0.00
08-16-2022,78.61,58.28,HOLD,0.00,0.00,0.00
08-15-2022,78.82,58.97,HOLD,0.00,0.00,0.00
08-12-2022,79.72,61.88,HOLD,0.00,0.00,0.00
08-11-2022,78.70,59.79,HOLD,0.00,0.00,0.00
08-10-2022,78.42,59.22,HOLD,0.00,0.00,0.00
08-09-2022,74.92,51.18,HOLD,0.00,0.00,0.00
08-08-2022,77.26,58.32,HOLD,0.00,0.00,0.00
08-05-2022,76.35,56.11,HOLD,0.00,0.00,0.00
08-04-2022,76.70,57.19,HOLD,0.00,0.00,0.00
08-03-2022,74.22,50.96,HOLD,0.00,0.00,0.00
08-02-2022,74.16,50.80,HOLD,0.00,0.00,0.00
08-01-2022,78.23,64.03,HOLD,0.00,0.00,0.00
07-29-2022,78.03,63.60,HOLD,0.00,0.00,0.00
07-28-2022,78.31,64.61,HOLD,0.00,0.00,0.00
07-27-2022,77.85,63.73,HOLD,0.00,0.00,0.00
07-26-2022,75.23,58.25,HOLD,0.00,0.00,0.00
07-25-2022,75.36,58.65,HOLD,0.00,0.00,0.00
07-22-2022,77.39,65.30,HOLD,0.00,0.00,0.00
07-21-2022,75.83,62.25,HOLD,0.00,0.00,0.00
07-20-2022,73.08,55.90,HOLD,0.00,0.00,0.00
07-19-2022,74.28,59.99,HOLD,0.00,0.00,0.00
07-18-2022,72.57,55.70,HOLD,0.00,0.00,0.00
07-15-2022,73.46,58.74,HOLD,0.00,0.00,0.00
07-14-2022,72.64,56.72,HOLD,0.00,0.00,0.00
07-13-2022,73.76,60.48,HOLD,0.00,0.00,0.00
07-12-2022,74.40,62.68,HOLD,0.00,0.00,0.00
07-11-2022,73.27,60.31,HOLD,0.00,0.00,0.00
07-08-2022,73.36,60.59,HOLD,0.00,0.00,0.00
07-07-2022,72.79,59.47,HOLD,0.00,0.00,0.00
07-06-2022,72.04,58.00,HOLD,0.00,0.00,0.00
07-05-2022,72.50,59.22,HOLD,0.00,0.00,0.00
07-01-2022,70.09,54.58,SELL,15.74,953.00,0.00
06-30-2022,66.19,45.21,HOLD,9.30,563.00,0.00
06-29-2022,66.01,44.72,HOLD,9.00,545.00,0.00
06-28-2022,65.88,44.39,HOLD,8.78,532.00,0.00
06-27-2022,67.97,48.77,HOLD,12.24,741.00,0.00
06-24-2022,67.69,48.14,HOLD,11.77,713.00,0.00
06-23-2022,67.40,47.51,HOLD,11.29,684.00,0.00
06-22-2022,64.08,39.76,HOLD,5.81,352.00,0.00
06-21-2022,61.30,31.95,HOLD,1.22,74.00,0.00
06-17-2022,60.56,29.69,BUY,0.00,,
06-16-2022,61.30,30.64,HOLD,0.00,0.00,0.00
06-15-2022,65.44,36.68,HOLD,0.00,0.00,0.00
