Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,95.56,59.53,HOLD,0.83,7.41,2023
01-09-2023,94.77,58.00,HOLD,0.91,6.52,2023
01-06-2023,93.92,56.35,HOLD,2.18,5.56,2023
01-05-2023,91.92,52.26,HOLD,-0.07,3.32,2023
01-04-2023,91.98,52.39,HOLD,3.38,3.38,2023
01-03-2023,88.97,45.77,HOLD,2.41,0.00,2023
12-30-2022,86.88,40.43,HOLD,-0.34,,2022
12-29-2022,87.18,40.97,HOLD,3.58,,2022
12-28-2022,84.17,32.62,HOLD,-2.55,,2022
12-27-2022,86.37,36.08,HOLD,-1.86,,2022
12-23-2022,88.01,38.95,HOLD,1.55,,2022
12-22-2022,86.67,35.04,HOLD,-0.29,,2022
12-21-2022,86.92,35.43,HOLD,-0.11,,2022
12-20-2022,87.02,35.58,HOLD,1.45,,2022
12-19-2022,85.78,32.31,HOLD,-4.77,,2022
12-16-2022,90.08,38.61,HOLD,-0.45,,2022
12-15-2022,90.49,39.29,HOLD,-3.89,,2022
12-14-2022,94.15,45.98,HOLD,-0.58,,2022
12-13-2022,94.70,47.10,HOLD,0.04,,2022
12-12-2022,94.66,47.01,HOLD,1.37,,2022
12-09-2022,93.38,44.28,HOLD,0.90,,2022
12-08-2022,92.55,42.50,HOLD,0.43,,2022
12-07-2022,92.15,41.67,HOLD,-0.15,,2022
12-06-2022,92.29,41.87,HOLD,-3.79,,2022
12-05-2022,95.93,47.27,HOLD,-3.52,,2022
12-02-2022,99.43,53.43,HOLD,0.85,,2022
12-01-2022,98.59,52.04,HOLD,0.74,,2022
11-30-2022,97.87,50.87,HOLD,3.36,,2022
11-29-2022,94.69,45.41,HOLD,-1.05,,2022
11-28-2022,95.69,46.93,HOLD,-3.22,,2022
11-25-2022,98.87,52.09,HOLD,-0.01,,2022
11-23-2022,98.88,52.11,HOLD,2.78,,2022
11-22-2022,96.21,47.97,HOLD,-1.40,,2022
11-21-2022,97.58,50.03,HOLD,6.30,,2022
11-18-2022,91.80,39.91,HOLD,0.38,,2022
11-17-2022,91.45,39.22,HOLD,-2.66,,2022
11-16-2022,93.95,42.46,HOLD,-1.63,,2022
11-15-2022,95.51,44.60,HOLD,1.30,,2022
11-14-2022,94.28,42.48,HOLD,-0.77,,2022
11-11-2022,95.01,43.39,HOLD,5.03,,2022
11-10-2022,90.46,35.33,HOLD,4.28,,2022
11-09-2022,86.75,27.51,BUY,-13.16,,2022
11-08-2022,99.90,45.69,HOLD,-0.53,,2022
11-07-2022,100.43,46.85,HOLD,0.85,,2022
11-04-2022,99.58,44.77,HOLD,0.33,,2022
11-03-2022,99.25,43.97,HOLD,-2.52,,2022
11-02-2022,101.82,49.07,HOLD,-3.94,,2022
11-01-2022,106.00,59.47,HOLD,-0.51,,2022
10-31-2022,106.54,61.02,HOLD,0.56,,2022
10-28-2022,105.95,59.96,HOLD,1.45,,2022
10-27-2022,104.44,57.20,HOLD,-0.18,,2022
10-26-2022,104.63,57.66,HOLD,0.26,,2022
10-25-2022,104.36,57.20,HOLD,2.60,,2022
10-24-2022,101.72,52.52,HOLD,-0.31,,2022
10-21-2022,102.04,53.18,HOLD,3.50,,2022
10-20-2022,98.59,46.50,HOLD,-0.40,,2022
10-19-2022,98.99,47.22,HOLD,0.52,,2022
10-18-2022,98.48,46.23,HOLD,1.18,,2022
10-17-2022,97.33,44.03,HOLD,3.05,,2022
10-14-2022,94.45,38.13,HOLD,-2.27,,2022
10-13-2022,96.64,41.20,HOLD,3.46,,2022
10-12-2022,93.41,33.92,HOLD,0.33,,2022
10-11-2022,93.10,33.19,HOLD,-2.16,,2022
10-10-2022,95.16,35.64,HOLD,-2.06,,2022
10-07-2022,97.16,38.18,HOLD,-2.88,,2022
10-06-2022,100.04,42.21,HOLD,-0.75,,2022
10-05-2022,100.80,43.32,HOLD,-0.63,,2022
10-04-2022,101.44,44.24,HOLD,4.44,,2022
10-03-2022,97.13,35.73,HOLD,2.97,,2022
09-30-2022,94.33,29.21,BUY,-3.20,,2022
09-29-2022,97.45,32.64,HOLD,-1.96,,2022
09-28-2022,99.40,35.02,HOLD,3.70,,2022
09-27-2022,95.85,25.87,BUY,-2.31,,2022
09-26-2022,98.12,28.23,BUY,-1.39,,2022
09-23-2022,99.50,29.77,BUY,-2.60,,2022
09-22-2022,102.16,32.97,HOLD,-2.23,,2022
09-21-2022,104.49,36.13,HOLD,-2.86,,2022
09-20-2022,107.57,40.96,HOLD,-1.47,,2022
09-19-2022,109.17,43.77,HOLD,0.85,,2022
09-16-2022,108.25,41.63,HOLD,-2.27,,2022
09-15-2022,110.77,46.10,HOLD,-1.54,,2022
09-14-2022,112.50,49.49,HOLD,0.66,,2022
09-13-2022,111.76,47.97,HOLD,-3.98,,2022
09-12-2022,116.39,58.13,HOLD,1.05,,2022
09-09-2022,115.18,55.86,HOLD,2.54,,2022
09-08-2022,112.33,49.93,HOLD,-0.32,,2022
09-07-2022,112.69,50.73,HOLD,2.36,,2022
09-06-2022,110.09,44.80,HOLD,-1.00,,2022
09-02-2022,111.20,47.05,HOLD,-1.18,,2022
09-01-2022,112.53,49.82,HOLD,0.40,,2022
08-31-2022,112.08,48.87,HOLD,-0.31,,2022
08-30-2022,112.43,49.55,HOLD,-0.97,,2022
08-29-2022,113.53,51.64,HOLD,-0.47,,2022
08-26-2022,114.07,52.65,HOLD,-2.89,,2022
08-25-2022,117.46,59.42,HOLD,0.90,,2022
08-24-2022,116.41,57.86,HOLD,1.35,,2022
08-23-2022,114.86,55.52,HOLD,-0.93,,2022
08-22-2022,115.94,57.59,HOLD,-3.50,,2022
08-19-2022,120.14,66.56,HOLD,-2.06,,2022
08-18-2022,122.67,72.91,SELL,-0.11,,2022
08-17-2022,122.81,73.27,SELL,-1.72,,2022
08-16-2022,124.96,78.81,SELL,0.56,,2022
08-15-2022,124.26,78.31,SELL,2.21,,2022
08-12-2022,121.57,76.34,SELL,3.30,,2022
08-11-2022,117.69,73.05,SELL,4.68,,2022
08-10-2022,112.43,67.34,HOLD,3.98,,2022
08-09-2022,108.13,61.08,HOLD,-0.90,,2022
08-08-2022,109.11,63.67,HOLD,2.33,,2022
08-05-2022,106.63,59.66,HOLD,-1.38,,2022
08-04-2022,108.12,63.57,HOLD,-0.83,,2022
08-03-2022,109.02,66.00,HOLD,4.12,,2022
08-02-2022,104.71,59.04,HOLD,-1.42,,2022
08-01-2022,106.22,63.25,HOLD,0.11,,2022
07-29-2022,106.10,63.06,HOLD,1.14,,2022
07-28-2022,104.90,61.15,HOLD,1.35,,2022
07-27-2022,103.50,58.85,HOLD,3.73,,2022
07-26-2022,99.78,51.80,HOLD,-2.83,,2022
07-25-2022,102.69,59.16,HOLD,-0.03,,2022
07-22-2022,102.72,59.24,HOLD,-1.40,,2022
07-21-2022,104.18,63.12,HOLD,0.80,,2022
07-20-2022,103.35,61.80,HOLD,3.75,,2022
07-19-2022,99.61,55.06,HOLD,4.09,,2022
07-18-2022,95.70,45.76,HOLD,0.53,,2022
07-15-2022,95.20,44.40,HOLD,3.66,,2022
07-14-2022,91.84,34.03,HOLD,-1.18,,2022
07-13-2022,92.94,36.08,HOLD,-0.71,,2022
07-12-2022,93.60,37.33,HOLD,-0.04,,2022
07-11-2022,93.64,37.40,HOLD,-2.32,,2022
07-08-2022,95.86,41.58,HOLD,-1.61,,2022
07-07-2022,97.43,44.88,HOLD,1.41,,2022
07-06-2022,96.08,41.16,HOLD,-1.13,,2022
07-05-2022,97.18,43.37,HOLD,1.08,,2022
07-01-2022,96.14,40.56,HOLD,1.84,,2022
06-30-2022,94.40,35.59,HOLD,-1.31,,2022
06-29-2022,95.65,37.69,HOLD,-0.28,,2022
06-28-2022,95.92,38.15,HOLD,-0.71,,2022
06-27-2022,96.61,39.26,HOLD,-1.20,,2022
06-24-2022,97.78,41.16,HOLD,3.69,,2022
06-23-2022,94.30,32.10,HOLD,0.86,,2022
06-22-2022,93.50,29.79,BUY,0.23,,2022
06-21-2022,93.29,29.20,BUY,-1.11,,2022
06-17-2022,94.34,30.38,HOLD,0.06,,2022
06-16-2022,94.28,30.23,HOLD,-1.67,,2022
06-15-2022,95.88,31.93,HOLD,1.76,,2022
06-14-2022,94.22,28.03,BUY,-1.56,,2022
06-13-2022,95.71,29.44,BUY,-3.71,,2022
06-10-2022,99.40,33.27,HOLD,-3.78,,2022
06-09-2022,103.30,38.13,HOLD,-3.76,,2022
06-08-2022,107.34,44.38,HOLD,-0.42,,2022
06-07-2022,107.79,45.14,HOLD,-0.04,,2022
06-06-2022,107.83,45.21,HOLD,-0.77,,2022
06-03-2022,108.67,46.50,HOLD,-1.98,,2022
06-02-2022,110.87,49.97,HOLD,1.54,,2022
