Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,98.46,59.96,HOLD,1.35,-5.05,-6.21
01-11-2024,97.15,54.00,HOLD,-2.15,-6.32,-7.55
01-10-2024,99.28,69.66,HOLD,0.19,-4.26,-6.04
01-09-2024,99.09,68.91,HOLD,-0.30,-4.45,-6.01
01-08-2024,99.39,71.49,HOLD,0.86,-4.16,-5.51
01-05-2024,98.54,68.38,HOLD,0.05,-4.98,-6.31
01-04-2024,98.49,68.19,HOLD,-0.29,-5.02,-4.62
01-03-2024,98.78,70.47,HOLD,0.99,-4.74,-5.75
01-02-2024,97.81,67.04,HOLD,0.79,-5.68,-5.68
12-29-2023,97.04,63.97,HOLD,0.12,-6.42,0.00
12-28-2023,96.92,63.47,HOLD,0.64,-6.54,0.00
12-27-2023,96.30,60.91,HOLD,-0.44,-7.14,0.00
12-26-2023,96.73,63.80,HOLD,-0.13,-6.72,0.00
12-22-2023,96.86,64.66,HOLD,0.52,-6.60,0.00
12-21-2023,96.36,62.87,HOLD,0.71,-7.08,0.00
12-20-2023,95.68,60.33,HOLD,-1.17,-7.73,0.00
12-19-2023,96.81,67.44,HOLD,-0.37,-6.64,0.00
12-18-2023,97.17,69.88,HOLD,0.56,-6.30,0.00
12-15-2023,96.63,68.28,HOLD,-1.71,-6.82,0.00
12-14-2023,98.31,80.62,SELL,0.23,-5.20,0.00
12-13-2023,98.08,80.16,SELL,2.88,-5.42,0.00
12-12-2023,95.33,73.15,HOLD,-0.03,-8.07,0.00
12-11-2023,95.36,73.42,HOLD,1.03,-8.04,0.00
12-08-2023,94.39,70.20,HOLD,-0.07,-8.98,0.00
12-07-2023,94.46,70.78,HOLD,0.55,-8.91,0.00
12-06-2023,93.94,69.03,HOLD,1.59,-9.41,0.00
12-05-2023,92.47,63.28,HOLD,-0.28,-10.83,0.00
12-04-2023,92.73,65.27,HOLD,0.10,-10.58,0.00
12-01-2023,92.64,64.92,HOLD,0.39,-10.67,0.00
11-30-2023,92.28,63.53,HOLD,1.73,-11.01,0.00
11-29-2023,90.71,56.60,HOLD,-0.46,-12.53,0.00
11-28-2023,91.13,59.40,HOLD,0.22,-12.12,0.00
11-27-2023,90.93,58.49,HOLD,0.21,-12.31,0.00
11-24-2023,90.74,57.66,HOLD,0.42,-12.50,0.00
11-22-2023,90.36,56.01,HOLD,0.53,-12.86,0.00
11-21-2023,89.88,53.90,HOLD,0.65,-13.33,0.00
11-20-2023,89.30,51.29,HOLD,-0.79,-13.89,0.00
11-17-2023,90.01,54.82,HOLD,-0.19,-13.20,0.00
11-16-2023,90.18,55.68,HOLD,0.64,-13.04,0.00
11-15-2023,89.61,53.42,HOLD,-0.27,-13.59,0.00
11-14-2023,89.85,54.50,HOLD,3.25,-13.36,0.00
11-13-2023,87.02,41.49,HOLD,-1.42,-16.08,0.00
11-10-2023,88.27,47.01,HOLD,0.35,-14.88,0.00
11-09-2023,87.96,45.33,HOLD,-0.45,-15.18,0.00
11-08-2023,88.36,47.12,HOLD,-1.03,-14.79,0.00
11-07-2023,89.28,51.43,HOLD,-0.49,-13.91,0.00
11-06-2023,89.72,53.62,HOLD,-0.62,-13.48,0.00
11-03-2023,90.28,56.45,HOLD,0.43,-12.94,0.00
11-02-2023,89.89,54.91,HOLD,0.39,-13.32,0.00
11-01-2023,89.54,53.54,HOLD,0.73,-13.65,0.00
10-31-2023,88.89,50.97,HOLD,1.13,-14.28,0.00
10-30-2023,87.90,46.82,HOLD,0.42,-15.24,0.00
10-27-2023,87.53,45.21,HOLD,-1.87,-15.59,0.00
10-26-2023,89.20,51.78,HOLD,1.19,-13.98,0.00
10-25-2023,88.15,47.31,HOLD,0.44,-15.00,0.00
10-24-2023,87.76,45.57,HOLD,1.66,-15.37,0.00
10-23-2023,86.33,38.66,HOLD,-0.80,-16.75,0.00
10-20-2023,87.03,41.03,HOLD,-0.85,-16.08,0.00
10-19-2023,87.78,43.69,HOLD,-0.46,-15.35,0.00
