Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,97.82,59.04,HOLD,0.58,1.78,2023
01-09-2023,97.26,57.31,HOLD,-0.70,1.20,2023
01-06-2023,97.95,60.23,HOLD,3.09,1.91,2023
01-05-2023,95.01,50.20,HOLD,-0.43,-1.14,2023
01-04-2023,95.42,51.89,HOLD,-0.72,-0.72,2023
01-03-2023,96.11,54.78,HOLD,0.05,0.00,2023
12-30-2022,96.06,54.61,HOLD,-0.31,,2022
12-29-2022,96.36,55.78,HOLD,1.15,,2022
12-28-2022,95.26,52.31,HOLD,-1.45,,2022
12-27-2022,96.66,57.66,HOLD,1.17,,2022
12-23-2022,95.54,54.18,HOLD,0.48,,2022
12-22-2022,95.08,52.69,HOLD,-1.76,,2022
12-21-2022,96.78,59.29,HOLD,1.83,,2022
12-20-2022,95.04,53.79,HOLD,0.49,,2022
12-19-2022,94.58,52.20,HOLD,-0.40,,2022
12-16-2022,94.96,53.61,HOLD,-0.30,,2022
12-15-2022,95.25,54.66,HOLD,-2.53,,2022
12-14-2022,97.72,64.63,HOLD,-0.36,,2022
12-13-2022,98.07,66.22,HOLD,2.00,,2022
12-12-2022,96.15,61.38,HOLD,2.08,,2022
12-09-2022,94.19,55.32,HOLD,-0.78,,2022
12-08-2022,94.93,58.54,HOLD,0.23,,2022
12-07-2022,94.71,57.86,HOLD,0.38,,2022
12-06-2022,94.35,56.79,HOLD,-0.84,,2022
12-05-2022,95.15,59.94,HOLD,-1.78,,2022
12-02-2022,96.87,67.41,HOLD,1.29,,2022
12-01-2022,95.64,64.47,HOLD,-0.14,,2022
11-30-2022,95.77,65.05,HOLD,1.55,,2022
11-29-2022,94.31,61.46,HOLD,0.10,,2022
11-28-2022,94.22,61.23,HOLD,-1.98,,2022
11-25-2022,96.12,69.26,HOLD,0.24,,2022
11-23-2022,95.89,68.80,HOLD,-0.14,,2022
11-22-2022,96.02,69.34,HOLD,1.43,,2022
11-21-2022,94.67,66.81,HOLD,1.04,,2022
11-18-2022,93.70,64.87,HOLD,-0.96,,2022
11-17-2022,94.61,68.35,HOLD,-0.65,,2022
11-16-2022,95.23,70.75,SELL,-0.99,,2022
11-15-2022,96.18,74.46,SELL,1.47,,2022
11-14-2022,94.79,72.50,SELL,-0.68,,2022
11-11-2022,95.44,75.00,SELL,1.53,,2022
11-10-2022,94.00,73.09,SELL,4.31,,2022
11-09-2022,90.12,66.73,HOLD,-1.25,,2022
11-08-2022,91.26,71.33,SELL,0.02,,2022
11-07-2022,91.24,71.30,SELL,2.41,,2022
11-04-2022,89.09,67.67,HOLD,2.39,,2022
11-03-2022,87.01,63.52,HOLD,2.42,,2022
11-02-2022,84.95,58.65,HOLD,-1.05,,2022
11-01-2022,85.85,62.01,HOLD,-0.87,,2022
10-31-2022,86.60,64.89,HOLD,-0.92,,2022
10-28-2022,87.40,68.01,HOLD,1.76,,2022
10-27-2022,85.89,65.06,HOLD,0.81,,2022
10-26-2022,85.20,63.64,HOLD,0.77,,2022
10-25-2022,84.55,62.30,HOLD,0.79,,2022
10-24-2022,83.89,60.94,HOLD,0.88,,2022
10-21-2022,83.16,59.43,HOLD,3.76,,2022
10-20-2022,80.15,52.42,HOLD,-1.29,,2022
10-19-2022,81.20,55.53,HOLD,-0.49,,2022
10-18-2022,81.60,56.72,HOLD,1.91,,2022
10-17-2022,80.07,53.16,HOLD,2.37,,2022
10-14-2022,78.22,48.38,HOLD,-3.18,,2022
10-13-2022,80.79,55.71,HOLD,4.25,,2022
10-12-2022,77.50,45.98,HOLD,-0.64,,2022
10-11-2022,78.00,47.45,HOLD,-0.47,,2022
10-10-2022,78.37,48.52,HOLD,0.69,,2022
10-07-2022,77.83,46.90,HOLD,-2.06,,2022
10-06-2022,79.47,51.46,HOLD,-0.38,,2022
10-05-2022,79.77,52.32,HOLD,1.94,,2022
10-04-2022,78.25,48.24,HOLD,3.59,,2022
10-03-2022,75.54,39.68,HOLD,3.17,,2022
09-30-2022,73.22,30.56,HOLD,-1.32,,2022
09-29-2022,74.20,32.49,HOLD,-1.09,,2022
09-28-2022,75.02,34.16,HOLD,2.68,,2022
09-27-2022,73.06,25.66,BUY,-0.11,,2022
09-26-2022,73.14,25.79,BUY,-0.95,,2022
09-23-2022,73.84,26.86,BUY,-2.24,,2022
09-22-2022,75.53,29.62,BUY,-1.29,,2022
09-21-2022,76.52,31.38,HOLD,-1.92,,2022
09-20-2022,78.02,34.24,HOLD,-1.98,,2022
09-19-2022,79.60,37.58,HOLD,1.78,,2022
09-16-2022,78.21,32.17,HOLD,-2.87,,2022
09-15-2022,80.52,37.14,HOLD,-2.16,,2022
09-14-2022,82.30,41.76,HOLD,-0.23,,2022
09-13-2022,82.49,42.28,HOLD,-3.59,,2022
09-12-2022,85.56,52.02,HOLD,1.00,,2022
09-09-2022,84.71,49.00,HOLD,1.24,,2022
09-08-2022,83.67,45.07,HOLD,1.74,,2022
09-07-2022,82.24,39.08,HOLD,0.90,,2022
09-06-2022,81.51,35.76,HOLD,-0.29,,2022
09-02-2022,81.75,36.36,HOLD,-0.32,,2022
09-01-2022,82.01,36.99,HOLD,0.33,,2022
08-31-2022,81.74,35.92,HOLD,-1.90,,2022
08-30-2022,83.32,39.58,HOLD,-1.77,,2022
08-29-2022,84.82,43.48,HOLD,0.19,,2022
08-26-2022,84.66,42.92,HOLD,-3.76,,2022
08-25-2022,87.97,52.94,HOLD,1.18,,2022
08-24-2022,86.94,49.54,HOLD,0.24,,2022
08-23-2022,86.73,48.84,HOLD,0.56,,2022
08-22-2022,86.25,47.28,HOLD,-2.74,,2022
08-19-2022,88.68,55.16,HOLD,-1.78,,2022
08-18-2022,90.29,61.46,HOLD,1.61,,2022
08-17-2022,88.86,57.45,HOLD,-1.21,,2022
08-16-2022,89.95,62.02,HOLD,1.25,,2022
08-15-2022,88.84,58.93,HOLD,-0.43,,2022
08-12-2022,89.22,60.49,HOLD,1.98,,2022
08-11-2022,87.49,55.51,HOLD,-0.06,,2022
08-10-2022,87.54,55.70,HOLD,1.10,,2022
08-09-2022,86.59,52.87,HOLD,-3.82,,2022
08-08-2022,90.03,67.30,HOLD,-0.40,,2022
08-05-2022,90.39,69.14,HOLD,0.89,,2022
08-04-2022,89.59,67.30,HOLD,-0.26,,2022
08-03-2022,89.82,68.39,HOLD,0.80,,2022
08-02-2022,89.11,66.85,HOLD,-0.26,,2022
08-01-2022,89.34,67.84,HOLD,-0.81,,2022
07-29-2022,90.07,70.94,SELL,1.90,,2022
07-28-2022,88.39,67.80,HOLD,2.35,,2022
07-27-2022,86.36,63.35,HOLD,2.72,,2022
07-26-2022,84.07,57.14,HOLD,-0.14,,2022
07-25-2022,84.19,57.62,HOLD,1.31,,2022
07-22-2022,83.10,54.42,HOLD,-0.72,,2022
07-21-2022,83.70,56.60,HOLD,1.29,,2022
07-20-2022,82.63,53.52,HOLD,0.47,,2022
07-19-2022,82.24,52.38,HOLD,3.63,,2022
07-18-2022,79.36,42.70,HOLD,-0.30,,2022
07-15-2022,79.60,43.38,HOLD,2.48,,2022
07-14-2022,77.67,35.71,HOLD,-1.23,,2022
07-13-2022,78.64,38.12,HOLD,-0.52,,2022
07-12-2022,79.05,39.15,HOLD,-1.51,,2022
07-11-2022,80.26,42.31,HOLD,-0.51,,2022
07-08-2022,80.67,43.41,HOLD,-0.25,,2022
07-07-2022,80.87,43.93,HOLD,1.40,,2022
07-06-2022,79.75,40.22,HOLD,0.78,,2022
07-05-2022,79.13,38.12,HOLD,-1.53,,2022
07-01-2022,80.36,40.76,HOLD,1.03,,2022
06-30-2022,79.54,38.11,HOLD,-1.20,,2022
06-29-2022,80.51,40.08,HOLD,-1.24,,2022
06-28-2022,81.52,42.19,HOLD,-1.18,,2022
06-27-2022,82.49,44.27,HOLD,0.56,,2022
06-24-2022,82.03,43.03,HOLD,5.45,,2022
06-23-2022,77.79,29.67,BUY,-0.87,,2022
06-22-2022,78.47,30.75,HOLD,-2.18,,2022
06-21-2022,80.22,33.66,HOLD,2.00,,2022
06-17-2022,78.65,27.98,BUY,-2.90,,2022
