Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,43.69,60.83,HOLD,-1.04,1.23,2023
01-09-2023,44.15,65.65,HOLD,1.10,2.29,2023
01-06-2023,43.67,62.79,HOLD,2.08,1.18,2023
01-05-2023,42.78,56.58,HOLD,-2.17,-0.88,2023
01-04-2023,43.73,67.80,HOLD,1.32,1.32,2023
01-03-2023,43.16,63.80,HOLD,-0.16,0.00,2023
12-30-2022,43.23,64.71,HOLD,0.23,,2022
12-29-2022,43.13,64.03,HOLD,0.44,,2022
12-28-2022,42.94,62.75,HOLD,-0.49,,2022
12-27-2022,43.15,65.12,HOLD,0.26,,2022
12-23-2022,43.04,64.47,HOLD,1.22,,2022
12-22-2022,42.52,61.29,HOLD,-0.26,,2022
12-21-2022,42.63,62.39,HOLD,1.36,,2022
12-20-2022,42.06,58.84,HOLD,0.69,,2022
12-19-2022,41.77,56.92,HOLD,-0.38,,2022
12-16-2022,41.93,58.31,HOLD,-1.06,,2022
12-15-2022,42.38,62.29,HOLD,-1.03,,2022
12-14-2022,42.82,66.41,HOLD,0.66,,2022
12-13-2022,42.54,65.05,HOLD,0.09,,2022
12-12-2022,42.50,64.86,HOLD,2.61,,2022
12-09-2022,41.42,59.33,HOLD,-0.84,,2022
12-08-2022,41.77,62.28,HOLD,-1.28,,2022
12-07-2022,42.31,67.05,HOLD,-1.31,,2022
12-06-2022,42.87,72.40,SELL,2.68,,2022
12-05-2022,41.75,67.60,HOLD,0.72,,2022
12-02-2022,41.45,66.14,HOLD,-0.19,,2022
12-01-2022,41.53,66.89,HOLD,0.39,,2022
11-30-2022,41.37,66.17,HOLD,3.42,,2022
11-29-2022,40.00,59.22,HOLD,-0.57,,2022
11-28-2022,40.23,61.18,HOLD,0.40,,2022
11-25-2022,40.07,60.33,HOLD,0.50,,2022
11-23-2022,39.87,59.30,HOLD,1.06,,2022
11-22-2022,39.45,57.12,HOLD,1.94,,2022
11-21-2022,38.70,52.94,HOLD,0.31,,2022
11-18-2022,38.58,52.25,HOLD,2.93,,2022
11-17-2022,37.48,45.43,HOLD,-1.52,,2022
11-16-2022,38.06,48.85,HOLD,-0.47,,2022
11-15-2022,38.24,49.93,HOLD,0.47,,2022
11-14-2022,38.06,48.88,HOLD,-2.68,,2022
11-11-2022,39.11,55.15,HOLD,0.28,,2022
11-10-2022,39.00,54.58,HOLD,3.48,,2022
11-09-2022,37.69,47.20,HOLD,-0.05,,2022
11-08-2022,37.71,47.31,HOLD,2.81,,2022
11-07-2022,36.68,40.77,HOLD,-1.34,,2022
11-04-2022,37.18,43.19,HOLD,0.60,,2022
11-03-2022,36.96,41.78,HOLD,-2.84,,2022
11-02-2022,38.04,47.11,HOLD,-1.86,,2022
11-01-2022,38.76,51.14,HOLD,0.44,,2022
10-31-2022,38.59,50.21,HOLD,-0.44,,2022
10-28-2022,38.76,51.12,HOLD,2.81,,2022
10-27-2022,37.70,45.40,HOLD,0.24,,2022
10-26-2022,37.61,44.89,HOLD,-0.40,,2022
10-25-2022,37.76,45.54,HOLD,2.41,,2022
