Date,Price,RSI,STATUS
12-16-2022,12.12,30.76,HOLD
12-15-2022,13.03,41.60,HOLD
12-14-2022,13.48,49.63,HOLD
12-13-2022,13.57,51.48,HOLD
12-12-2022,13.46,49.34,HOLD
12-09-2022,13.18,43.45,HOLD
12-08-2022,13.12,42.11,HOLD
12-07-2022,13.10,41.68,HOLD
12-06-2022,13.28,44.43,HOLD
12-05-2022,13.38,45.99,HOLD
12-02-2022,13.86,54.52,HOLD
12-01-2022,14.08,59.20,HOLD
11-30-2022,13.90,56.35,HOLD
11-29-2022,13.75,53.86,HOLD
11-28-2022,13.73,53.54,HOLD
11-25-2022,14.08,60.53,HOLD
11-23-2022,14.03,59.83,HOLD
11-22-2022,14.07,60.63,HOLD
11-21-2022,13.95,59.12,HOLD
11-18-2022,13.99,59.83,HOLD
11-17-2022,13.91,58.91,HOLD
11-16-2022,13.90,58.80,HOLD
11-15-2022,14.30,65.24,HOLD
11-14-2022,14.06,62.98,HOLD
11-11-2022,14.35,67.94,HOLD
11-10-2022,14.03,65.16,HOLD
11-09-2022,13.17,55.39,HOLD
11-08-2022,13.58,63.14,HOLD
11-07-2022,13.56,62.90,HOLD
11-04-2022,13.37,60.69,HOLD
11-03-2022,13.12,57.61,HOLD
11-02-2022,12.92,54.98,HOLD
11-01-2022,13.26,60.94,HOLD
10-31-2022,13.23,60.59,HOLD
10-28-2022,13.12,59.35,HOLD
10-27-2022,12.87,56.34,HOLD
10-26-2022,12.69,54.15,HOLD
10-25-2022,12.70,54.29,HOLD
10-24-2022,12.35,50.10,HOLD
10-21-2022,12.06,46.30,HOLD
10-20-2022,11.65,40.19,HOLD
10-19-2022,12.00,44.19,HOLD
10-18-2022,11.91,42.72,HOLD
10-17-2022,11.71,39.77,HOLD
10-14-2022,11.55,37.37,HOLD
10-13-2022,11.65,38.26,HOLD
10-12-2022,11.42,34.98,HOLD
10-11-2022,11.44,35.13,HOLD
10-10-2022,11.24,32.42,HOLD
10-07-2022,12.07,38.72,HOLD
10-06-2022,12.23,40.10,HOLD
10-05-2022,12.38,41.38,HOLD
10-04-2022,12.23,39.58,HOLD
10-03-2022,11.35,27.34,BUY
09-30-2022,11.08,22.94,BUY
09-29-2022,11.35,24.30,BUY
09-28-2022,12.05,28.44,BUY
09-27-2022,11.79,23.86,BUY
09-26-2022,11.87,24.29,BUY
09-23-2022,12.18,26.02,BUY
09-22-2022,12.64,28.76,BUY
09-21-2022,12.92,30.58,HOLD
09-20-2022,12.95,30.84,HOLD
09-19-2022,14.78,48.27,HOLD
09-16-2022,14.57,44.97,HOLD
09-15-2022,14.74,47.23,HOLD
09-14-2022,14.51,43.67,HOLD
09-13-2022,14.59,44.65,HOLD
09-12-2022,15.38,56.29,HOLD
09-09-2022,15.26,54.64,HOLD
09-08-2022,15.31,55.45,HOLD
09-07-2022,15.27,54.96,HOLD
09-06-2022,14.87,49.77,HOLD
09-02-2022,15.00,51.56,HOLD
09-01-2022,15.03,51.96,HOLD
08-31-2022,15.08,52.60,HOLD
08-30-2022,15.29,55.22,HOLD
08-29-2022,15.41,56.72,HOLD
08-26-2022,15.25,55.21,HOLD
08-25-2022,15.77,61.69,HOLD
08-24-2022,15.36,58.09,HOLD
08-23-2022,15.16,56.23,HOLD
08-22-2022,14.92,53.95,HOLD
08-19-2022,15.72,64.33,HOLD
08-18-2022,15.98,68.46,HOLD
08-17-2022,15.86,67.60,HOLD
08-16-2022,16.26,73.82,SELL
08-15-2022,16.15,73.19,SELL
08-12-2022,16.01,72.40,SELL
08-11-2022,15.67,70.39,SELL
08-10-2022,15.34,68.37,HOLD
08-09-2022,14.88,65.31,HOLD
08-08-2022,15.46,73.72,SELL
08-05-2022,14.99,70.89,SELL
08-04-2022,15.06,71.94,SELL
08-03-2022,15.37,76.77,SELL
08-02-2022,14.86,74.10,SELL
08-01-2022,15.03,76.88,SELL
07-29-2022,14.39,73.55,SELL
07-28-2022,13.72,69.15,HOLD
07-27-2022,12.92,62.34,HOLD
07-26-2022,12.29,54.92,HOLD
07-25-2022,12.58,59.99,HOLD
07-22-2022,12.56,59.76,HOLD
07-21-2022,12.74,62.77,HOLD
07-20-2022,12.47,59.96,HOLD
07-19-2022,12.34,58.45,HOLD
07-18-2022,11.72,50.67,HOLD
07-15-2022,11.64,49.56,HOLD
07-14-2022,11.16,42.13,HOLD
07-13-2022,11.28,43.59,HOLD
07-12-2022,11.33,44.18,HOLD
07-11-2022,11.06,40.10,HOLD
07-08-2022,11.39,43.73,HOLD
07-07-2022,11.42,44.06,HOLD
07-06-2022,10.84,34.92,HOLD
07-05-2022,10.97,36.22,HOLD
07-01-2022,11.09,37.33,HOLD
06-30-2022,10.91,34.37,HOLD
06-29-2022,11.29,37.77,HOLD
06-28-2022,11.57,40.54,HOLD
06-27-2022,11.80,42.85,HOLD
06-24-2022,11.77,42.45,HOLD
06-23-2022,11.33,36.28,HOLD
06-22-2022,11.25,35.13,HOLD
06-21-2022,11.23,34.86,HOLD
06-17-2022,11.00,31.80,HOLD
06-16-2022,11.02,31.92,HOLD
06-15-2022,12.02,38.94,HOLD
06-14-2022,11.95,38.07,HOLD
06-13-2022,11.57,33.15,HOLD
06-10-2022,12.49,40.33,HOLD
06-09-2022,13.01,45.48,HOLD
06-08-2022,13.26,48.17,HOLD
06-07-2022,13.46,50.50,HOLD
06-06-2022,13.19,47.34,HOLD
06-03-2022,13.23,47.75,HOLD
06-02-2022,13.61,51.75,HOLD
06-01-2022,13.28,48.24,HOLD
05-31-2022,13.40,49.52,HOLD
05-27-2022,13.36,49.04,HOLD
05-26-2022,12.86,43.96,HOLD
05-25-2022,12.45,39.46,HOLD
05-24-2022,12.17,36.09,HOLD
05-23-2022,12.57,38.94,HOLD
05-20-2022,12.25,35.11,HOLD
05-19-2022,12.59,37.42,HOLD
05-18-2022,12.52,36.65,HOLD
05-17-2022,13.26,41.78,HOLD
05-16-2022,12.79,36.50,HOLD
05-13-2022,13.23,39.63,HOLD
05-12-2022,12.19,25.66,BUY
05-11-2022,12.57,27.87,BUY
05-10-2022,13.08,31.18,HOLD
05-09-2022,13.10,31.31,HOLD
05-06-2022,13.92,37.56,HOLD
05-05-2022,14.24,40.41,HOLD
05-04-2022,14.68,44.86,HOLD
05-03-2022,14.27,39.04,HOLD
05-02-2022,13.98,34.62,HOLD
04-29-2022,13.88,32.91,HOLD
04-28-2022,14.33,36.64,HOLD
04-27-2022,14.55,38.67,HOLD
04-26-2022,14.41,36.68,HOLD
04-25-2022,14.88,40.90,HOLD
04-22-2022,14.73,38.72,HOLD
04-21-2022,15.28,44.07,HOLD
04-20-2022,15.62,47.83,HOLD
04-19-2022,15.72,48.94,HOLD
04-18-2022,15.25,43.05,HOLD
04-14-2022,15.07,40.53,HOLD
04-13-2022,15.10,40.80,HOLD
04-12-2022,14.95,38.95,HOLD
04-11-2022,14.87,37.99,HOLD
04-08-2022,14.65,35.27,HOLD
04-07-2022,14.56,34.22,HOLD
04-06-2022,14.98,36.87,HOLD
04-05-2022,15.40,39.72,HOLD
04-04-2022,16.22,46.21,HOLD
04-01-2022,16.21,46.11,HOLD
03-31-2022,16.46,48.21,HOLD
03-30-2022,16.81,51.22,HOLD
03-29-2022,17.28,55.50,HOLD
03-28-2022,16.23,46.08,HOLD
03-25-2022,16.03,44.04,HOLD
03-24-2022,16.38,47.01,HOLD
03-23-2022,16.24,45.59,HOLD
03-22-2022,16.64,48.92,HOLD
03-21-2022,16.04,43.20,HOLD
03-18-2022,16.41,46.19,HOLD
03-17-2022,16.14,43.51,HOLD
03-16-2022,16.14,43.51,HOLD
03-15-2022,15.63,38.62,HOLD
03-14-2022,15.32,35.43,HOLD
03-11-2022,15.61,37.11,HOLD
03-10-2022,15.90,38.76,HOLD
03-09-2022,15.93,38.98,HOLD
03-08-2022,15.60,36.09,HOLD
03-07-2022,15.55,35.59,HOLD
03-04-2022,16.40,39.84,HOLD
03-03-2022,17.13,43.99,HOLD
03-02-2022,17.62,47.02,HOLD
03-01-2022,16.26,35.45,HOLD
02-28-2022,17.09,40.49,HOLD
02-25-2022,17.36,42.25,HOLD
02-24-2022,16.69,35.74,HOLD
02-23-2022,16.50,33.70,HOLD
02-22-2022,16.83,35.48,HOLD
02-18-2022,17.56,39.78,HOLD
02-17-2022,17.07,34.89,HOLD
02-16-2022,17.53,37.55,HOLD
02-15-2022,17.60,37.95,HOLD
02-14-2022,17.00,31.99,HOLD
02-11-2022,17.08,32.41,HOLD
02-10-2022,17.60,34.92,HOLD
02-09-2022,17.86,36.24,HOLD
02-08-2022,17.25,30.54,HOLD
02-07-2022,17.41,31.24,HOLD
02-04-2022,17.48,31.51,HOLD
02-03-2022,19.36,40.74,HOLD
02-02-2022,20.08,45.48,HOLD
02-01-2022,20.11,45.68,HOLD
01-31-2022,19.76,42.88,HOLD
01-28-2022,19.02,36.46,HOLD
01-27-2022,18.93,35.66,HOLD
01-26-2022,19.28,37.39,HOLD
01-25-2022,19.35,37.72,HOLD
01-24-2022,19.75,39.63,HOLD
01-21-2022,20.00,40.84,HOLD
01-20-2022,20.97,45.86,HOLD
01-19-2022,21.74,50.46,HOLD
01-18-2022,23.61,65.11,HOLD
01-14-2022,24.39,73.42,SELL
01-13-2022,24.23,72.74,SELL
01-12-2022,23.70,70.48,SELL
01-11-2022,23.58,69.98,HOLD
01-10-2022,23.10,67.85,HOLD
01-07-2022,23.67,73.56,SELL
01-06-2022,23.69,73.76,SELL
01-05-2022,22.91,70.89,SELL
01-04-2022,23.54,77.26,SELL
01-03-2022,21.08,66.24,HOLD
12-31-2021,20.11,58.97,HOLD
12-30-2021,19.82,56.35,HOLD
12-29-2021,19.91,57.37,HOLD
12-28-2021,20.10,59.60,HOLD
12-27-2021,20.14,60.03,HOLD
12-23-2021,19.61,55.95,HOLD
12-22-2021,19.50,55.10,HOLD
12-21-2021,18.99,50.85,HOLD
12-20-2021,18.81,49.25,HOLD
12-17-2021,19.15,52.15,HOLD
12-16-2021,19.71,57.35,HOLD
12-15-2021,19.55,56.24,HOLD
12-14-2021,19.42,55.28,HOLD
12-13-2021,19.78,58.49,HOLD
12-10-2021,20.77,68.39,HOLD
12-09-2021,18.95,55.51,HOLD
12-08-2021,19.18,58.32,HOLD
12-07-2021,19.33,60.09,HOLD
12-06-2021,18.61,53.65,HOLD
12-03-2021,18.54,52.88,HOLD
12-02-2021,19.24,61.47,HOLD
12-01-2021,18.96,59.01,HOLD
11-30-2021,18.58,55.47,HOLD
11-29-2021,19.05,61.55,HOLD
11-26-2021,19.13,62.61,HOLD
11-24-2021,19.61,69.58,HOLD
11-23-2021,19.56,69.26,HOLD
11-22-2021,19.83,73.24,SELL
11-19-2021,18.78,66.23,HOLD
11-18-2021,18.94,68.84,HOLD
11-17-2021,19.23,73.59,SELL
11-16-2021,19.07,72.60,SELL
11-15-2021,19.14,73.66,SELL
11-12-2021,18.79,71.69,SELL
11-11-2021,18.84,72.39,SELL
11-10-2021,18.65,71.41,SELL
11-09-2021,19.39,82.27,SELL
11-08-2021,19.42,82.73,SELL
11-05-2021,18.59,79.70,SELL
11-04-2021,18.71,81.71,SELL
11-03-2021,17.95,78.67,SELL
11-02-2021,17.35,75.74,SELL
11-01-2021,17.30,75.44,SELL
10-29-2021,16.46,70.46,SELL
10-28-2021,16.25,68.98,HOLD
10-27-2021,14.95,56.62,HOLD
10-26-2021,15.36,64.18,HOLD
10-25-2021,15.42,65.31,HOLD
10-22-2021,15.69,70.71,SELL
10-21-2021,15.95,76.36,SELL
