Date,Price,RSI,STATUS
12-16-2022,47.87,36.27,HOLD
12-15-2022,47.97,36.68,HOLD
12-14-2022,49.58,44.09,HOLD
12-13-2022,50.14,47.17,HOLD
12-12-2022,51.67,57.32,HOLD
12-09-2022,50.96,52.96,HOLD
12-08-2022,51.17,54.49,HOLD
12-07-2022,50.25,48.43,HOLD
12-06-2022,50.14,47.65,HOLD
12-05-2022,50.89,52.66,HOLD
12-02-2022,51.43,56.64,HOLD
12-01-2022,51.56,57.61,HOLD
11-30-2022,51.51,57.35,HOLD
11-29-2022,50.27,50.28,HOLD
11-28-2022,51.19,56.76,HOLD
11-25-2022,52.33,66.64,HOLD
11-23-2022,52.41,67.40,HOLD
11-22-2022,52.39,67.31,HOLD
11-21-2022,52.05,65.88,HOLD
11-18-2022,51.66,64.20,HOLD
11-17-2022,51.59,63.90,HOLD
11-16-2022,51.76,65.12,HOLD
11-15-2022,51.63,64.64,HOLD
11-14-2022,51.68,64.96,HOLD
11-11-2022,51.80,65.67,HOLD
11-10-2022,51.87,66.07,HOLD
11-09-2022,48.88,55.42,HOLD
11-08-2022,49.78,60.75,HOLD
11-07-2022,49.57,59.91,HOLD
11-04-2022,49.49,59.61,HOLD
11-03-2022,48.22,54.53,HOLD
11-02-2022,48.01,53.63,HOLD
11-01-2022,48.83,57.76,HOLD
10-31-2022,48.33,55.83,HOLD
10-28-2022,48.69,57.59,HOLD
10-27-2022,47.05,51.09,HOLD
10-26-2022,46.67,49.42,HOLD
10-25-2022,46.89,50.34,HOLD
10-24-2022,46.48,48.70,HOLD
10-21-2022,45.79,45.85,HOLD
10-20-2022,45.05,42.73,HOLD
10-19-2022,45.78,45.11,HOLD
10-18-2022,47.17,50.08,HOLD
10-17-2022,45.80,44.48,HOLD
10-14-2022,43.58,33.26,HOLD
10-13-2022,46.48,44.10,HOLD
10-12-2022,45.37,36.75,HOLD
10-11-2022,46.08,39.83,HOLD
10-10-2022,45.87,38.42,HOLD
10-07-2022,45.55,36.29,HOLD
10-06-2022,47.07,42.86,HOLD
10-05-2022,47.81,46.70,HOLD
10-04-2022,48.07,48.09,HOLD
10-03-2022,47.08,41.92,HOLD
09-30-2022,45.74,31.76,HOLD
09-29-2022,46.26,33.92,HOLD
09-28-2022,47.28,38.62,HOLD
09-27-2022,46.61,32.95,HOLD
09-26-2022,46.99,34.64,HOLD
09-23-2022,47.41,36.56,HOLD
09-22-2022,47.28,35.53,HOLD
09-21-2022,47.08,34.01,HOLD
09-20-2022,47.46,35.49,HOLD
09-19-2022,48.11,38.17,HOLD
09-16-2022,47.05,30.23,HOLD
09-15-2022,46.92,29.21,BUY
09-14-2022,47.61,31.49,HOLD
09-13-2022,47.70,31.82,HOLD
09-12-2022,50.44,43.67,HOLD
09-09-2022,50.86,46.16,HOLD
09-08-2022,50.35,42.47,HOLD
09-07-2022,50.76,44.77,HOLD
09-06-2022,49.97,38.92,HOLD
09-02-2022,50.14,39.75,HOLD
09-01-2022,50.62,42.11,HOLD
08-31-2022,50.00,37.67,HOLD
08-30-2022,50.19,38.51,HOLD
08-29-2022,50.67,40.68,HOLD
08-26-2022,50.63,40.36,HOLD
08-25-2022,52.97,52.79,HOLD
08-24-2022,52.66,50.95,HOLD
